Title,Make,Model,Year,Vin,Location,Condition,Price,Average Market Price,Main Image,Options,Mileage,Trim,Color,Body Type,Fuel Type,Engine,Drive Train,City Fuel Economy,Highway Fuel Economy,Combined Fuel Economy,Dealer Name,Dealer City,Dealer State,Dealer Zip,Dealer Rating,Dealer Phone,URL,Status,Scraped Date
"GMC Hummer EV Edition 1 w/ LPO, Illumination Package",GMC,Hummer EV,2022,1GT40FDA8NU100497,,Used,183995,109051.0,https://assets.cai-media-management.com/ps-vehicle-media/ee06bcb4-52a4-402b-b3be-81def4c46307.jpeg,"Interiorcolor = [Interior Color: White]
Milerange = [Mile Range: 329 EV Mile Range]
Transmission = [Transmission: Single-Speed]
Color = [Exterior Color: Black]
Fueltype = [Fuel Type: Electric]
Engine = [Engine: Electric]
Drivetype = [Drive Type: 4 Wheel Drive]
Range = [RANGE: 329 EV Mile Range]
Mileage = [Miles: 4,020]","4,020",GMCHUMMER|Edition 1,Black,TRUCKS,Electric,Electric,4 wheel drive,,,,Private Seller Exchange,Alpharetta,GA,30022,,,https://www.autotrader.com/cars-for-sale/vehicle/712198692,,2024-04-19 122958
GMC Hummer EV,GMC,Hummer EV,2023,1GT40FDA1P0000000,,Used,179999,117523.0,https://images.autotrader.com/hn/c/651d94db95c34d73bbf5691ce2974a99.jpg,"Interiorcolor = [Interior Color: Black]
Transmission = [Transmission: Automatic]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Electric]
Engine = [Engine: Electric 1000hp 1200ft. lbs.]
Drivetype = [Drive Type: All]
Mileage = [Miles: 109]",109,,White,TRUCKS,Electric,Electric 1000hp 1200ft. lbs.,ALL,,,,Champion Motoring,San Diego,CA,92111,4.3,6193230330,https://www.autotrader.com/cars-for-sale/vehicle/697852072,,2024-04-19 122958
"GMC Hummer EV 3X w/ LPO, Illumination Package",GMC,Hummer EV,2024,1GT10DDB0RU101326,,Used,168995,,https://images.autotrader.com/hn/c/ac4739f8c6ac48d4987cc864ace5fe71.jpg,"Interiorcolor = [Interior Color: Black]
Milerange = [Mile Range: 381 EV Mile Range]
Transmission = [Transmission: Single-Speed]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Electric]
Engine = [Engine: Electric]
Drivetype = [Drive Type: 4 Wheel Drive]
Range = [RANGE: 381 EV Mile Range]
Mileage = [Miles: 550]",550,GMCHUMMER|3X,Interstellar White,TRUCKS,Electric,Electric,4 wheel drive,,,,Exotic Car Trader,Fort Lauderdale,FL,33304,4.9,7547555768,https://www.autotrader.com/cars-for-sale/vehicle/706101513,,2024-04-19 122958
"GMC Hummer EV Edition 1 w/ LPO, Illumination Package",GMC,Hummer EV,2022,1GT40FDA7NU100782,,Used,166500,106224.0,https://assets.cai-media-management.com/ps-vehicle-media/6e3463d1-ae57-4b50-a6f0-367f7cac8b93.jpeg,"Interiorcolor = [Interior Color: White]
Transmission = [Transmission: Single-Speed]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Electric]
Engine = [Engine: Electric]
Drivetype = [Drive Type: 4 Wheel Drive]
Mileage = [Miles: 8,500]","8,500",GMCHUMMER|Edition 1,White,TRUCKS,Electric,Electric,4 wheel drive,,,,Private Seller Exchange,,TX,78613,,,https://www.autotrader.com/cars-for-sale/vehicle/694677391,,2024-04-19 122958
GMC Hummer EV 3X,GMC,Hummer EV,2024,1GKB0RDC4RU100520,,Used,165000,,https://assets.cai-media-management.com/ps-vehicle-media/0c0fac46-624c-4021-a812-4b79b952f08f.png,"Interiorcolor = [Interior Color: Black]
Milerange = [Mile Range: 314 EV Mile Range]
Transmission = [Transmission: Single-Speed]
Color = [Exterior Color: Green]
Fueltype = [Fuel Type: Electric]
Engine = [Engine: Electric]
Drivetype = [Drive Type: 4 Wheel Drive]
Range = [RANGE: 314 EV Mile Range]
Mileage = [Miles: 2,880]","2,880",GMCHUMMER|3X,Green,SUV,Electric,Electric,4 wheel drive,,,,Private Seller Exchange,San Juan Capistrano,CA,92675,,,https://www.autotrader.com/cars-for-sale/vehicle/711760581,,2024-04-19 122958
GMC Hummer EV Edition 1,GMC,Hummer EV,2023,1GT40FDAXPU100343,,Used,160000,113480.0,https://assets.cai-media-management.com/ps-vehicle-media/a1ac4955-46fe-4319-a77a-6d3e6daf133d.jpg,"Interiorcolor = [Interior Color: White]
Transmission = [Transmission: Single-Speed]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Electric]
Engine = [Engine: Electric]
Drivetype = [Drive Type: 4 Wheel Drive]
Mileage = [Miles: 198]",198,GMCHUMMER|Edition 1,White,TRUCKS,Electric,Electric,4 wheel drive,,,,Private Seller Exchange,Palo Alto,CA,94303,,,https://www.autotrader.com/cars-for-sale/vehicle/706815871,,2024-04-19 122958
GMC Hummer EV Edition 1,GMC,Hummer EV,2023,1GT40FDA6PU100789,,Used,157600,113341.0,https://images.autotrader.com/hn/c/8f57c728396f4e859323722d2471eb2b.jpg,"Interiorcolor = [Interior Color: Black]
Milerange = [Mile Range: 381 EV Mile Range]
Transmission = [Transmission: Single-Speed]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Electric]
Engine = [Engine: Electric]
Drivetype = [Drive Type: 4 Wheel Drive]
Range = [RANGE: 381 EV Mile Range]
Mileage = [Miles: 301]",301,GMCHUMMER|Edition 1,White,TRUCKS,Electric,Electric,4 wheel drive,,,,Southfield Quality Cars,Detroit,MI,48235,4.8,3133295874,https://www.autotrader.com/cars-for-sale/vehicle/696804759,,2024-04-19 122958
GMC Hummer EV 3X,GMC,Hummer EV,2024,1GKB0RDC7RU100561,,Used,149999,,https://assets.cai-media-management.com/ps-vehicle-media/9a1a3460-51c8-4680-b9ce-c98f35252bbd.jpg,"Interiorcolor = [Interior Color: Black]
Milerange = [Mile Range: 298 EV Mile Range]
Transmission = [Transmission: Single-Speed]
Color = [Exterior Color: Green]
Fueltype = [Fuel Type: Electric]
Engine = [Engine: Electric]
Drivetype = [Drive Type: 4 Wheel Drive]
Range = [RANGE: 298 EV Mile Range]
Mileage = [Miles: 124]",124,GMCHUMMER|3X,Green,SUV,Electric,Electric,4 wheel drive,,,,Private Seller Exchange,,OH,44077,,,https://www.autotrader.com/cars-for-sale/vehicle/697853747,,2024-04-19 122958
"GMC Hummer EV 2X w/ LPO, Illumination Package",GMC,Hummer EV,2024,1GT10BDD7RU104603,,Used,149999,,,"Interiorcolor = [Interior Color: Black]
Milerange = [Mile Range: 311 EV Mile Range]
Transmission = [Transmission: Single-Speed]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Electric]
Engine = [Engine: Electric]
Drivetype = [Drive Type: 4 Wheel Drive]
Range = [RANGE: 311 EV Mile Range]
Mileage = [Miles: 198]",198,GMCHUMMER|2X,Interstellar White,TRUCKS,Electric,Electric,4 wheel drive,,,,Siry Auto Group,San Diego,CA,92111,4.3,8582564124,https://www.autotrader.com/cars-for-sale/vehicle/710286053,,2024-04-19 122958
GMC Sierra 3500 Denali Ultimate,GMC,Sierra 3500,2024,1GT49YEY3RF252226,,Used,147900,,https://images.autotrader.com/hn/c/d9648c1f7cf44fa4bac95ff0c47bd3f0.jpg,"Interiorcolor = [Interior Color: Brown]
Transmission = [Transmission: 10-Speed Automatic]
Color = [Exterior Color: Brown]
Fueltype = [Fuel Type: Diesel]
Engine = [Engine: 8-Cylinder Turbo]
Drivetype = [Drive Type: 4 Wheel Drive]
Mileage = [Miles: 1,984]","1,984",GMC3500PU|Denali Ultimate,[G48] Redwood Metallic,TRUCKS,Diesel,8-Cylinder Turbo,4 wheel drive,,,,King of Cars and Trucks INC,Westville,NJ,08093,4.1,8562727045,https://www.autotrader.com/cars-for-sale/vehicle/710104984,,2024-04-19 122958
