Title,Make,Model,Year,Vin,Location,Condition,Price,Average Market Price,Main Image,Options,Mileage,Trim,Color,Body Type,Fuel Type,Engine,Drive Train,City Fuel Economy,Highway Fuel Economy,Combined Fuel Economy,Dealer Name,Dealer City,Dealer State,Dealer Zip,Dealer Rating,Dealer Phone,URL,Status,Scraped Date
GMC Yukon Denali,GMC,Yukon,2023,1GKS1DKL5PR440925,,Used,78310,76826.0,https://images.autotrader.com/hn/c/15d4acc40e8748309dfd435cdf7ebff6.jpg,"Interiorcolor = [Interior Color: Brown]
Transmission = [Transmission: 10-Speed Automatic]
Color = [Exterior Color: Blue]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 14 City / 20 Highway]
Engine = [Engine: 8-Cylinder]
Drivetype = [Drive Type: 2 Wheel Drive - Rear]
Mileage = [Miles: 6,712]","6,712",YUKON|Denali,Midnight Blue Metallic,SUV,Gasoline,8-Cylinder,2 wheel drive - rear,14,20,,Garber Automall,Green Cove Springs,FL,32043,,18665041841,https://www.autotrader.com/cars-for-sale/vehicle/710141649,Good,2024-04-19 123132
Genesis GV80 3.5T,Genesis,GV80,2021,KMUHCESC6MU046040,,Used,41333,,https://images.autotrader.com/hn/c/d360c5debfdf47f1a9a327bdd77d1716.jpg,"Interiorcolor = [Interior Color: Unavail]
Transmission = [Transmission: 8-Speed Automatic]
Color = [Exterior Color: Silver]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 18 City / 23 Highway]
Engine = [Engine: 6-Cylinder Turbo]
Drivetype = [Drive Type: All Wheel Drive]
Mileage = [Miles: 54,896]","54,896",GENGV80|3.5T,Savile Silver,SUV,Gasoline,6-Cylinder Turbo,All wheel drive,18,23,,Genesis of Columbus OH,Columbus,OH,43231,,3802511944,https://www.autotrader.com/cars-for-sale/vehicle/709102015,,2024-04-19 123132
Acura MDX Type S,Acura,MDX,2024,5J8YD8H8XRL000343,,Used,68855,,https://images.autotrader.com/hn/c/3cf710c300e74c72902a8e7fbc803450.jpg,"Interiorcolor = [Interior Color: Red]
Transmission = [Transmission: 10-Speed Automatic]
Color = [Exterior Color: Offwhite]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 17 City / 21 Highway]
Engine = [Engine: 6-Cylinder Turbo]
Drivetype = [Drive Type: All Wheel Drive]
Mileage = [Miles: 10]",10,MDX|Type S,Platinum White Pearl - Wh,SUV,Gasoline,6-Cylinder Turbo,All wheel drive,17,21,,Davis Acura,Langhorne,PA,19047,4.8,2676898241,https://www.autotrader.com/cars-for-sale/vehicle/686292342,,2024-04-19 123946
Acura MDX SH-AWD w/ Technology Package,Acura,MDX,2022,5J8YE1H4XNL001374,,Used,49919,44846.0,https://images.autotrader.com/hn/c/bd12827e9dde4566b936d264ee2a5867.jpg,"Interiorcolor = [Interior Color: Brown]
Transmission = [Transmission: 10-Speed Automatic]
Color = [Exterior Color: Black]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 19 City / 25 Highway]
Engine = [Engine: 6-Cylinder]
Drivetype = [Drive Type: All Wheel Drive]
Mileage = [Miles: 22,307]","22,307",MDX|UNAVAIL,Majestic Black Pearl,SUV,Gasoline,6-Cylinder,All wheel drive,19,25,,Acura of Jackson,Ridgeland,MS,39157,4.8,6017074089,https://www.autotrader.com/cars-for-sale/vehicle/712539446,,2024-04-19 123946
Acura MDX SH-AWD w/ A-Spec Package,Acura,MDX,2022,5J8YE1H07NL022471,,Used,46995,44938.0,https://images.autotrader.com/hn/c/886637a5b4984637b5296679a8965bf1.jpg,"Interiorcolor = [Interior Color: Black]
Transmission = [Transmission: 10-Speed Automatic]
Color = [Exterior Color: Blue]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 19 City / 25 Highway]
Engine = [Engine: 6-Cylinder]
Drivetype = [Drive Type: All Wheel Drive]
Mileage = [Miles: 29,420]","29,420",MDX|UNAVAIL,Blue,SUV,Gasoline,6-Cylinder,All wheel drive,19,25,,Dick Hannah Dealerships,Vancouver,WA,98662,4.1,5642272482,https://www.autotrader.com/cars-for-sale/vehicle/709142190,,2024-04-19 123946
Land Rover Defender 110 X,Land Rover,Defender,2023,SALEXEEU1P2197780,,Used,85884,85457.0,https://images.autotrader.com/hn/c/f6acde86b415416d9d2fc7ed3981f6b9.jpg,"Interiorcolor = [Interior Color: Black]
Transmission = [Transmission: 8-Speed Automatic]
Color = [Exterior Color: Green]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 18 City / 23 Highway]
Engine = [Engine: 6-Cylinder Turbo]
Drivetype = [Drive Type: 4 Wheel Drive]
Mileage = [Miles: 3,794]","3,794",DEFEND|110 X,Pangea Green Metallic,SUV,Gasoline,6-Cylinder Turbo,4 wheel drive,18,23,,Jaguar Land Rover Coral Gables,Coral Gables,FL,33133,4.9,7863820545,https://www.autotrader.com/cars-for-sale/vehicle/707090660,Good,2024-04-19 123946
Alfa Romeo Giulia Veloce,Alfa Romeo,Giulia,2023,ZARFAMBN4P7673775,,Used,39795,42275.0,https://images.autotrader.com/pictures/atc_upload/565x421_2021AlfaRomeoGiula.jpg,"Interiorcolor = [Interior Color: Black]
Transmission = [Transmission: 8-Speed Automatic]
Color = [Exterior Color: Black]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 24 City / 33 Highway]
Engine = [Engine: 4-Cylinder Turbo]
Drivetype = [Drive Type: 2 Wheel Drive - Rear]
Mileage = [Miles: 6,638]","6,638",ALFAGIULIA|Veloce,Vulcano Black Metallic,SEDAN,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,24,33,,Livermore Ford Lincoln,Livermore,CA,94551,4.2,9252437257,https://www.autotrader.com/cars-for-sale/vehicle/708564501,Great,2024-04-19 123946
Alfa Romeo Giulia Sprint,Alfa Romeo,Giulia,2023,ZARFAMANXP7666461,,Used,33819,34028.0,https://images.autotrader.com/hn/c/8a02abd0cd544c78809991891a560f89.jpg,"Interiorcolor = [Interior Color: Black]
Transmission = [Transmission: 8-Speed Automatic]
Color = [Exterior Color: Blue]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 24 City / 33 Highway]
Engine = [Engine: 4-Cylinder Turbo]
Drivetype = [Drive Type: 2 Wheel Drive - Rear]
Mileage = [Miles: 14,329]","14,329",ALFAGIULIA|Sprint,Anodized Blue Metallic,SEDAN,Gasoline,4-Cylinder Turbo,2 wheel drive - rear,24,33,,Jim Butler Chevrolet,Fenton,MO,63026,4.5,6367645508,https://www.autotrader.com/cars-for-sale/vehicle/664416076,Great,2024-04-19 123946
Lexus RX 350 FWD,Lexus,RX 350,2023,2T2BAMBA5PC005502,,Used,59949,50354.0,https://images.autotrader.com/hn/c/8101b823cba14a9d9b38d743f1575e21.jpg,"Interiorcolor = [Interior Color: Black]
Transmission = [Transmission: 8-Speed Automatic]
Color = [Exterior Color: Black]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 22 City / 29 Highway]
Engine = [Engine: 4-Cylinder Turbo]
Drivetype = [Drive Type: 2 Wheel Drive - Front]
Mileage = [Miles: 8,289]","8,289",RX350|UNAVAIL,Caviar,SUV,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22,29,,Lexus of Lakeway,Lakeway,TX,78734,,5126434250,https://www.autotrader.com/cars-for-sale/vehicle/712440587,,2024-04-19 123946
Lexus GX 460 Premium,Lexus,GX 460,2023,JTJAM7BX8P5359425,,Used,57000,59387.0,https://images.autotrader.com/hn/c/34a5dfe2f469414abd70ea3bd10b4f9d.jpg,"Interiorcolor = [Interior Color: Gray]
Transmission = [Transmission: 6-Speed Automatic]
Color = [Exterior Color: Silver]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 15 City / 19 Highway]
Engine = [Engine: 8-Cylinder]
Drivetype = [Drive Type: 4 Wheel Drive]
Mileage = [Miles: 2,171]","2,171",GX460|Premium,Atomic Silver,SUV,Gasoline,8-Cylinder,4 wheel drive,15,19,,Grieco Ford,Raynham,MA,02767,4.8,7744062368,https://www.autotrader.com/cars-for-sale/vehicle/712539986,Great,2024-04-19 123946
Lexus GX 460 Premium,Lexus,GX 460,2023,JTJAM7BX3P5357081,,Used,56800,60548.0,https://images.autotrader.com/hn/c/29520f1b28664400bc103d389005206e.jpg,"Interiorcolor = [Interior Color: Red]
Transmission = [Transmission: 6-Speed Automatic]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 15 City / 19 Highway]
Engine = [Engine: 8-Cylinder]
Drivetype = [Drive Type: 4 Wheel Drive]
Mileage = [Miles: 9,421]","9,421",GX460|Premium,Eminent White Pearl,SUV,Gasoline,8-Cylinder,4 wheel drive,15,19,,Bobby Rahal Lexus of Lancaster County,Ephrata,PA,17522,5.0,7172717618,https://www.autotrader.com/cars-for-sale/vehicle/711712084,Great,2024-04-19 123946
Lexus RX 350h FWD,Lexus,RX 350h,2023,2T2BBMCA5PC008704,,Certified,54505,55851.0,https://images.autotrader.com/hn/c/eb217b06da924c06a4d6fa100f6f38d2.jpg,"Interiorcolor = [Interior Color: Unavail]
Transmission = [Transmission: Continuously Variable Automatic]
Color = [Exterior Color: Blue]
Fueltype = [Fuel Type: Hybrid gas/electric]
Mpg = [MPG: 37 City / 34 Highway]
Engine = [Engine: Hybrid]
Drivetype = [Drive Type: All Wheel Drive]
Mileage = [Miles: 9,291]","9,291",LEXRX350H|UNAVAIL,Nightfall Mica,SUV,Hybrid Gas/Electric,Hybrid,All wheel drive,37,34,,Lexus of Lakeway,Lakeway,TX,78734,,5126434250,https://www.autotrader.com/cars-for-sale/vehicle/710608577,Great,2024-04-19 123946
