DATE,VENUE,TIME,FAVOURITE
4 Apr 2024,Southwell,2:05,GALWAY MAHLER (nap)
4 Apr 2024,Southwell,2:35,IMPERIAL BEDE
4 Apr 2024,Southwell,3:05,BLUE LAS
4 Apr 2024,Southwell,3:35,HIGHLANDS LEGACY
4 Apr 2024,Southwell,4:10,INNISFREE LASS
4 Apr 2024,Southwell,4:45,ISMAEL
4 Apr 2024,Lingfield (AW),1:50,SATURNALIA (nap)
4 Apr 2024,Lingfield (AW),2:20,SURVEYOR
4 Apr 2024,Lingfield (AW),2:50,PRINCESS IN ROME
4 Apr 2024,Lingfield (AW),3:20,DUTCH KINGDOM
4 Apr 2024,Lingfield (AW),3:50,STAR OF LADY M
4 Apr 2024,Lingfield (AW),4:25,MAHBOOB
4 Apr 2024,Lingfield (AW),5:00,ROAD TO WEMBLEY
4 Apr 2024,Naas,2:10,GORGEOUS TOM
4 Apr 2024,Naas,2:40,MAGIC DAWN
4 Apr 2024,Naas,3:10,FAULTY
4 Apr 2024,Abu Dhabi,3:15,
4 Apr 2024,Wolverhampton (AW),4:55,VIRTUAL HUG
4 Apr 2024,Naas,3:40,VERBAL SPARRING
4 Apr 2024,Abu Dhabi,4:30,
4 Apr 2024,Wolverhampton (AW),5:30,TWOFORTHEGUTTER
4 Apr 2024,Wolverhampton (AW),6:00,SPANISH ANGEL
4 Apr 2024,Naas,4:15,HILLSDALE
4 Apr 2024,Wolverhampton (AW),6:30,TAN RAPIDO
4 Apr 2024,Wolverhampton (AW),7:00,BELL SHOT (nap)
4 Apr 2024,Wolverhampton (AW),7:30,KOJI
4 Apr 2024,Naas,4:50,PADRAIGS BOY
4 Apr 2024,Naas,5:23,FORTY COATS
4 Apr 2024,Wolverhampton (AW),8:00,CRAFTER
4 Apr 2024,Wolverhampton (AW),8:30,DAPPLED LIGHT
