Name,Article Number,GTIN,HAN,Category,Discounted Price,Old Price,Discount Percentage,Item Weight,Dimensions,Quantity,Image Url,URL
Milwaukee -  Metallsägeband 10Z  für M18 CBS125/V28 BS/HBS 120 (3 Stück) (48390501),4638,045242132096,48390501,"1139,83mm z.B. für BS125 CBS125",51.69,64.62,20%,0.24kg,"508,00×177,00×18,00cm","3,00 Stück",https://www.mwk-shop.de/media/image/product/2641/lg/milwaukee-metallsaegeband-10z-fuer-m18-cbs125-v28-bs-hbs-120-3-stueck-48390501.jpg,https://www.mwk-shop.de/Milwaukee-Metallsaegeband-10Z-fuer-M18-CBS125-V28-BS-HBS-120-3-Stueck-48390501
Milwaukee - Premium Bandsägeblatt für FBS64 12/14 TPI - 25 Stück (48390636),83642-003,045242605132,48390636,"776,29mm z.B. für M12 FBS",367.66,459.58,20%,1.05kg,,"25,00 Stück",https://www.mwk-shop.de/gfx/keinBild.gif,https://www.mwk-shop.de/Milwaukee-Premium-Bandsaegeblatt-fuer-FBS64-12-14-TPI-25-Stueck-48390636
Milwaukee - Premium Bandsägeblatt für FBS64 12/14 TPI - 3 Stück (48390631),83642-002,045242605125,48390631,"776,29mm z.B. für M12 FBS",46.93,58.67,20%,0.20kg,,"3,00 Stück",https://www.mwk-shop.de/gfx/keinBild.gif,https://www.mwk-shop.de/Milwaukee-Premium-Bandsaegeblatt-fuer-FBS64-12-14-TPI-3-Stueck-48390631
Milwaukee - Bandsägeblätter Z18 für HD18 BS (3 Stück) (48390529),4643,045242201747,48390529,"898,52mm z.B. für M18 Compact HD18",51.69,64.62,20%,0.21kg,"178,00×20,00×382,00cm","3,00 Stück",https://www.mwk-shop.de/media/image/product/2646/lg/milwaukee-bandsaegeblaetter-z18-fuer-hd18-bs-3-stueck-48390529.jpg,https://www.mwk-shop.de/Milwaukee-Bandsaegeblaetter-Z18-fuer-HD18-BS-3-Stueck-48390529
Milwaukee - Bandsägeblätter Z18 für M12 BS (3 Stück) (48390572),4645,045242272341,48390572,"687,57mm z.B. für M12 BS",42.74,53.43,20%,0.16kg,"255,00×180,00×20,00cm","3,00 Stück",https://www.mwk-shop.de/media/image/product/2648/lg/milwaukee-bandsaegeblaetter-z18-fuer-m12-bs-3-stueck-48390572.jpg,https://www.mwk-shop.de/Milwaukee-Bandsaegeblaetter-Z18-fuer-M12-BS-3-Stueck-48390572
Milwaukee - Bandsägeblätter Z25 für HD18 BS (3 Stück) (48390539),4644,045242201815,48390539,"898,52mm z.B. für M18 Compact HD18",51.69,64.62,20%,0.22kg,"388,00×182,00×24,00cm","3,00 Stück",https://www.mwk-shop.de/media/image/product/2647/lg/milwaukee-bandsaegeblaetter-z25-fuer-hd18-bs-3-stueck-48390539.jpg,https://www.mwk-shop.de/Milwaukee-Bandsaegeblaetter-Z25-fuer-HD18-BS-3-Stueck-48390539
Milwaukee - Premium Bandsägeblatt für M18 CBS 125 und BS 125 8/10 TPI - 3 Stück (48390601),51145-001,045242530298,48390601,"1139,83mm z.B. für BS125 CBS125",51.69,64.62,20%,0.27kg,,"3,00 Stück",https://www.mwk-shop.de/media/image/product/48459/lg/milwaukee-premium-bandsaegeblatt-fuer-m18-cbs-125-und-bs-125-8-10-tpi-3-stueck-48390601.png,https://www.mwk-shop.de/Milwaukee-Premium-Bandsaegeblatt-fuer-M18-CBS-125-und-BS-125-8-10-TPI-3-Stueck-48390601
Milwaukee - Bandsägeblätter Z14  für HD18 BS (3 Stück) (48390519),4642,045242201594,48390519,"898,52mm z.B. für M18 Compact HD18",51.69,64.62,20%,0.22kg,"178,00×20,00×382,00cm","3,00 Stück",https://www.mwk-shop.de/media/image/product/2645/lg/milwaukee-bandsaegeblaetter-z14-fuer-hd18-bs-3-stueck-48390519.jpg,https://www.mwk-shop.de/Milwaukee-Bandsaegeblaetter-Z14-fuer-HD18-BS-3-Stueck-48390519
Milwaukee -  Metallsägeband Z25 für M18 CBS125/V28 BS/HBS 120 (3 Stück) (48390531),4641,045242132362,48390531,"1139,83mm z.B. für BS125 CBS125",51.69,64.62,20%,0.28kg,"508,00×177,00×18,00cm","3,00 Stück",https://www.mwk-shop.de/media/image/product/2644/lg/milwaukee-metallsaegeband-z25-fuer-m18-cbs125-v28-bs-hbs-120-3-stueck-48390531.jpg,https://www.mwk-shop.de/Milwaukee-Metallsaegeband-Z25-fuer-M18-CBS125-V28-BS-HBS-120-3-Stueck-48390531
Milwaukee -  Metallsägeband Z18 für M18 CBS125/V28 BS/HBS 120 (3 Stück) (48390521),4640,045242132263,48390521,"1139,83mm z.B. für BS125 CBS125",51.69,64.62,20%,0.26kg,"496,00×182,00×24,00cm","3,00 Stück",https://www.mwk-shop.de/media/image/product/2643/lg/milwaukee-metallsaegeband-z18-fuer-m18-cbs125-v28-bs-hbs-120-3-stueck-48390521.jpg,https://www.mwk-shop.de/Milwaukee-Metallsaegeband-Z18-fuer-M18-CBS125-V28-BS-HBS-120-3-Stueck-48390521
Milwaukee -  Metallsägeband für Z14 M18 CBS125/V28 BS/HBS 120 (3 Stück) (48390511),4639,045242132164,48390511,"1139,83mm z.B. für BS125 CBS125",51.69,64.62,20%,0.28kg,"508,00×177,00×18,00cm","3,00 Stück",https://www.mwk-shop.de/media/image/product/2642/lg/milwaukee-metallsaegeband-fuer-z14-m18-cbs125-v28-bs-hbs-120-3-stueck-48390511.jpg,https://www.mwk-shop.de/Milwaukee-Metallsaegeband-fuer-Z14-M18-CBS125-V28-BS-HBS-120-3-Stueck-48390511
