Product Title,Price,EAN,URL
Fabulous World Tapete Dots Weiß und Schwarz 67105-3 Noordwand,32.99,'4000566671535,https://www.manomano.de/p/fabulous-tapete-dots-blau-und-hellblau-67105-2-9765059?model_id=9765060
"BONDEX HOLZFARBE FÜR AUSSEN Schwedenrot 7,5 l - 446766",54.53,'8716242007135,https://www.manomano.de/p/bondex-holzfarbe-aussen-schwedenrot-75-liter-446766-wetterschutz-holzschutz-50177713?model_id=52040904
2 x 5 Liter Microactiv® Ultraschallreiniger für Ultraschallbad,39.95,'4250463120760,https://www.manomano.de/p/2-x-5-liter-microactiv-ultraschallreiniger-fuer-ultraschallbad-31316953?model_id=31297834
Vileda Ultramax 2in1 Box Frühjahrespromo 2023 inkl. 50 EUR MyDays-Gutschein  1 St. 172364,24.99,'4023103239173,https://www.manomano.de/p/vileda-ultramax-2in1-box-frhjahrespromo-2023-inkl-50-eur-mydays-gutschein-1-st-172364-69877995?model_id=73675403
Nitro Verdünnung 1 l,3.34,'4002845120222,https://www.manomano.de/p/meyer-nitrouniversalverduenner-30-l-35417142?model_id=5521735
"AUFUN Vordach für Haustür 300 x 100 cm Haustürvordach Pultvordach aus 5 mm Dicke Transparentes Polycarbonat, PP Halterung,Weiße Klammer",101.99,'0762418224415,https://www.manomano.de/p/aufun-vordach-fr-haustr-haustrvordach-pultvordach-aus-5-mm-dicke-transparentes-polycarbonat-pp-halterung-trdach-fr-drauen-pultbogenvordach-berdachung-65052375?model_id=68404118
4 x Akustikpaneele aus Holz 240x60cm für Wand Design Nussbaum Kover-NS,204.95,'7630377942769,https://www.manomano.de/p/4-x-schallschluckendes-dekoratives-absorptionspaneel-240x60cm-aus-nussbaum-holz-kover-ns-72836221?model_id=76721606
"Moskitonetz 1,5 x 2 m, feines Loch, Studentenwohnheim, weißes Etagenbett",14.99,'6286502121359,https://www.manomano.de/p/moskitonetz-15-x-2-m-feines-loch-studentenwohnheim-weies-etagenbett-61979269?model_id=64999696
"Moskitonetz-Rolle 120 x 300 cm, Moskitonetz-Stoff als Meterware für Fenster, verstellbares und langlebiges Fiberglas, grau, GU.B/bon",16.39,'7007943607559,https://www.manomano.de/p/moskitonetz-rolle-120-x-300-cm-moskitonetz-stoff-als-meterware-fur-fenster-verstellbares-und-langlebiges-fiberglas-grau-gubbon-70984835?model_id=74826901
Tür Schiebetür Glas satiniert 755x2035 Zimmertür Glasschiebetür -  Griffmuschel+Softclose,281.19,'4250820202023,https://www.manomano.de/p/tur-schiebetur-glas-satiniert-755x2035-zimmertur-glasschiebetur---griffknopf-72815813?model_id=6445723
