EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'4250589499825,49.99,B08HVRYKXT,"#36.974, (Sport & Freizeit)",-45.92 ,"-4.591,98 %"
'8713249283807,29.99,B08P1STBRS,"#451.523, (Sport & Freizeit)",-2.79 ,"-7,24 %"
'4016167070516,67.99,B07YTRRC47,"#22.079, (Sport & Freizeit)",-7.74 ,"-9,92 %"
'4046051149394,69.99,B0B21S2HH6,"#8.141, (Sport & Freizeit)",-11.04 ,"-15,14 %"
'4062218267015,74.99,B09JZLSZ5W,"#1.402, (Sport & Freizeit)",-24.74 ,"-40,89 %"
'4712806003333,72.99,B0C3BZDF7Y,-,-59.67 ,"-841,61 %"
'4710069687086,35.99,B081DC25XM,"#14.651, (Sport & Freizeit)",-11.22 ,"-34,00 %"
'4003318667190,69.99,B09B2PMYCM,"#111, (Sport & Freizeit)",-22.64 ,"-35,38 %"
'4028017544061,23.99,B089F3WHG9,"#37.177, (Elektronik & Foto)",-2.32 ,"-7,42 %"
'4054571155474,32.99,B08NWGKF8X,"#222.410, (Sport & Freizeit)",-30.07 ,"-3.006,97 %"
'4062218269637,59.99,B09JZN6PDZ,"#29.985, (Sport & Freizeit)",-10.27 ,"-16,31 %"
'4016224010516,50.99,B093HK9STP,"#9.437, (Sport & Freizeit)",-1.12 ,"-1,87 %"
'3165140997010,58.99,B08HQHW4LS,"#3, (Auto & Motorrad)",-13.18 ,"-22,33 %"
'7325549886919,101.99,B0BFD79F2J,"#3.290, (Sport & Freizeit)",-17.80 ,"-16,19 %"
'4044494154845,34.99,B0BVBJN84W,"#75.159, (Sport & Freizeit)",-7.37 ,"-18,45 %"
'840840012920,58.99,B0B3BCFSGC,"#27.977, (Sport & Freizeit)",-6.23 ,"-9,94 %"
',79.99,B0C8PG8Y5X,-,-37.47 ,"-70,70 %"
',199.99,B0C8PG8Y5X,-,-138.31 ,"-261,00 %"
'4054571144317,15.99,B07WWMZ2V7,"#319.843, (Sport & Freizeit)",-15.79 ,"-1.578,97 %"
'8015190264516,153.99,B08428FQFR,"#295.011, (Sport & Freizeit)",-11.34 ,"-6,20 %"
'4030572105809,31.99,B094D1245B,"#4.775, (Sport & Freizeit)",-5.32 ,"-13,32 %"
'4054571188083,23.99,B09BQXSW44,"#10.468, (Sport & Freizeit)",-24.29 ,"-2.429,45 %"
'7313020079721,590.99,B0791RW7N7,"#426, (Sport & Freizeit)",-88.97 ,"-15,89 %"
'4043197271590,62.99,B014WLAHUK,-,-59.77 ,"-5.977,21 %"
'4003318826597,48.99,B088X9Z9HN,"#41, (Sport & Freizeit)",-18.19 ,"-41,34 %"
'4035849080483,41.99,B089Y2QZG7,"#401.360, (Sport & Freizeit)",-12.94 ,"-30,09 %"
'7325549887459,149.99,B0BFD84VT8,"#10.148, (Sport & Freizeit)",3.89 ,"1,94 %"
'8015190269689,98.99,B08HJXSL1H,"#74.676, (Sport & Freizeit)",8.88 ,"6,17 %"
'7313020077369,808.99,B01NCDZVDG,"#1.094, (Auto & Motorrad)",-124.35 ,"-16,15 %"
'4054571163141,19.99,B08NWD7332,"#359.320, (Sport & Freizeit)",-19.15 ,"-1.914,97 %"
'4712511836332,69.99,B017EIZZCI,"#7.605, (Sport & Freizeit)",-15.19 ,"-22,34 %"
'7313020078755,630.99,B077ZBTBVB,"#1.499, (Sport & Freizeit)",-74.22 ,"-11,88 %"
'4052285882501,22.99,B07R35SFHF,"#10.031, (Sport & Freizeit)",-9.23 ,"-40,20 %"
'4043197336176,104.99,B08FC2B7DB,"#44.164, (Sport & Freizeit)",-21.58 ,"-20,13 %"
'4003318034213,94.99,B0BF5GSYW9,"#5.059, (Sport & Freizeit)",-18.90 ,"-18,91 %"
'4003318615009,111.99,B09HF4H4GJ,"#3.673, (Sport & Freizeit)",-12.54 ,"-10,91 %"
'4712511827545,34.99,B000FIAUT8,"#559.925, (Sport & Freizeit)",-11.37 ,"-37,91 %"
'4250589477717,46.99,B07HD2V6B2,"#80.695, (Sport & Freizeit)",-41.84 ,"-4.183,97 %"
'7615523369522,15.99,B09FK6ZPYK,"#50.818, (Sport & Freizeit)",0.75 ,"3,02 %"
'4016224082100,15.99,B09VY5S6ZK,"#765, (Sport & Freizeit)",-6.93 ,"-46,26 %"
'191972424212,115.99,B08H4H2Y2S,"#39.263, (Auto & Motorrad)",-37.38 ,"-37,86 %"
'4003318844263,55.99,B083QMYJ12,"#2.098, (Sport & Freizeit)",-15.26 ,"-31,17 %"
',49.99,B0C8PG8Y5X,-,-12.26 ,"-23,13 %"
'8022530013697,36.99,B07F7P2WSM,"#110.515, (Sport & Freizeit)",-5.23 ,"-10,82 %"
'4062695000310,171.99,B083ZN948F,"#71.315, (Sport & Freizeit)",-26.85 ,"-14,92 %"
'7613368794400,27.99,B07XKMQLZW,"#169.000, (Sport & Freizeit)",2.72 ,"6,05 %"
'4026495627931,24.99,B004T02X8O,"#7.064, (Sport & Freizeit)",-17.90 ,"-81,25 %"
',199.99,B0C8PG8Y5X,-,-138.31 ,"-261,00 %"
',579.99,B0C8PG8Y5X,-,-457.64 ,"-863,63 %"
'8015190275178,192.99,B09T5RHNWL,"#133.075, (Sport & Freizeit)",3.02 ,"1,21 %"
'4003318882883,64.99,B088PJ3W12,"#339, (Sport & Freizeit)",-2.01 ,"-2,55 %"
'8030282498167,38.99,B07HM7FVHZ,"#368.739, (Sport & Freizeit)",-5.37 ,"-11,25 %"
'831273005771,117.99,B0025UOI2Y,"#21.653, (Sport & Freizeit)",-104.61 ,"-10.460,92 %"
'4260477061027,54.99,B00TXJDAYC,"#5.280, (Sport & Freizeit)",-14.44 ,"-27,28 %"
'4026495905992,41.99,B0B8TGZQQN,"#168.985, (Sport & Freizeit)",-5.45 ,"-10,86 %"
