EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'4977766782753,149.9,B077PYFCJW,"#2.366, (Computer & Zubehör)",-1.14 ,"-0,63 %"
'4549292205374,159.9,B0BN97QRPX,"#6.846, (Computer & Zubehör)",-1.73 ,"-0,93 %"
'4057081018222,29.99,B075NLN2F9,"#3.726, (Fashion)",-4.30 ,"-10,81 %"
'3165140723664,549.0,B00FBE1T1E,"#419.455, (Baumarkt)",-7.49 ,"-1,08 %"
'5702017100081,29.99,B08XDYPDTQ,"#3.176, (Spielzeug)",-7.09 ,"-20,25 %"
'4059952594217,219.0,B098DMJCBD,"#167.937, (Baumarkt)",3.13 ,"1,13 %"
'5702017154954,34.99,B09QFYP88B,"#11.206, (Spielzeug)",-7.99 ,"-19,03 %"
'5702017152073,74.9,B09QFMYQ8S,"#6.677, (Spielzeug)",-12.71 ,"-15,16 %"
'5702017161723,29.99,B09QFS8BNN,"#9.035, (Spielzeug)",-7.58 ,"-21,67 %"
'4057081136841,38.99,B09QZCBVZY,"#5.275, (Climate Pledge Friendly)",-3.36 ,"-6,34 %"
'5702017415147,34.99,B01MXYVN1S,"#379, (Spielzeug)",-7.38 ,"-17,17 %"
'4057081153497,29.99,B0BGCFD3RD,"#226.632, (Computer & Zubehör)",-0.72 ,"-1,60 %"
'4057081153510,29.99,B0BGCCRXYF,"#90.193, (Computer & Zubehör)",-0.72 ,"-1,60 %"
'4057081153459,38.99,B0BGCBV31X,"#159.821, (Computer & Zubehör)",-1.05 ,"-1,86 %"
'4057081153473,38.99,B0BGCBC7PM,"#103.808, (Computer & Zubehör)",1.74 ,"2,92 %"
'5702017424750,33.99,B0BBRY3FFB,"#11.181, (Spielzeug)",-8.33 ,"-21,47 %"
'4013833053668,315.0,B0BHHNZ2GM,"#604.012, (Küche, Haushalt & Wohnen)",-83.60 ,"-30,04 %"
'6971636401056,229.9,B09M7ZMR5X,"#43.050, (Gewerbe, Industrie & Wissenschaft)",-5.45 ,"-1,95 %"
'4711377044288,2999.0,B0BVKZQGXM,-,-2.524.99 ,"-252.499,03 %"
