EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'8806091664730,399.0,B09TVB8SM2,"#21.344, (Elektronik & Foto)",3.10 ,"0,68 %"
'8719534051755,22.95,B07H44DP62,"#51.040, (Fashion)",-6.21 ,"-24,85 %"
'4895229118560,49.95,B09Q62NF2L,"#30.211, (Elektronik & Foto)",-2.37 ,"-4,16 %"
'7290103666125,57.95,B00CHXC3HQ,"#112.291, (Garten)",8.79 ,"8,73 %"
'0713541217652,79.95,B00JUQ66K8,"#60.811, (Elektronik & Foto)",-7.28 ,"-8,10 %"
'0652508362366,39.95,B076T1D5PX,"#26.361, (Elektronik & Foto)",3.06 ,"5,19 %"
'5057964000008,24.95,B07JGFBY2X,"#40.984, (Elektronik & Foto)",-9.77 ,"-49,11 %"
'0706352961081,44.95,B07FSMPM8M,"#305.874, (Elektronik & Foto)",-14.10 ,"-33,57 %"
'0706352961074,44.95,B07F32P7F3,"#305.874, (Elektronik & Foto)",-14.15 ,"-33,76 %"
'5057964000138,19.95,B07JWNXQCZ,"#197.251, (Elektronik & Foto)",-6.71 ,"-33,58 %"
'4895007941519,99.95,B096VNBBCZ,"#164.175, (Gewerbe, Industrie & Wissenschaft)",-9.69 ,"-7,75 %"
'0849369004515,549.0,B00KWM7DLA,"#1.964.838, (Küche, Haushalt & Wohnen)",-470.51 ,"-47.051,01 %"
'0810841014452,129.95,B0B6JQ777W,"#647.976, (Küche, Haushalt & Wohnen)",-118.47 ,"-11.847,08 %"
'3221614001819,89.95,B074Z39JCW,"#107.156, (Küche, Haushalt & Wohnen)",-12.95 ,"-12,36 %"
'6957303847471,59.95,B091TV6LWN,"#393, (Computer & Zubehör)",-12.19 ,"-19,89 %"
'4022167323507,49.95,B07GLF91QH,"#301.349, (Küche, Haushalt & Wohnen)",3.83 ,"4,65 %"
'4895229117747,39.95,B0947BR98Y,"#124.386, (Elektronik & Foto)",6.56 ,"10,93 %"
'4260358125091,19.95,B09WN9CNBP,"#560.824, (Elektronik & Foto)",0.03 ,"0,09 %"
'0840056146785,2.49,B09D16TXJN,"#1.340.189, (Elektronik & Foto)",8.73 ,"42,88 %"
'0840056146563,2.49,B09D1R7DQK,"#1.231.918, (Elektronik & Foto)",3.72 ,"28,80 %"
