EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'4009506097350,5.32,B006TAND8Q,"#157.630, (Baumarkt)",-2.09 ,"-20,93 %"
'4004666003364,23.5,B084BZ6WQR,"#13.964, (Baumarkt)",-13.02 ,"-65,13 %"
'4007591562128,28.63,B008FZFT30,"#27.243, (Baumarkt)",-2.87 ,"-7,18 %"
'4030574038327,7.33,B0017VCEX2,"#287, (Baumarkt)",-2.84 ,"-26,36 %"
'4007591722843,35.09,B0774V8D7X,"#8.857, (Baumarkt)",-8.36 ,"-20,95 %"
'4001524018218,8.95,B004Y4GXWC,"#28.336, (Drogerie & Körperpflege)",-3.16 ,"-22,90 %"
'4042448901316,4.39,B00XBWUTVE,-,-3.75 ,"-72,46 %"
'4036421265014,13.97,B007KIALGI,"#71.170, (Baumarkt)",-5.25 ,"-35,16 %"
'4255603501584,22.95,B0B3JSY3X5,"#780.727, (Baumarkt)",-12.04 ,"-57,32 %"
'8716242942580,23.7,B07SHHGM2N,"#976, (Baumarkt)",-8.29 ,"-30,48 %"
'7610567955007,8.99,B077GT72HX,"#10.964, (Sport & Freizeit)",-3.98 ,"-32,78 %"
'9010041032824,49.99,B09NML71YV,"#739, (Küche, Haushalt & Wohnen)",-13.52 ,"-26,55 %"
'4039292030316,5.76,B08JV7CXFC,"#7.042, (Drogerie & Körperpflege)",1.11 ,"7,12 %"
'4013142808355,5.76,B07W8ZCK12,"#85.524, (Baumarkt)",-81.38 ,"-628,44 %"
'4039292030569,8.22,B01231N456,"#44.672, (Küche, Haushalt & Wohnen)",-2.08 ,"-15,45 %"
'4250463120746,23.45,B08XXP1R1S,"#46.302, (Gewerbe, Industrie & Wissenschaft)",-27.47 ,"-2.747,19 %"
'4260120773642,19.95,B00KQG2EHA,"#91.883, (Garten)",-13.65 ,"-68,44 %"
'4250815318920,49.99,B08B422NV2,"#22.985, (Küche, Haushalt & Wohnen)",-19.37 ,"-38,75 %"
'3168430321816,69.9,B09BLC8YN7,"#106.310, (Baumarkt)",-10.89 ,"-13,62 %"
'4260458245941,139.0,B01N3YDUDT,"#96.846, (Baumarkt)",-37.78 ,"-27,99 %"
'4007126368461,59.26,B07XRT1NFZ,"#71.479, (Küche, Haushalt & Wohnen)",-17.82 ,"-29,40 %"
'4007126364210,89.14,B000QUQT22,"#42.385, (Küche, Haushalt & Wohnen)",-24.43 ,"-27,43 %"
'4005176984099,68.95,B00I4SJ182,"#6.494, (Baumarkt)",-9.08 ,"-12,02 %"
'4031602005830,12.97,B00EOR98NU,"#4.301, (Baumarkt)",-4.73 ,"-32,60 %"
'4250390899135,16.99,B07DL1BPDW,-,-9.12 ,"-53,68 %"
