EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'0737052074306,56.0,B009WU7FB6,"#1.911, (Kosmetik)",-50.36 ,"-5.035,57 %"
'4015000971157,2.95,B08BWWTH7R,"#1.739, (Drogerie & Körperpflege)",-6.20 ,"-620,27 %"
'7613287110688,3.09,B092X479C9,"#5.325, (Lebensmittel & Getränke)",-2.02 ,"-32,34 %"
'5702017419244,20.99,B0BV7D8WN2,"#270, (Spielzeug)",-10.37 ,"-62,53 %"
'4015000970921,2.95,B08BWYQB3X,"#2.207, (Drogerie & Körperpflege)",-6.10 ,"-610,38 %"
'4008268043605,4.95,B06XKX2LRC,"#75.743, (Kosmetik)",-7.76 ,"-775,76 %"
'8001090892843,5.95,B0B5H1332W,"#7.420, (Kosmetik)",-5.76 ,"-129,43 %"
'7613287138651,3.09,B08Y76HXJM,"#61.655, (Lebensmittel & Getränke)",-6.01 ,"-600,56 %"
'3600541744554,4.49,B01CQNCRJA,"#77.127, (Kosmetik)",-7.36 ,"-735,98 %"
'5702017421100,3.99,B0BPMJDRJM,"#84.420, (Computer & Zubehör)",-6.56 ,"-655,98 %"
'8001090905642,5.95,B0B5GYT9X4,"#4.349, (Kosmetik)",-4.62 ,"-77,57 %"
'7613287109583,3.09,B09YRSSVQB,"#122.873, (Lebensmittel & Getränke)",-4.11 ,"-137,59 %"
'4008268002565,4.95,B00G6JO85W,"#52.324, (Kosmetik)",-8.35 ,"-835,07 %"
'4062196082235,3.69,B083M28ZG1,-,-6.70 ,"-669,77 %"
'5702017419237,20.99,B0BRJLKS86,"#399, (Spielzeug)",-10.41 ,"-63,00 %"
'5702017419381,62.99,B0BV7D5HBC,"#2.235, (Spielzeug)",-27.91 ,"-62,10 %"
'4015000971843,2.95,B08SBTRVTF,"#47.316, (Drogerie & Körperpflege)",-10.08 ,"-1.008,48 %"
'711719833994,99.99,B09GBY7632,"#107, (Games)",-35.75 ,"-44,70 %"
'3800020492956,2.99,B09C6KDYKQ,"#58.161, (Lebensmittel & Getränke)",-4.39 ,"-146,90 %"
'4006333061356,24.99,B081J3XT1K,"#16.268, (Spielzeug)",-18.07 ,"-147,65 %"
'5702017421551,3.99,B0BVJ17FMJ,"#22.721, (Spielzeug)",-5.91 ,"-590,60 %"
'4008268002862,4.95,B001AGNDHK,"#84.101, (Kosmetik)",-7.75 ,"-775,48 %"
'0194735149353,59.99,B0BN15JN4D,"#33.401, (Spielzeug)",-20.21 ,"-36,76 %"
'8006540424230,3.29,B09NRQR3GK,"#438, (Kosmetik)",-4.49 ,"-163,14 %"
'5038061106428,49.99,B086YJQ88N,"#342.256, (Kosmetik)",-14.51 ,"-31,02 %"
'8006540760437,79.95,B0B4WSRZXG,"#4.535, (Drogerie & Körperpflege)",-37.99 ,"-77,05 %"
'3616304062483,74.5,B0BSLGNX5S,-,-25.44 ,"-42,44 %"
'817513010002,8.99,B009AZ3WH4,"#467, (Kosmetik)",-6.23 ,"-78,32 %"
'5060630047955,19.95,B09TPRDT8N,"#6.351, (Kosmetik)",-8.12 ,"-45,21 %"
'5702017421483,3.99,B0BPMFXD78,"#5.936, (Games)",-6.57 ,"-656,55 %"
'5702016913514,19.99,B09BNV5CC5,"#1.278, (Spielzeug)",-11.91 ,"-85,11 %"
'4014519746010,22.0,B09WYNSG6K,"#34, (Bürobedarf & Schreibwaren)",-11.94 ,"-85,59 %"
'0817513010033,8.99,B008D5I61Y,"#49.457, (Kosmetik)",-5.84 ,"-73,43 %"
'4022167602107,44.99,B0987STTXP,"#27.604, (Drogerie & Körperpflege)",-22.02 ,"-76,21 %"
'4015200032665,10.49,B0C1KMVZB9,"#97.458, (Drogerie & Körperpflege)",-13.09 ,"-1.309,26 %"
'4001499939891,3.49,B07DGYD4XF,"#17.198, (Drogerie & Körperpflege)",-4.88 ,"-165,45 %"
'4041417662081,29.99,B0B82FGS1P,"#7.915, (Games)",-8.54 ,"-28,47 %"
'4059433574325,19.99,B09S3WBRLK,"#2.412, (Spielzeug)",-9.83 ,"-57,87 %"
'3600541698482,4.49,B00R79CG86,"#48.350, (Kosmetik)",4.63 ,"20,59 %"
'4260528558568,129.95,B098D9BDN7,"#147.536, (Drogerie & Körperpflege)",-112.93 ,"-11.292,75 %"
'5702017400280,3.99,B0BPMJRDTL,"#51.995, (Computer & Zubehör)",-5.90 ,"-590,45 %"
'3701405800390,36.99,B094NW14XC,"#18.574, (Spielzeug)",-17.27 ,"-64,00 %"
