EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'4013674144150,17.99,B07HFJLVHL,"#6.935, (Beleuchtung)",-2.85 ,"-11,88 %"
'3168430244313,38.99,B06XC242KR,"#211.411, (Küche, Haushalt & Wohnen)",-41.28 ,"-4.127,73 %"
'4058205018999,17.99,B08MFLLCK3,"#826.060, (Baumarkt)",-3.08 ,"-13,41 %"
'4006942842797,29.99,B0752C4RML,"#44.918, (Spielzeug)",-6.79 ,"-15,44 %"
'4059433112091,39.99,B0842X42J7,"#10.824, (Spielzeug)",-19.20 ,"-56,70 %"
'4260183012795,8.99,B00LDQ1JXC,"#191.501, (Baumarkt)",-2.79 ,"-20,95 %"
'4055744029912,47.99,B07LB5GMMN,"#19.451, (Spielzeug)",-12.84 ,"-23,80 %"
'4000530659378,12.99,B007BBOHXC,"#392.534, (Küche, Haushalt & Wohnen)",-16.36 ,"-1.636,43 %"
'8712856059829,34.99,B07S622MTR,"#32.179, (Drogerie & Körperpflege)",-0.47 ,"-0,95 %"
'4260634746019,7.99,B0998HHPVP,"#69.295, (Beleuchtung)",-10.95 ,"-1.094,86 %"
'4055744025129,14.99,B079NY5W5F,"#12.003, (Spielzeug)",-3.36 ,"-13,55 %"
'7313400015226,35.99,B09RHR7QH7,"#23.265, (Spielzeug)",-18.57 ,"-56,29 %"
'6941057451732,11.0,B00HEGLCGE,"#3.724, (Spielzeug)",-2.94 ,"-13,27 %"
'6941057454832,14.99,B08W1RSYYX,"#31.870, (Garten)",-1.34 ,"-4,47 %"
'7317930875060,59.99,B00U3R5JOW,"#161.011, (Küche, Haushalt & Wohnen)",-22.13 ,"-40,96 %"
'4006501817020,27.99,B00359O126,"#9.007, (Küche, Haushalt & Wohnen)",-12.34 ,"-36,35 %"
'4020628685133,74.99,B09BW8N7JZ,"#5.974, (Bürobedarf & Schreibwaren)",-68.02 ,"-6.802,37 %"
'8710103906384,12.49,B078S89SSL,"#14.922, (Drogerie & Körperpflege)",-13.05 ,"-1.305,03 %"
'4005556269495,18.99,B08XM1GQ1K,"#1.337, (Spielzeug)",-5.40 ,"-22,50 %"
'4000530675941,34.99,B00HF0NHIK,"#69.055, (Küche, Haushalt & Wohnen)",2.04 ,"3,89 %"
'3536403372880,12.49,B07XTVGJ42,"#163.053, (Computer & Zubehör)",-0.54 ,"-2,96 %"
'4260135961751,9.99,B079G6DFFB,-,-8.93 ,"-68,75 %"
'4016471059528,7.99,B07B6LFLPV,-,-4.80 ,"-51,17 %"
'3016202040154,89.99,B01F4PYLQ4,"#35.952, (Spielzeug)",-22.38 ,"-23,33 %"
'6941057454757,19.99,B000O1B04U,"#3.779, (Garten)",-8.42 ,"-32,44 %"
'6941057421902,49.99,B09R9D5W62,"#39.510, (Garten)",-13.28 ,"-23,73 %"
'5025232938261,38.99,B08L8LZCGL,"#34.423, (Drogerie & Körperpflege)",-6.52 ,"-14,18 %"
'4023012246835,29.99,B09GG76G3R,"#400.900, (Küche, Haushalt & Wohnen)",-8.43 ,"-24,16 %"
'8005125698042,16.99,B00029CZV6,"#6.501, (Spielzeug)",-21.36 ,"-2.135,53 %"
'4001504490218,8.99,B00006RT9Z,"#4.180, (Spielzeug)",-2.01 ,"-13,44 %"
'4001504013011,4.99,B00006YYLW,"#180, (Spielzeug)",-2.87 ,"-35,04 %"
'4211125314316,22.0,B002GP3TZU,"#54.257, (Drogerie & Körperpflege)",-1.36 ,"-3,78 %"
'4059433271477,49.99,B085R38DL7,"#76.523, (Spielzeug)",-6.92 ,"-10,82 %"
'4251758400376,9.99,B0BWBY75D1,-,0.72 ,"3,45 %"
'5010993534357,4.99,B07FK1NN7H,"#107, (Spielzeug)",-5.94 ,"-170,19 %"
'3168430312814,17.99,B08ZS988Q7,"#59.007, (Küche, Haushalt & Wohnen)",-7.58 ,"-34,46 %"
'4013283720400,3.99,B07NW6JCQ5,"#2.074, (Baby)",-0.26 ,"-2,87 %"
'0884620049768,14.99,B09BNT6JM4,"#429.803, (Baumarkt)",4.40 ,"14,69 %"
'4260358128313,17.99,B0C54792VV,"#95.137, (Drogerie & Körperpflege)",-2.49 ,"-10,17 %"
'4059433392738,9.99,B08W4LC82R,"#10.191, (Spielzeug)",-12.61 ,"-1.260,63 %"
'4000826003953,17.99,B08V147C85,"#9.279, (Spielzeug)",-4.35 ,"-17,31 %"
'3030050131130,39.99,B06XQM2TWB,"#2.171, (Kosmetik)",-15.39 ,"-40,54 %"
'4005556167142,36.99,B08KCVM4KF,"#17.577, (Spielzeug)",-20.36 ,"-81,47 %"
'4007486625211,29.99,B08Q3NBM1G,"#352.311, (Spielzeug)",-0.40 ,"-0,81 %"
'4008789709097,4.99,B09JSJYGYJ,"#21.791, (Spielzeug)",-3.33 ,"-40,90 %"
'4008789709622,12.99,B0BKQPRDZG,"#6.993, (Spielzeug)",-3.69 ,"-18,44 %"
'4008789712462,19.99,B0BKQN7V4M,"#7.571, (Spielzeug)",-2.43 ,"-7,76 %"
'0778988371602,6.99,B08T65GX38,"#30.065, (Spielzeug)",2.01 ,"10,07 %"
