EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'3365440002104,125.0,B005I9Y9Q4,"#139.366, (Kosmetik)",-33.54 ,"-30,49 %"
'3414202772219,8.95,B000M002A6,"#1.202, (Kosmetik)",-4.85 ,"-54,15 %"
'3614227293946,38.5,B083TXRB6L,"#12.055, (Kosmetik)",-17.56 ,"-65,06 %"
'3614227293960,65.45,B083TXY188,"#12.055, (Kosmetik)",-58.69 ,"-5.868,86 %"
'8434102000514,87.95,B08KLMRYNH,-,-27.26 ,"-36,11 %"
'3614273650397,60.3,B0B3V6FSPL,-,-54.57 ,"-5.456,57 %"
'3614273650403,93.45,B09RB6JCJN,"#392.622, (Kosmetik)",-82.82 ,"-8.282,48 %"
'3414200064064,31.29,B001BSH4WW,"#1.220, (Kosmetik)",-9.11 ,"-29,40 %"
'887167095915,49.67,B0012RXR9G,"#57.791, (Kosmetik)",-45.04 ,"-4.503,99 %"
'3360373000074,23.92,B01F2LBKUK,"#3.506, (Kosmetik)",-5.31 ,"-19,66 %"
'3360377002968,65.79,B00021CX3O,"#76.602, (Kosmetik)",-4.36 ,"-5,46 %"
'3360377002951,80.49,B000C1ZCAK,"#24.453, (Kosmetik)",-31.51 ,"-54,43 %"
'763511099993,45.49,B001B1U8G8,"#13.165, (Kosmetik)",-14.48 ,"-36,25 %"
'763511100019,48.5,B013PRRXJU,"#6.211, (Kosmetik)",-1.81 ,"-2,93 %"
'085715950260,50.61,B000C1Z4QW,"#13.165, (Kosmetik)",-12.43 ,"-25,28 %"
'3614272890626,103.95,B085DJLMM4,"#38.995, (Kosmetik)",-25.51 ,"-26,58 %"
'022548006719,60.1,B01F2LBEH4,"#6.874, (Kosmetik)",-32.57 ,"-103,26 %"
'3274872289994,85.0,B01F2LBT06,"#45.930, (Computer & Zubehör)",-35.28 ,"-60,31 %"
'3360373007905,39.95,B000C1ZAKC,"#9.129, (Kosmetik)",-20.19 ,"-79,22 %"
'088300108978,12.45,B0756ZSX3M,-,-3.36 ,"-14,65 %"
'3414202901008,9.65,B000Q0ZAX6,"#21.907, (Kosmetik)",-11.70 ,"-1.169,61 %"
'022548055373,18.9,B000C1ZEYY,"#12.709, (Kosmetik)",-3.57 ,"-14,89 %"
'022548024317,25.94,B0011ZCH6S,"#17.898, (Kosmetik)",-4.62 ,"-15,17 %"
'022548024324,55.49,B000273HTW,"#12.709, (Kosmetik)",-50.31 ,"-5.031,41 %"
'8431754006055,23.5,B07PDYZ4S7,"#118.843, (Kosmetik)",-4.18 ,"-14,45 %"
'8431754006048,39.95,B07NPQMY15,"#25.239, (Kosmetik)",-12.65 ,"-34,44 %"
'8431754006031,41.9,B07NPQ2MSZ,"#25.841, (Kosmetik)",-11.04 ,"-26,30 %"
'3614273905367,36.35,B0BSJ5MN6S,"#52.973, (Kosmetik)",-3.33 ,"-7,41 %"
'737052191218,7.71,B000NZOCA6,"#5.348, (Kosmetik)",-4.45 ,"-54,96 %"
'3605520381034,57.8,B0020MMC6G,"#125.907, (Kosmetik)",-10.82 ,"-17,79 %"
'3605520381096,84.47,B0020MMC6Q,"#25.524, (Kosmetik)",-32.26 ,"-51,87 %"
'3614221537848,23.45,B01LCSH68C,"#4.072, (Kosmetik)",-11.75 ,"-68,70 %"
'8435415012843,33.55,B00024ZDWO,"#7.487, (Kosmetik)",-12.90 ,"-45,65 %"
'3386460129893,33.8,B0B18W8269,"#29.176, (Kosmetik)",-9.50 ,"-28,10 %"
'3386460129886,54.12,B0B18XXH58,"#71.529, (Kosmetik)",-20.96 ,"-49,98 %"
'3386460129879,58.15,B0B18XFSKN,"#37.975, (Kosmetik)",-4.44 ,"-6,22 %"
'737052893877,46.99,B00SRFMGXE,"#6.080, (Kosmetik)",-16.35 ,"-41,81 %"
'3616300896105,41.5,B093B1LGB7,"#17.916, (Kosmetik)",-8.63 ,"-19,80 %"
'3616300896037,61.95,B0939XGDP1,"#17.916, (Kosmetik)",-9.35 ,"-13,75 %"
'8011003864232,30.15,B08WMZPXDW,"#161.071, (Kosmetik)",0.15 ,"0,34 %"
'8011003864287,41.0,B08WMX9THY,"#23.334, (Kosmetik)",-8.90 ,"-19,78 %"
'8011003864294,53.06,B08WMVSCL4,"#23.334, (Kosmetik)",-15.37 ,"-31,19 %"
'8435415007542,21.11,B0748HCPR2,"#19.191, (Kosmetik)",-7.05 ,"-32,42 %"
'3351500020362,33.95,B000C1Z1KQ,"#3.196, (Kosmetik)",-4.25 ,"-10,63 %"
'3351500020386,40.95,9790781261,"#3.196, (Kosmetik)",-8.56 ,"-19,92 %"
