EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'4052968303668,499.99,B0BHSQVMKS,-,117.66 ,"14,62 %"
'710845851148,422.99,B087Z82YRX,-,29.28 ,"5,07 %"
',15.99,B0C482Y1X3,"#1.442, (Musik-CDs & Vinyl)",15.63 ,"31,27 %"
',11.99,B0C8PG8Y5X,-,19.67 ,"37,13 %"
'710845861567,238.99,B08NPRFQYN,-,34.36 ,"9,77 %"
',5.99,B0C8PG8Y5X,-,24.72 ,"46,66 %"
'4550170240950,577.99,B0BQ65PQMB,-,36.17 ,"4,74 %"
'4044494117284,459.99,B0068IJDZG,"#728.887, (Sport & Freizeit)",14.80 ,"2,50 %"
'4711946193423,81.99,B00EIE3H5O,-,37.66 ,"23,20 %"
'710845861512,228.99,B08NPV24XH,-,37.06 ,"11,70 %"
',15.99,B0C482Y1X3,"#1.442, (Musik-CDs & Vinyl)",15.63 ,"31,27 %"
'710845861383,82.99,B08NPV65FM,"#895.005, (Sport & Freizeit)",15.22 ,"11,67 %"
'4712878749108,1599.99,B0BD8D94LS,-,252.20 ,"11,20 %"
'601479508952,168.99,B07H8ZJFVW,-,10.42 ,"4,63 %"
'601479849529,44.99,B07H8ZMFXS,-,11.07 ,"14,76 %"
'601842203750,64.99,B084ZPND5R,-,14.98 ,"14,27 %"
'8021890569998,15.99,B09TBHCCMX,-,18.67 ,"35,93 %"
'5055356350090,52.99,B099BSBK3Q,-,16.56 ,"16,54 %"
'4260477069436,75.99,B08MFQ8ZY9,"#944.628, (Sport & Freizeit)",23.22 ,"16,88 %"
'710845850738,179.99,B0891XYTSC,"#742.273, (Sport & Freizeit)",34.26 ,"12,97 %"
'710845850721,179.99,B08921C2KT,-,29.14 ,"10,59 %"
'710845850554,108.99,B0892H76L6,-,19.53 ,"11,34 %"
'710845850547,109.99,B0891QCJSM,-,19.31 ,"11,86 %"
'883511002554,99.99,B07KYX8SBR,-,21.55 ,"13,39 %"
'5055356350199,258.99,B099C2CJKN,-,30.26 ,"8,12 %"
