EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'8806094522686,109.95,B0B8J28VMV,"#1.334.602, (Elektronik & Foto)",42.04 ,"23,36 %"
'5057964001197,19.95,B07RNSTXDL,"#148.894, (Elektronik & Foto)",20.01 ,"33,92 %"
'4895007939295,199.95,B088X7PJCK,"#1.312.476, (Küche, Haushalt & Wohnen)",13.31 ,"4,82 %"
'7090019823564,179.0,B09F6XG3RX,"#298.083, (Bürobedarf & Schreibwaren)",39.77 ,"13,66 %"
'0606449149487,169.0,B089NN898W,"#40.237, (Computer & Zubehör)",11.01 ,"5,24 %"
'0194252749364,19.95,B099BJBCJ3,"#2.262, (Fashion)",12.24 ,"26,34 %"
'0840056146822,2.49,B09D1ZLHF1,"#893.257, (Elektronik & Foto)",19.52 ,"54,23 %"
'0840056146693,2.49,B09D2F7SRX,"#258.933, (Elektronik & Foto)",11.24 ,"46,83 %"
'0840056146662,2.49,B09D2BVC4C,"#224.462, (Elektronik & Foto)",11.93 ,"47,72 %"
'0840056154131,2.49,B0BYHC8ZMW,-,12.33 ,"48,20 %"
'0840056153585,2.49,B09X6QN47G,"#504.379, (Elektronik & Foto)",14.05 ,"48,77 %"
'0840056146594,2.49,B09D1V6RK4,"#648.054, (Elektronik & Foto)",15.68 ,"51,52 %"
