EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'4050772163676,24.99,B07J3N7NQ7,-,17.85 ,"29,75 %"
'4052406292677,61.99,B089NFR17B,-,15.92 ,"14,47 %"
'4052406292875,35.99,B089NKY9NH,-,10.70 ,"15,29 %"
'5055939914879,38.99,B01MS8J3D5,-,25.68 ,"29,10 %"
'0608065636334,397.99,B07PP7QV84,"#791.021, (Sport & Freizeit)",157.67 ,"21,78 %"
'0036702845953,209.99,B07XVZ1CHG,-,30.60 ,"9,92 %"
'0193395943899,78.99,B09PL5MDR2,"#244.538, (Fashion)",39.79 ,"24,48 %"
'8054216563561,70.99,B09Z2YWKLQ,-,10.79 ,"9,90 %"
'3468336873144,35.99,B0BMGY6H3W,"#180.544, (Fashion)",18.26 ,"25,01 %"
'3468336741474,28.99,B09RSXMBLN,"#215.884, (Fashion)",67.31 ,"48,69 %"
'3468335419664,33.99,B079MCY9CS,"#98.622, (Fashion)",11.26 ,"17,68 %"
'5054167710239,151.99,B0BWKBMVPB,-,10.37 ,"4,99 %"
'4550456345355,38.99,B0BST84T3F,-,16.28 ,"21,70 %"
'5054167674081,71.99,B0BDKK2GK7,-,16.50 ,"15,00 %"
'4250450712329,86.99,B016DEIOUO,"#20.588, (Sport & Freizeit)",14.93 ,"10,78 %"
'0194626485546,86.99,B0BVGMVY72,-,15.05 ,"11,67 %"
'0194626396200,67.99,B08WL43743,"#2.934.853, (Fashion)",14.62 ,"12,72 %"
'0190445009758,180.99,B01M4GK4RC,"#2.066.079, (Fashion)",17.09 ,"6,68 %"
'0631364570184,72.99,B09X78GJ6B,"#2.222.761, (Fashion)",13.40 ,"11,98 %"
'0190445016466,99.99,B084C3GNTP,-,15.15 ,"10,58 %"
'4054571237736,65.99,B09BQW2M7B,-,23.77 ,"22,01 %"
'6009699039760,106.99,B072F4QKY9,-,42.46 ,"20,92 %"
'0012527009770,331.99,B00HGU3T64,-,14.45 ,"3,47 %"
'4062218476479,83.99,B0BHTF2KV7,"#178.462, (Sport & Freizeit)",12.35 ,"10,32 %"
'0886798022123,74.99,B07VVRT2DW,-,42.72 ,"25,92 %"
'0610934312805,42.99,B07P8RTVDD,"#218.236, (Computer & Zubehör)",12.13 ,"15,03 %"
'0763477001160,447.99,B07J5DB5M5,"#887.232, (Baumarkt)",26.01 ,"4,34 %"
'8716683131314,24.99,B09Y99ZBZX,-,14.18 ,"25,14 %"
'3611720121967,44.99,B079GVQH27,"#542.574, (Sport & Freizeit)",15.39 ,"19,77 %"
'4003318642173,63.99,B0BYZ1GNWP,-,16.75 ,"15,15 %"
'0194626419480,81.99,B09VCSTDQD,-,28.88 ,"18,86 %"
'0194626421438,108.99,B09VCRKT7B,-,34.40 ,"17,37 %"
'0194626419503,86.99,B09VCT3K38,-,19.64 ,"12,82 %"
'0610934326673,108.99,B084D83BDV,-,26.46 ,"14,81 %"
'9008415714575,98.99,B01LQ29TM0,-,27.03 ,"15,02 %"
'0886798022147,43.99,B07WKNSZS9,"#422.002, (Sport & Freizeit)",36.97 ,"31,24 %"
'4710582543340,109.99,B08DZJKMNR,"#567.253, (Sport & Freizeit)",22.22 ,"13,56 %"
'4054571186928,34.99,B08NWB6QN8,"#330.797, (Sport & Freizeit)",18.64 ,"27,83 %"
'4052285591410,68.99,B076KRZ8QX,"#110.788, (Sport & Freizeit)",33.22 ,"25,55 %"
'4895161701585,21.99,B0107EEXME,-,11.00 ,"23,11 %"
'0610934326697,108.99,B084CX3KDD,-,41.56 ,"20,99 %"
'0194626426211,108.99,B09VCSJ1J6,-,34.46 ,"17,40 %"
'0610934326659,106.99,B084D5V7FD,-,11.33 ,"7,40 %"
'0817195011410,26.99,B018804752,-,13.47 ,"26,00 %"
'4063846045686,365.99,B09RN581LV,"#71.478, (Baby)",67.17 ,"11,83 %"
'0194626485560,86.99,B0BVGJSMLY,-,16.76 ,"13,15 %"
'0190445016428,81.99,B08254F5ND,"#538.477, (Sport & Freizeit)",12.40 ,"10,32 %"
'0843820159790,64.99,B0BKQG3ZM9,"#124.211, (Sport & Freizeit)",15.41 ,"15,41 %"
'0631364564725,124.99,B087F922R9,"#196.916, (Haustier)",43.03 ,"18,81 %"
'0194626391106,105.99,B08WL3MZC7,"#671.359, (Sport & Freizeit)",10.32 ,"7,17 %"
'0631364552777,72.99,B078JRC8N9,"#587.694, (Fashion)",18.70 ,"14,74 %"
'7350069253392,103.99,B0933HLTNS,"#104.824, (Sport & Freizeit)",32.94 ,"19,51 %"
'5034948130180,47.99,B0854NKLYX,-,26.16 ,"26,78 %"
'5056305733445,142.99,B0BNLG5WXJ,-,27.53 ,"13,30 %"
'7310710255007,93.99,B09BQRH5KN,"#342.242, (Fashion)",32.46 ,"19,10 %"
'5056411818838,79.99,B0BKPVF1V1,-,16.83 ,"14,03 %"
'3468336703823,37.99,B09XMK5SMX,-,18.76 ,"23,18 %"
'0194151041743,449.99,B0C2GF1RCH,-,34.47 ,"5,64 %"
