Product Title,Price,EAN,URL
"MSI Optix G27C4XDE, Gaming-Monitor",199.00,'4711377059480,https://www.alternate.de/MSI/Optix-G27C4XDE-Gaming-Monitor/html/product/1905463
"MSI Optix G32C4XDE, Gaming-Monitor",249.00,'4711377059497,https://www.alternate.de/MSI/Optix-G32C4XDE-Gaming-Monitor/html/product/1911183
"Affenzahn Kleines Rucksäckchen Maja Marienkäfer, Rucksack",29.99,'4057081018222,https://www.alternate.de/Affenzahn/Kleines-Rucksäckchen-Maja-Marienkäfer-Rucksack/html/product/1409424
"Bosch Kombinationssäge GTM 12 JL + Arbeitstisch GTA 2600, Kapp-und Gehrungssäge",549.00,'3165140723664,https://www.alternate.de/Bosch-Professional/Kombinationssäge-GTM-12-JL-plus-Arbeitstisch-GTA-2600-Kapp-und-Gehrungssäge/html/product/1498060
"LEGO 43202 Disney Princess Das Haus der Madrigals, Konstruktionsspielzeug",29.99,'5702017100081,https://www.alternate.de/LEGO/43202-Disney-Princess-Das-Haus-der-Madrigals-Konstruktionsspielzeug/html/product/1737239
"MSI Modern MD241PWDE, LED-Monitor",149.00,'4719072795726,https://www.alternate.de/MSI/Modern-MD241PWDE-LED-Monitor/html/product/1746171
"Bosch 5-teiliges 18Volt-Werkzeug-Set, GSB + GWS + GBH + GSA + GLI, ProCORE",899.00,'4059952588766,https://www.alternate.de/Bosch-Professional/5-teiliges-18Volt-Werkzeug-Set-GSB-plus-GWS-plus-GBH-plus-GSA-plus-GLI-ProCORE/html/product/1824193
"LEGO 41720 Friends Wassererlebnispark, Konstruktionsspielzeug",34.99,'5702017154954,https://www.alternate.de/LEGO/41720-Friends-Wassererlebnispark-Konstruktionsspielzeug/html/product/1827528
"LEGO 71775 Ninjago Nyas Samurai-X-Mech, Konstruktionsspielzeug",74.90,'5702017152073,https://www.alternate.de/LEGO/71775-Ninjago-Nyas-Samurai-X-Mech-Konstruktionsspielzeug/html/product/1827720
"Affenzahn Großer Freund Marienkäfer, Rucksack",38.99,'4057081136841,https://www.alternate.de/Affenzahn/Grosser-Freund-Marienkäfer-Rucksack/html/product/1837725
"Affenzahn Kleiner Freund Mini A Ture Affenzahn, Rucksack",29.99,'4057081153497,https://www.alternate.de/Affenzahn/Kleiner-Freund-Mini-A-Ture-Affenzahn-Rucksack/html/product/1871073
"Affenzahn Kleiner Freund Mini A Ture Koala, Rucksack",29.99,'4057081153510,https://www.alternate.de/Affenzahn/Kleiner-Freund-Mini-A-Ture-Koala-Rucksack/html/product/1871078
"Affenzahn Großer Freund Mini A Ture Affenzahn, Rucksack",38.99,'4057081153459,https://www.alternate.de/Affenzahn/Grosser-Freund-Mini-A-Ture-Affenzahn-Rucksack/html/product/1871080
