Product Title,Price,EAN,URL
Duchesse Tampons Mini Comfort,2.65,'2200268769246,https://www.mueller.de/p/duchesse-tampons-mini-comfort-2687692/
Alpecin Coffein-Shampoo C1 250ml,5.99,'4008666211217,https://www.mueller.de/p/alpecin-coffein-shampoo-c1-250ml-568613/
DOLCE&GABBANA Light Blue Eau de Toilette,56.00,'0737052074306,https://www.mueller.de/p/dolce-gabbana-light-blue-eau-de-toilette-6173542920/?itemId=298229
Braun Epilierer SILK-EPIL 3 Legs 3170 1STK,49.99,'4210201651192,https://www.mueller.de/p/braun-epilierer-silk-epil-3-legs-3170-1stk-251032/
SoftStar Toilettenpapier Das Bewusste Recycling 3 Lagen,3.68,'2200278647602,https://www.mueller.de/p/softstar-toilettenpapier-das-bewusste-recycling-3-lagen-7118961691/?itemId=2786476
Lenor Weichspüler Konzentrat Aprilfrisch Flasche - 950ML - 38WL,2.35,'8006540483893,https://www.mueller.de/p/lenor-weichspueler-konzentrat-aprilfrisch-flasche-950ml-38wl-2787762/
Persil Universal Pulver tiefenrein Vollwaschmittel,27.99,'4015200031835,https://www.mueller.de/p/persil-universal-pulver-tiefenrein-vollwaschmittel-IPN2908400/?itemId=2908400
Mionetto Prosecco D.O.C. Treviso Brut Prestige (Spumante),9.49,'8006220001669,https://www.mueller.de/p/mionetto-prosecco-d-o-c-treviso-brut-prestige-spumante-2598966/
Oral-B PRO PRECISION CLEAN Aufsteckbürsten 5 Stück AM,16.95,'8700216249072,https://www.mueller.de/p/oral-b-pro-precision-clean-aufsteckbuersten-5-stueck-am-IPN2902954/?itemId=2902954
SoftStar Das Zärtliche Toilettenpapier 10x180 Blatt 4-lagig,5.09,'2200269307560,https://www.mueller.de/p/softstar-das-zaertliche-toilettenpapier-10x180-blatt-4-lagig-2693075/
Pampers Baby Dry Pants Gr.5 12-17kg,18.95,'8006540798270,https://www.mueller.de/p/pampers-baby-dry-pants-gr-5-12-17kg-IPN2887014/?itemId=2887014
Lenor Weichspüler Konzentrat Goldene Orchidee Flasche - 800ML - 32WL,2.35,'8006540484401,https://www.mueller.de/p/lenor-weichspueler-konzentrat-goldene-orchidee-flasche-800ml-32wl-2787771/
Alpecin C1 Black Edition Shampoo,6.99,'4008666203663,https://www.mueller.de/p/alpecin-c1-black-edition-shampoo-2613352/
L'Oréal Paris Revitalift Laser X3 Anti Age Tagescreme LSF 20,18.99,'4037900436833,https://www.mueller.de/p/loreal-paris-revitalift-laser-x3-anti-age-tagescreme-lsf-20-2187878/
Sebamed Everyday Shampoo,3.95,'4103040019424,https://www.mueller.de/p/sebamed-everyday-shampoo-2190714/
Blink Farb- und Schmutzfangtücher XL-Pack,2.95,'2200264177076,https://www.mueller.de/p/blink-farb-und-schmutzfangtuecher-xl-pack-2641770/
Oral-B Aufsteckbürsten iO Ultimative Reinigung BLACK 2er,16.95,'4210201319832,https://www.mueller.de/p/oral-b-aufsteckbuersten-io-ultimative-reinigung-black-2er-6808971713/?itemId=2643774
Oral-B Aufsteckbürsten Pro Tiefenreinigung 4 Stück,16.95,'8006540861448,https://www.mueller.de/p/oral-b-aufsteckbuersten-pro-tiefenreinigung-4-stueck-IPN2903089/?itemId=2903089
L'Oréal Revitalift Laser X3 Cica Nachtcreme,18.99,'4037900251115,https://www.mueller.de/p/loreal-revitalift-laser-x3-cica-nachtcreme-115675/
BOOBY TAPE Nude,11.96,'9356788000116,https://www.mueller.de/p/booby-tape-nude-IPN2900503/?itemId=2900503
L'Oréal Paris Revitalift Laser X3 Anti Age Intensivpflege Tagescreme,17.99,'4037900249792,https://www.mueller.de/p/loreal-paris-revitalift-laser-x3-anti-age-intensivpflege-tagescreme-810249/
Lenor Weichspüler Konzentrat Blütentraum & ein Hauch von Moschus Flasche 800ML 32WL,2.35,'8006540484494,https://www.mueller.de/p/lenor-weichspueler-konzentrat-bluetentraum-ein-hauch-von-moschus-flasche-800ml-32wl-2787773/
Oral-B PRO CROSSACTION Aufsteckbürsten 4 Stück AM,16.95,'8700216249119,https://www.mueller.de/p/oral-b-pro-crossaction-aufsteckbuersten-4-stueck-am-IPN2902888/?itemId=2902888
Mr Proper Allzweckreiniger Badspray,2.75,'8001841523699,https://www.mueller.de/p/mr-proper-allzweckreiniger-badspray-2641805/
"LEGO Minecraft 21185 Die Netherbastion Action-Spielzeug, Set mit Figuren",34.99,'5702017156637,https://www.mueller.de/p/lego-minecraft-21185-die-netherbastion-action-spielzeug-set-mit-figuren-2814977/
Lenor Weichspüler Konzentrat Meeresbrise Flasche - 800ML - 32WL,2.35,'8006540484463,https://www.mueller.de/p/lenor-weichspueler-konzentrat-meeresbrise-flasche-800ml-32wl-2787776/
Pampers Feuchttücher Aqua 3x48ST = 144ST,6.25,'8006540458525,https://www.mueller.de/p/pampers-feuchttuecher-aqua-3x48st-144st-2802798/
