Product Title,Price,EAN,URL
"Apacer AS340 480 GB, SSD",18.49,'4712389916259,https://www.alternate.de/Apacer/AS340-480-GB-SSD/html/product/1491074
"Kärcher Mobile Outdoor Cleaner 3 Plus, Niederdruckreiniger",139.9,'4054278561158,https://www.alternate.de/Kärcher/Mobile-Outdoor-Cleaner-3-Plus-Niederdruckreiniger/html/product/1710532
"Bosch Akku-Rasenmäher AdvancedRotak 36-660, 36Volt",429.0,'4059952526867,https://www.alternate.de/Bosch-Heimwerken-Garten/Akku-Rasenmäher-AdvancedRotak-36-660-36Volt/html/product/1624106
"Sharkoon SKILLER SGS2 Jr., Gaming-Stuhl",89.9,'4044951032341,https://www.alternate.de/Sharkoon/SKILLER-SGS2-Jr-Gaming-Stuhl/html/product/1708265
"LaCie 1big Dock Pro 4 TB, Externe SSD",1999.0,'3660619406838,https://www.alternate.de/LaCie/1big-Dock-Pro-4-TB-Externe-SSD/html/product/1667724
"Alpenföhn Brocken ECO Advanced, CPU-Kühler",27.99,'4250280355772,https://www.alternate.de/Alpenföhn/Brocken-ECO-Advanced-CPU-Kühler/html/product/1473032
"AOC U28G2AE/BK, Gaming-Monitor",264.0,'4038986188661,https://www.alternate.de/AOC/U28G2AE-BK-Gaming-Monitor/html/product/1686630
"Xiaomi Redmi 10 5G 64GB, Handy",129.9,'6934177778919,https://www.alternate.de/Xiaomi/Redmi-10-5G-64GB-Handy/html/product/1881064
"Therm-a-Rest NeoAir Venture Regular 13270, Camping-Matte",79.9,'0040818132708,https://www.alternate.de/Therm-a-Rest/NeoAir-Venture-Regular-13270-Camping-Matte/html/product/1716252
"Sharkoon SKILLER SGS2, Gaming-Stuhl",129.9,'4044951020195,https://www.alternate.de/Sharkoon/SKILLER-SGS2-Gaming-Stuhl/html/product/1327429
SAMSUNG SSD 980 500 GB,27.99,'8806090572227,https://www.alternate.de/SAMSUNG/SSD-980-500-GB/html/product/1719951
"Bosch Akku-Rasenmäher UniversalRotak 36-560, 36Volt",329.0,'4059952526782,https://www.alternate.de/Bosch-Heimwerken-Garten/Akku-Rasenmäher-UniversalRotak-36-560-36Volt/html/product/1624102
"Razer Basilisk X HyperSpeed, Gaming-Maus",29.99,'8886419332824,https://www.alternate.de/Razer/Basilisk-X-HyperSpeed-Gaming-Maus/html/product/1596240
"Seagate IronWolf NAS 4 TB CMR, Festplatte",79.9,'7636490078309,https://www.alternate.de/Seagate/IronWolf-NAS-4-TB-CMR-Festplatte/html/product/1820076
"Sharkoon Compact VGCK, Riser Card",19.99,'4044951035137,https://www.alternate.de/Shark/Compact-VGCK-Riser-Card/html/product/1773093
"SAMSUNG Neo QLED GQ-50QN92B, QLED-Fernseher",699.0,'8806094263114,https://www.alternate.de/SAMSUNG/Neo-QLED-GQ-50QN92B-QLED-Fernseher/html/product/1832259
"Vileda JetClean mydays, Hartbodenreiniger",159.0,'4023103239920,https://www.alternate.de/Vileda/JetClean-mydays-Hartbodenreiniger/html/product/1887968
"Creality K1, 3D-Drucker",519.0,'6971636407010,https://www.alternate.de/Creality/K1-3D-Drucker/html/product/1912452
"Sharkoon MS-Y1000, Tower-Gehäuse",49.99,'4044951035076,https://www.alternate.de/Sharkoon/MS-Y1000-Tower-Gehäuse/html/product/1771269
Weber Lumin Compact Elektrogrill mit Stand,399.0,'0077924190728,https://www.alternate.de/Weber/Lumin-Compact-Elektrogrill-mit-Stand/html/product/1875514
"Crucial DIMM 32 GB DDR5-5600 (2x 16 GB) Dual-Kit, Arbeitsspeicher",79.9,'0649528937803,https://www.alternate.de/Crucial/DIMM-32-GB-DDR5-5600-(2x-16-GB)-Dual-Kit-Arbeitsspeicher/html/product/1915440
"Vileda Elektrischer Sprüh-Mop Looper mydays, Bodenwischer",82.9,'4023103239937,https://www.alternate.de/Vileda/Elektrischer-Sprüh-Mop-Looper-mydays-Bodenwischer/html/product/1887949
"LEGO 42129 Technic 4x4 Mercedes-Benz Zetros Offroad-Truck, Konstruktionsspielzeug",164.9,'5702017229324,https://www.alternate.de/LEGO/42129-Technic-4x4-Mercedes-Benz-Zetros-Offroad-Truck-Konstruktionsspielzeug/html/product/1737113
"Mushkin DIMM 32 GB DDR4-3600 (2x 16 GB) Dual-Kit, Arbeitsspeicher",54.9,'0846651030511,https://www.alternate.de/Mushkin/DIMM-32-GB-DDR4-3600-(2x-16-GB)-Dual-Kit-Arbeitsspeicher/html/product/1739408
"Sharkoon MS-Z1000, Tower-Gehäuse",49.99,'4044951035090,https://www.alternate.de/Sharkoon/MS-Z1000-Tower-Gehäuse/html/product/1771264
"Sharkoon MS-Z1000, Tower-Gehäuse",54.9,'4044951035106,https://www.alternate.de/Sharkoon/MS-Z1000-Tower-Gehäuse/html/product/1771265
