Product Title,Price,EAN,URL
AlzaPower Ingot 10000mAh Quick Charge + PD3.0 Schwarz,25.90,'APWPBI001b,https://www.alza.de/alzapower-ingot-10000mah-quick-charge-pd30-schwarz-d7346875.htm
AlzaErgo Table ET2 schwarz,323.90,'AEY0807,https://www.alza.de/alzaergo-table-et2-schwarz-d5608246.htm
WowME Roundswitch silber/blau,42.90,'wowmRWsb,https://www.alza.de/wowme-roundswitch-silberblau-d6378081.htm
AlzaPower Holder AMS100 schwarz,11.90,'APWPH0610,https://www.alza.de/alzapower-holder-ams100-schwarz-d5771637.htm
Realme GT 2 Pro 12GB/256GB weiss,599,'6941399070165,https://www.alza.de/realme-gt-2-pro-12gb256gb-weiss-d7017511.htm
WowME Kids 4G Safe+ blau,128.90,'wowmK4Sb,https://www.alza.de/wowme-kids-4g-safe-blau-d6818891.htm
WowME ID217G Sport White,87.90,'wowm217Gw,https://www.alza.de/wowme-id217g-sport-white-d6602737.htm
WowME ID206 mini Black,39.90,'wowm206m3,https://www.alza.de/wowme-id206-mini-black-d6930796.htm
"Swissten Armband Case Größe 6"" schwarz",7.59,'8595217476066,https://www.alza.de/swissten-armband-case-grosse-6-schwarz-d6548720.htm
WowME ID217G Sport Pink,87.90,'wowm217Gp,https://www.alza.de/wowme-id217g-sport-pink-d6602738.htm
Doogee S51 4 GB / 64 GB - orange,171.90,'6924351629069,https://www.alza.de/doogee-s51-4-gb-64-gb-orange-d7671033.htm
AlzaPower Station Hercules 288 Wh,349,'8595691032833,https://www.alza.de/alzapower-station-hercules-288-wh-d7346881.htm
Aligator Watch Grace (M4) - silber,62.92,'8595181198605,https://www.alza.de/aligator-watch-grace-m4-silber-d6990563.htm
Aligator Watch Grace (M4) rosegold,62.92,'8595181198612,https://www.alza.de/aligator-watch-grace-m4-rosegold-d6990562.htm
AlzaPower Fly 26800 mAh Power Delivery (60 Watt) - schwarz,68.90,'8595691035551,https://www.alza.de/alzapower-fly-26800-mah-power-delivery-60-watt-schwarz-d7177730.htm
AlzaPower Bike Holder ACP100 schwarz,12.90,'8595691045635,https://www.alza.de/alzapower-bike-holder-acp100-schwarz-d7197059.htm
AlzaPower WF430 Fan Wireless Car Charger 15W schwarz,48.90,'8595691042719,https://www.alza.de/alzapower-wf430-fan-wireless-car-charger-15-watt-schwarz-d7378643.htm
AlzaPower Station Zeus 3250 Wh,2.499,'8595691032895,https://www.alza.de/alzapower-station-zeus-3250-wh-d7477686.htm
iPhone 14 Plus 512 GB - rot,1.139,'194253376453,https://www.alza.de/iphone-14-plus-512-gb-rot-d7403202.htm
AlzaPower Station Hades 1484 Wh,1.190,'APWPS206,https://www.alza.de/alzapower-station-hades-1484-wh-d7122589.htm
iPhone 14 Plus - 256 GB - gelb,1.019,'194253749233,https://www.alza.de/iphone-14-plus-256-gb-gelb-d7679304.htm
WowME Kids 4G Safe+ schwarz,128.90,'wowmK4Sbk,https://www.alza.de/wowme-kids-4g-safe-schwarz-d6818913.htm
AlzaPower Car Charger P310 USB-C Power Delivery weiß,10,'APWCC502w,https://www.alza.de/alzapower-car-charger-p310-usb-c-power-delivery-weiss-d5633266.htm
AlzaPower Car Charger P520 USB + USB-C Power Delivery Schwarz,9.39,'APWCC502x,https://www.alza.de/alzapower-car-charger-p520-usb-usb-c-power-delivery-schwarz-d5759926.htm
Eternico Elegance Milanese für Apple Watch 38mm / 40mm / 41mm schwarz,16.90,'8595691000009,https://www.alza.de/eternico-elegance-milanese-fur-apple-watch-38mm-40mm-41mm-schwarz-d5863181.htm
AlzaPower Smart Charger 2.1A weiß,8.09,'AEY0151,https://www.alza.de/alzapower-smart-charger-2-1a-white-d5321578.htm
"Spigen Urban Fit Black iPad Pro 11"" 2022/2021/2020/2018",22.99,'SP0100a15,https://www.alza.de/spigen-urban-fit-black-ipad-pro-11-202120202018-d5874578.htm
AlzaPower Q100 Quick Charge 3.0 schwarz,12.90,'AEY0160,https://www.alza.de/alzapower-q100-quick-charge-3-0-black-d5324257.htm
AlzaPower Core Charge 2.0 USB-C 1m schwarz,4.69,'APWCB119j,https://www.alza.de/alzapower-core-charge-20-usb-c-1m-schwarz-d5871664.htm
"Ugreen USB-C 3.1 auf SATA III Adapterkabel für 2,5“ HDD / SSD Schwarz 0.5m",10.90,'ugre58,https://www.alza.de/ugreen-usb-c-31-auf-sata-iii-adapterkabel-fur-25-hdd-ssd-schwarz-05m-d6159311.htm
"AlzaPower FlexCore USB-C to USB-C 3.2 Gen 2, 5A, 100 Watt - schwarz",11.90,'APWCB731k,https://www.alza.de/alzapower-flexcore-usb-c-to-usb-c-32-gen-2-5a-100-watt-schwarz-d5836335.htm
AlzaPower A100 Fast Charge 20 Watt - schwarz,15.90,'AEY0204,https://www.alza.de/alzapower-a100-fast-charge-20-watt-schwarz-d6328639.htm
"Tempered Schutzglas 0,3 mm für Samsung Xcover 4",13.90,'8588006865493,https://www.alza.de/tempered-glass-protector-0-3mm-pro-samsung-xcover-4-d4906690.htm
Yeelight LED Lightstrip Plus Extension,7.49,'6924922200857,https://www.alza.de/yeelight-led-lightstrip-plus-extension-d5644906.htm
AlzaPower LinkCore USB AB 3m weiss,3.79,'APWCB020e,https://www.alza.de/alzapower-linkcore-usb-ab-3m-weiss-d5871659.htm
AlzaPower Thunder 10000mAh Fast Charge + PD3.0 schwarz,30.90,'8594177958445,https://www.alza.de/alzapower-thunder-10000mah-fast-charge-pd30-schwarz-d5683612.htm
Eternico Flexible Mini Tripod T-100 schwarz,15.90,'8595691028188,https://www.alza.de/eternico-flexible-mini-tripod-t-100-schwarz-d6985875.htm
Tempered Glass Protector für Samsung Galaxy S20 FE Schwarz + Kameraschutzglas,14.90,'8588008400838,https://www.alza.de/tempered-glass-protector-fur-samsung-galaxy-s20-fe-schwarz-kameraschutzglas-d6230773.htm
"AlzaPower USB-C (M) auf Micro USB-B 3.0 (M) 0,5 m",6.29,'APWCB700b,https://www.alza.de/alzapower-usb-c-m-auf-micro-usb-b-30-m-05-m-d5646733.htm
"AlzaPower Core USB-C 3.1 Gen1, - 0,5 m - schwarz",7.59,'APWCB115b,https://www.alza.de/alzapower-core-usb-c-31-gen1-05-m-schwarz-d5472808.htm
AlzaPower Metal 20000mAh Fast Charge + PD3.0 Silber,40.90,'APWPB160s,https://www.alza.de/alzapower-metal-20000mah-fast-charge-pd30-silber-d5683595.htm
AlzaPower LinkCore USB A-B - 3 m - schwarz,5.19,'APWCB020d,https://www.alza.de/alzapower-linkcore-usb-a-b-3-m-schwarz-d5509715.htm
"AlzaPower Core USB-C 3.2 Gen1, 1 m weiß",5.89,'APWCB116s,https://www.alza.de/alzapower-core-usb-c-3-2-gen1-1-m-weiss-d5472814.htm
"AlzaPower AluCore USB-C 3.1 Gen1, 2 m Schwarz",5.99,'APWCB108b,https://www.alza.de/alzapower-alucore-usb-c-31-gen1-2-m-schwarz-d5472813.htm
AlzaPower Core Charge 2.0 USB-C 3m Weiß,8.09,'APWCB119s,https://www.alza.de/alzapower-core-charge-2-0-usb-c-3m-weiss-d5871669.htm
Forever Bioio für iPhone 11 schwarz,13.90,'5900495793775,https://www.alza.de/forever-bioio-fur-iphone-11-schwarz-d6092660.htm
AlzaPower FlexCore USB-C 3.2 Gen 1 schwarz,5.79,'APWCB730b,https://www.alza.de/alzapower-flexcore-usb-c-32-gen-1-schwarz-d5663786.htm
AlzaPower Metal 20000mAh Fast Charge + PD3.0 Schwarz,23.90,'APWPB160q,https://www.alza.de/alzapower-metal-20000mah-fast-charge-pd30-schwarz-d5683598.htm
JBL Tune 500 blau,24.90,'6925281939945,https://www.alza.de/jbl-tune500-blau-d5476973.htm
AlzaPower FlexCore USB-C 3.2 Gen 2 to HDMI 4K 60Hz schwarz,19.90,'APWCB735b,https://www.alza.de/alzapower-flexcore-usb-c-32-gen-2-to-hdmi-4k-60hz-schwarz-d5663790.htm
Vention Type-C (USB-C) to HDMI Cable 1.5m Black,10.90,'VENTk24,https://www.alza.de/vention-type-c-usb-c-to-hdmi-cable-1-5m-black-d5827658.htm
Eternico Elegance Milanese für Apple Watch 38mm / 40mm / 41mm roségold,16.90,'8595691000023,https://www.alza.de/eternico-elegance-milanese-fur-apple-watch-38mm-40mm-41mm-rosegold-d5863183.htm
AlzaPower WF220 Wireless Fast Charger weiß,20.90,'APWCC106w,https://www.alza.de/alzapower-wf220-wireless-fast-charger-weiss-d6103144.htm
AlzaPower LinkCore USB A-B 2m schwarz,3.79,'APWCB020b,https://www.alza.de/alzapower-linkcore-usb-a-b-2m-schwarz-d5509713.htm
SP Connect Adhesive Mount Pro,22.66,'OGCPc22,https://www.alza.de/sp-connect-adhesive-mount-pro-d5357906.htm
AlzaPower WF220 Wireless Fast Charger schwarz,16.90,'APWCC106b,https://www.alza.de/alzapower-wf220-wireless-fast-charger-schwarz-d6103154.htm
WowME Kids Fun Blue,31.90,'wowmKFbe,https://www.alza.de/wowme-kids-fun-blue-d6930806.htm
WowME ID205L-P Green,42.90,'wowm205LPgr,https://www.alza.de/wowme-id205l-p-green-d6602721.htm
WowME Kids Play Blue/White,32.90,'wowmde19l2,https://www.alza.de/wowme-kids-play-bluewhite-d6976811.htm
WowME Watch TSc pink,43.90,'wowmWTSCp,https://www.alza.de/wowme-watch-tsc-pink-d6924021.htm
Realme C33 4 GB / 64 GB - schwarz,124.90,'6941764400771,https://www.alza.de/realme-c33-4-gb-64-gb-schwarz-d7470562.htm
WowME Watch GT01 Black/Blue,35.90,'wowmGT01bl,https://www.alza.de/wowme-watch-gt01-blackblue-d6602740.htm
WowME Watch GT01 Silver/Light Green,35.90,'wowmGT01lg,https://www.alza.de/wowme-watch-gt01-silverlight-green-d6602742.htm
WowME Watch GT01 Black,35.90,'wowmGT01b,https://www.alza.de/wowme-watch-gt01-black-d6602739.htm
WowME ID206 Black/Green,74.90,'wowm2063,https://www.alza.de/wowme-id206-blackgreen-d6602726.htm
WowME Lotus White/Gold,69.90,'wowmLOT2,https://www.alza.de/wowme-lotus-whitegold-d6930800.htm
WowME ID206 Black/Blue,75.90,'wowm2069,https://www.alza.de/wowme-id206-blackblue-d6602732.htm
WowME ID217G Sport Silber/Blue,99.90,'wowm217Gbl,https://www.alza.de/wowme-id217g-sport-silberblue-d6602734.htm
WowME Watch GT01 Pink,35.90,'wowmGT01p,https://www.alza.de/wowme-watch-gt01-pink-d6602743.htm
WowME ID206 Grey,59.90,'wowm2068,https://www.alza.de/wowme-id206-grey-d6602731.htm
WowME ID217G Sport Dilver/Grey,87.90,'wowm217Gg,https://www.alza.de/wowme-id217g-sport-dilvergrey-d6602735.htm
WowME ID217G Sport Black/Green,99.90,'wowm217Ggr,https://www.alza.de/wowme-id217g-sport-blackgreen-d6602736.htm
Choetech PD 45 Watt 20000 mAh Power Bank,32.90,'6932112102935,https://www.alza.de/choetech-pd-45-watt-20000-mah-power-bank-d7376777.htm
WowME Kids 4G Safe+ pink,68.90,'wowmK4Sp,https://www.alza.de/wowme-kids-4g-safe-pink-d6818893.htm
AlzaPower Bike Holder FCP100 schwarz,9.39,'APWPH0500,https://www.alza.de/alzapower-bike-holder-fcp100-schwarz-d7197057.htm
WowME Watch TS silber mit Mesharmband,39,'wowmWTSsm,https://www.alza.de/wowme-watch-ts-silber-mit-mesharmband-d6532388.htm
WowME Watch GT01 Pink/Rot,35.90,'wowmGT01r,https://www.alza.de/wowme-watch-gt01-pinkrot-d6602744.htm
Asus Zenfone 8 8 GB / 128 GB Silber,586.90,'4711081137641,https://www.alza.de/asus-zenfone-8-8-gb-128-gb-silber-d6473078.htm
WowME KW66 silber/weiß,25.90,'wowmKW66sgy,https://www.alza.de/wowme-kw66-silber-weiss-d6769231.htm
WowME ID206 Black,51.90,'wowm2061,https://www.alza.de/wowme-id206-black-d6602723.htm
WowME Lotus Black,45.90,'wowmLOT3,https://www.alza.de/wowme-lotus-black-d6930801.htm
WowME ID205L-P Black,42.90,'wowm205LPb,https://www.alza.de/wowme-id205l-p-black-d6602724.htm
WowME ID206 Blue,61.90,'wowm2062,https://www.alza.de/wowme-id206-blue-d6602725.htm
WowME ID205L-P Grey,59.90,'wowm205LPg,https://www.alza.de/wowme-id205l-p-grey-d6602720.htm
WowME ID206 mini Pink/Light Green,31.90,'wowm206m4,https://www.alza.de/wowme-id206-mini-pinklight-green-d6930798.htm
Creality Halot One CL-60,198.90,'CRHO01,https://www.alza.de/creality-halot-one-cl-60-d6551967.htm
WowME Kids 4G - schwarz,79.90,'wowmK4bk,https://www.alza.de/wowme-kids-4g-schwarz-d6532376.htm
Canon MAXIFY GX7040,526.90,'4549292173635,https://www.alza.de/canon-maxify-gx7040-d6392988.htm
Epson EcoTank L3266,227.90,'8715946689753,https://www.alza.de/epson-ecotank-l3266-d6693528.htm
Brother BT-5000M Tintenpatrone - Magenta,7.29,'4977766748773,https://www.alza.de/brother-bt-5000m-tintenpatrone-magenta-d2914995.htm
AlzaErgo Table ET1 NewGen schwarz,444.90,'AEY0806d,https://www.alza.de/alzaergo-table-et1-newgen-schwarz-d5647309.htm
Brother BT-5000Y Tintenpatrone - Gelb,7.39,'PB605e2,https://www.alza.de/brother-bt-5000y-tintenpatrone-gelb-d2914996.htm
AlzaErgo Table ETJ100 grau,121.90,'AEY0809d,https://www.alza.de/alzaergo-table-etj100-grau-d6102961.htm
Canon i-SENSYS LBP673Cdw,234.90,'4549292193299,https://www.alza.de/canon-i-sensys-lbp673cdw-d7347462.htm
Epson EcoTank L4266,275.90,'8715946689746,https://www.alza.de/epson-ecotank-l4266-d6693529.htm
Creality CR-6 Max,508.90,'CRE6MAX,https://www.alza.de/creality-cr-6-max-d6381935.htm
HP DeskJet 2720e,48.90,'PA006d92b1,https://www.alza.de/hp-deskjet-2720e-d6414616.htm
Canon PIXMA TS3352 rot,44.90,'PC299r5,https://www.alza.de/canon-pixma-ts3352-rot-d5670065.htm
Epson Perfection V19,85.90,'QE001b4,https://www.alza.de/epson-perfection-v19-d2430224.htm
Epson WorkForce WF-2870DWF,96.90,'8715946698380,https://www.alza.de/epson-workforce-wf-2870dwf-d6800323.htm
Epson Workforce WF-100W,251.90,'8715946603681,https://www.alza.de/epson-workforce-wf-100w-d4248648.htm
Epson Expression Home XP-2150,56.90,'8715946698595,https://www.alza.de/epson-expression-home-xp-2150-d7051604.htm
Epson Expression Home XP-3150,74.90,'8715946698182,https://www.alza.de/epson-expression-home-xp-3150-d6883879.htm
WowME ID205L-P Pink,58.90,'wowm205LPp,https://www.alza.de/wowme-id205l-p-pink-d6602722.htm
WowME ID217G Sport Black,51.90,'wowm217Gb,https://www.alza.de/wowme-id217g-sport-black-d6602733.htm
Oukitel WP20 - schwarz,124.90,'6931940710633,https://www.alza.de/oukitel-wp20-schwarz-d7547546.htm
WowME Watch TSc black,57.90,'wowmWTSCb,https://www.alza.de/wowme-watch-tsc-black-d6924022.htm
WowME Kids 4G - blau,119.90,'wowmK4b,https://www.alza.de/wowme-kids-4g-blau-d6532375.htm
Eternico Selfie Tripod S300BT,19.90,'AETSS30,https://www.alza.de/eternico-selfie-tripod-s300bt-d6334347.htm
"OMEN by HP Citadel, schwarz/rot",309.90,'WP555d6,https://www.alza.de/omen-by-hp-citadel-schwarzrot-d5752366.htm
WowME KW66 schwarz,25.90,'wowmKW66bk,https://www.alza.de/wowme-kw66-schwarz-d6769228.htm
WowME Kids 4G - pink,81.90,'wowmK4p,https://www.alza.de/wowme-kids-4g-pink-d6532377.htm
WowME KW66 rosa,25.90,'wowmKW66pk,https://www.alza.de/wowme-kw66-rosa-d6769229.htm
WowME Vita Silver,49.90,'wowmVSTs,https://www.alza.de/wowme-vita-silver-d6555847.htm
Xiaomi Redmi Note 12 4  GB / 64 GB Onyx Grey,169.90,'6941812717042,https://www.alza.de/xiaomi-redmi-note-12-4-gb-64-gb-onyx-grey-d7683412.htm
Xiaomi Smart Band 7 Pro weiß,71.90,'6934177785672,https://www.alza.de/xiaomi-mi-smart-band-7-pro-weiss-d7443758.htm
Sonoff T1EU2C-TX Series,23.90,'6920075725315,https://www.alza.de/sonoff-t1eu2c-tx-series-d5711529.htm
WowME Roundsport - orange,30.90,'wowmRSo,https://www.alza.de/wowme-roundsport-orange-d6343570.htm
