Product Title,Price,EAN,URL
ShimanoSIS-SP50 Endkappe Schaltzugaußenhülle 6mm,1.99,'4524667194750,https://www.fahrrad.de/shimano-sis-sp50-endkappe-schaltzugaussenhuelle-6mm-M469031.html
BLACK BEARINGB3 ABEC 3 699-2RS Kugellager 9x20x6mm,2.99,'3760290191358,https://www.fahrrad.de/black-bearing-b3-abec-3-699-2rs-kugellager-9x20x6mm-M1157750.html
BOSStandard Dämpfer-Spacer 49x8mm,12.99,'3701053005901,https://www.fahrrad.de/bos-standard-daempfer-spacer-49x8mm-M1198711.html
JagwirePro Semi-Metallic Scheibenbremsbeläge für Avid Trail/SRAM Guide Ultimate/RSC/RS gold,12.99,'4715910037294,https://www.fahrrad.de/jagwire-pro-semi-metallic-bremsbelaege-fuer-avid-trail-sram-guide-ultimate-rsc-rs-1-paar-M719549.html?vgid=G976901
JagwireSport Semi-Metallic Scheibenbremsbeläge Tektro Volans/Auriga/Twin/Auriga SUB/Auriga E-SUB rot,7.99,'4715910035689,https://www.fahrrad.de/jagwire-sport-semi-metallic-scheibenbremsbelaege-tektro-volans-auriga-twin-auriga-sub-auriga-e-sub-M938352.html?vgid=G1353147
Peaty'sHoleshot Puncture Plugger Kit für Tubeless Reifen grün,21.99,'5060541583955,https://www.fahrrad.de/peatys-holeshot-puncture-plugger-kit-fuer-tubeless-reifen-M1243318.html?vgid=G1823371
BBB CyclingBTI-98 Felgenband 2m weiß,4.99,'8716683052022,https://www.fahrrad.de/bbb-bti-98-felgenband-200x16-mm-M319636.html?vgid=G357631
Joe's No-FlatsSuper Dichtmittel 125ml,6.99,'7290101180036,https://www.fahrrad.de/joes-no-flats-super-dichtmittel-125ml-M832892.html
Joe's No-FlatsPresta Tubeless Ventile 32mm 2 Stück,9.99,'7290101180142,https://www.fahrrad.de/joes-no-flats-presta-tubeless-ventile-32mm-2-stueck-M1107845.html
ReverseUS Pedal Pin Kit für Escape Pro/Black One Alu blau,4.99,'4717480166916,https://www.fahrrad.de/reverse-pedal-pin-set-us-size-fuer-escape-pro-black-one-10-stueck-M131760.html?vgid=G1105955
Enduro BearingsABEC 3 MR-15268-2RS-LLB Kugellager 15x26x8mm,6.99,'8101910132286,https://www.fahrrad.de/enduro-bearings-abec-3-mr-15268-2rs-llb-kugellager-15x26x8mm-M1099268.html
ReverseSingle Speed Kit blau,23.99,'4717480157181,https://www.fahrrad.de/reverse-single-speed-kit-M121721.html?vgid=G358900
HutchinsonVentilverlängerung 20mm 2 Stück,6.99,'3248382079895,https://www.fahrrad.de/hutchinson-ventilverlaengerung-20mm-2-stueck-M1166768.html
SRAMSlickWire Schaltzug 2300mm,9.99,'0710845855276,https://www.fahrrad.de/sram-slickwire-schaltzug-2300mm-M913159.html
Race FaceCrank Boot Small türkis,7.99,'0895428020200,https://www.fahrrad.de/race-face-crank-boot-small-M122916.html?vgid=G1359690
HutchinsonVentilverlängerung 40mm 2 Stück,7.99,'3248382079888,https://www.fahrrad.de/hutchinson-ventilverlaengerung-40mm-2-stueck-M1166771.html
ReverseSingle Speed Kit grün,23.99,'4717480157198,https://www.fahrrad.de/reverse-single-speed-kit-M121721.html?vgid=G358894
GALFER BIKEAdvanced Bremsbeläge AVID X0 Trail 7/9/Guide R/RS/RSC/Ultimate/SRAM Guide/G2,11.99,'8400160086777,https://www.fahrrad.de/galfer-bike-advanced-bremsbelag-M715356.html
capgoBL Schaltzugaußenhülle 3m x 4mm grün,8.99,'4251340200681,https://www.fahrrad.de/capgo-bl-schaltaussenhuelle-3m-x-4mm-M123752.html?vgid=G652742
"ShimanoWH-RIM Felgenband 28""",7.99,'4524667133957,https://www.fahrrad.de/shimano-wh-rim-felgenband-28-M423760.html
Peaty'sX Chris King MK2 Tubeless Ventile 60mm pink,25.99,'5060541582514,https://www.fahrrad.de/peatys-x-chris-king-mk2-tubeless-ventile-60mm-M926623.html?vgid=G1332772
Effetto MariposaCaffélatex Reifendichtmittel 1000ml,24.99,'7640164680071,https://www.fahrrad.de/effetto-mariposa-caffelatex-reifendichtmittel-1000ml-M938136.html
GALFER BIKEStandard Bremsbeläge Formula Oro K18/K24,8.99,'8400160086579,https://www.fahrrad.de/galfer-bike-standard-bremsbelaege-formula---oro-18k-24k-M831053.html
ReverseAvid Trail/SRAM Guide Scheibenbremsbeläge Organisch,9.99,'4717480159406,https://www.fahrrad.de/reverse-avid-trail-sram-guide-scheibenbremsbelag-organisch-M320462.html
LezynePower Reifenheber 1 Pair weiß,2.99,'4712805970933,https://www.fahrrad.de/lezyne-power-lever-1-paar-M124166.html?vgid=G222455
GranitePolypropylene Transport Gurt türkis,6.99,'4712931189544,https://www.fahrrad.de/granite-polypropylene-transport-gurt-M832793.html?vgid=G1169186
AlligatorSleek Glide Schaltzugset silber,8.99,'4710006198798,https://www.fahrrad.de/alligator-sleek-glide-schaltzugset-M1135544.html?vgid=G1679315
Jagwire2X Sport Shift Schaltzugset für Shimano/SRAM weiß,13.99,'4715910040997,https://www.fahrrad.de/jagwire-2x-sport-shift-schaltzugset-M843088.html?vgid=G1186036
GraniteCNC Ventilkappe mit Abziehfunktion 2 Stück rot,6.99,'4710139330317,https://www.fahrrad.de/granite-cnc-ventilkappe-mit-abziehfunktion-2-stueck-M832802.html?vgid=G1169204
Enduro BearingsABEC 3 6804-2RS-LLB Kugellager 20x32x7mm,6.99,'1858430001628,https://www.fahrrad.de/enduro-bearings-abec-3-6804-2rs-llb-kugellager-20x32x7mm-M1099166.html
MotoReflective Stickers blau,3.99,'4260406030216,https://www.fahrrad.de/moto-reflektierende-aufkleber-M124198.html?vgid=G903612
Stan's NoTubesDart Nachfüllset für Reparaturkit inkl. 5 Darts,14.99,'0847746052661,https://www.fahrrad.de/notubes-dart-nachfuellset-fuer-reparaturkit-inkl.-5-darts-M809870.html
AlligatorSemi-Metallische Scheibenbremsbeläge Avid Elixir,6.99,'4710006194073,https://www.fahrrad.de/alligator-semi-metallische-scheibenbremsbelaege-avid-elixir-M1034720.html
ReverseNeoprene Chainstay Guard schwarz/blau,7.99,'4717480161973,https://www.fahrrad.de/reverse-neopren-kettenstrebenschutz-M121684.html?vgid=G386719
Kool StopDura Type Bremsbeläge für Carbon Felgen schwarz,7.99,'0760251080250,https://www.fahrrad.de/kool-stop-dura-type-bremsbelaege-fuer-carbonfelgen-M150345.html?vgid=G648128
