Product Title,Price,EAN,URL
BuzzbikeUrban Cycle Club 3-fach schwarz,359.00,'4052406350858,https://www.fahrrad.de/buzzbike-buzzbike-3-fach-herren-M1364400.html?vgid=G2042220
HAIBIKEAdventr FS 8 grün/schwarz,3.829.00,'4054624125539,https://www.fahrrad.de/haibike-adventr-fs-8-M1149221.html?vgid=G1700294
GT BicyclesAvalanche Expert schwarz,999.00,'0038675206120,https://www.fahrrad.de/gt-bicycles-avalanche-expert-M899119.html?vgid=G1287883
"SCHWALBENo.17 Schlauch 28""",5.99,'4026495098588,https://www.fahrrad.de/schwalbe-no.17-schlauch-28-M155210.html
ShimanoPD-M520 Pedale SPD schwarz,35.99,'4524667060475,https://www.fahrrad.de/shimano-pd-m520-pedale-spd-M755651.html?vgid=G1040999
Red Cycling ProductsMTB Kombi Pedale SPD schwarz,28.99,'4052406273102,https://www.fahrrad.de/red-cycling-products-mtb-kombi-pedals-spd-M706014.html?vgid=G954387
Red Cycling ProductsTrägershorts Herren schwarz,19.99,'4052406366774,https://www.fahrrad.de/red-cycling-products-traegershorts-herren-M1174880.html?vgid=G1734749
Red Cycling ProductsSP-Fire Trägershorts Damen schwarz/weiß,47.99,'5414985135353,https://www.fahrrad.de/red-cycling-products-sp-fire-traegershorts-damen-M983019.html?vgid=G1431480
Red Cycling ProductsMountainbike Shorts Herren oliv,39.99,'4052406353033,https://www.fahrrad.de/red-cycling-products-mountainbike-shorts-herren-M474557.html?vgid=G1514711
Red Cycling ProductsIncline V MTB Schuhe grau,29.99,'4052406405046,https://www.fahrrad.de/red-cycling-products-incline-v-mtb-schuhe-M1292378.html?vgid=G1919069
Red Cycling ProductsRoad III Rennrad Schuhe schwarz,49.99,'4052406180882,https://www.fahrrad.de/red-cycling-products-road-iii-rennrad-schuhe-M424255.html?vgid=G474750
dhbHydron Thermo Wetsuit Damen,105.99,'5056389444879,https://www.fahrrad.de/dhb-hydron-thermo-wetsuit-damen-M1265879.html?vgid=G1867418
KonaCoco lila,699.00,'0841073149872,https://www.fahrrad.de/kona-coco-M1303969.html?vgid=G1944907
KonaHonzo SE braun,1.069.00,'0841073147533,https://www.fahrrad.de/kona-honzo-se-M1019882.html?vgid=G1494086
NukeproofDigger Factory intl. lila,2.389.00,'5056389575481,https://www.fahrrad.de/nukeproof-digger-factory-asian-built-M1293576.html?vgid=G1921587
ElectraLoft 7i EQ Step-Thru braun,639.00,'0601842153673,https://www.fahrrad.de/electra-loft-7i-eq-damen-M776591.html?vgid=G1076438
WinoraTria 7 eco Wave weiß,1.889.00,'4054624124129,https://www.fahrrad.de/winora-tria-7-eco-wave-M1151549.html?vgid=G1703102
Wilier903 TRN Deore schwarz/silber,2.269.00,'8059178171311,https://www.fahrrad.de/wilier-903-trn-deore-M1188422.html?vgid=G1755425
MarinBobcat Trail 4 silber,729.00,'0843346114006,https://www.fahrrad.de/marin-bobcat-trail-4-M1026224.html?vgid=G1506548
WinoraE-Flitzer rot,1.949.00,'4054624128042,https://www.fahrrad.de/winora-e-flitzer-M1151435.html?vgid=G1702979
WinoraSinus N8 Diamant Herren petrol,2.349.00,'4054624124839,https://www.fahrrad.de/winora-sinus-n8-diamant-M1151492.html?vgid=G1703042
"Red Cycling ProductsMTB R20 Lenker Ø31,8mm schwarz",12.99,'4052406366750,https://www.fahrrad.de/red-cycling-products-mtb-r20-lenker-o318mm-M1095197.html?vgid=G1616945
"Red Cycling ProductsMountain XL 18 Lenker Ø31,8 700mm schwarz",9.99,'4052406138883,https://www.fahrrad.de/red-cycling-products-mountain-xl-18-bar-o318-700mm-M338857.html?vgid=G379172
ODIRuffian Griffe Bonus Pack Lang schwarz/silber,23.49,'0711484102721,https://www.fahrrad.de/odi-ruffian-griffe-bonus-pack-lang-M742394.html?vgid=G1013816
ShimanoAlivio RD-M3100 Schaltwerk 9-fach schwarz,24.99,'4550170621155,https://www.fahrrad.de/shimano-alivio-rd-m3100-schaltwerk-9-fach-M910831.html?vgid=G1304179
"Red Cycling ProductsRaddozer Federsattelstütze Ø30,9mm schwarz",29.99,'4052406331680,https://www.fahrrad.de/red-cycling-products-raddozer-federsattelstuetze-o309mm-M978873.html?vgid=G1424886
"Red Cycling ProductsPRO Devil Riser Lenker Ø31,8mm 780mm rot",18.99,'4052406175550,https://www.fahrrad.de/red-cycling-products-pro-devil-riser-bar-o318mm-780mm-M128649.html?vgid=G464704
"Red Cycling ProductsRaddozer Federsattelstütze Ø31,6mm schwarz",37.99,'4052406331703,https://www.fahrrad.de/red-cycling-products-raddozer-federsattelstuetze-o316mm-M978876.html?vgid=G1424889
Red Cycling ProductsEagle Trail Trikot Herren schwarz,16.99,'4052406329243,https://www.fahrrad.de/red-cycling-products-eagle-trail-trikot-herren-M957288.html?vgid=G1388151
EnduraFS260-Pro Trägershorts Herren schwarz,51.99,'5055939917016,https://www.fahrrad.de/endura-fs260-pro-bib-shorts-M119382.html?vgid=G603598
dhbQB Shorts Herren schwarz,21.99,'5055995081997,https://www.fahrrad.de/dhb-qb-shorts-herren-M1235206.html?vgid=G1809181
Red Cycling ProductsEagle Trail Trikot Herren blau,16.99,'4052406329298,https://www.fahrrad.de/red-cycling-products-eagle-trail-trikot-herren-M957288.html?vgid=G1388154
ABUSScraper 3.0 ACE Helm blau,49.99,'4003318817748,https://www.fahrrad.de/abus-scraper-3.0-ace-helmet-M717386.html?vgid=G973658
dhbClassic Shorts Herren schwarz,34.99,'5055995008871,https://www.fahrrad.de/dhb-classic-shorts-herren-M1287476.html?vgid=G1867364
dhbClassic Trägershorts Herren schwarz/weiß,35.99,'5055995008819,https://www.fahrrad.de/dhb-classic-traegershorts-herren-M1287473.html?vgid=G1809079
Red Cycling ProductsBike Shorts Damen schwarz,19.99,'4050772118379,https://www.fahrrad.de/red-cycling-products-bike-shorts-M467297.html?vgid=G803507
dhbAeron FLT Roubaix 2.0 Trägerhose Herren schwarz,54.99,'5056389496816,https://www.fahrrad.de/dhb-aeron-flt-roubaix-2.0-traegerhose-herren-M1287437.html?vgid=G1908512
