Product Title,Price,EAN,URL
Giant Recon E HL Kabel Shimano,7.99,'4713250014722,https://www.fahrrad-xxl.de/giant-recon-e-hl-kabel-shimano-m000069147
Finish Line Easy Pro Reinigungsbürsten-Set,21.99,'36121311107,https://www.fahrrad-xxl.de/finish-line-easy-pro-buerstenset-m000005536
VDO Eco Light Red Plus Rücklicht,16.99,'4037438400610,https://www.fahrrad-xxl.de/vdo-eco-light-red-plus-ruecklicht-p00055958m001
Topeak PrepStand Elite Montageständer,221.99,'4710069685556,https://www.fahrrad-xxl.de/topeak-prepstand-elite-montagestaender-p00062706m001
Frog 53 - 2023 - 20 Zoll - Diamant,459.99,'5060488651953,https://www.fahrrad-xxl.de/frog-frog-53-m000058994
Frog 53 - 2023 - 20 Zoll - Diamant,459.99,'5060488651922,https://www.fahrrad-xxl.de/frog-frog-53-m000058993
"Eightshot X-Coady 275 FS - 2023 - 27,5 Zoll - Diamant",559.99,'4015731070457,https://www.fahrrad-xxl.de/eightshot-x-coady-275-fs-m000058581
Eightshot X-Coady 24 SL Disc - 2023 - 24 Zoll - Diamant,499.99,'4015731070402,https://www.fahrrad-xxl.de/eightshot-x-coady-24-sl-disc-m000058579
Eightshot X-Coady 24 FS - 2023 - 24 Zoll - Diamant,479.99,'4015731070419,https://www.fahrrad-xxl.de/eightshot-x-coady-24-fs-m000058578
Eightshot X-Coady 20 SL - 2023 - 20 Zoll - Diamant,399.99,'4015731070358,https://www.fahrrad-xxl.de/eightshot-x-coady-20-sl-m000058576
Eightshot X-Coady 20 SL Disc - 2023 - 20 Zoll - Diamant,479.99,'4015731070365,https://www.fahrrad-xxl.de/eightshot-x-coady-20-sl-disc-m000058575
Eightshot X-Coady 20 FS - 2023 - 20 Zoll - Diamant,479.99,'4015731070372,https://www.fahrrad-xxl.de/eightshot-x-coady-20-fs-m000058574
Kalkhoff Entice 5.B Move+ - 625 Wh - 2022 - 29 Zoll - Damen Sport,3.799.99,'4000990409667,https://www.fahrrad-xxl.de/kalkhoff-entice-5-b-move-m000058412
"Kalkhoff Entice 3.B Move - 500 Wh - 2022 - 27,5 Zoll - Damen Sport",2.749.99,'4000990407175,https://www.fahrrad-xxl.de/kalkhoff-entice-3-b-move-m000058404
Tern Quick Haul D7i - 400 Wh - 2022 - 20 Zoll - Compact,2.599.99,'1071073,https://www.fahrrad-xxl.de/tern-quick-haul-d7i-m000056656
Gudereit EC-5 evo - 500 Wh - 2022 - 28 Zoll - Damen Sport,2.699.99,',https://www.fahrrad-xxl.de/gudereit-ec-5-evo-m000056426
"Marin Wildcat Trail 3 WFG - 2023 - 27,5 Zoll - Diamant",629.99,'843346114235,https://www.fahrrad-xxl.de/marin-wildcat-trail-3-wfg-m000055906
"Marin Wildcat Trail 1 WFG - 2023 - 27,5 Zoll - Diamant",499.99,'843346114150,https://www.fahrrad-xxl.de/marin-wildcat-trail-1-wfg-m000055904
Marin Rift Zone 1 29 - 2023 - 29 Zoll - Fully,1.999.99,'843346120564,https://www.fahrrad-xxl.de/marin-rift-zone-1-29-m000055884
Marin Bolinas Ridge 2 - 2023 - 29 Zoll - Diamant,599.99,'843346113917,https://www.fahrrad-xxl.de/marin-bolinas-ridge-2-m000055849
