Product Title,Price,EAN,URL
"SEB MAN The Multitasker Hair, Beard & Body Wash with Guarana Duschgel",10.4,'4064666302164,https://www.flaconi.de/pflege/seb-man/the-multitasker/seb-man-the-multitasker-hair-beard-and-body-wash-with-guarana-duschgel.html?variant=80040773-250
Dr. Hauschka Handpflege Hydrating Handcreme,2.5,'4020829005686,https://www.flaconi.de/pflege/dr-hauschka/handpflege/dr-hauschka-handpflege-hydrating-handcreme.html?variant=80007863-10
Pai Skincare Middlemist Seven Reinigungscreme,25,'5060139726719,https://www.flaconi.de/pflege/pai-skincare/middlemist-seven/pai-skincare-middlemist-seven-reinigungscreme.html?variant=80054184-150
LANCÔME Hydra Zen Gel-Creme Gesichtscreme,13.4,'3614272749771,https://www.flaconi.de/pflege/lancome/hydra-zen/lancome-hydra-zen-gel-creme-gesichtscreme.html?variant=80043046-15
Dr. Hauschka Nach der Sonne After Sun Lotion,19.55,'4020829087392,https://www.flaconi.de/pflege/dr-hauschka/nach-der-sonne/dr-hauschka-nach-der-sonne-after-sun-lotion.html?variant=80007868-100
SLOWDAY Awake Stone Pine & Bergamot Körperspray,7.99,'3700426234993,https://www.flaconi.de/pflege/slowday/awake/slowday-awake-stone-pine-and-bergamot-koerperspray.html?variant=80065183-100
Dr. Hauschka Tagespflege Beruhigende Maske Gesichtsmaske,4.8,'4020829007338,https://www.flaconi.de/pflege/dr-hauschka/tagespflege/dr-hauschka-tagespflege-beruhigende-maske-gesichtsmaske.html?variant=80007830-5
FILORGA GLOBAL-REPAIR Candle Gesichtspflegeset,56.95,'3540550001470,https://www.flaconi.de/pflege/filorga/global-repair/filorga-global-repair-candle-gesichtspflegeset.html?variant=80064074-1
Lancaster 365 Skin Repair Augencreme,41.95,'3614225237003,https://www.flaconi.de/pflege/lancaster/365-skin-repair/lancaster-365-skin-repair-augencreme.html?variant=80027145-15
flaconi Beauty Tools Rose Quartz Gesicht Roll-On,13.56,'4260503420897,https://www.flaconi.de/pflege/flaconi/beauty-tools/flaconi-beauty-tools-rose-quartz-gesicht-roll-on.html?variant=80043974-1-2
croma hyaluronic acid face mask Gesichtsmaske,55.63,'9003502002474,https://www.flaconi.de/pflege/croma/hyaluronic-acid/croma-hyaluronic-acid-face-mask-gesichtsmaske.html?variant=80065749-8
Kiehl's Super Multi-Corrective Eye-Opening Serum Augenserum,48.7,'3605970473402,https://www.flaconi.de/pflege/kiehl-s/super-multi-corrective/kiehl-s-super-multi-corrective-eye-opening-serum-augenserum.html?variant=80024631-15
Benefit Cosmetics California Kissin' Colorbalm Lippenbalsam,16.27,'602004118042,https://www.flaconi.de/make-up/benefit-cosmetics/california-kissin-/benefit-cosmetics-california-kissin-colorbalm-lippenbalsam.html?variant=80071012-3-1
