EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'5037835209693,25.99,B08Y9349GP,"#5.094, (Sport & Freizeit)",-3.96 ,"-13,90 %"
'0196178094467,219.99,B0BJ11LFWX,-,-42.59 ,"-19,57 %"
'4003318919121,159.99,B0BF5GC65P,"#4.756, (Sport & Freizeit)",-31.29 ,"-19,56 %"
'8015190276632,98.99,B09STVW496,"#339.543, (Sport & Freizeit)",-17.42 ,"-17,60 %"
'8716683132427,22.99,B09VMY22W5,"#111.840, (Sport & Freizeit)",-2.53 ,"-7,23 %"
'7613019497780,186.99,B09M43BF86,"#532.173, (Sport & Freizeit)",-170.58 ,"-17.058,08 %"
'0196261004397,79.99,B09M1WR7XG,-,-6.26 ,"-6,26 %"
'7325549901353,51.99,B0BFD72C34,"#74.069, (Fashion)",-15.55 ,"-31,44 %"
'7318573804028,79.99,B0BZWVT1M4,-,-21.17 ,"-28,72 %"
'0841269174107,104.99,B08X91K6YX,-,-95.78 ,"-9.578,14 %"
'8590966390380,9.99,B00P6IISYG,"#303.952, (Sport & Freizeit)",-0.71 ,"-5,50 %"
'5400974005547,159.99,B0B71ZDDBX,-,-35.51 ,"-23,06 %"
'7613019497728,186.99,B09M3ZTKH1,"#532.173, (Sport & Freizeit)",-170.58 ,"-17.058,08 %"
'4035849079630,29.99,B07Z845PQR,"#108.879, (Sport & Freizeit)",-11.85 ,"-39,50 %"
'0768686473531,153.99,B09DLBJ157,"#173.977, (Sport & Freizeit)",-14.15 ,"-7,56 %"
'0194691256997,44.99,B09C5L96GG,"#1.326.036, (Fashion)",-13.29 ,"-29,62 %"
'8716706015867,8.99,B01MTF7E3M,-,-9.61 ,"-961,37 %"
'4715910041031,13.99,B085NC1YLN,"#347.737, (Sport & Freizeit)",-5.59 ,"-39,95 %"
'4717480152421,9.99,B00FVTIYLM,"#530.732, (Sport & Freizeit)",-2.86 ,"-285,59 %"
'0710845765933,25.99,B018Y52LMC,-,-5.51 ,"-21,19 %"
'8590966390014,8.99,B00P6IIBD4,"#160.805, (Sport & Freizeit)",-0.42 ,"-2,93 %"
'4717480150892,4.99,B00AEFBFHS,"#17.491, (Sport & Freizeit)",-1.36 ,"-13,69 %"
'8716683106466,6.99,B01N4RO9PM,"#84.051, (Sport & Freizeit)",-1.02 ,"-9,36 %"
'0641300162298,23.99,B07KG151DX,"#300.750, (Sport & Freizeit)",-5.64 ,"-23,50 %"
'4524667108122,6.99,B000NOPRAG,-,-3.70 ,"-369,87 %"
'4524667603283,5.99,B0081NTWO8,"#435.860, (Sport & Freizeit)",-0.48 ,"-3,51 %"
'4524667430513,8.99,B005M9BUUI,"#67.937, (Sport & Freizeit)",-1.60 ,"-20,04 %"
'5060541582521,25.99,B08KYS9N5K,"#20.906, (Sport & Freizeit)",-3.69 ,"-14,19 %"
'0710845006180,7.99,B001CK0H28,"#135.533, (Sport & Freizeit)",-3.05 ,"-305,12 %"
'0710845663017,15.99,B006KV84W4,"#68.902, (Sport & Freizeit)",-4.69 ,"-29,35 %"
'5060541580206,16.99,B07MFZLD1B,"#43.218, (Sport & Freizeit)",-5.35 ,"-33,44 %"
'4003318873003,84.99,B083QNC1DC,"#97.207, (Sport & Freizeit)",-24.26 ,"-30,35 %"
'5420078883605,47.99,B0B76L98H5,-,-7.57 ,"-13,01 %"
'3701122257941,60.99,B0B2RP4LKD,-,-58.12 ,"-5.811,59 %"
'7325549905986,27.99,B09WR1RLKY,"#150.007, (Fashion)",-8.86 ,"-31,64 %"
'8057432695689,9.99,B00W4HKOXA,-,-3.70 ,"-370,40 %"
'4524667866176,22.99,B0787FBDSY,"#364.234, (Sport & Freizeit)",-5.71 ,"-23,26 %"
'8716706015898,3.99,B077QBCP5C,-,-4.09 ,"-408,67 %"
'4715910041185,7.99,B084ZZ417C,-,-3.73 ,"-372,63 %"
'4715910039892,21.99,B077FH887W,"#9.345, (Sport & Freizeit)",-6.28 ,"-25,13 %"
'8590966390212,8.99,B00P6IIMR4,"#340.155, (Sport & Freizeit)",-2.85 ,"-285,49 %"
'4717480166381,17.99,B077MX23X3,-,-5.09 ,"-25,57 %"
'8400160591332,19.99,B00L8KDNJG,-,-3.34 ,"-334,05 %"
'4717480166961,4.99,B07LBVPT7N,"#419.866, (Sport & Freizeit)",-1.77 ,"-30,08 %"
'4055149015459,2.99,B00LLVTPNA,-,-2.32 ,"-77,56 %"
'8057432692732,9.99,B008KRNKQG,-,-3.05 ,"-304,86 %"
'4524667062363,18.99,B00GZ42T3Q,"#517.229, (Sport & Freizeit)",-5.16 ,"-27,16 %"
'5021646017233,3.99,B00IWRQ4NA,-,-1.18 ,"-11,77 %"
'4524667299646,1.99,B007R4R5GY,"#106.809, (Sport & Freizeit)",-2.12 ,"-42,92 %"
'4717480165292,9.99,B07842Q9LS,"#135.236, (Sport & Freizeit)",-0.36 ,"-3,66 %"
'8716683090932,3.99,B00TO76FPE,"#887.764, (Sport & Freizeit)",-2.34 ,"-59,26 %"
'7290101185222,7.99,B00M1RYXEY,-,-2.64 ,"-32,99 %"
'4717480157204,22.99,B00GGNIIZO,"#43.821, (Sport & Freizeit)",-3.49 ,"-349,31 %"
'3435540640152,17.99,B00UTK3QFC,-,-3.14 ,"-314,38 %"
'4524667353621,0.99,B0756H61CY,"#77.520, (Sport & Freizeit)",-2.87 ,"-64,83 %"
'7144019502070,9.99,B00W4HD4JQ,-,-2.04 ,"-16,49 %"
'0710845781346,176.99,B01F9KLE50,-,-38.23 ,"-13,50 %"
'0710845609435,11.99,B0028MTNX8,"#82.165, (Sport & Freizeit)",-4.09 ,"-34,14 %"
'0710845782299,3.99,B01FK3ALBY,"#137.380, (Sport & Freizeit)",-2.98 ,"-74,72 %"
'8590966390632,8.99,B00P6IJ5XE,"#64.596, (Sport & Freizeit)",-0.42 ,"-2,94 %"
'8057099023184,149.99,B019D31DIM,"#137.334, (Sport & Freizeit)",-26.24 ,"-16,80 %"
'4046068577128,135.99,B08PJPH62V,"#29.111, (Sport & Freizeit)",-121.78 ,"-12.177,79 %"
'0191972679148,45.99,B0BFR85RWZ,-,-10.45 ,"-19,57 %"
'4524667986560,7.99,B00GZ3OL7O,-,-3.70 ,"-370,22 %"
'4715910025703,22.99,B001GZ9LVC,"#256.827, (Sport & Freizeit)",-5.43 ,"-542,61 %"
'0895428020194,6.99,B00JNAKGPC,"#92.241, (Sport & Freizeit)",-2.05 ,"-22,86 %"
'0710845844386,46.99,B083QN8NYS,-,-7.76 ,"-16,77 %"
'4524667120827,7.99,B00406LMO8,-,-3.70 ,"-370,43 %"
'4524667988441,1.99,B00EABWLW0,-,-2.85 ,"-284,83 %"
'4717480156696,7.99,B00FAYMWB6,"#301.849, (Sport & Freizeit)",-1.60 ,"-23,25 %"
'4717480150236,9.99,B00FAYMQ3K,"#56.689, (Sport & Freizeit)",-3.70 ,"-370,36 %"
'0710845820403,11.99,B07JVNZL5S,"#213.148, (Sport & Freizeit)",-0.94 ,"-4,54 %"
'4550170635268,26.99,B08W2V7J96,"#192.207, (Sport & Freizeit)",-6.12 ,"-20,32 %"
'8590966390335,9.99,B00P6IIRG0,"#344.067, (Sport & Freizeit)",-1.04 ,"-10,44 %"
'4715910025772,19.99,B001GZCWAO,"#574.720, (Sport & Freizeit)",-7.81 ,"-24,93 %"
'0710845628313,8.99,B006KV4Y8C,-,-0.67 ,"-5,60 %"
'4715910037379,3.99,B00UXF8P9U,"#524.543, (Sport & Freizeit)",-2.13 ,"-53,41 %"
'4251189802459,17.99,B075XGP9R7,"#153.869, (Sport & Freizeit)",-4.86 ,"-27,40 %"
'8590966390205,8.99,B00P6IIM2E,-,-0.50 ,"-3,85 %"
'4715910039915,21.99,B077DX9SJZ,"#9.345, (Sport & Freizeit)",-5.98 ,"-27,19 %"
'5021646021247,13.99,B00CBWUGWM,-,-9.78 ,"-57,56 %"
'4717480164622,14.99,B07LBTD34X,"#467.198, (Sport & Freizeit)",-4.78 ,"-28,30 %"
'0611056191743,47.99,B07ZT2RXBJ,-,-10.27 ,"-13,39 %"
'0710845637049,14.99,B004T1GZ3W,"#946.335, (Sport & Freizeit)",-5.27 ,"-25,95 %"
'4715910017760,26.99,B001GSSEJ4,"#743.231, (Sport & Freizeit)",-6.78 ,"-22,61 %"
'0763477017369,3.99,B09WC8781S,-,-7.98 ,"-797,72 %"
'0710845729973,30.99,B00GA22W58,"#91.706, (Sport & Freizeit)",-6.14 ,"-20,28 %"
'8716683034950,18.99,B002EPVN82,-,-4.69 ,"-36,27 %"
'4524667430469,8.99,B004IXF30W,"#172.659, (Sport & Freizeit)",-1.42 ,"-15,80 %"
'4032191660684,9.99,B001BX9MK4,"#323.495, (Sport & Freizeit)",-1.22 ,"-8,72 %"
