EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'4019238556704,2.99,B0068FAPII,"#8.557, (Sport & Freizeit)",-1.92 ,"-28,10 %"
'4026495099462,5.99,B000UJ5Q1Y,"#19.186, (Sport & Freizeit)",-5.79 ,"-133,99 %"
'4026495099165,2.99,B00G9Z0776,"#68.015, (Sport & Freizeit)",-1.14 ,"-14,16 %"
'4019238556780,2.99,B07PCHT7FK,"#23.692, (Sport & Freizeit)",-1.95 ,"-31,21 %"
'4019238693515,10.99,B01J1BND6G,"#4.214, (Sport & Freizeit)",-12.04 ,"-107,12 %"
'4052406204137,29.99,B01NAH5X3N,"#354.027, (Sport & Freizeit)",-9.23 ,"-30,79 %"
'4019238007824,43.99,B07K91B78V,"#1.584, (Sport & Freizeit)",-15.44 ,"-41,17 %"
'4052406366736,16.99,B0C3W26FDY,-,-4.81 ,"-24,07 %"
'4524667060468,33.99,B000KC3Y0Q,"#3.858, (Sport & Freizeit)",-11.23 ,"-35,11 %"
'0711484159343,25.99,B003TIQKYU,"#43.944, (Sport & Freizeit)",-10.80 ,"-49,11 %"
'0710845664939,23.99,B004YICAH0,"#239.347, (Sport & Freizeit)",-24.38 ,"-2.438,16 %"
'4524667744672,28.99,B00BN8DGLS,"#7.464, (Auto & Motorrad)",-9.50 ,"-35,21 %"
'0821973353159,29.99,B07YM2R4H7,"#41.607, (Sport & Freizeit)",-5.50 ,"-16,18 %"
'0853988006355,391.99,B074TGWFMN,"#34.519, (Sport & Freizeit)",-47.66 ,"-12,28 %"
'4052406270118,32.99,B07RT7JB5M,-,-32.63 ,"-3.263,10 %"
'4050772129917,23.99,B07J518X3M,-,-5.18 ,"-18,52 %"
'7318573086806,31.99,B07KKSNQJK,"#1.623.774, (Fashion)",-9.17 ,"-28,67 %"
'4052406366880,24.99,B0B99S3PTR,-,9.68 ,"17,61 %"
'5056389525462,2789.0,B0CBZDJTXP,-,-259.16 ,"-8,47 %"
'0711484103629,23.49,B000VSWJ64,"#119.794, (Sport & Freizeit)",-22.95 ,"-2.295,45 %"
'0821973353555,51.99,B07V4TG4Z7,"#52.894, (Sport & Freizeit)",-11.56 ,"-22,24 %"
'4717784030609,34.99,B019WHUU6A,"#26.747, (Sport & Freizeit)",-11.78 ,"-33,68 %"
'4524667919995,70.99,B00WLFV0BU,"#63.600, (Sport & Freizeit)",-63.88 ,"-6.388,18 %"
'4550170448479,24.99,B07RPMS4X3,"#51.390, (Sport & Freizeit)",-8.12 ,"-32,50 %"
'4550170448684,36.99,B07RSRGM2M,"#233.707, (Sport & Freizeit)",-6.87 ,"-16,35 %"
'8716683116052,90.49,B07PFV8D2S,"#311.884, (Sport & Freizeit)",-20.96 ,"-23,16 %"
'7630053118839,78.99,B07N17SNR4,"#6.799, (Sport & Freizeit)",-26.09 ,"-37,27 %"
'4052285878030,29.99,B011I1PJC8,"#4.118, (Fashion)",-9.25 ,"-30,85 %"
'5057538427712,49.99,B07L1MHF1L,"#961.512, (Fashion)",-23.09 ,"-66,07 %"
'4036638088260,36.99,B07GHJ47Y2,"#1.797, (Sport & Freizeit)",-7.45 ,"-16,56 %"
'4003318817786,38.99,B07N8B42KM,"#2.012, (Sport & Freizeit)",-13.91 ,"-35,66 %"
'4052285878344,29.99,B07P8WYRCF,"#1.341, (Fashion)",-8.69 ,"-28,97 %"
'4052285877941,35.99,B07KBCML8F,"#8.286, (Fashion)",-10.30 ,"-29,47 %"
'4036638088307,30.99,B07GH1FM11,"#1.552, (Sport & Freizeit)",-12.04 ,"-38,84 %"
'9006063668578,59.99,B08515FMRX,"#62.237, (Fashion)",-17.18 ,"-31,22 %"
'4052285878122,35.99,B07KBD76JY,"#29.135, (Fashion)",-10.19 ,"-28,31 %"
'4052406203864,104.99,B06XNM2QCT,-,-13.36 ,"-11,42 %"
'4052406431441,199.0,B0C9MTRV2K,-,-47.96 ,"-24,10 %"
'4550170521974,90.99,B07VFSDQ7F,"#377.231, (Baumarkt)",-22.57 ,"-26,55 %"
'0710845804748,138.99,B071G9Y74V,"#67.220, (Sport & Freizeit)",-39.49 ,"-32,91 %"
'0710845824135,277.99,B07SM7PHG4,"#88.871, (Sport & Freizeit)",-56.20 ,"-21,21 %"
'4550170448707,177.99,B07RTXNFDG,"#941.834, (Sport & Freizeit)",-30.86 ,"-17,34 %"
'0821973353630,51.99,B07TKYP8GT,"#52.894, (Sport & Freizeit)",-9.88 ,"-18,14 %"
'0853740005916,22.99,B07C7G944H,"#192.209, (Sport & Freizeit)",4.34 ,"10,94 %"
'8030819035094,34.99,B076CXH5RM,"#2.779.051, (Fashion)",-6.58 ,"-16,45 %"
'0655586108598,84.99,B07P5K2CNV,"#535.345, (Sport & Freizeit)",-11.88 ,"-12,51 %"
'0792460371607,63.99,B083PP18KZ,-,-32.64 ,"-86,93 %"
