EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'4712511833478,18.99,B00GWPPTMQ,"#298.791, (Sport & Freizeit)",-3.65 ,"-365,36 %"
'888392586421,183.99,B07Z3B5YZ3,-,-36.48 ,"-16,66 %"
'4712511823806,18.99,B004BUBHVG,"#232.287, (Sport & Freizeit)",-4.70 ,"-26,12 %"
'8020775031254,12.99,B07JMQ3QC1,-,-4.82 ,"-31,13 %"
'8020775018200,206.99,B009AN259M,"#85.443, (Sport & Freizeit)",-23.76 ,"-14,85 %"
'5056286924146,45.99,B0BD24TRFG,"#555.538, (Sport & Freizeit)",-16.17 ,"-21,28 %"
'753759281083,808.99,B09RGGJFHT,"#54.054, (Sport & Freizeit)",-54.21 ,"-7,07 %"
'768686480027,104.99,B09DL97C7D,"#514.594, (Sport & Freizeit)",-7.65 ,"-764,88 %"
'7612616009471,34.99,B004U52TTQ,"#313.291, (Sport & Freizeit)",-9.51 ,"-22,20 %"
'7612616034220,25.99,B001E1RQNI,"#176.602, (Fashion)",-10.64 ,"-33,25 %"
'7630053186951,105.99,B07QVM2665,"#405.145, (Sport & Freizeit)",-18.91 ,"-18,91 %"
'4036823801001,102.99,B007Y3D5LW,"#361.473, (Sport & Freizeit)",-8.32 ,"-832,19 %"
'7630053197285,64.99,B07T8JZ815,"#3.698, (Sport & Freizeit)",-12.47 ,"-24,95 %"
'4250450726944,38.99,B09DN6WCFX,"#94.357, (Sport & Freizeit)",-8.76 ,"-21,58 %"
'4250450723721,13.99,B08GQZZD5G,"#13.273, (Sport & Freizeit)",-6.33 ,"-28,84 %"
'4250450723219,33.99,B07XTS2ZYJ,"#20.707, (Sport & Freizeit)",-5.71 ,"-19,74 %"
'4250450724872,59.99,B08GYF9TW7,"#20.707, (Sport & Freizeit)",-9.48 ,"-15,22 %"
'4250450723196,27.99,B07VWXTCXC,"#20.707, (Sport & Freizeit)",-6.56 ,"-19,08 %"
'4250450723165,25.99,B07VVS114T,"#20.707, (Sport & Freizeit)",-5.79 ,"-17,55 %"
'196178002967,111.99,B09J6JVZ9H,"#381.386, (Sport & Freizeit)",-16.38 ,"-18,61 %"
'7640146263643,55.99,B005IEKXGO,"#62.883, (Sport & Freizeit)",-7.59 ,"-758,53 %"
'4036823918877,138.99,B07T7LPGSQ,"#65.712, (Sport & Freizeit)",-18.77 ,"-15,26 %"
'716736404288,41.99,B08VW6366R,"#147.239, (Sport & Freizeit)",-13.72 ,"-24,54 %"
'8030282410152,40.99,B00CDPDIOA,"#47.876, (Sport & Freizeit)",-5.37 ,"-13,77 %"
'888392601209,144.99,B0BXX6SD8B,"#1.956.120, (Fashion)",-28.97 ,"-17,04 %"
'3420587051016,24.99,B07DRHZ5X5,"#379.457, (Sport & Freizeit)",-5.13 ,"-20,07 %"
'3760230430141,10.99,B00XKP1EWK,"#153.798, (Sport & Freizeit)",-0.33 ,"-2,18 %"
'3760230430189,10.99,B010FO5MW6,"#153.798, (Sport & Freizeit)",-0.33 ,"-2,18 %"
'3760230430158,10.99,B010FO5Q8Q,"#153.798, (Sport & Freizeit)",-0.33 ,"-2,19 %"
'3760230430592,10.99,B0844SFW5B,"#153.798, (Sport & Freizeit)",-0.32 ,"-2,12 %"
'888392568847,127.99,B09T2B83RY,"#1.579.560, (Fashion)",-4.63 ,"-462,88 %"
'888392568816,134.99,B09V1LH29S,"#1.052.751, (Fashion)",-32.74 ,"-16,69 %"
'888392590329,76.99,B0BJRJZ9W8,-,-4.37 ,"-437,33 %"
'196178246408,70.99,B0BGMCQW8H,"#947.943, (Sport & Freizeit)",-8.79 ,"-878,61 %"
'196178246385,70.99,B0BGM1L5TL,-,-15.25 ,"-21,37 %"
'4046068592671,34.99,B095WFX6J9,"#91.197, (Sport & Freizeit)",-7.53 ,"-752,97 %"
'4046068592664,34.99,B095WFZYZ9,"#101.586, (Auto & Motorrad)",-7.54 ,"-753,60 %"
'723661025044,55.99,B00S8LG1LA,"#225.198, (Sport & Freizeit)",-9.30 ,"-14,31 %"
'4046068617312,149.99,B09VTDN28J,"#19.613, (Sport & Freizeit)",-8.35 ,"-834,70 %"
'4710069680452,43.99,B08PYC5WG8,"#238.037, (Sport & Freizeit)",-9.06 ,"-906,05 %"
'5060277660746,26.99,B017EGDPY0,"#93.935, (Sport & Freizeit)",-5.07 ,"-16,90 %"
