EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'4550170617097,39.99,B08B3K6Q5N,"#13.702, (Sport & Freizeit)",-37.83 ,"-3.783,23 %"
'4524667768838,69.99,B071GQ77PJ,"#53.586, (Sport & Freizeit)",-63.06 ,"-6.306,12 %"
'4024066529424,5.99,B00F5F9BIW,"#60.337, (Sport & Freizeit)",-0.86 ,"-7,88 %"
'831273006440,100.99,B00449GIRM,"#13.885, (Sport & Freizeit)",-90.35 ,"-9.034,61 %"
'831273005931,110.99,B001CN6OUO,"#57.155, (Sport & Freizeit)",-24.62 ,"-22,77 %"
'4260477073211,118.99,B08H5SYTGL,"#33.761, (Sport & Freizeit)",-3.22 ,"-2,16 %"
'831273005917,110.99,B000WN2R1K,"#85.988, (Sport & Freizeit)",-98.74 ,"-9.874,46 %"
'4024066529424,5.99,B00F5F9BIW,"#60.337, (Sport & Freizeit)",-0.86 ,"-7,88 %"
'888392243645,139.99,B01KAFOCCQ,"#88.471, (Fashion)",-16.16 ,"-10,54 %"
'4003318485664,42.99,B07H8Q2258,"#207, (Sport & Freizeit)",-15.49 ,"-44,40 %"
'4030572106042,57.99,B08M96JTTX,"#4.233, (Sport & Freizeit)",-17.60 ,"-34,85 %"
'7615523402441,90.99,B09FTBKV8Z,"#240.947, (Sport & Freizeit)",-1.60 ,"-1,33 %"
'4030572102280,88.99,B004URMYO4,"#29.078, (Sport & Freizeit)",-22.80 ,"-28,85 %"
'4030572003136,129.99,B004URMUZC,"#152.459, (Sport & Freizeit)",-40.57 ,"-38,29 %"
'4030572102273,50.99,B004X5AEUE,"#22.277, (Sport & Freizeit)",-17.22 ,"-37,16 %"
'7290001280034,23.99,B008MZ0A3M,"#279.008, (Sport & Freizeit)",-1.54 ,"-4,34 %"
'4003692309594,75.99,B09B9KFJVT,"#41.628, (Sport & Freizeit)",-10.73 ,"-12,24 %"
'7613368757788,55.99,B07XN5LZNZ,"#164.821, (Sport & Freizeit)",-13.41 ,"-22,21 %"
'4030572003143,183.99,B005ZSZXDQ,"#113.916, (Sport & Freizeit)",-36.05 ,"-20,73 %"
'4035849079890,99.99,B08663BHD9,"#23.947, (Sport & Freizeit)",-34.76 ,"-41,43 %"
'4054571181268,38.99,B07WYHQPLK,"#617.222, (Sport & Freizeit)",-35.11 ,"-3.510,97 %"
'4062218312975,38.99,B09JZP77K9,"#50.457, (Sport & Freizeit)",-9.36 ,"-24,18 %"
'4043197323244,69.99,B009QA9NOE,"#40.314, (Sport & Freizeit)",-3.36 ,"-3,70 %"
'4024066508085,4.99,B00CL5Z83G,"#39.556, (Sport & Freizeit)",-3.99 ,"-67,02 %"
'4026495764063,11.99,B015NWXWQ8,"#105.626, (Sport & Freizeit)",-8.72 ,"-109,09 %"
'4024066653105,4.99,B01DN3UGEK,"#46.375, (Sport & Freizeit)",-1.04 ,"-10,57 %"
'4026495764100,11.99,B015NWY3MU,"#34.290, (Sport & Freizeit)",-9.33 ,"-116,75 %"
