EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'3614272648425,85.49,B07X1YGWSX,"#22.426, (Kosmetik)",-4.48 ,"-447,65 %"
'3614273636568,64.21,B0BV2M7RC1,"#31.833, (Kosmetik)",-11.56 ,"-15,95 %"
'3614273636513,74.09,B0BTDCRCXF,-,-13.94 ,"-15,50 %"
'3614273636490,89.95,B0BX4JVYVX,-,-24.28 ,"-18,82 %"
'4015165358640,15.51,B09RB55Q43,"#243, (Climate Pledge Friendly)",-5.42 ,"-34,92 %"
'027131392330,34.15,B000WIGQJO,"#70.154, (Kosmetik)",-1.44 ,"-3,22 %"
'027131392385,34.15,B0009TRBGI,"#3.029, (Kosmetik)",-5.20 ,"-13,19 %"
'027131977520,34.15,B00B5QWGAK,"#47.118, (Kosmetik)",-31.89 ,"-3.189,38 %"
'3600530733460,7.69,B00CDO175I,"#904, (Kosmetik)",-3.70 ,"-48,10 %"
'3600530733446,7.59,B00CDO12Z8,"#804, (Kosmetik)",-3.62 ,"-47,06 %"
'3600531396794,7.5,B0743T3WGY,"#145, (Kosmetik)",-3.68 ,"-49,04 %"
'3600531507817,7.69,B07CNTHPGZ,"#145, (Kosmetik)",-3.70 ,"-48,10 %"
'3600531507824,7.69,B07CNQBDKX,"#145, (Kosmetik)",-3.70 ,"-48,10 %"
'3600531507794,7.69,B07CQ1DXNM,"#145, (Kosmetik)",-4.35 ,"-56,57 %"
'3600531561413,7.69,B07PFK21ST,"#145, (Kosmetik)",-1.98 ,"-19,90 %"
'3600531561321,7.59,B07PDM537X,"#145, (Kosmetik)",-3.23 ,"-39,39 %"
'3600531561390,8.3,B07PDM4MJR,"#145, (Kosmetik)",-4.21 ,"-54,73 %"
'3605971967139,35.95,B07RPB7V63,"#206.937, (Kosmetik)",-32.75 ,"-3.275,28 %"
'3605971967092,35.95,B07RQ8BRTY,"#280.693, (Kosmetik)",3.15 ,"5,94 %"
'3264680009761,16.99,B01ATJ568M,"#6.578, (Kosmetik)",-5.09 ,"-28,27 %"
'3264680009754,23.49,B01ATJESD6,"#4.077, (Kosmetik)",-5.88 ,"-23,08 %"
'3616302022533,23.45,B09SZGP3K8,"#35.160, (Kosmetik)",-2.09 ,"-6,64 %"
'3365440225305,29.45,B007ZBDIJC,"#97.385, (Kosmetik)",-4.64 ,"-13,80 %"
'887167188877,4.96,B072178JDP,-,-7.37 ,"-736,96 %"
'773602049240,27.0,B0012X5TG4,"#48.088, (Kosmetik)",-19.06 ,"-196,72 %"
'192333129272,18.7,B09SLMTLG1,"#28.949, (Bürobedarf & Schreibwaren)",-1.85 ,"-7,27 %"
'3614273747332,27.7,B0C63LMRMH,-,-4.64 ,"-10,79 %"
'30138285,10.4,B01GJ4N142,"#871, (Kosmetik)",-5.12 ,"-47,49 %"
'30138582,9.9,B01GJ4MXQO,"#871, (Kosmetik)",-3.87 ,"-32,23 %"
'30138261,12.99,B01GJ4N138,"#871, (Kosmetik)",-7.00 ,"-62,42 %"
'30143494,10.4,B072BMF4J2,"#871, (Kosmetik)",-3.63 ,"-28,03 %"
'30178106,12.95,B07ZS738W9,"#871, (Kosmetik)",-5.77 ,"-44,56 %"
'020714739362,20.95,B00WABQ7MM,"#39.994, (Kosmetik)",-2.50 ,"-9,48 %"
'020714739379,22.45,B00VRU7OD8,"#157.576, (Kosmetik)",-4.72 ,"-18,94 %"
'020714739270,21.95,B00WYP2X0Y,"#9.488, (Kosmetik)",-2.50 ,"-9,08 %"
'716170229157,57.49,B09F8Q5W2Y,"#365.501, (Kosmetik)",-6.73 ,"-10,17 %"
'716170229140,57.49,B081J1MQHX,"#316.898, (Kosmetik)",-9.63 ,"-15,54 %"
'887167500259,16.77,B09T1CCLYC,"#151.984, (Kosmetik)",2.21 ,"7,86 %"
'887167500235,16.77,B0B2F6G7XC,"#35.217, (Kosmetik)",-2.65 ,"-12,07 %"
'192333142875,26.45,B0BGZB3ZQ8,-,-5.64 ,"-19,80 %"
'192333142905,27.45,B0BGZFRSQG,"#185.724, (Kosmetik)",-15.17 ,"-55,26 %"
'192333142936,24.95,B0BGZGBCXN,-,-5.43 ,"-19,38 %"
'0192333148372,28.0,B0B2VFW92C,"#188.215, (Kosmetik)",1.07 ,"2,61 %"
'020714243753,25.45,B00BNAQWV2,"#79.728, (Kosmetik)",-24.59 ,"-2.458,82 %"
'020714236960,16.95,B000ALINIU,"#46.026, (Kosmetik)",-5.17 ,"-29,38 %"
'800897813710,7.6,B00B4YVU4G,"#552, (Kosmetik)",-4.45 ,"-58,52 %"
'3605533330142,24.1,B00YTHADGG,"#106.459, (Kosmetik)",-6.70 ,"-27,80 %"
'3605533330265,24.45,B00YTHAJVU,"#68.870, (Kosmetik)",-6.76 ,"-27,63 %"
'3605533330326,21.79,B00YTHAMXA,"#77.327, (Kosmetik)",0.69 ,"2,16 %"
'3605533330388,23.95,B00YTHAQ2M,"#68.870, (Kosmetik)",-22.67 ,"-2.267,12 %"
'3605533330500,21.79,B00YTHAVJ0,"#68.870, (Kosmetik)",-20.85 ,"-2.085,09 %"
'689304077026,20.99,B00JDTJNXE,"#77.712, (Kosmetik)",-6.23 ,"-29,69 %"
'020714873752,26.95,B072MMVSJP,"#8.525, (Kosmetik)",-7.73 ,"-29,63 %"
'020714873738,26.45,B071JV4ZBS,"#8.525, (Kosmetik)",2.22 ,"5,55 %"
'3600531411114,7.31,B073H9NVTH,"#214, (Kosmetik)",-3.15 ,"-39,38 %"
'689304077057,20.99,B01M5CZAXM,"#12.050, (Kosmetik)",-6.23 ,"-29,69 %"
'689304860079,20.99,B00GI21NW8,"#12.050, (Kosmetik)",-6.23 ,"-29,69 %"
'689304860048,20.99,B006O8DKJK,"#12.050, (Kosmetik)",-5.54 ,"-25,21 %"
'3600531513443,10.99,B07G36NHMB,"#20.566, (Kosmetik)",-5.53 ,"-61,84 %"
'3600531579036,10.99,B07VJR1RKV,"#214, (Kosmetik)",-6.87 ,"-96,01 %"
'3600531469412,10.99,B077N77HSB,"#214, (Kosmetik)",-5.63 ,"-62,96 %"
'3600531469467,10.99,B077NDT2ZQ,"#214, (Kosmetik)",-6.28 ,"-79,03 %"
'3600531469481,7.2,B077NDLXH4,"#214, (Kosmetik)",-3.76 ,"-52,23 %"
'3600531469429,10.99,B077N6XM8Q,"#214, (Kosmetik)",-5.66 ,"-63,67 %"
'3600531631062,10.99,B08NVRWNP2,"#214, (Kosmetik)",-6.87 ,"-96,01 %"
'800897004521,9.59,B08MRF17R8,"#158.737, (Kosmetik)",-10.60 ,"-1.060,18 %"
'800897004484,9.59,B08MRGZ558,"#358.015, (Kosmetik)",-10.60 ,"-1.060,17 %"
'800897004576,9.59,B08MRC7JXN,"#946, (Kosmetik)",-4.10 ,"-40,20 %"
'800897004552,9.59,B08MRMLTKQ,"#946, (Kosmetik)",-3.85 ,"-40,18 %"
'800897004545,9.59,B08MRMLQRN,"#946, (Kosmetik)",-4.10 ,"-40,20 %"
'800897004538,9.59,B08MRKPT9H,"#946, (Kosmetik)",-4.10 ,"-40,19 %"
'800897004507,9.59,B08MRC8FBY,"#946, (Kosmetik)",-4.10 ,"-40,20 %"
'818107028748,59.0,B09V8G5WMR,-,-13.68 ,"-23,58 %"
'773602470228,38.99,B0BJZ61DGC,"#95.542, (Kosmetik)",-35.30 ,"-3.530,18 %"
'4052136111262,5.95,B08G9J2SKH,"#1.170, (Kosmetik)",-3.37 ,"-56,64 %"
'3600531638887,14.99,B09SM1NL88,"#779, (Kosmetik)",-6.01 ,"-40,20 %"
'3600531662226,14.99,B0B5ZZM49C,"#779, (Kosmetik)",-6.01 ,"-40,20 %"
'4020829045187,24.0,B06ZZFXQ5R,"#196.149, (Kosmetik)",-23.36 ,"-2.336,32 %"
'4020829045149,24.0,B071R5PDMT,"#23.328, (Kosmetik)",-6.06 ,"-23,45 %"
