EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'4064666302003,31.95,B07LC835JF,"#6.085, (Kosmetik)",-11.95 ,"-40,62 %"
'3264680024757,35.27,B09QVKBTSZ,"#60.116, (Kosmetik)",-16.81 ,"-70,02 %"
'3605530741507,23.6,B00BVO5NR4,"#105.234, (Kosmetik)",1.98 ,"5,34 %"
'3614225378928,36.3,B07GRV23TH,-,-34.09 ,"-3.408,68 %"
'4020829005662,10.62,B00OLPCCYM,"#15.884, (Kosmetik)",-4.03 ,"-32,25 %"
'5060022303430,28.95,B09PCCD9FG,"#31.637, (Kosmetik)",-8.46 ,"-29,24 %"
'8809416470054,30.0,B00OZEJ8R8,"#2.281, (Kosmetik)",-13.81 ,"-61,43 %"
'5060879821989,6.95,B09PP466HX,"#4.013, (Kosmetik)",-4.68 ,"-67,32 %"
'5025232917013,178.45,B09PN72D1N,"#2.104, (Drogerie & Körperpflege)",-38.20 ,"-22,48 %"
'8809115025050,24.4,B010FOFSH0,"#11.034, (Kosmetik)",-8.39 ,"-36,55 %"
'3605975080872,20.4,B00817BQY8,"#167.650, (Kosmetik)",-20.73 ,"-2.072,88 %"
'4001638500821,17.5,B076D9K2KR,-,-17.91 ,"-1.791,10 %"
'4001638088336,23.5,B000ZP499I,"#1.270, (Kosmetik)",-7.41 ,"-31,09 %"
'9007867007129,39.95,B00X5MW45E,"#129.743, (Kosmetik)",-8.67 ,"-20,63 %"
'9007867007303,33.95,B00NIRBBW8,"#47.061, (Kosmetik)",-8.03 ,"-22,35 %"
'697045158706,19.99,B004UQH5TE,"#88.731, (Kosmetik)",-7.13 ,"-35,67 %"
'4260576411600,29.99,B09YMJVJ1J,"#50.831, (Kosmetik)",-6.22 ,"-18,92 %"
'3540550008288,57.91,B079LH68K7,"#46.890, (Kosmetik)",-20.68 ,"-44,48 %"
'7350092139519,162.4,B08G9B22QS,"#57.065, (Kosmetik)",-2.32 ,"-1,16 %"
'7350120791177,165.15,B0BBVQ8D2Q,"#54.788, (Kosmetik)",-28.54 ,"-17,05 %"
'4016083053334,9.6,B09KQ1L6N1,"#31.467, (Kosmetik)",-3.25 ,"-25,14 %"
'3259550753974,79.0,B00TPGKDY8,"#47.477, (Kosmetik)",-10.49 ,"-12,06 %"
'4260180218640,21.11,B083TXDJWB,"#62.323, (Kosmetik)",-4.63 ,"-18,57 %"
'4260180218633,19.95,B08P5YB5B6,"#73.280, (Kosmetik)",-3.65 ,"-14,64 %"
'9007867005293,16.95,B001126MYO,"#115.393, (Kosmetik)",-6.67 ,"-39,38 %"
'3264680015908,41.66,B07LBNLQ8L,"#49.245, (Kosmetik)",-10.17 ,"-24,23 %"
'8015150250887,38.9,B0077L7LR0,"#69.158, (Kosmetik)",-14.97 ,"-45,99 %"
'3259550754902,95.0,B00TPGMHNI,"#85.196, (Kosmetik)",-14.62 ,"-14,63 %"
'4210201177760,54.85,B07DGK94PD,"#3.877, (Drogerie & Körperpflege)",-22.47 ,"-55,60 %"
'4008666353405,12.5,B099NKB2JT,"#10.940, (Kosmetik)",-2.85 ,"-17,28 %"
'4020829007284,26.35,B01B1KNHCK,"#70.816, (Kosmetik)",-4.73 ,"-15,43 %"
'3264680025105,24.22,B08XYYJS6Q,"#14.601, (Baby)",-7.50 ,"-30,52 %"
'5203069098260,17.17,B08RCDCSM1,"#31.069, (Kosmetik)",-2.74 ,"-11,99 %"
'4015165359586,30.99,B09YLXPCTQ,"#41.483, (Kosmetik)",-10.47 ,"-37,44 %"
'5060022303423,31.95,B09PCBM8WB,"#46.384, (Kosmetik)",-9.01 ,"-28,21 %"
'8886482913159,20.4,B0BNPVZS65,"#32.951, (Kosmetik)",-4.49 ,"-18,47 %"
'5060879821583,14.95,B09PP25YQM,"#17.249, (Kosmetik)",-5.64 ,"-35,29 %"
'9007867001011,22.95,B000Q0ZKK4,"#36.683, (Kosmetik)",-6.39 ,"-25,60 %"
'3264680016530,50.99,B07F1K2KH6,"#36.639, (Kosmetik)",-22.12 ,"-61,47 %"
'020714966942,22.2,B07RQ732N5,"#105.030, (Kosmetik)",-21.86 ,"-2.185,58 %"
'020714966966,26.95,B07RQ7CG75,"#45.452, (Kosmetik)",-9.43 ,"-38,43 %"
'020714966935,22.2,B07RPB7WST,"#128.703, (Kosmetik)",-4.88 ,"-19,22 %"
'9007867005033,15.95,B00112DIS2,"#181.493, (Kosmetik)",-16.60 ,"-1.659,60 %"
'9007867005125,18.95,B003HLHSMW,"#58.085, (Kosmetik)",-5.75 ,"-27,76 %"
'4013566006306,22.39,B08VD7NTN2,"#23.575, (Kosmetik)",-5.63 ,"-22,97 %"
'9007867005927,30.57,B00112BGYA,"#48.812, (Kosmetik)",-29.47 ,"-2.947,23 %"
'5000444041084,16.18,B09MP1FLVP,"#149.470, (Kosmetik)",2.30 ,"7,94 %"
'8809563100330,9.9,B08M5L3JC8,"#76.565, (Kosmetik)",0.66 ,"3,81 %"
'737925954964,31.99,B011F5WIAS,-,-7.87 ,"-23,88 %"
'737925954971,39.99,B011F5WIZI,"#70.850, (Drogerie & Körperpflege)",-9.46 ,"-23,10 %"
'4085404530298,13.39,B00DDO9L00,"#8.878, (Kosmetik)",-8.20 ,"-91,58 %"
'9007867006122,35.95,B003HLOPXM,"#147.290, (Kosmetik)",-33.99 ,"-3.399,14 %"
'717334237278,37.5,B07G85CPF3,"#158.949, (Kosmetik)",-9.74 ,"-25,98 %"
'4752223008139,28.86,B092X88PZ8,"#63.311, (Kosmetik)",-8.37 ,"-30,26 %"
'697045153664,44.63,B011UCVX9I,"#32.114, (Kosmetik)",-4.25 ,"-7,85 %"
'8809572890291,26.9,B07FMSG8FR,"#25.654, (Kosmetik)",-9.09 ,"-35,57 %"
'4020829007222,29.99,B00HORV0HE,"#110.595, (Kosmetik)",-28.39 ,"-2.839,39 %"
'4025087420011,11.0,B08H21NKFS,"#16.606, (Kosmetik)",-2.80 ,"-18,31 %"
'885190820009,16.59,B01060H7MC,"#96.918, (Kosmetik)",-17.52 ,"-1.752,01 %"
'9007867005316,22.95,B00112DJ18,"#47.125, (Kosmetik)",-6.39 ,"-25,59 %"
