EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'8806090486845,79.0,B08C5HFL69,"#592, (Elektronik & Foto)",-14.45 ,"-19,82 %"
'4016803091332,969.0,B0B6WR3FNQ,-,-947.66 ,"-94.765,93 %"
'4242003816820,869.99,B076LFP21K,"#2.732, (Elektro-Großgeräte)",-127.15 ,"-14,61 %"
'5702017154923,34.99,B09QFM2945,"#59.021, (Spielzeug)",-11.49 ,"-31,14 %"
'5702017154114,15.99,B09QFS1WF6,"#6.520, (Spielzeug)",-8.57 ,"-61,28 %"
'5702017154312,24.99,B09QFLR5PC,"#15.853, (Spielzeug)",-25.24 ,"-2.524,48 %"
'5702017155746,3.99,B09QTY5K4N,"#91.760, (Spielzeug)",-5.91 ,"-591,43 %"
'7313400015011,24.99,B06VXWC55W,"#81.797, (Spielzeug)",-11.62 ,"-46,51 %"
'5702017155586,26.99,B09QFVV1KR,"#11.526, (Spielzeug)",-10.89 ,"-45,37 %"
'5702016109795,139.99,B078K4K423,"#6.756, (Spielzeug)",-126.78 ,"-12.678,08 %"
'4002516296270,929.0,B085LX23HL,"#6.185, (Elektro-Großgeräte)",-135.16 ,"-14,55 %"
'4242003858820,949.99,B08G87KY5L,"#1.109, (Elektro-Großgeräte)",-149.36 ,"-15,81 %"
'7332543770489,599.99,B08TC1FFJS,"#15.664, (Elektro-Großgeräte)",-77.71 ,"-12,95 %"
'8710103783367,164.99,B01J9WQP76,"#2.135, (Beleuchtung)",-43.09 ,"-28,92 %"
'4210201222996,159.99,B07MXYZLSP,"#6.826, (Drogerie & Körperpflege)",-47.63 ,"-35,58 %"
'0190199839878,389.0,B08J6PDF4F,"#32.928, (Elektronik & Foto)",-330.20 ,"-33.020,21 %"
'8710103878766,299.99,B07FKHDH1Y,"#33.217, (Drogerie & Körperpflege)",-257.15 ,"-25.715,31 %"
'5702017154145,14.99,B09QFK6RHZ,"#7.330, (Spielzeug)",-7.76 ,"-55,66 %"
'3030050148336,59.99,B005PX7C6W,"#2.402, (Kosmetik)",-14.51 ,"-24,18 %"
'5702017155296,37.99,B09QFWNZJH,"#41.148, (Spielzeug)",-37.92 ,"-3.791,51 %"
'8710103927679,111.0,B08CJ4C4JP,"#94.931, (Bürobedarf & Schreibwaren)",-99.27 ,"-9.926,80 %"
