EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'0737052074306,56.0,B009WU7FB6,"#1.911, (Kosmetik)",-50.36 ,"-5.035,57 %"
'4015000969567,4.99,B084QVQHC5,"#195, (Drogerie & Körperpflege)",-4.69 ,"-109,35 %"
'8001841954172,4.65,B097B1TM45,"#1.057, (Drogerie & Körperpflege)",-8.14 ,"-814,26 %"
'8001841953793,3.75,B097B11CS1,"#54.674, (Drogerie & Körperpflege)",-5.08 ,"-156,38 %"
'4015000969475,4.99,B084QW1CC3,"#415, (Drogerie & Körperpflege)",-5.08 ,"-118,31 %"
'8001841954042,4.65,B097B2BCN4,"#9.235, (Drogerie & Körperpflege)",-7.73 ,"-773,30 %"
'4015100800487,5.99,B0BRJQNBRD,"#4.702, (Kosmetik)",-3.59 ,"-60,40 %"
'8006540732045,4.65,B0BW8V4PZH,"#3.622, (Drogerie & Körperpflege)",-5.84 ,"-179,69 %"
'4015000969581,4.99,B084QVL34Y,"#1.394, (Drogerie & Körperpflege)",-4.16 ,"-83,44 %"
'4015100800524,4.99,B0BRJQTD9T,"#1.105, (Kosmetik)",-4.27 ,"-86,31 %"
'4005900735164,3.59,B086ND5CXC,"#590, (Kosmetik)",-4.86 ,"-152,30 %"
'4015000969529,4.99,B084S5DVKT,"#978, (Drogerie & Körperpflege)",-5.08 ,"-118,31 %"
'4015400728429,4.65,B014SV16BI,"#165.983, (Drogerie & Körperpflege)",-8.93 ,"-893,42 %"
'4062196082235,3.69,B083M28ZG1,-,-6.70 ,"-669,77 %"
'8006540424230,3.29,B09NRQR3GK,"#438, (Kosmetik)",-4.49 ,"-163,14 %"
'5702017421100,3.99,B0BPMJDRJM,"#84.420, (Computer & Zubehör)",-6.56 ,"-655,98 %"
'5702017419237,20.99,B0BRJLKS86,"#399, (Spielzeug)",-10.41 ,"-63,00 %"
'8001841429847,27.95,B0852NRDYN,"#1.209, (Kosmetik)",-13.81 ,"-69,09 %"
'4006333061356,24.99,B081J3XT1K,"#16.268, (Spielzeug)",-18.07 ,"-147,65 %"
'4260528558568,129.95,B098D9BDN7,"#147.536, (Drogerie & Körperpflege)",-112.93 ,"-11.292,75 %"
'5702017419381,62.99,B0BV7D5HBC,"#2.235, (Spielzeug)",-27.91 ,"-62,10 %"
'5702017421551,3.99,B0BVJ17FMJ,"#22.721, (Spielzeug)",-5.91 ,"-590,60 %"
'5060630047955,19.95,B09TPRDT8N,"#6.351, (Kosmetik)",-8.12 ,"-45,21 %"
'3701405800390,36.99,B094NW14XC,"#18.574, (Spielzeug)",-17.27 ,"-64,00 %"
'4015200032665,10.49,B0C1KMVZB9,"#97.458, (Drogerie & Körperpflege)",-13.09 ,"-1.309,26 %"
'4001499939891,3.49,B07DGYD4XF,"#17.198, (Drogerie & Körperpflege)",-4.88 ,"-165,45 %"
'817513010002,8.99,B009AZ3WH4,"#467, (Kosmetik)",-6.23 ,"-78,32 %"
'3616304062483,74.5,B0BSLGNX5S,-,-25.44 ,"-42,44 %"
'0817513010033,8.99,B008D5I61Y,"#49.457, (Kosmetik)",-5.84 ,"-73,43 %"
'5702016913514,19.99,B09BNV5CC5,"#1.278, (Spielzeug)",-11.91 ,"-85,11 %"
'0194735149353,59.99,B0BN15JN4D,"#33.401, (Spielzeug)",-20.21 ,"-36,76 %"
'5702017400280,3.99,B0BPMJRDTL,"#51.995, (Computer & Zubehör)",-5.90 ,"-590,45 %"
'8006540760437,79.95,B0B4WSRZXG,"#4.535, (Drogerie & Körperpflege)",-37.99 ,"-77,05 %"
'5702017421483,3.99,B0BPMFXD78,"#5.936, (Games)",-6.57 ,"-656,55 %"
'778988364345,99.99,B09RNGP5G6,"#780, (Spielzeug)",-37.09 ,"-45,23 %"
'4022167602107,44.99,B0987STTXP,"#27.604, (Drogerie & Körperpflege)",-22.02 ,"-76,21 %"
'4059433574325,19.99,B09S3WBRLK,"#2.412, (Spielzeug)",-9.83 ,"-57,87 %"
'6942138968156,21.99,B07TPRCDWM,"#247.424, (Spielzeug)",-24.42 ,"-2.441,71 %"
'4014519746010,22.0,B09WYNSG6K,"#34, (Bürobedarf & Schreibwaren)",-11.94 ,"-85,59 %"
'4041417662081,29.99,B0B82FGS1P,"#7.915, (Games)",-8.54 ,"-28,47 %"
'3614273636582,82.0,B0BV2KZ38Z,"#36.952, (Kosmetik)",-34.13 ,"-60,42 %"
