EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'4710751505285,311.99,B07W5M4MYC,-,19.71 ,"5,12 %"
'0608065636334,397.99,B07PP7QV84,"#791.021, (Sport & Freizeit)",157.67 ,"21,78 %"
'5055939914879,38.99,B01MS8J3D5,-,25.68 ,"29,10 %"
'8030819234398,100.99,B09D7PVDZ4,-,16.23 ,"10,47 %"
'0608065636334,397.99,B07PP7QV84,"#791.021, (Sport & Freizeit)",157.67 ,"21,78 %"
'5034948130180,47.99,B0854NKLYX,-,26.16 ,"26,78 %"
'0194626485546,86.99,B0BVGMVY72,-,15.05 ,"11,67 %"
'0194626396200,67.99,B08WL43743,"#2.934.853, (Fashion)",14.62 ,"12,72 %"
'6009699039760,106.99,B072F4QKY9,-,42.46 ,"20,92 %"
'0190445016428,81.99,B08254F5ND,"#538.477, (Sport & Freizeit)",12.40 ,"10,32 %"
'0012527009770,331.99,B00HGU3T64,-,14.45 ,"3,47 %"
'4062218476479,83.99,B0BHTF2KV7,"#178.462, (Sport & Freizeit)",12.35 ,"10,32 %"
'5056305733445,142.99,B0BNLG5WXJ,-,27.53 ,"13,30 %"
'0194626485560,86.99,B0BVGJSMLY,-,16.76 ,"13,15 %"
'0194626426211,108.99,B09VCSJ1J6,-,34.46 ,"17,40 %"
'0194626421438,108.99,B09VCRKT7B,-,34.40 ,"17,37 %"
'0610934326697,108.99,B084CX3KDD,-,41.56 ,"20,99 %"
'4895161701585,21.99,B0107EEXME,-,11.00 ,"23,11 %"
'4052285591410,68.99,B076KRZ8QX,"#110.788, (Sport & Freizeit)",33.22 ,"25,55 %"
'4250450712329,86.99,B016DEIOUO,"#20.588, (Sport & Freizeit)",14.93 ,"10,78 %"
'0768686353147,114.99,B08GFB52P2,-,34.28 ,"17,30 %"
'4710582543340,109.99,B08DZJKMNR,"#567.253, (Sport & Freizeit)",22.22 ,"13,56 %"
'4054571186928,34.99,B08NWB6QN8,"#330.797, (Sport & Freizeit)",18.64 ,"27,83 %"
'8030819314298,79.99,B0BRR7XVSR,-,12.72 ,"10,60 %"
'0810002577666,72.99,B09ZVRBHW6,-,20.01 ,"16,12 %"
