Product Title,Price,EAN,URL
Yeelight Crystal Pendant Light Pendelleuchte,99.00,'6924922203292,https://www.alza.de/yeelight-crystal-pendant-light-pendelleuchte-d5620945.htm
Gosund Smart Plug SP1,13.90,'GoSnd03,https://www.alza.de/gosund-smart-plug-sp1-d6253991.htm
"Sonoff NSPanel EU, grau",60.90,'6920075776393,https://www.alza.de/sonoff-nspanel-eu-grau-d7471239.htm
Abysse Harry Potter Becher - Gryffindor,10.90,'3700789236283,https://www.alza.de/gaming/abysse-harry-potter-becher-gryffindor-d5491324.htm
Sonoff T1EU2C-TX Series,23.90,'6920075725315,https://www.alza.de/sonoff-t1eu2c-tx-series-d5711529.htm
Curver Wäschekorb 40l Creme-Rattan,17.90,'CUR1011a39,https://www.alza.de/curver-waschekorb-40-liter-creme-rattan-d4575937.htm
Epson Expression Home XP-3150,74.90,'8715946698182,https://www.alza.de/epson-expression-home-xp-3150-d6883879.htm
Epson WorkForce WF-2870DWF,97.90,'8715946698380,https://www.alza.de/epson-workforce-wf-2870dwf-d6800323.htm
ASUS TUF GAMING B450M-PLUS II,85.90,'4718017927185,https://www.alza.de/asus-tuf-gaming-b450m-plus-ii-d6219600.htm
ASUS TUF GAMING B450M-PLUS II,85.90,'4718017927185,https://www.alza.de/asus-tuf-gaming-b450m-plus-ii-d6219600.htm
Zalman S4,38.90,'CA069d7d1,https://www.alza.de/zalman-s4-d5782491.htm
NZXT H7 Mattes Weiß,81.90,'5060301696970,https://www.alza.de/nzxt-h7-mattes-weiss-d7212835.htm
Seasonic Focus Plus 550 Platinum,110.90,'4711173873563,https://www.alza.de/seasonic-focus-plus-550-platinum-d5041958.htm
Comfast 759B,17.90,'6955410015158,https://www.alza.de/comfast-759b-d6119993.htm
"AlzaPower Adapter DisplayPort (M) auf DisplayPort (M) 1,5 m - weiss",6.79,'APWCB130f,https://www.alza.de/alzapower-displayport-m-na-displayport-m-propojovaci-1-5m-bily?dq=5714881
AlzaPower LinkCore USB A-B 2m schwarz,3.79,'APWCB020b,https://www.alza.de/alzapower-linkcore-usb-a-b-2m-schwarz-d5509713.htm
"AlzaPower FlexCore USB-C to USB-C 3.2 Gen 2, 5A, 100 Watt - schwarz",11.90,'APWCB731k,https://www.alza.de/alzapower-flexcore-usb-c-to-usb-c-32-gen-2-5a-100-watt-schwarz-d5836335.htm
"AlzaPower DisplayPort (M) auf DisplayPort (M) 1,5 m Verbindungskabel schwarz",7.29,'APWCB130e,https://www.alza.de/alzapower-displayport-m-na-displayport-m-propojovaci-1-5m-bily?dq=5714873
AlzaPower Metal 20000mAh Fast Charge + PD3.0 Schwarz,23.90,'APWPB160q,https://www.alza.de/alzapower-metal-20000mah-fast-charge-pd30-schwarz-d5683598.htm
AlzaPower Smart Charger 2.1A weiß,8.19,'AEY0151,https://www.alza.de/alzapower-smart-charger-2-1a-white-d5321578.htm
AlzaPower Core Charge 2.0 USB-C 3m Weiß,8.09,'APWCB119s,https://www.alza.de/alzapower-core-charge-2-0-usb-c-3m-weiss-d5871669.htm
TESLA AeroStar T500,62.90,'8594163277086,https://www.alza.de/tesla-aerostar-t500-d6190594.htm
Electrolux PI92-4ANM Serie PURE i9.2,661.90,'7332543702190,https://www.alza.de/electrolux-pi92-4anm-serie-pure-i92-d5684609.htm
AlzaErgo SBM115 weiss,23.90,'8595691002287,https://www.alza.de/alzaergo-sbm115-weiss-d6097295.htm
AlzaPower WF220 Wireless Fast Charger weiß,12.90,'APWCC106w,https://www.alza.de/alzapower-wf220-wireless-fast-charger-weiss-d6103144.htm
AlzaErgo Table ETJ100 grau,122.90,'AEY0809d,https://www.alza.de/alzaergo-table-etj100-grau-d6102961.htm
AlzaErgo Table ET1 NewGen schwarz,448.90,'AEY0806d,https://www.alza.de/alzaergo-table-et1-newgen-schwarz-d5647309.htm
"AlzaPower Core USB-C 3.2 Gen1, 1 m weiß",4.90,'APWCB116s,https://www.alza.de/alzapower-core-usb-c-3-2-gen1-1-m-weiss-d5472814.htm
AlzaPower Super Alkaline LR14 (C) 4St in Öko-Box,8.09,'AEYB0120,https://www.alza.de/alzapower-super-alkaline-lr14-c-4st-in-oko-box-d5287001.htm
Siguro RC 350 Rice Chef mit Dampfgarer,10.90,'8595691011913,https://www.alza.de/siguro-rc-350-rice-chef-mit-dampfgarer-d6634542.htm
Concept VP8291 4A PERFECT CLEAN 700 Watt - Staubsauger,121.90,'8595631006894,https://www.alza.de/concept-vp8291-4a-perfect-clean-700-watt-staubsauger-d5825007.htm
"24"" BenQ BL2420PT",200.00,'4718755054495,https://www.alza.de/24-benq-bl2420pt-d2646706.htm
Funko POP! Star Wars The Book of Boba Fett - Cad Bane,6.90,'889698686495,https://www.alza.de/gaming/funko-pop-star-wars-the-book-of-boba-fett-cad-bane-d7505156.htm
Epson Expression Home XP-3150,74.90,'8715946698182,https://www.alza.de/epson-expression-home-xp-3150-d6883879.htm
EVGA SuperNOVA 850 GM SFX+ATX,154.90,'4250812440167,https://www.alza.de/evga-supernova-850-gm-sfxatx-d6908435.htm
Epson WorkForce WF-2870DWF,97.90,'8715946698380,https://www.alza.de/epson-workforce-wf-2870dwf-d6800323.htm
Ball 51 cm - Bunt,3.69,'6941057450407,https://www.alza.de/spielzeug/mic-51-cm-barevny-d4830125.htm
AlzaErgo Table ETJ100 grau,122.90,'AEY0809d,https://www.alza.de/alzaergo-table-etj100-grau-d6102961.htm
AlzaErgo TTE-01 140×80 cm Bambus,121.90,'AEY0804C1,https://www.alza.de/alzaergo-tte-01-140x80cm-bambus-d5647308.htm
Marvel - Spider-Man - Figur,41.90,'699788182512,https://www.alza.de/gaming/marvel-spider-man-figur-d7153607.htm
AlzaPower WF220 Wireless Fast Charger schwarz,16.90,'APWCC106b,https://www.alza.de/alzapower-wf220-wireless-fast-charger-schwarz-d6103154.htm
AlzaPower Metal 20000mAh Fast Charge + PD3.0 Silber,29.90,'APWPB160s,https://www.alza.de/alzapower-metal-20000mah-fast-charge-pd30-silber-d5683595.htm
Siguro RC 350 Rice Chef mit Dampfgarer,10.90,'8595691011913,https://www.alza.de/siguro-rc-350-rice-chef-mit-dampfgarer-d6634542.htm
AlzaPower Q100 Quick Charge 3.0 schwarz,12.90,'AEY0160,https://www.alza.de/alzapower-q100-quick-charge-3-0-black-d5324257.htm
