Product Title,Price,EAN,URL
dhbHydron Thermo Wetsuit Damen,105.99,'5056389444879,https://www.fahrrad.de/dhb-hydron-thermo-wetsuit-damen-M1265879.html?vgid=G1867418
dhbHydron Neoprene 2.0 Badekappe Herren schwarz,9.99,'5056305570583,https://www.fahrrad.de/dhb-hydron-neoprene-2.0-badekappe-herren-M1287506.html?vgid=G1908602
dhbHydron 2.0 Schwimmhandschuhe Herren schwarz,14.99,'5056305571115,https://www.fahrrad.de/dhb-hydron-2.0-schwimmhandschuhe-herren-M1287503.html?vgid=G1908599
HUUBAlchemy 3:5 Neoprenanzug Herren schwarz,479.99,'5056605112605,https://www.fahrrad.de/huub-alchemy-310-wetsuit-herren-M1344282.html?vgid=G2015712
"ZoggsBlack Marlin 5.3.1,5 Triathlonanzug Damen schwarz",258.99,'0194151040005,https://www.fahrrad.de/zoggs-black-marlin-5.3.15-tri-wetsuit-damen-M1296433.html?vgid=G1929082
Red Cycling ProductsFlat Pedal AL schwarz,29.99,'4052406204137,https://www.fahrrad.de/red-cycling-products-flat-pedal-al-M131975.html?vgid=G537414
"ContinentalGrandPrix 5000 Faltreifen 28x1.00"" schwarz",43.99,'4019238007824,https://www.fahrrad.de/continental-grandprix-5000-faltreifen-28x100-M152296.html?vgid=G908007
Red Cycling ProductsMTB Kombi Pedale SPD schwarz,28.99,'4052406273102,https://www.fahrrad.de/red-cycling-products-mtb-kombi-pedals-spd-M706014.html?vgid=G954387
ShimanoPD-M520 Pedale SPD schwarz,35.99,'4524667060475,https://www.fahrrad.de/shimano-pd-m520-pedale-spd-M755651.html?vgid=G1040999
Red Cycling ProductsT-RX Vorbau schwarz,16.99,'4052406366736,https://www.fahrrad.de/red-cycling-products-t-rx-vorbau-M1095200.html?vgid=G1616948
ShimanoPD-M520 Pedale SPD silber,33.99,'4524667060468,https://www.fahrrad.de/shimano-pd-m520-pedale-spd-M755651.html?vgid=G1041002
ErgonGE1 Evo Factory Griffe schwarz,31.99,'4260477066534,https://www.fahrrad.de/ergon-ge1-evo-factory-griffe-M121939.html?vgid=G708422
ODITroy Lee Designs MTB Lock-On Griffe schwarz,25.99,'0711484159343,https://www.fahrrad.de/odi-bonus-pack-griffe-troy-lee-designs-M742403.html?vgid=G1013840
"TruvativHussefelt Vorbau Ø31,8mm schwarz",23.99,'0710845664939,https://www.fahrrad.de/truvativ-hussefelt-vorbau-o318mm-M131521.html?vgid=G320691
ShimanoDeore XT SM-RT86 Bremsscheibe grau,29.99,'4524667744672,https://www.fahrrad.de/shimano-deore-xt-sm-rt86-bremsscheibe-ice-tech-M319594.html?vgid=G357584
"Red Cycling ProductsRaddozer Federsattelstütze Ø27,2mm schwarz",37.99,'4052406331666,https://www.fahrrad.de/red-cycling-products-raddozer-federsattelstuetze-o272mm-M978870.html?vgid=G1424883
"Red Cycling ProductsMTB R20 Lenker Ø31,8mm schwarz",12.99,'4052406366750,https://www.fahrrad.de/red-cycling-products-mtb-r20-lenker-o318mm-M1095197.html?vgid=G1616945
"Red Cycling ProductsMountain XL 18 Lenker Ø31,8 700mm schwarz",9.99,'4052406138883,https://www.fahrrad.de/red-cycling-products-mountain-xl-18-bar-o318-700mm-M338857.html?vgid=G379172
Race FaceChester Pedale schwarz,51.99,'0821973353555,https://www.fahrrad.de/race-face-chester-pedale-M755630.html?vgid=G1040918
ODIRuffian Griffe Bonus Pack Lang schwarz,23.49,'0711484103629,https://www.fahrrad.de/odi-ruffian-griffe-bonus-pack-lang-M742394.html?vgid=G1013819
ODIRuffian Griffe Bonus Pack Lang schwarz/silber,23.49,'0711484102721,https://www.fahrrad.de/odi-ruffian-griffe-bonus-pack-lang-M742394.html?vgid=G1013816
ShimanoAlivio RD-M3100 Schaltwerk 9-fach schwarz,24.99,'4550170621155,https://www.fahrrad.de/shimano-alivio-rd-m3100-schaltwerk-9-fach-M910831.html?vgid=G1304179
"SRAMXG-1150 Kassette 11-fach, 10-42 Zähne schwarz",103.99,'0710845770630,https://www.fahrrad.de/sram-xg-1150-11-fach-10-42-zaehne-M360780.html?vgid=G404769
ShimanoUltegra PD-R8000 Pedale,126.99,'4524667646297,https://www.fahrrad.de/shimano-ultegra-pd-r8000-pedale-M459093.html
"MaxxisMinion DHR II Faltreifen 27.5"" DualC TR EXO",34.99,'4717784030609,https://www.fahrrad.de/maxxis-minion-dhr-ii-wt-27.5-dualc-tr-exo-faltbar-M441242.html
Race FaceChester Pedale rot,54.99,'0821973353616,https://www.fahrrad.de/race-face-chester-pedale-M755630.html?vgid=G1040924
ShimanoDeore XT RD-M8000 Schaltwerk 11-fach schwarz,70.99,'4524667919995,https://www.fahrrad.de/shimano-deore-xt-rd-m8000-schaltwerk-11-fach-M361784.html?vgid=G405914
"Red Cycling ProductsRaddozer Federsattelstütze Ø30,9mm schwarz",28.99,'4052406331680,https://www.fahrrad.de/red-cycling-products-raddozer-federsattelstuetze-o309mm-M978873.html?vgid=G1424886
ShimanoGRX FD-RX400 Umwerfer 2x10 Anlöt schwarz/silber,24.99,'4550170448479,https://www.fahrrad.de/shimano-grx-fd-rx400-umwerfer-2x10-anloet-M739385.html?vgid=G1007933
