Product Title,Price,EAN,URL
 Fuxon Spiralkabelschloss ,4.99,'4030701045471,https://www.radwelt-shop.de/zubehoer-teile/fahrradschloesser/spiralkabelschloesser/5022/fuxon-spiralkabelschloss
 Gazelle Tour Populair 3 Damen schwarz 2023 ,879.00,'8717231223796,https://www.radwelt-shop.de/fahrraeder/hollandraeder/damen/11336/gazelle-tour-populair-3-damen-schwarz-2023
 Fuxon F-40 Scheinwerfer + Tagfahrlichtfunktion ,34.95,'4052862003695,https://www.radwelt-shop.de/zubehoer-teile/beleuchtung/dynamobetrieben/scheinwerfer/nabendynamo/5613/fuxon-f-40-scheinwerfer-tagfahrlichtfunktion
 ABUS Bordo Alarm 6000A ,119.95,'4003318778384,https://www.radwelt-shop.de/zubehoer-teile/fahrradschloesser/faltschloesser/13102/abus-bordo-alarm-6000a
 Fuxon Classic Retro mini Scheinwerfer ,14.99,'4052862012871,https://www.radwelt-shop.de/zubehoer-teile/beleuchtung/dynamobetrieben/scheinwerfer/nabendynamo/11721/fuxon-classic-retro-mini-scheinwerfer
 Gazelle Tour Populair USA Damen schwarz 2023 ,899.00,'8717231227343,https://www.radwelt-shop.de/fahrraeder/hollandraeder/damen/7557/gazelle-tour-populair-usa-damen-schwarz-2023?group[9]=119
 Gazelle Tour Populair USA Damen schwarz 2023 ,899.00,'8717231227350,https://www.radwelt-shop.de/fahrraeder/hollandraeder/damen/7557/gazelle-tour-populair-usa-damen-schwarz-2023?group[9]=130
 Babboe City Mountain 500 Wh schwarz ,3249.00,'8713568440868,https://www.radwelt-shop.de/e-bikes/e-lastenrad/16726/babboe-city-mountain-500-wh-schwarz
 Babboe City-E 450 Wh schwarz ,2999.00,'8713568442237,https://www.radwelt-shop.de/e-bikes/e-lastenrad/16725/babboe-city-e-450-wh-schwarz
 Gazelle Tour Populair 3 Herren schwarz 2023 ,879.00,'8717231223802,https://www.radwelt-shop.de/fahrraeder/hollandraeder/herren/11337/gazelle-tour-populair-3-herren-schwarz-2023?group[9]=130
 Gazelle Tour Populair 3 Herren schwarz 2023 ,879.00,'8717231223802,https://www.radwelt-shop.de/fahrraeder/hollandraeder/herren/11337/gazelle-tour-populair-3-herren-schwarz-2023?group[9]=154
 Gazelle Classic 3 Damen schwarz 2023 ,569.00,'8717231276853,https://www.radwelt-shop.de/fahrraeder/hollandraeder/damen/11813/gazelle-classic-3-damen-schwarz-2023?group[9]=119
 Gazelle Classic 3 Damen schwarz 2023 ,569.00,'8717231276846,https://www.radwelt-shop.de/fahrraeder/hollandraeder/damen/11813/gazelle-classic-3-damen-schwarz-2023?group[9]=130
 Gazelle Miss Grace C7 HMB 400 Wh Damen schwarz 2023 ,2399.00,'8717231356890,https://www.radwelt-shop.de/sale/e-bike-sale/e-bike-city/15022/gazelle-miss-grace-c7-hmb-400-wh-damen-schwarz-2023?group[9]=133
