Website,SpiderName,Scrape
aktialkv.fi,aktialkv,TRUE
blok.ai,blok,TRUE
bo.fi,bo,TRUE
centrallkv.fi,centrallkv,TRUE
habita.com,habita,TRUE
huoneistokeskus.fi,huoneistokeskus,TRUE
kiinteistomaailma.fi,kiinteistomaailma,TRUE
kotimeklarit.com,kotimeklarit,TRUE
neliotliikkuu.fi,neliotliikkuu,TRUE
nordlkv.fi,nordlkv,TRUE
opkoti.fi,opkoti,TRUE
qvadrat.fi,qvadrat,TRUE
remax.fi,remax,TRUE
rivehomes.com,rivehomes,TRUE
roof.com,roof,TRUE
solidhouse.fi,solidhouse,TRUE
sothebysrealty.fi,sothebysrealty,TRUE
westhouse.fi,westhouse,TRUE
