Brand,Model,Title,ASIN,Price,Discounted Price,Description,keyword,Status,Image,URL
HP,Pavilion,"HP 2023 Pavilion 15 15.6"" Touchscreen FHD Business Laptop, 12th Gen Intel 10-Core i7-1255U up to 4.7GHz, 64GB DDR4 RAM, 4TB SSD, WiFi 6, BT 5.3, Backlit KB, Fingerprint Reader, Windows 11 Pro",B0C3VTZGCD,1279.00,"1,099.99"," CPU: 12th Gen Intel Core i7-1255U Processor @ 2.10GHz (10 Cores, 12 Threads, 12M Cache, up to 4.70 GHz).  , Display: 15.6"" diagonal FHD IPS BrightView micro-edge WLED-backlit touch screen (1920 x 1080) Display; Graphics: Intel Iris Xᵉ Graphics.  , RAM: 64GB DDR4 SDRAM Memory; Hard Drive: 2TB PCIe NVMe M.2 SSD + 2TB SSD 2.5 SATA.  , MediaTek Wi-Fi 6 MT7921 (2x2) and Bluetooth 5.3 wireless card; 1 SuperSpeed USB Type-C 10Gbps signaling rate (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge); 2 SuperSpeed USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 AC smart pin; 1 headphone/microphone combo.  , Bundled with BROAG USB Extension Cable. Windows 11 Professional (64-bit). Full-size, backlit, natural silver keyboard with numeric keypad; Fingerprint reader; Natural Silver.  ",laptop,In Stock,"https://m.media-amazon.com/images/I/71kw86zv+QL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/61v3n5ZNV9L._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/618H-D4Bw-L._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/51LvH9nJzdL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/51IfxWb9oRL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/61xWyoUDZiL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/51IQaABPU7L._AC_SL1000_.jpg",https://www.amazon.com/HP-Pavilion-15-Touchscreen-Fingerprint/dp/B0C3VTZGCD/ref=sr_1_1?keywords=laptop&qid=1690823722&sr=8-1
HP,OMEN 30L GT13,"HP OMEN 30L GT13 Gaming Desktop Computer - AMD Ryzen 7 5700G 8-Core up to 4.60 GHz CPU, 64GB RAM, 4TB NVMe SSD + 16TB HDD, GeForce RTX 3090 24GB GDDR6 GPU, Custom Case Lighting, Windows 11 Home",B0CD86ZCWD,"3,219.00",," AMD Ryzen 7 5700G 8-Core 3.80 GHz Processor (20MB Total Cache, Turbo Boost up to 4.60 GHz)  , 64GB DDR4 3200 MHz Memory, 4TB PCIe NVMe M.2 SSD + 16TB Hard Drive, Windows 11 Home (64-bit)  , NVIDIA GeForce RTX 3090 24GB GDDR6 Graphics (1x HDMI 2.1, 3x DisplayPort 1.4), 4-Monitor Support  , 5.1 Surround Sound & DTS: X Ultra, Wi-Fi 6 (802.11ax) + Bluetooth 5.0 Wireless Card, Gigabit Ethernet (RJ-45)  , 2 x USB-A 3.1 Gen 2, 4 x USB-A 3.0 Gen 1, 2 x USB-A 2.0, 1 x USB 3.1 Gen 2 Type-C, 1x Audio Combo Jack  , 2-Year Warranty by Techno Intelligence & Free Tech Support, USB Keyboard & Mouse, Custom Case Lighting  ",gaming pc,In Stock,,https://www.amazon.com/dp/B0CD86ZCWD/ref=sr_1_5?keywords=gaming+pc&qid=1690823724&sr=8-5
HP,OMEN 30L GT13,"HP OMEN 30L GT13 Gaming Desktop Computer - AMD Ryzen 7 5700G 8-Core up to 4.60 GHz CPU, 128GB RAM, 4TB NVMe SSD + 16TB HDD, GeForce RTX 3090 24GB GDDR6 GPU, Custom Case Lighting, Windows 11 Home",B0CD86KWMY,"3,419.00",," AMD Ryzen 7 5700G 8-Core 3.80 GHz Processor (20MB Total Cache, Turbo Boost up to 4.60 GHz)  , 128GB DDR4 3200 MHz Memory, 4TB PCIe NVMe M.2 SSD + 16TB Hard Drive, Windows 11 Home (64-bit)  , NVIDIA GeForce RTX 3090 24GB GDDR6 Graphics (1x HDMI 2.1, 3x DisplayPort 1.4), 4-Monitor Support  , 5.1 Surround Sound & DTS: X Ultra, Wi-Fi 6 (802.11ax) + Bluetooth 5.0 Wireless Card, Gigabit Ethernet (RJ-45)  , 2 x USB-A 3.1 Gen 2, 4 x USB-A 3.0 Gen 1, 2 x USB-A 2.0, 1 x USB 3.1 Gen 2 Type-C, 1x Audio Combo Jack  , 2-Year Warranty by Techno Intelligence & Free Tech Support, USB Keyboard & Mouse, Custom Case Lighting  ",gaming pc,In Stock,"https://m.media-amazon.com/images/I/61xg3z8Wk7L._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/71XidvcyGzL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/71xIplo75JL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/616aRfMA+TS._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/71P3xaaehsL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/71EZa5LKsxL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/61tbxjqRDAL._AC_SL1301_.jpg",https://www.amazon.com/dp/B0CD86KWMY/ref=sr_1_4?keywords=gaming+pc&qid=1690823724&sr=8-4
BTO,SFF BTO,"BTO Gaming Desktop Computer RGB PC, Intel Core i5, 32GB DDR4 Ram, New 256GB SSD + 2TB Hard Drive, HDMI, RGB Keyboard and Mouse, Type C Port, NVIDIA GeForce GT-1030, Windows 10 Pro (Renewed)",B0CD8952XL,319.99,," 【 PROCESSOR 】Intel Core i5 7th Generation 3.4GHz Processor so you can expect very fast, reliable and consistent performance for an exceptional Office, Home or Gaming PC experience.  , 【 STORAGE 】16GB Ram DDR4 and 256GB Solid State Drive + 2TB Hard Disk Drive for efficient multi-tasking.  , 【 🎆 ACCESORIES COME WITH ⌨️ 】RGB Keyboard & Mouse, RGB Panel, Power cord.  , 【MICROSOFT WINDOWS 10 LATEST RELEASE】A brand new installation of Microsoft Windows 10 Pro (64 bit) Operating System, free of bloatware commonly installed from other manufacturers.  , 【CUSTOM TAILORED FOR A SECURE START】 Configured to tackle all the most commonly needed tasks right out of the box. All Renewed computers are backed by a 90-day warranty and 90-day tech support to ensure a smooth, easy, and secure introduction.  ",gaming pc,In Stock,"https://m.media-amazon.com/images/I/81R255J1RwL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/8174FtIiYCL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/71NmiUlM5wL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/61fO-hEEZ1L._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/71UvCT9cQsL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/61OJj1rHY0L._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/71j+RV-3fPL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/81H8SS0DvEL._AC_SL1500_.jpg",https://www.amazon.com/dp/B0CD8952XL/ref=sr_1_3?keywords=gaming+pc&qid=1690823724&sr=8-3
BTO,SFF BTO,"BTO Gaming Desktop Computer RGB PC, Intel Core i5, 16GB DDR4 Ram, New 1TB Solid State Drive, HDMI, RGB Keyboard and Mouse, Type C Port, NVIDIA GeForce GT-1030, Windows 10 Pro (Renewed)",B0CD8B279X,599.99,," 【 PROCESSOR 】Intel Core i5 7th Generation 3.4GHz Processor so you can expect very fast, reliable and consistent performance for an exceptional Office, Home or Gaming PC experience.  , 【 STORAGE 】16GB Ram DDR4 and 1TB Solid State Drive for efficient multi-tasking.  , 【 🎆 ACCESORIES COME WITH ⌨️ 】RGB Keyboard & Mouse, RGB Panel, Power cord.  , 【MICROSOFT WINDOWS 10 LATEST RELEASE】A brand new installation of Microsoft Windows 10 Pro (64 bit) Operating System, free of bloatware commonly installed from other manufacturers.  , 【CUSTOM TAILORED FOR A SECURE START】 Configured to tackle all the most commonly needed tasks right out of the box. All Renewed computers are backed by a 90-day warranty and 90-day tech support to ensure a smooth, easy, and secure introduction.  ",gaming pc,In Stock,"https://m.media-amazon.com/images/I/81R255J1RwL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/8174FtIiYCL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/71NmiUlM5wL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/61fO-hEEZ1L._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/71UvCT9cQsL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/61OJj1rHY0L._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/71j+RV-3fPL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/81H8SS0DvEL._AC_SL1500_.jpg",https://www.amazon.com/dp/B0CD8B279X/ref=sr_1_2?keywords=gaming+pc&qid=1690823724&sr=8-2
PRIZOM,500380054,PRIZOM Macropad Macro Mechanical Keyboard RGB Mini Gaming Custom Programming Knob Keypads 3 Keys for Photoshop,B0CD6WF1R2,17.48,," This is a mini keyboard with custom functions, Type-C to USB interface, no driver, plug and play, can set all the key functions on the standard Windows keyboard, one-key to achieve complicated and complex combination shortcut keys, the keyboard has It has a storage function.  , After setting it up on the Windows system, it can be used on systems that support the usb protocol such as Linux and MacOS. The operation is simple, and it is convenient and easy to carry when connecting multiple keyboards. The knob can be set to zoom in and out, cut to the previous song, the song, volume up, volume down, pause, play and other functions, is a good helper for assistance.  ",keyboard,In Stock,"https://m.media-amazon.com/images/I/51BbII1QLFL._AC_SL1001_.jpg, https://m.media-amazon.com/images/I/61QKhxPBHAL._AC_SL1001_.jpg, https://m.media-amazon.com/images/I/51JgXRvD3ML._AC_SL1001_.jpg, https://m.media-amazon.com/images/I/61MV12eRYdL._AC_SL1001_.jpg, https://m.media-amazon.com/images/I/61Ehd2K16oL._AC_SL1001_.jpg, https://m.media-amazon.com/images/I/61jKBQ9PyFL._AC_SL1001_.jpg, https://m.media-amazon.com/images/I/51qnMfLJusL._AC_SL1001_.jpg, https://m.media-amazon.com/images/I/61nx8gJt+kL._AC_SL1001_.jpg",https://www.amazon.com/dp/B0CD6WF1R2/ref=sr_1_4?keywords=keyboard&qid=1690823722&sr=8-4
BTO,SFF BTO,"BTO Gaming Desktop Computer RGB PC, Intel Core i7, 16GB DDR4 Ram, New 256GB SSD + 500GB Hard Drive, HDMI, RGB Keyboard and Mouse, Type C Port, NVIDIA GeForce GT-1030, Windows 10 Pro (Renewed)",B0CD89R3MZ,599.99,," 【 PROCESSOR 】Intel Core i7 6th Generation 3.4GHz Processor so you can expect very fast, reliable and consistent performance for an exceptional Office, Home or Gaming PC experience.  , 【 STORAGE 】16GB Ram DDR4 and 256GB Solid State Drive + 500GB Hard Disk Drive for efficient multi-tasking.  , 【 🎆 ACCESORIES COME WITH ⌨️ 】RGB Keyboard & Mouse, RGB Panel, Power cord.  , 【MICROSOFT WINDOWS 10 LATEST RELEASE】A brand new installation of Microsoft Windows 10 Pro (64 bit) Operating System, free of bloatware commonly installed from other manufacturers.  , 【CUSTOM TAILORED FOR A SECURE START】 Configured to tackle all the most commonly needed tasks right out of the box. All Renewed computers are backed by a 90-day warranty and 90-day tech support to ensure a smooth, easy, and secure introduction.  ",gaming pc,In Stock,"https://m.media-amazon.com/images/I/81R255J1RwL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/8174FtIiYCL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/71NmiUlM5wL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/61fO-hEEZ1L._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/71UvCT9cQsL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/61OJj1rHY0L._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/71j+RV-3fPL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/81H8SS0DvEL._AC_SL1500_.jpg",https://www.amazon.com/dp/B0CD89R3MZ/ref=sr_1_1?keywords=gaming+pc&qid=1690823724&sr=8-1
PRIZOM,,PRIZOM 2.4G Gaming Wireless Keyboard and Mouse Set 104 Keys RGB Backlit Two-Color Keyboard and Mouse Black-White,B0CD71KQ3M,36.46,," 1. 104 key -free DES N wireless keyboard: can achieve the ultimate game performance and make and unimpeded  , 2. Ergonomic high and low keys: Ergonomic curved keycaps with lines, scientific debugging, and comfortable hand feeling  , 3. Detachable type: USB to USB cable  , 4. Composite function key switch: FN group multi-function shortcut keys allow you to do whatever you want in /game  ",keyboard,In Stock,"https://m.media-amazon.com/images/I/51WozGrCnuL._AC_SL1001_.jpg, https://m.media-amazon.com/images/I/61i182tIxpL._AC_SL1001_.jpg, https://m.media-amazon.com/images/I/617coutdimL._AC_SL1001_.jpg, https://m.media-amazon.com/images/I/61+isIo4QmL._AC_SL1001_.jpg, https://m.media-amazon.com/images/I/61RzHZI1lzL._AC_SL1001_.jpg, https://m.media-amazon.com/images/I/51cgsKuuptL._AC_SL1001_.jpg, https://m.media-amazon.com/images/I/6131XzEIvXL._AC_SL1001_.jpg, https://m.media-amazon.com/images/I/51L+hMOg-dL._AC_SL1001_.jpg",https://www.amazon.com/dp/B0CD71KQ3M/ref=sr_1_3?keywords=keyboard&qid=1690823722&sr=8-3
 FOLOSAFENAR,,"FOLOSAFENAR Wireless Keyboard Mouse Combo, 1600dpi Wide Compatibility 2.4G Quick Response 78 Keys​ Stable Signal Gaming Keyboard for Office",B0CD68P1JT,21.09,," Easy for Work: 2.4G wireless transmission enables stable signal, which will also get you rid of entangled cable and have more flexibility.  , Better Design: 78 keys keyboard together with 1600dpi mouse ensures quick response and high accuracy, largely improving your efficiency.  , Wide Matching: Highly compatible with for Windows, for Android and for OS X, no character fading and not likely to slip, very reliable.  , Practical Use: Can be widely applied in various occasion, including but not limited to home, office, gaming, meeting, live streaming, etc.  , Ideal Present: You can give the wireless keyboard mouse combo as a present to your family and friends for anniversary, birthday and so on.  ",keyboard,In Stock,"https://m.media-amazon.com/images/I/51+9Y9bF+rL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/61w2KzxvrIL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/614aeaArqWL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/617B+J3sCoL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/51c6mf-PI2L._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/51eF3ljpNuL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/71g15QRvkRL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/61oJ+iJs6ZL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/51iqRtHzE6L._AC_SL1500_.jpg",https://www.amazon.com/FOLOSAFENAR-Wireless-Keyboard-Compatibility-Response/dp/B0CD68P1JT/ref=sr_1_1?keywords=keyboard&qid=1690823722&sr=8-1
Basrdis,Mobile Workstation P16,"NewLenovo ThinkPad P16 Mobile Workstation Laptop, Intel Core i9-12900HX, 16.0"" WUXGA (1920x1200) IPS 300nits Anti-Glare, NVIDI.A RTX A2000 8GB, 64GB DDR5 RAM, 2TB NVMe SSD, Backlit KYB, Windows11 Pro",B0C5J1D7RY,"2,399.00",," Processor: 12th Generation Intel Core i9-12900HX Processor (E-cores up to 3.60 GHz P-cores up to 5.00 GHz)  , Display: 16"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 300 nits, 60Hz, Low Blue Light, LED Backlight  , Memory: 64 GB DDR5-4800MHz (SODIMM)  , Storage: 2 TB SSD M.2 2280 PCIe Gen4 Performance TLC Opal  , Operating System: Windows 11 Pro 64 | Graphic Card: NVIDI.A RTX A2000 8GB GDDR6  , Dimensions (WxDxH): 364 x 266 x 30.23 mm (14.3 x 10.5 x 1.2 inches) Weight: Starting at 2.95 kg (6.5 lbs)  ",laptop,In Stock,"https://m.media-amazon.com/images/I/71BD0xc9iCL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/61j9mKUn4rL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/61C-qTW-1UL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/71tU5H6GGUL._AC_SL1470_.jpg, https://m.media-amazon.com/images/I/61gWWyrfiDL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/41IUeczyEzL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/41TwaEGc61L._AC_SL1500_.jpg",https://www.amazon.com/NewLenovo-Workstation-i9-12900HX-1920x1200-Anti-Glare/dp/B0C5J1D7RY/ref=sr_1_5?keywords=laptop&qid=1690823722&sr=8-5
