Spider "farmers_records" Started at "110520240145"

District BANKA , Sub District Name: Amarpur Has Total Records : 0
District BANKA , Sub District Name: Banka Has Total Records : 0
District BANKA , Sub District Name: Barahat Has Total Records : 0
District BANKA , Sub District Name: Bausi Has Total Records : 0
District BANKA , Sub District Name: Belhar Has Total Records : 0
District BANKA , Sub District Name: Chanan Has Total Records : 0
District BANKA , Sub District Name: Dhuraiya Has Total Records : 0
District BANKA , Sub District Name: Katoria Has Total Records : 0
District BANKA , Sub District Name: Phulidumar Has Total Records : 0
District BANKA , Sub District Name: Rajaun Has Total Records : 0
District BANKA , Sub District Name: Shambhuganj Has Total Records : 0
District ARARIA , Sub District Name: Bhargama Has Total Records : 0
District ARARIA , Sub District Name: Forbesganj Has Total Records : 0
District ARARIA , Sub District Name: Jokihat Has Total Records : 0
District ARARIA , Sub District Name: Kursakatta Has Total Records : 0
District ARARIA , Sub District Name: Narpatganj Has Total Records : 0
District ARARIA , Sub District Name: Palasi Has Total Records : 0
District ARARIA , Sub District Name: Raniganj Has Total Records : 0
District ARARIA , Sub District Name: Sikti Has Total Records : 0
District VAISHALI , Sub District Name: Bhagwanpur Has Total Records : 0
District VAISHALI , Sub District Name: Bidupur Has Total Records : 0
District VAISHALI , Sub District Name: Desri Has Total Records : 0
District VAISHALI , Sub District Name: Goraul Has Total Records : 0
District VAISHALI , Sub District Name: Hajipur Has Total Records : 0
District VAISHALI , Sub District Name: Jandaha Has Total Records : 0
District VAISHALI , Sub District Name: Lalganj Has Total Records : 0
District VAISHALI , Sub District Name: Mahnar Has Total Records : 0
District VAISHALI , Sub District Name: Mahua Has Total Records : 0
District VAISHALI , Sub District Name: Patepur Has Total Records : 0
District VAISHALI , Sub District Name: Raghopur Has Total Records : 0
District VAISHALI , Sub District Name: Raja Pakar Has Total Records : 0
District VAISHALI , Sub District Name: Sahdai Buzurg Has Total Records : 0
District VAISHALI , Sub District Name: Vaishali Has Total Records : 0
District SUPAUL , Sub District Name: Basantpur Has Total Records : 0
District SUPAUL , Sub District Name: Kishanpur Has Total Records : 0
District SUPAUL , Sub District Name: Marauna Has Total Records : 0
District SUPAUL , Sub District Name: Nirmali Has Total Records : 0
District SUPAUL , Sub District Name: Pratapganj Has Total Records : 0
