District Name,Serial No:,BLOCK NAME,VILLAGE NAME,SHG NAME,FORMATION DATE,TOTAL COUNT MEMBER
BEGUSARAI,1,Khudaband,Daulatpur,Saraswati,14-Mar-14,10
BEGUSARAI,2,Khudaband,Sagi,Ujagar,03-Dec-14,12
BEGUSARAI,3,Khudaband,Bariarpur,Vishwakarma,14-Aug-14,12
BEGUSARAI,4,Khudaband,Bariarpur,Jyoti16/08/20,16-Aug-14,11
BEGUSARAI,5,Khudaband,Bariarpur,Maa Saraswati,01-Apr-14,14
BEGUSARAI,6,Khudaband,Bariarpur,Sitaram,21-Mar-14,10
BEGUSARAI,7,Khudaband,Bariarpur,Krishna,20-Feb-14,12
BEGUSARAI,8,Khudaband,Bariarpur,Maa Sharde,18-Feb-14,13
BEGUSARAI,9,Khudaband,Bariarpur,Ohm,20-Feb-14,12
BEGUSARAI,10,Khudaband,Bariarpur,Mahadev,19-Feb-14,12
BEGUSARAI,11,Khudaband,Bariarpur,Durga,19-Feb-14,10
BEGUSARAI,12,Khudaband,Bariarpur,Bharat,29-Aug-14,11
BEGUSARAI,13,Khudaband,Bariarpur,Puja,29-Jul-14,11
BEGUSARAI,14,Khudaband,Bariarpur,Chameli,30-Jun-14,11
BEGUSARAI,15,Khudaband,Matihani,Mahavir,04-Mar-14,10
BEGUSARAI,16,Khudaband,Matihani,Shankar,21-Mar-14,11
BEGUSARAI,17,Khudaband,Daulatpur,Chandani,15-May-14,13
BEGUSARAI,18,Khudaband,Bara,Puja,28-Aug-14,10
BEGUSARAI,19,Khudaband,Narayanpur,Lakshmi,04-Dec-14,13
BEGUSARAI,20,Khudaband,Phaphot,Dil Khush,12-Jan-17,12
BEGUSARAI,21,Khudaband,Bara,Mehndi,07-Aug-14,11
BEGUSARAI,22,Khudaband,Phaphot,Santoshi,29-Jul-14,12
BEGUSARAI,23,Khudaband,Meghaul,Sapna,08-Oct-14,12
BEGUSARAI,24,Khudaband,Begampur,Santoshi,25-Feb-14,10
BEGUSARAI,25,Khudaband,Phaphot,Varsha Rani,29-Dec-16,12
BEGUSARAI,26,Khudaband,Phaphot,Krishna,29-Jul-15,14
BEGUSARAI,27,Khudaband,Bara,Radha,30-Jun-14,14
BEGUSARAI,28,Khudaband,Phaphot,Lavali,18-Jan-17,11
BEGUSARAI,29,Khudaband,Bedaulia,Parvati,01-Aug-14,11
BEGUSARAI,30,Khudaband,Bedaulia,Kamal,18-Feb-14,14
BEGUSARAI,31,Khudaband,Bedaulia,Durga,17-Feb-14,13
BEGUSARAI,32,Khudaband,Bedaulia,Kalash,01-Feb-16,11
BEGUSARAI,33,Khudaband,Bedaulia,Sakshi,07-Feb-17,10
BEGUSARAI,34,Khudaband,Bedaulia,Vikas,26-Dec-16,11
BEGUSARAI,35,Khudaband,Bedaulia,Punam,21-Dec-16,11
BEGUSARAI,36,Khudaband,Bedaulia,Anjali,23-Dec-16,11
BEGUSARAI,37,Khudaband,Meghaul,Saraswati,30-Jun-14,11
BEGUSARAI,38,Khudaband,Meghaul,Radha,24-Sep-14,12
BEGUSARAI,39,Khudaband,Khodawand,Ram,13-Mar-14,11
BEGUSARAI,40,Khudaband,Khodawand,Hanuman,12-Mar-14,12
BEGUSARAI,41,Khudaband,Khodawand,Tulsi,12-Mar-14,12
BEGUSARAI,42,Khudaband,Khodawand,Kali 12032014,12-Mar-14,12
BEGUSARAI,43,Khudaband,Khodawand,Jagdamba,10-Mar-14,11
BEGUSARAI,44,Khudaband,Khodawand,Durga,05-Mar-14,12
BEGUSARAI,45,Khudaband,Khodawand,Chameli,01-Mar-14,12
BEGUSARAI,46,Khudaband,Khodawand,Khushi,01-Mar-14,10
BEGUSARAI,47,Khudaband,Bara,Krishna,08-Mar-14,13
BEGUSARAI,48,Khudaband,Daulatpur,Ganesh,18-Feb-14,12
BEGUSARAI,49,Khudaband,Daulatpur,Kiran,18-Feb-14,11
BEGUSARAI,50,Khudaband,Daulatpur,Kali,23-Feb-14,12
BEGUSARAI,51,Khudaband,Daulatpur,Muskan,12-Feb-15,12
BEGUSARAI,52,Khudaband,Meghaul,Krishna,11-Sep-14,15
BEGUSARAI,53,Khudaband,Begampur,Lakshmi,25-Feb-14,12
BEGUSARAI,54,Khudaband,Bara,Saraswati,11-Apr-14,11
BEGUSARAI,55,Khudaband,Begampur,Vishwakarma,18-Aug-14,12
BEGUSARAI,56,Khudaband,Matihani,Phul,21-Mar-14,10
BEGUSARAI,57,Khudaband,Matihani,Santosh21062,21-Jun-17,15
BEGUSARAI,58,Khudaband,Begampur,Maa Kali,13-Aug-16,13
BEGUSARAI,59,Khudaband,Matihani,Jyoti,18-Feb-14,11
BEGUSARAI,60,Khudaband,Bara,Chand,07-Mar-14,11
BEGUSARAI,61,Khudaband,Matihani,Shiv,17-Feb-14,13
BEGUSARAI,62,Khudaband,Mirzapur,Naina,11-Dec-18,11
BEGUSARAI,63,Khudaband,Bara,Saheli,05-May-19,11
BEGUSARAI,64,Khudaband,Begampur,Raushani,26-Mar-15,12
BEGUSARAI,65,Khudaband,Bara,Anshu,06-Jan-18,10
BEGUSARAI,66,Khudaband,Bara,Gulab,07-Mar-14,11
BEGUSARAI,67,Khudaband,Bara,Sapna,04-Mar-14,12
BEGUSARAI,68,Khudaband,Bara,Lakshmi,19-Feb-14,10
BEGUSARAI,69,Khudaband,Bara,Gayatri,19-Feb-14,12
BEGUSARAI,70,Khudaband,Meghaul,Tara,31-Jul-14,15
BEGUSARAI,71,Khudaband,Meghaul,Mahadev,06-Sep-14,12
BEGUSARAI,72,Khudaband,Meghaul,Mata Lakshmi,09-Sep-14,11
BEGUSARAI,73,Khudaband,Meghaul,Shiv,07-Mar-14,15
BEGUSARAI,74,Khudaband,Bariarpur,Saloni,05-Aug-19,10
BEGUSARAI,75,Khudaband,Bara,Keshav,06-Mar-18,10
BEGUSARAI,76,Khudaband,Bariarpur,Himanshu,05-Aug-19,14
BEGUSARAI,77,Khudaband,Bara,Akash,27-Dec-17,10
BEGUSARAI,78,Khudaband,Bara,Sanu,03-Jan-18,11
BEGUSARAI,79,Khudaband,Bariarpur,Bolbam,18-Feb-14,12
BEGUSARAI,80,Khudaband,Phaphot,Durga,01-Jan-17,10
BEGUSARAI,81,Khudaband,Phaphot,Mala1603201,16-Mar-16,11
BEGUSARAI,82,Khudaband,Phaphot,Husnu25/12/,25-Dec-16,12
BEGUSARAI,83,Khudaband,Phaphot,Ujala,07-Jan-17,10
BEGUSARAI,84,Khudaband,Phaphot,Gulab01/03/2,01-Mar-14,15
BEGUSARAI,85,Khudaband,Khodawand,Puja,15-Nov-14,12
BEGUSARAI,86,Khudaband,Khodawand,Parmeshwar,17-Nov-14,14
BEGUSARAI,87,Khudaband,Khodawand,Prabhu,13-Nov-14,12
BEGUSARAI,88,Khudaband,Khodawand,Saraswati,09-Nov-14,11
BEGUSARAI,89,Khudaband,Khodawand,Mahadev,25-Apr-14,12
BEGUSARAI,90,Khudaband,Khodawand,Hasan,06-Nov-14,12
BEGUSARAI,91,Khudaband,Khodawand,Rishi,06-Dec-14,10
BEGUSARAI,92,Khudaband,Khodawand,Maa Ganga,05-Dec-14,10
BEGUSARAI,93,Khudaband,Khodawand,Maa Lakshmi,05-Dec-14,10
BEGUSARAI,94,Khudaband,Khodawand,Yamuna,05-Dec-14,13
BEGUSARAI,95,Khudaband,Khodawand,Savitri,16-Nov-14,12
BEGUSARAI,96,Khudaband,Khodawand,Maa Jagdamba,05-Dec-14,10
BEGUSARAI,97,Khudaband,Khodawand,Varsha,12-Mar-15,12
BEGUSARAI,98,Khudaband,Meghaul,Lakshmi,17-Feb-14,13
BEGUSARAI,99,Khudaband,Khodawand,Mausam07/03,07-Mar-15,10
BEGUSARAI,100,Khudaband,Khodawand,Himani,11-Mar-15,12
BEGUSARAI,101,Khudaband,Khodawand,Lakshmi,07-Feb-15,10
BEGUSARAI,102,Khudaband,Khodawand,Kamal,30-Jan-15,13
BEGUSARAI,103,Khudaband,Khodawand,Roshani,29-Jan-15,15
BEGUSARAI,104,Khudaband,Khodawand,Aarti,10-Jan-15,11
BEGUSARAI,105,Khudaband,Khodawand,Maa Kali,07-Dec-14,15
BEGUSARAI,106,Khudaband,Khodawand,Krishna,24-Dec-14,11
BEGUSARAI,107,Khudaband,Khodawand,Sagar,03-Dec-14,12
BEGUSARAI,108,Khudaband,Bara,Bandhan,19-Sep-14,13
BEGUSARAI,109,Khudaband,Narayanpur,Saraswati,06-Dec-14,11
BEGUSARAI,110,Khudaband,Narullahpur,Santoshi,09-Mar-15,11
BEGUSARAI,111,Khudaband,Narullahpur,Chandani,10-Mar-15,12
BEGUSARAI,112,Khudaband,Sagi,Aarti,02-Feb-15,12
BEGUSARAI,113,Khudaband,Narullahpur,Gulab,02-Feb-15,15
BEGUSARAI,114,Khudaband,Narayanpur,Gulab,05-Feb-15,11
BEGUSARAI,115,Khudaband,Narayanpur,Rani,10-Feb-15,12
BEGUSARAI,116,Khudaband,Narullahpur,Amba,03-Feb-15,13
BEGUSARAI,117,Khudaband,Narayanpur,Muskan,01-Jan-17,12
BEGUSARAI,118,Khudaband,Narullahpur,786,01-Jan-15,11
BEGUSARAI,119,Khudaband,Narayanpur,Krishna,01-Jan-15,12
BEGUSARAI,120,Khudaband,Narullahpur,Khushbu,09-Jan-15,12
BEGUSARAI,121,Khudaband,Narullahpur,Gulab,09-Jan-15,12
BEGUSARAI,122,Khudaband,Narullahpur,Saraswati,16-Jan-15,11
BEGUSARAI,123,Khudaband,Narullahpur,Sabera,17-Jan-15,15
BEGUSARAI,124,Khudaband,Sagi,Durga 2,02-Dec-14,11
BEGUSARAI,125,Khudaband,Narullahpur,Tulsi,19-Jan-15,12
BEGUSARAI,126,Khudaband,Narullahpur,Khuda,02-May-15,11
BEGUSARAI,127,Khudaband,Narayanpur,Janki,02-Sep-15,11
BEGUSARAI,128,Khudaband,Sagi,Akansha,05-Dec-14,10
BEGUSARAI,129,Khudaband,Khodawand,Bhawani,03-Dec-14,13
BEGUSARAI,130,Khudaband,Khodawand,Anand,06-Dec-14,15
BEGUSARAI,131,Khudaband,Khodawand,Devi,06-Dec-14,14
