File Date,Map Title,Map No,Type Desc,Doc,Image
1/5/1906,QUEENS LAND & TITLE CO MASSAPEQUA,02031,PLAT,7,NM-02031 - QUEENS LAND & TITLE CO MASSAPEQUA - 1_5_1906.jpg
1/11/1906,CEDAR BROOK GROVE NEAR AMITYVILLE,02036,PLAT,7,NM-02036 - CEDAR BROOK GROVE NEAR AMITYVILLE - 1_11_1906.jpg
1/24/1906,NASSAU HEIGHTS MINEOLA,02037,PLAT,7,NM-02037 - NASSAU HEIGHTS MINEOLA - 1_24_1906.jpg
1/25/1906,RIVERSIDE PARK AT ROCKVILLE CENTRE,00366,PLAT,7,NM-00366 - RIVERSIDE PARK AT ROCKVILLE CENTRE - 1_25_1906.jpg
1/27/1906,CENTRAL PARK NORTH OF OYSTER BAY,00373,PLAT,7,NM-00373 - CENTRAL PARK NORTH OF OYSTER BAY - 1_27_1906.jpg
1/31/1906,LOCUST PARK AT OCEAN SIDE,00375,PLAT,13,NM-00375 - LOCUST PARK AT OCEAN SIDE - 1_31_1906.jpg
1/31/1906,PROP OF DR STEELE BALDWIN,02042,PLAT,14,NM-02042 - PROP OF DR STEELE BALDWIN - 1_31_1906.jpg
2/1/1906,N ERN PRT OF PLANDER FARM UNIONDALE,02043,PLAT,7,NM-02043 - N ERN PRT OF PLANDER FARM UNIONDALE - 2_1_1906.jpg
2/15/1906,PROP OF F REISERT ROSEDALE,02052,PLAT,7,NM-02052 - PROP OF F REISERT ROSEDALE - 2_15_1906.jpg
2/16/1906,PART OF PROP OF A PEARSALL AT,02049,PLAT,7,NM-02049 - PART OF PROP OF A PEARSALL AT - 2_16_1906.jpg
2/27/1906,NORTHRIDGE PARK SEC 1 AT MERRICK,02055,PLAT,13,NM-02055 - NORTHRIDGE PARK SEC 1 AT MERRICK - 2_27_1906.jpg
2/27/1906,NORTHRI GE PARK SEC 2 AT ERRICK,02054,PLAT,14,NM-02054 - NORTHRI GE PARK SEC 2 AT ERRICK - 2_27_1906.jpg
3/3/1906,AMENDED MAP OF COLUMBIA HEIGHTS ADD,02059,PLAT,7,NM-02059 - AMENDED MAP OF COLUMBIA HEIGHTS ADD - 3_3_1906.jpg
3/13/1906,NASSAU HEIGHTS MINEOLA,02056,PLAT,13,NM-02056 - NASSAU HEIGHTS MINEOLA - 3_13_1906.jpg
3/13/1906,S WILLIAMSON EST AT HEMPSTEAD,02063,PLAT,14,NM-02063 - S WILLIAMSON EST AT HEMPSTEAD - 3_13_1906.jpg
