File Date,Title,Type Desc,Doc,Image
1/5/1906,2031 01/05/06 QUEENS LAND & TITLE CO MASSAPEQUA,PLAT,7,2031 01_05_06 QUEENS LAND & TITLE CO MASSAPEQUA_7_20240720181050_543279360.0.jpg
1/5/1910,3164 01/05/10 WOODMERE WOODMERE REALTY CO MAP 4,PLAT,19,3164 01_05_10 WOODMERE WOODMERE REALTY CO MAP 4_19_20240720181158_287360000.0.jpg
1/5/1920,1589 01/05/20 EST OF VALLEY STREAM VALLEY STREAM,PLAT,7,1589 01_05_20 EST OF VALLEY STREAM VALLEY STREAM_7_20240720181305_590214912.0.jpg
1/3/1930,0821 01/03/30 LYNBROOK KINGSBORO LAND CORP AMENDED,PLAT,13,0821 01_03_30 LYNBROOK KINGSBORO LAND CORP AMENDED_13_20240720181403_696643584.0.jpg
1/2/1940,4010 01/02/40 HEMPSTEAD GREEN ACRES EST SEC 2,PLAT,7,4010 01_02_40 HEMPSTEAD GREEN ACRES EST SEC 2_7_20240720181508_890651136.0.jpg
1/4/1950,4849 01/04/50 OYSTER BAY LEVITTOWN,PLAT,19,4849 01_04_50 OYSTER BAY LEVITTOWN_19_20240720181608_931514368.0.jpg
1/4/1960,7262 01/04/60 OYSTER BAY APPLEBY HILL,PLAT,7,7262 01_04_60 OYSTER BAY APPLEBY HILL_7_20240720181718_274821632.0.jpg
1/7/1970,8273 01/07/70 HEMPSTEAD SWG DISP DIST 3 PROC WASTE,PLAT,7,8273 01_07_70 HEMPSTEAD SWG DISP DIST 3 PROC WASTE_7_20240720181845_699051520.0.jpg
1/16/1980,8811 01/16/80 FANWAY ESTATES AT BETHPAGE,PLAT,7,8811 01_16_80 FANWAY ESTATES AT BETHPAGE_7_20240720182039_353455104.0.jpg
5/1/2000,3068 05/01/00 HEMPSTEAD K V BARNUM,PLAT,2509,3068 05_01_00 HEMPSTEAD K V BARNUM_2509_20240720182911_974640896.0.jpg
5/20/2019,5/20/2019,00200723,1,5_20_2019_1_20240720183321_652917248.0.jpg
