keyword,Title,Model,Sku,Discounted_Price,Actual_Price,Discount_Amount,Status,Image,URL,Description
GPU,MSI - NVIDIA GeForce RTX 4070 12GB VENTUS 3X 12GB DDR6X PCI Express 4.0 Graphics Card,RTX 4070 VENTUS 3X 12G ,6539606 ,599.99,,0,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6539/6539606_sd.jpg,https://www.bestbuy.com/site/msi-nvidia-geforce-rtx-4070-12gb-ventus-3x-12gb-ddr6x-pci-express-4-0-graphics-card/6539606.p?skuId=6539606,"The NVIDIA GeForce RTX 4070 is the ultimate GeForce GPU. It brings an enormous leap in performance, efficiency, and AI-powered graphics. Experience ultra-high performance gaming, incredibly detailed virtual worlds with ray tracing, unprecedented productivity, and new ways to create. It’s powered by the NVIDIA Ada Lovelace architecture and comes with 12GB of GDDR6X memory to deliver the ultimate experience for gamers and creators."
GPU,MSI - NVIDIA GeForce RTX 3060 Ventus 3X 12G OC - 12GB GDDR6 - PCI Express 4.0 - Graphics Card - Black,RTX 3060 Ventus 3X 12G OC ,6452940 ,299.99,389.99,90,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6452/6452940_sd.jpg,https://www.bestbuy.com/site/msi-nvidia-geforce-rtx-3060-ventus-3x-12g-oc-12gb-gddr6-pci-express-4-0-graphics-card-black/6452940.p?skuId=6452940,"The NVIDIA GeForce RTX 3060 is powered by Ampere—NVIDIA's 2nd gen RTX architecture. Built with enhanced RT Cores and Tensor Cores, new streaming multiprocessors, and high-speed G6 memory, it gives you the power you need to rip through the most demanding games. VENTUS brings a performance-focused design that maintains the essentials to accomplish any task at hand. Rocking a trusted dual fan arrangement laid into a rigid industrial design lets this sharp looking graphics card fit into any build. TORX Fan 3.0: The award-winning MSI TORX Fan 3.0 design creates high static pressure and pushes the limits of thermal performance. Core Pipe: Precision-crafted heat pipes ensure max contact to the GPU and spread heat along the full length of the heatsink."
RAM,CORSAIR - VENGEANCE PRO 32GB (2PK x 16GB) 3600MHz DDR4 C18 DIMM Desktop Memory with RGB lighting,CMW32GX4M2D3600C18 ,6449223 ,82.99,104.99,22,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6449/6449223_sd.jpg,https://www.bestbuy.com/site/corsair-vengeance-pro-32gb-2pk-x-16gb-3600mhz-ddr4-c18-dimm-desktop-memory-with-rgb-lighting/6449223.p?skuId=6449223,"CORSAIR VENGEANCE RGB PRO Series DDR4 memory lights up your PC with mesmerizing dynamic multi-zone RGB lighting, while delivering the best in DDR4 performance and stability. Every module boasts ten individually controlled RGB LEDs, while wire-free design makes installation simple. Take control with CORSAIR iCUE software and completely customize every module’s lighting to match your system, or easily synchronize lighting across all your CORSAIR products with Light LINK. A custom designed PCB provides the highest signal quality for the best level of performance and stability on the latest AMD and Intel DDR4 motherboards, while specially screened ICs unlock superior overclocking."
GPU,GIGABYTE - NVIDIA GeForce RTX 4070 Ti Gaming OC 12GB GDDR6X PCI Express 4.0 Graphics Card,GV-N407TGAMING OC-12GD ,6527972 ,859.99,899.99,40,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6527/6527972_sd.jpg,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-4070-ti-gaming-oc-12gb-gddr6x-pci-express-4-0-graphics-card/6527972.p?skuId=6527972,"Ahead of its time, ahead of the game is the  GIGABYTE GeForce RTX 4070 Ti GAMING OC 12G Graphics Cards. Powered by NVIDIA's new RTX architecture, the GIGABYTE GeForce RTX 4070Ti GAMING OC 12G brings stunning visuals, amazingly fast frame rates, and AI acceleration to games and creative applications with its enhanced RT Cores and Tensor Cores, along with a staggering 12 GB of GDDR6X memory."
GPU,NVIDIA - GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Graphics Card - Steel and Black,900-1G142-2520-000 ,6439402 ,349.99,,0,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6439/6439402_sd.jpg,https://www.bestbuy.com/site/nvidia-geforce-rtx-3060-ti-8gb-gddr6-pci-express-4-0-graphics-card-steel-and-black/6439402.p?skuId=6439402,"The NVIDIA GeForce RTX 3060 Ti lets you take on the latest games using the power of Ampere—NVIDIA’s 2nd generation RTX architecture. Discover incredible performance with enhanced Ray Tracing Cores and Tensor Cores, new streaming multiprocessors, and high-speed G6 memory."
GPU,XFX - Speedster SWFT309 AMD Radeon RX 6700XT 12GB GDDR6 PCI Express 4.0 Gaming Graphics Card - Black,RX-67XTYJFDR ,6513905 ,349.99,429.99,80,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6513/6513905_sd.jpg,https://www.bestbuy.com/site/xfx-speedster-swft309-amd-radeon-rx-6700xt-12gb-gddr6-pci-express-4-0-gaming-graphics-card-black/6513905.p?skuId=6513905,"The AMD Radeon RX 6700 XT graphics card, powered by AMD RDNA 2 architecture, featuring 40 powerful enhanced Compute Units, the all new AMD Infinity Cache and 12GB of dedicated GDDR6 memory, is engineered to deliver ultra-high frame rates and powerhouse 1440p resolution gaming."
GPU,XFX - AMD Radeon RX 580 GTS XXX Edition 8GB GDDR5 PCI Express 3.0 Graphics Card,RX-580P8DFD6 ,6136515 ,139.99,149.99,10,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6136/6136515_sd.jpg,https://www.bestbuy.com/site/xfx-amd-radeon-rx-580-gts-xxx-edition-8gb-gddr5-pci-express-3-0-graphics-card/6136515.p?skuId=6136515,"Maximize visual performance of your effects-laden games with this XFX Radeon RX 580 GTS graphics card. Boasting Polaris architecture to make the most of your PCI slot, this upgrade features 4th-generation GCN graphics cores and 8GB of dedicated graphics memory. True Clock technology on this XFX Radeon RX 580 GTS graphics card delivers optimized speeds through its hardware for incredibly high frame rates."
GPU,XFX - Speedster SWFT309 AMD Radeon RX 6700 10GB GDDR6 PCI Express 4.0 Gaming Graphics Card - Black,RX-67XLKWFDR ,6523730 ,289.99,369.99,80,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6523/6523730_sd.jpg,https://www.bestbuy.com/site/xfx-speedster-swft309-amd-radeon-rx-6700-10gb-gddr6-pci-express-4-0-gaming-graphics-card-black/6523730.p?skuId=6523730,"The AMD Radeon RX 6700  graphics card, powered by AMD RDNA 2 architecture, featuring 36 powerful enhanced Compute Units, the all new AMD Infinity Cache and 10GB of dedicated GDDR6 memory, is engineered to deliver ultra-high frame rates and powerhouse resolution gaming."
GPU,GIGABYTE - NVIDIA GeForce RTX 4070 WINDFORCE OC 12G GDDR6X PCI Express 4.0 Graphics Card - Black,GV-N4070WF3OC-12GD ,6539986 ,599.99,,0,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6539/6539986_sd.jpg,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-4070-windforce-oc-12g-gddr6x-pci-express-4-0-graphics-card-black/6539986.p?skuId=6539986,"Ahead of its time, ahead of the game is the GIGABYTE GeForce RTX 4070 WINDFORCE OC 12G Graphics Cards. Powered by NVIDIA's new RTX architecture, the GIGABYTE GeForce RTX 4070 WINDFORCE OC 12G brings stunning visuals, amazingly fast frame rates, and AI acceleration to games and creative applications with its enhanced RT Cores and Tensor Cores, along with a staggering 12 GB of GDDR6X memory."
GPU,GIGABYTE - NVIDIA GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Graphics Card,GV-N3060GAMING OC-12GD Rev2.0 ,6468931 ,309.99,349.99,40,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6468/6468931_sd.jpg,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3060-12gb-gddr6-pci-express-4-0-graphics-card/6468931.p?skuId=6468931,"Get the ultimate gaming performance with GIGABYTE RTX 3060 Graphics Cards. Powered by NVIDIA's 2nd gen RTX architecture and refined with WINDFORCE cooling  technology, the GeForce RTX 3060 GAMING OC 12G (rev. 2.0) brings stunning visuals, amazingly fast frame rates, and AI acceleration to games and creative applications with its enhanced RT Cores and Tensor Cores."
