sku,Vin_number,make,model,year,color,condition,description,location,mileage,price,image,url
2002384864,5XXG14J22MG069862,Kia,K5,2021,Gray,Used,"Used 2021 Kia K5 LXS with 42988 miles - $24,990","Baltimore, MD",42988,24990,https://cdnblob.fastly.carvana.io/2002384864/post-large/normalized/zoomcrop/2002384864-edc-02.jpg,https://www.carvana.com/vehicle/2743579
2002301218,3GTP9AEK5MG199116,GMC,Sierra 1500 Crew Cab,2021,Silver,Used,"Used 2021 GMC Sierra 1500 Crew Cab 6 1/2 ft with 25580 miles - $40,990","Baltimore, MD",25580,40990,https://cdnblob.fastly.carvana.io/2002301218/post-large/normalized/zoomcrop/2002301218-edc-02.jpg,https://www.carvana.com/vehicle/2693100
2002344408,JF1ZNBC10P8752727,Toyota,GR86,2023,Blue,Used,"Used 2023 Toyota GR86 base with 9084 miles - $34,990","Baltimore, MD",9084,34990,https://cdnblob.fastly.carvana.io/2002344408/post-large/normalized/zoomcrop/2002344408-edc-02.jpg,https://www.carvana.com/vehicle/2714153
2002378751,WBA2J3C07L7E79452,BMW,2 Series,2020,Black,Used,"Used 2020 BMW 2 Series 230i xDrive with 22376 miles - $33,590","Brooklyn, NY",22376,33590,https://cdnblob.fastly.carvana.io/2002378751/post-large/normalized/zoomcrop/2002378751-edc-02.jpg,https://www.carvana.com/vehicle/2738590
2001942365,LPSED3KA2NL077274,Polestar,2,2022,Blue,Used,"Used 2022 Polestar 2 Long Range Dual Motor with 4081 miles - $46,590","Baltimore, MD",4081,46590,https://cdnblob.fastly.carvana.io/2001942365/post-large/normalized/zoomcrop/2001942365-edc-02.jpg,https://www.carvana.com/vehicle/2551763
2001590441,SALWR2RK1JA400704,Land Rover,Range Rover Sport,2018,Black,Used,"Used 2018 Land Rover Range Rover Sport HSE with 28232 miles - $50,590","Brooklyn, NY",28232,50590,https://cdnblob.fastly.carvana.io/2001590441/post-large/normalized/zoomcrop/2001590441-edc-02.jpg,https://www.carvana.com/vehicle/2233278
2002072646,1G1YU3D60G5603995,Chevrolet,Corvette,2016,Black,Used,"Used 2016 Chevrolet Corvette Z06 with 17632 miles - $70,990","Baltimore, MD",17632,70990,https://cdnblob.fastly.carvana.io/2002072646/post-large/normalized/zoomcrop/2002072646-edc-02.jpg,https://www.carvana.com/vehicle/2554862
2002008050,SAJWA6FC4E8K02118,Jaguar,F-TYPE,2014,Black,Used,"Used 2014 Jaguar F-TYPE S with 35006 miles - $35,990","Brooklyn, NY",35006,35990,https://cdnblob.fastly.carvana.io/2002008050/post-large/normalized/zoomcrop/2002008050-edc-02.jpg,https://www.carvana.com/vehicle/2506234
2002347192,1G1YA2D71H5104877,Chevrolet,Corvette,2017,Blue,Used,"Used 2017 Chevrolet Corvette Stingray with 5689 miles - $52,590","Brooklyn, NY",5689,52590,https://cdnblob.fastly.carvana.io/2002347192/post-large/normalized/zoomcrop/2002347192-edc-02.jpg,https://www.carvana.com/vehicle/2716741
2002352425,1G1YJ2D75E5118390,Chevrolet,Corvette,2014,Other,Used,"Used 2014 Chevrolet Corvette Stingray Z51 with 22995 miles - $49,590","Brooklyn, NY",22995,49590,https://cdnblob.fastly.carvana.io/2002352425/post-large/normalized/zoomcrop/2002352425-edc-02.jpg,https://www.carvana.com/vehicle/2718676
