Searched Term,Searched Location,Name,Title,Location,Profile URL,Company Name,Company Website
creative director,New York,Joey Ianno,Creative Director,"New York, United States",https://www.adforum.com/talent/81800239-joey-ianno,Barton F. Graf,
creative director,New York,Rick Ardito,Creative Director,"New York, United States",https://www.adforum.com/talent/47411-rick-ardito,m:united/McCann,
creative director,New York,Ty Baker,Creative Director,"New York, United States",https://www.adforum.com/talent/20483-ty-baker,"Momentum, Inc.",
creative director,New York,Brian Eden,Creative Director,"New York, United States",https://www.adforum.com/talent/66588-brian-eden,Fig,
creative director,New York,Frank Anselmo,Creative Director,"New York, United States",https://www.adforum.com/talent/64791-frank-anselmo,"School of Visual Arts, New York, United States",
creative director,New York,Andrew Langer,Creative Director,"New York, United States",https://www.adforum.com/talent/50699-andrew-langer,Roberts & Tarlow Advertising,
creative director,New York,Marco Martins,Creative Director,"New York, United States",https://www.adforum.com/talent/82210019-marco-martins,Dentsu Creative,
creative director,New York,Scott Carlton,Creative Director,"New York, United States",https://www.adforum.com/talent/82230442-scott-carlton,Publicis Tel Aviv,
creative director,New York,Elise Douglas,Creative Director,"New York, United States",https://www.adforum.com/talent/15714-elise-douglas,,
creative director,New York,Jake Dubs,Creative Director,"New York, United States",https://www.adforum.com/talent/81815213-jake-dubs,Pereira O'Dell,
creative director,New York,Eduardo Petersen,Creative Director,"New York, United States",https://www.adforum.com/talent/81789881-eduardo-petersen,Translation,
creative director,New York,Rich Kolopeaua,Creative Director,"New York, United States",https://www.adforum.com/talent/81783681-rich-kolopeaua,Deutsch NY,
creative director,New York,Alex Kniess,Creative Director,"New York, United States",https://www.adforum.com/talent/81835019-alex-kniess,Droga5,
creative director,New York,Ethan Schmidt,Creative Director,"New York, United States",https://www.adforum.com/talent/81825318-ethan-schmidt,SID LEE NEW YORK,
creative director,New York,Jeff Dryer,Creative Director,"New York, United States",https://www.adforum.com/talent/81789393-jeff-dryer,Alto,
creative director,New York,Griffin Creech,Creative Director,"New York, United States",https://www.adforum.com/talent/81790890-griffin-creech,Creech,
creative director,New York,Diego Aguilar,Creative Director,"New York, Ecuador",https://www.adforum.com/talent/81789057-diego-aguilar,Grey Colombia,
creative director,New York,Aste Gutiérrez,Creative Director,"New York, United States",https://www.adforum.com/talent/81792757-aste-gutierrez,Ogilvy Worldwide,http://www.ogilvy.com
creative director,New York,Jon Leachman,Creative Director,"New York, United States",https://www.adforum.com/talent/81788814-jon-leachman,Energy BBDO,
creative director,New York,Layne Braunstein,Creative Director,"New York, United States",https://www.adforum.com/talent/81781813-layne-braunstein,Blast Radius,
creative director,New York,Luke Hughett,Associate Creative Director,"New York, United States",https://www.adforum.com/talent/81786715-luke-hughett,Deutsch NY,
creative director,New York,Jessica Terlizzi,Associate Creative Director - Art,"New York, United States",https://www.adforum.com/talent/81774614-jessica-terlizzi,,
creative director,New York,David Suarez,Executive Creative Director,"New York, United States",https://www.adforum.com/talent/81773488-david-suarez,Goodby Silverstein & Partners,
creative director,New York,Erik Hogfeldt,Creative Director,"New York, United States",https://www.adforum.com/talent/81788244-erik-hogfeldt,Droga5,
creative director,New York,Justin Via,Creative Director,"New York, United States",https://www.adforum.com/talent/81779147-justin-via,masius I Publicis Consultants,
creative director,New York,Edu Pou,Executive Creative Director,"New York, United States",https://www.adforum.com/talent/81772365-edu-pou,We Are Social,
creative director,New York,Adriano Abdalla,General Creative Director,"New York, United States",https://www.adforum.com/talent/81770876-adriano-abdalla,Wunderman,
creative director,New York,Andy Hirsh,Creative Director,"New York, United States",https://www.adforum.com/talent/13052-andy-hirsh,Merkley+Partners,
creative director,New York,Srephani Cook,Creative Director,"New York, United States",https://www.adforum.com/talent/12600-srephani-cook,,
creative director,New York,Dan Sheehan,Creative Director,"New York, United States",https://www.adforum.com/talent/3668-dan-sheehan,"Gotham, Inc.",
creative director,New York,Dave  Moore,Co Creative Director,"New York, United States",https://www.adforum.com/talent/81787304-dave-moore,Anomaly Berlin,
creative director,New York,Okan Usta,Creative Director,"New York, United States",https://www.adforum.com/talent/81842131-okan-usta,Wieden + Kennedy,
