SKU,Type,Size,Color,Options,Price Per Each,Category,Sub Category,Material,Title,Description,Images,Url
25418,,,,{},2.75,Pillows,,,Pacific Coast Touch Of Down Pillow Standard 20x26 31Oz. Fill 12 Per Case Price Per Each,"***Items Are Made to Order & Shipped Within 10 Business Days***
T-230, Gray Duck Feather & Down
Touch Of Down® Pillow Our Most Popular Pillow; Preferred In Over 1 Million Hotel Rooms Nationwide, This Pillow-In-A-Pillow Design Combines Fluffy Down And Resilient Feathers For A Comfort Experience Like No Other - Supportive Yet Wonderfully Soft And Inviting
Approved American Lung Association® Partnership Product
230 Thread Count Allerrest Fabric® Blocks Dust Mites
Hyperclean® Pacific Coast® Down And Feather Filled
Pillow-In-A-Pillow Design
Fill Weight: 31 Oz.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/pacificcoast%202/pcf28921.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/PacificCoast 2/28921_1.jpg']",https://www.ahscompany.com/Pacific-Coast-Touch-Of-Down-Pillow-Standard-20x26-31Oz-Fill-12-Per-Case-Price-Per-Each_p_5452.html
25605,,,,{},7.17,Pillows,,,Pacific Coast Touch Of Down Pillow King 20x36 44Oz. Fill 6 Per Case Price Per Each,"***Items Are Made to Order & Shipped Within 10 Business Days***
T-230, Feather & Down
Touch Of Down® Pillow Our Most Popular Pillow; Preferred In Over 1 Million Hotel Rooms Nationwide, This Pillow-In-A-Pillow Design Combines Fluffy Down And Resilient Feathers For A Comfort Experience Like No Other - Supportive Yet Wonderfully Soft And Inviting
Approved American Lung Association® Partnership Product
230 Thread Count Allerrest Fabric® Blocks Dust Mites
Hyperclean® Pacific Coast® Down And Feather Filled
Pillow-In-A-Pillow Design
Fill Weight: 44 Oz.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/pacificcoast%202/pcf28921.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/PacificCoast 2/28921_1.jpg']",https://www.ahscompany.com/Pacific-Coast-Touch-Of-Down-Pillow-King-20x36-44Oz-Fill-6-Per-Case-Price-Per-Each_p_5455.html
50848,,,,{},0.83,Pillows,,,Hollander Deluxe Mattress Pad w/ Anchor Band Twin XL 38x80 18 Per Case Price Per Each,"Sleep In Total Comfort While Extending The Life Of Your Mattress. Enjoy An Extra Layer Of Comfort With This Diamond Quilt Mattress Pad. Crafted From Durable Polyester And Regenerated Fiber, This Pad Features Anchor Bands For A Secure Fit To Any Mattress.
8"" Diamond Pinsonic Quilting, 100% Polyester Top & Back
4 Oz/Sq Yd Regenerated Tri-Blend Fiber
Machine Wash & Dry",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/hollander/hol-50848.jpg'],https://www.ahscompany.com/Hollander-Deluxe-Mattress-Pad-w-Anchor-Band-Twin-XL-38x80-18-Per-Case-Price-Per-Each_p_29672.html
25614,,,,{},31.5,Pillows,,,Pacific Coast Hospitality Down Blanket Full 80x96 4 Per Case Price Per Each,"***Items Are Made to Order & Shipped Within 10 Business Days***
T-230, Down
A Larger Version Of Our Popular Down Blanket
Filled For Light Warmth Comfort, This Blanket Is Ideal For Layering Or For Warmer Climates And Room Temperatures
Oversized For Tailored Tuckability
7"" Sewn Through Box Design Eliminates Shifting Across The Blanket
Approved American Lung Association® Partnership Product
230 Thread Count Allerrest Fabric® Blocks Dust Mites
17 Oz Fill Weight","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/pacificcoast%202/46631.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/PacificCoast 2/43463_1.jpg']",https://www.ahscompany.com/Pacific-Coast-Hospitality-Down-Blanket-Full-80x96-4-Per-Case-Price-Per-Each_p_5520.html
25403,,,,{},3.85,Pillows,,,Pacific Coast Touch Of Down Pillow Queen 20x30 37Oz. Fill 10 Per Case Price Per Each,"***Items Are Made to Order & Shipped Within 10 Business Days***
T-230, Feather & Down
Touch Of Down® Pillow Our Most Popular Pillow; Preferred In Over 1 Million Hotel Rooms Nationwide, This Pillow-In-A-Pillow Design Combines Fluffy Down And Resilient Feathers For A Comfort Experience Like No Other - Supportive Yet Wonderfully Soft And Inviting
Approved American Lung Association® Partnership Product
230 Thread Count Allerrest Fabric® Blocks Dust Mites
Hyperclean® Pacific Coast® Down And Feather Filled
Pillow-In-A-Pillow Design
Fill Weight: 37 Oz.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/pacificcoast%202/pcf28921.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/PacificCoast 2/28921_1.jpg']",https://www.ahscompany.com/Pacific-Coast-Touch-Of-Down-Pillow-Queen-20x30-37Oz-Fill-10-Per-Case-Price-Per-Each_p_5454.html
58286,,,,{},2.1,Pillows,,,Hollander Deluxe Mattress Pad w/ Anchor Band Hotel King 72x80 10 Per Case Price Per Each,"Sleep In Total Comfort While Extending The Life Of Your Mattress. Enjoy An Extra Layer Of Comfort With This Diamond Quilt Mattress Pad. Crafted From Durable Polyester And Regenerated Fiber, This Pad Features Anchor Bands For A Secure Fit To Any Mattress.
8"" Diamond Pinsonic Quilting, 100% Polyester Top & Back
4 Oz/Sq Yd Regenerated Tri-Blend Fiber
Machine Wash & Dry",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/hollander/hol-50848.jpg'],https://www.ahscompany.com/Hollander-Deluxe-Mattress-Pad-w-Anchor-Band-Hotel-King-72x80-10-Per-Case-Price-Per-Each_p_28257.html
25601,,,,{},3.16,Pillows,,,Pacific Coast Feather Pillow King 20x36 38Oz. Fill 6 Per Case Price Per Each,"***Items Are Made to Order & Shipped Within 10 Business Days***
T-230, Gray Duck Feather
Offers Natural, Lasting Support
The Feather Pillow's Springy And Resilient Feathers Cradle Your Head And Neck In Comfort
Approved American Lung Association® Partnership Product
230 Thread Count Allerrest Fabric® Blocks Dust Mites
Hyperclean® Pacific Coast® Feather Filled
Fill Weight: 38 Oz.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/pacificcoast%202/95%205%20feather%20pillow.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/PacificCoast 2/34911_1.jpg']",https://www.ahscompany.com/Pacific-Coast-Feather-Pillow-King-20x36-38Oz-Fill-6-Per-Case-Price-Per-Each_p_5449.html
50025,,,,{},10.5,Pillows,,,"Hollander Supreme Quilted Topper w/ 20"" Smooth Grip Skirt King 76x80 6 Per Case Price Per Each","20"" Smooth Grip Skirt
Needle Stitch Quilting, 200 TC 100% Cotton Top Treated With Antimicrobial Treatment, Non Woven Back
20 Oz/Sq Yd Regenerated Tri-Blend Fiber
Machine Wash & Dry",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/hollander/hol-50028.jpg'],https://www.ahscompany.com/Hollander-Supreme-Quilted-Topper-w-20-Smooth-Grip-Skirt-King-76x80-6-Per-Case-Price-Per-Each_p_28272.html
50029,,,,{},10.5,Pillows,,,"Hollander Supreme Quilted Topper w/ 20"" Smooth Grip Skirt Hotel King 72x80 6 Per Case Price Per Each","20"" Smooth Grip Skirt
Needle Stitch Quilting, 200 TC 100% Cotton Top Treated With Antimicrobial Treatment, Non Woven Back
20 Oz/Sq Yd Regenerated Tri-Blend Fiber
Machine Wash & Dry",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/hollander/hol-50028.jpg'],https://www.ahscompany.com/Hollander-Supreme-Quilted-Topper-w-20-Smooth-Grip-Skirt-Hotel-King-72x80-6-Per-Case-Price-Per-Each_p_28273.html
50024,,,,{},9.5,Pillows,,,"Hollander Supreme Quilted Topper w/ 20"" Smooth Grip Skirt Queen 60x80 6 Per Case Price Per Each","20"" Smooth Grip Skirt
Needle Stitch Quilting, 200 TC 100% Cotton Top Treated With Antimicrobial Treatment, Non Woven Back
20 Oz/Sq Yd Regenerated Tri-Blend Fiber
Machine Wash & Dry",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/hollander/hol-50028.jpg'],https://www.ahscompany.com/Hollander-Supreme-Quilted-Topper-w-20-Smooth-Grip-Skirt-Queen-60x80-6-Per-Case-Price-Per-Each_p_28271.html
