SKU,Type,Size,Color,Options,Price Per Each,Category,Sub Category,Material,Title,Description,Images,Url
4608,,,Blue,"{'Color Selection': 'Blue', 'Caster Arrangement Options': 'All Swivel Caster Pattern'}",311.99,Wire Laundry Carts,,,R&B 8 Bushel Standard Poly Laundry Truck,"***FREE SHIPPING DOES NOT APPLY ON THIS ITEM***
Durable Roto Base Maximizes Payload - Eliminates The Need For Ugly Plywood Or Flimsy Sheet Metal
Smooth Interior Finish - Easy To Clean
Heavy-Duty .225"" Average Wall Thickness With Round Corners
Industrial Grade 3"" Casters With Non-Marking Polyurethane Tires Come Standard
Upgrade To 4"" Casters At An Additional Cost
Dimensions: 35.75"" L X 24.5"" W X 29.25"" H - Height Is Based On 3"" Casters
Product Weight: 42 Lbs
Recommended Weight Capacity: 325 Lbs
Total Caster Rating: 600 Lbs
Available In Blue, Gray Or Black","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb%20wire%20carts/bluepolyyy.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/rbstandardpoly2.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/polycoloroptions.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/rbwheels.jpg']",https://www.ahscompany.com/RB-8-Bushel-Standard-Poly-Laundry-Truck_p_26393.html
4608,,,Blue,"{'Color Selection': 'Blue', 'Caster Arrangement Options': '2 Swivel & 2 Rigid Caster Pattern'}",311.99,Wire Laundry Carts,,,R&B 8 Bushel Standard Poly Laundry Truck,"***FREE SHIPPING DOES NOT APPLY ON THIS ITEM***
Durable Roto Base Maximizes Payload - Eliminates The Need For Ugly Plywood Or Flimsy Sheet Metal
Smooth Interior Finish - Easy To Clean
Heavy-Duty .225"" Average Wall Thickness With Round Corners
Industrial Grade 3"" Casters With Non-Marking Polyurethane Tires Come Standard
Upgrade To 4"" Casters At An Additional Cost
Dimensions: 35.75"" L X 24.5"" W X 29.25"" H - Height Is Based On 3"" Casters
Product Weight: 42 Lbs
Recommended Weight Capacity: 325 Lbs
Total Caster Rating: 600 Lbs
Available In Blue, Gray Or Black","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb%20wire%20carts/bluepolyyy.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/rbstandardpoly2.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/polycoloroptions.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/rbwheels.jpg']",https://www.ahscompany.com/RB-8-Bushel-Standard-Poly-Laundry-Truck_p_26393.html
4608,,,Gray,"{'Color Selection': 'Gray', 'Caster Arrangement Options': 'All Swivel Caster Pattern'}",311.99,Wire Laundry Carts,,,R&B 8 Bushel Standard Poly Laundry Truck,"***FREE SHIPPING DOES NOT APPLY ON THIS ITEM***
Durable Roto Base Maximizes Payload - Eliminates The Need For Ugly Plywood Or Flimsy Sheet Metal
Smooth Interior Finish - Easy To Clean
Heavy-Duty .225"" Average Wall Thickness With Round Corners
Industrial Grade 3"" Casters With Non-Marking Polyurethane Tires Come Standard
Upgrade To 4"" Casters At An Additional Cost
Dimensions: 35.75"" L X 24.5"" W X 29.25"" H - Height Is Based On 3"" Casters
Product Weight: 42 Lbs
Recommended Weight Capacity: 325 Lbs
Total Caster Rating: 600 Lbs
Available In Blue, Gray Or Black","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb%20wire%20carts/bluepolyyy.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/rbstandardpoly2.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/polycoloroptions.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/rbwheels.jpg']",https://www.ahscompany.com/RB-8-Bushel-Standard-Poly-Laundry-Truck_p_26393.html
4608,,,Gray,"{'Color Selection': 'Gray', 'Caster Arrangement Options': '2 Swivel & 2 Rigid Caster Pattern'}",311.99,Wire Laundry Carts,,,R&B 8 Bushel Standard Poly Laundry Truck,"***FREE SHIPPING DOES NOT APPLY ON THIS ITEM***
Durable Roto Base Maximizes Payload - Eliminates The Need For Ugly Plywood Or Flimsy Sheet Metal
Smooth Interior Finish - Easy To Clean
Heavy-Duty .225"" Average Wall Thickness With Round Corners
Industrial Grade 3"" Casters With Non-Marking Polyurethane Tires Come Standard
Upgrade To 4"" Casters At An Additional Cost
Dimensions: 35.75"" L X 24.5"" W X 29.25"" H - Height Is Based On 3"" Casters
Product Weight: 42 Lbs
Recommended Weight Capacity: 325 Lbs
Total Caster Rating: 600 Lbs
Available In Blue, Gray Or Black","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb%20wire%20carts/bluepolyyy.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/rbstandardpoly2.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/polycoloroptions.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/rbwheels.jpg']",https://www.ahscompany.com/RB-8-Bushel-Standard-Poly-Laundry-Truck_p_26393.html
4608,,,Black,"{'Color Selection': 'Black', 'Caster Arrangement Options': 'All Swivel Caster Pattern'}",311.99,Wire Laundry Carts,,,R&B 8 Bushel Standard Poly Laundry Truck,"***FREE SHIPPING DOES NOT APPLY ON THIS ITEM***
Durable Roto Base Maximizes Payload - Eliminates The Need For Ugly Plywood Or Flimsy Sheet Metal
Smooth Interior Finish - Easy To Clean
Heavy-Duty .225"" Average Wall Thickness With Round Corners
Industrial Grade 3"" Casters With Non-Marking Polyurethane Tires Come Standard
Upgrade To 4"" Casters At An Additional Cost
Dimensions: 35.75"" L X 24.5"" W X 29.25"" H - Height Is Based On 3"" Casters
Product Weight: 42 Lbs
Recommended Weight Capacity: 325 Lbs
Total Caster Rating: 600 Lbs
Available In Blue, Gray Or Black","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb%20wire%20carts/bluepolyyy.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/rbstandardpoly2.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/polycoloroptions.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/rbwheels.jpg']",https://www.ahscompany.com/RB-8-Bushel-Standard-Poly-Laundry-Truck_p_26393.html
4608,,,Black,"{'Color Selection': 'Black', 'Caster Arrangement Options': '2 Swivel & 2 Rigid Caster Pattern'}",311.99,Wire Laundry Carts,,,R&B 8 Bushel Standard Poly Laundry Truck,"***FREE SHIPPING DOES NOT APPLY ON THIS ITEM***
Durable Roto Base Maximizes Payload - Eliminates The Need For Ugly Plywood Or Flimsy Sheet Metal
Smooth Interior Finish - Easy To Clean
Heavy-Duty .225"" Average Wall Thickness With Round Corners
Industrial Grade 3"" Casters With Non-Marking Polyurethane Tires Come Standard
Upgrade To 4"" Casters At An Additional Cost
Dimensions: 35.75"" L X 24.5"" W X 29.25"" H - Height Is Based On 3"" Casters
Product Weight: 42 Lbs
Recommended Weight Capacity: 325 Lbs
Total Caster Rating: 600 Lbs
Available In Blue, Gray Or Black","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb%20wire%20carts/bluepolyyy.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/rbstandardpoly2.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/polycoloroptions.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/rbwheels.jpg']",https://www.ahscompany.com/RB-8-Bushel-Standard-Poly-Laundry-Truck_p_26393.html
848-Blue,,,Blue,{'Color Selection': 'Blue'},776.99,Wire Laundry Carts,,,R&B 48 Cu. Ft. Bulk Transport Poly Truck,"***FREE SHIPPING DOES NOT APPLY ON THIS ITEM***
Maximize Your Payload When Transporting Items Such As Soiled Linen, Bagged Waste Or Recyclables
Carry Huge Loads With Ease And Enjoy Many Years Of Carefree Service
Heavy .225"" Nominal Wall Thickness Poly Construction
Ultra Tough Double Walled Structural Poly Base
Rugged 6"" Non-Marking Ball Bearing Casters (2 Fixed, 2 Swivel) Ensure Smooth Rolling
Optional Gray Spring Platform (860) And White Vinyl Cover (850) Are Available
Dimensions: 48"" L X 29"" W X 67"" H
Product Weight: 130 Lbs
Total Caster Rating: 2000 Lbs
Available In Blue, Gray Or Black","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb%20wire%20carts/847rb1.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/847rb3.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/847rb4.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/polycoloroptions.jpg']",https://www.ahscompany.com/RB-48-Cu-Ft-Bulk-Transport-Poly-Truck_p_26377.html
848-Gray,,,Gray,{'Color Selection': 'Gray'},776.99,Wire Laundry Carts,,,R&B 48 Cu. Ft. Bulk Transport Poly Truck,"***FREE SHIPPING DOES NOT APPLY ON THIS ITEM***
Maximize Your Payload When Transporting Items Such As Soiled Linen, Bagged Waste Or Recyclables
Carry Huge Loads With Ease And Enjoy Many Years Of Carefree Service
Heavy .225"" Nominal Wall Thickness Poly Construction
Ultra Tough Double Walled Structural Poly Base
Rugged 6"" Non-Marking Ball Bearing Casters (2 Fixed, 2 Swivel) Ensure Smooth Rolling
Optional Gray Spring Platform (860) And White Vinyl Cover (850) Are Available
Dimensions: 48"" L X 29"" W X 67"" H
Product Weight: 130 Lbs
Total Caster Rating: 2000 Lbs
Available In Blue, Gray Or Black","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb%20wire%20carts/847rb1.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/847rb3.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/847rb4.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/polycoloroptions.jpg']",https://www.ahscompany.com/RB-48-Cu-Ft-Bulk-Transport-Poly-Truck_p_26377.html
848-Black,,,Black,{'Color Selection': 'Black'},776.99,Wire Laundry Carts,,,R&B 48 Cu. Ft. Bulk Transport Poly Truck,"***FREE SHIPPING DOES NOT APPLY ON THIS ITEM***
Maximize Your Payload When Transporting Items Such As Soiled Linen, Bagged Waste Or Recyclables
Carry Huge Loads With Ease And Enjoy Many Years Of Carefree Service
Heavy .225"" Nominal Wall Thickness Poly Construction
Ultra Tough Double Walled Structural Poly Base
Rugged 6"" Non-Marking Ball Bearing Casters (2 Fixed, 2 Swivel) Ensure Smooth Rolling
Optional Gray Spring Platform (860) And White Vinyl Cover (850) Are Available
Dimensions: 48"" L X 29"" W X 67"" H
Product Weight: 130 Lbs
Total Caster Rating: 2000 Lbs
Available In Blue, Gray Or Black","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb%20wire%20carts/847rb1.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/847rb3.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/847rb4.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/polycoloroptions.jpg']",https://www.ahscompany.com/RB-48-Cu-Ft-Bulk-Transport-Poly-Truck_p_26377.html
4616,,,Blue,"{'Color Selection': 'Blue', 'Caster Arrangement Options': 'All Swivel Caster Pattern'}",392.99,Wire Laundry Carts,,,R&B 16 Bushel Standard Poly Laundry Truck,"***FREE SHIPPING DOES NOT APPLY ON THIS ITEM***
Durable Roto Base Maximizes Payload - Eliminates The Need For Ugly Plywood Or Flimsy Sheet Metal
Smooth Interior Finish - Easy To Clean
Heavy-Duty .225"" Average Wall Thickness With Round Corners
Comes Standard With Our Patented 5"" Clean Wheel System™ Casters
Upgrade To 6"" Casters At An Additional Cost. Semi And Fully Pneumatic Available By Calling
Dimensions: 42.5"" L X 30"" W X 38"" H - Height Is Based On 5"" Casters
Product Weight: 63 Lbs
Recommended Weight Capacity: 540 Lbs
Total Caster Rating: 800 Lbs
Available In Blue, Gray Or Black","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb%20wire%20carts/bluepolyyy.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/rbstandardpoly2.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/polycoloroptions.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rb wire carts/rbwheels.jpg']",https://www.ahscompany.com/RB-16-Bushel-Standard-Poly-Laundry-Truck_p_26397.html
