SKU,Type,Size,Color,Options,Price Per Each,Category,Sub Category,Material,Title,Description,Images,Url
020300-C,Dish Cloths,,Natural,{'Color Selection': 'Natural'},0.83,Concepts Collection,,,Ritz Concepts Solid Terry Dish Cloth Long Fold 12x12 14 Dz Per Case Price Per Dz,"100% Terry Cotton
0.7 Lbs/Dozen","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/ritz/concepts.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Ritz/ritz103.jpg']",https://www.ahscompany.com/Ritz-Concepts-Solid-Terry-Dish-Cloth-Long-Fold-12x12-14-Dz-Per-Case-Price-Per-Dz_p_9518.html
020320-C,Dish Cloths,,Dark Green,{'Color Selection': 'Dark Green'},0.83,Concepts Collection,,,Ritz Concepts Solid Terry Dish Cloth Long Fold 12x12 14 Dz Per Case Price Per Dz,"100% Terry Cotton
0.7 Lbs/Dozen","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/ritz/concepts.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Ritz/ritz103.jpg']",https://www.ahscompany.com/Ritz-Concepts-Solid-Terry-Dish-Cloth-Long-Fold-12x12-14-Dz-Per-Case-Price-Per-Dz_p_9518.html
020349-C,Dish Cloths,,Smoke Blue,{'Color Selection': 'Smoke Blue'},0.83,Concepts Collection,,,Ritz Concepts Solid Terry Dish Cloth Long Fold 12x12 14 Dz Per Case Price Per Dz,"100% Terry Cotton
0.7 Lbs/Dozen","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/ritz/concepts.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Ritz/ritz103.jpg']",https://www.ahscompany.com/Ritz-Concepts-Solid-Terry-Dish-Cloth-Long-Fold-12x12-14-Dz-Per-Case-Price-Per-Dz_p_9518.html
025300-C,Dish Cloths,,Natural,{'Color Selection': 'Natural'},1.08,Concepts Collection,,,Ritz Concepts Solid Terry Dish Cloth 12x12 14 Dz Per Case Price Per Dz,"100% Terry Cotton
0.9 Lbs/Dozen","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/ritz/concepts.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Ritz/ritz153.jpg']",https://www.ahscompany.com/Ritz-Concepts-Solid-Terry-Dish-Cloth-12x12-14-Dz-Per-Case-Price-Per-Dz_p_9510.html
025310-C,Dish Cloths,,Light Blue,{'Color Selection': 'Light Blue'},1.08,Concepts Collection,,,Ritz Concepts Solid Terry Dish Cloth 12x12 14 Dz Per Case Price Per Dz,"100% Terry Cotton
0.9 Lbs/Dozen","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/ritz/concepts.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Ritz/ritz153.jpg']",https://www.ahscompany.com/Ritz-Concepts-Solid-Terry-Dish-Cloth-12x12-14-Dz-Per-Case-Price-Per-Dz_p_9510.html
025314-C,Dish Cloths,,Black,{'Color Selection': 'Black'},1.08,Concepts Collection,,,Ritz Concepts Solid Terry Dish Cloth 12x12 14 Dz Per Case Price Per Dz,"100% Terry Cotton
0.9 Lbs/Dozen","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/ritz/concepts.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Ritz/ritz153.jpg']",https://www.ahscompany.com/Ritz-Concepts-Solid-Terry-Dish-Cloth-12x12-14-Dz-Per-Case-Price-Per-Dz_p_9510.html
025320-C,Dish Cloths,,Dark Green,{'Color Selection': 'Dark Green'},1.08,Concepts Collection,,,Ritz Concepts Solid Terry Dish Cloth 12x12 14 Dz Per Case Price Per Dz,"100% Terry Cotton
0.9 Lbs/Dozen","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/ritz/concepts.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Ritz/ritz153.jpg']",https://www.ahscompany.com/Ritz-Concepts-Solid-Terry-Dish-Cloth-12x12-14-Dz-Per-Case-Price-Per-Dz_p_9510.html
020800-C,Dish Cloths,,Check Natural/Taupe,{'Color Selection': 'Check Natural/Taupe'},1.08,Concepts Collection,,,Ritz Concepts Coordinate Check Terry Dish Cloth 12x12 14 Dz Per Case Price Per Dz,"100% Terry Cotton
0.8 Lbs/Dozen","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/ritz/concepts.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Ritz/ritz15_12345.jpg']",https://www.ahscompany.com/Ritz-Concepts-Coordinate-Check-Terry-Dish-Cloth-12x12-14-Dz-Per-Case-Price-Per-Dz_p_9512.html
020810-C,Dish Cloths,,Check Light Blue,{'Color Selection': 'Check Light Blue'},1.08,Concepts Collection,,,Ritz Concepts Coordinate Check Terry Dish Cloth 12x12 14 Dz Per Case Price Per Dz,"100% Terry Cotton
0.8 Lbs/Dozen","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/ritz/concepts.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Ritz/ritz15_12345.jpg']",https://www.ahscompany.com/Ritz-Concepts-Coordinate-Check-Terry-Dish-Cloth-12x12-14-Dz-Per-Case-Price-Per-Dz_p_9512.html
020814-C,Dish Cloths,,Check Black,{'Color Selection': 'Check Black'},1.08,Concepts Collection,,,Ritz Concepts Coordinate Check Terry Dish Cloth 12x12 14 Dz Per Case Price Per Dz,"100% Terry Cotton
0.8 Lbs/Dozen","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/ritz/concepts.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Ritz/ritz15_12345.jpg']",https://www.ahscompany.com/Ritz-Concepts-Coordinate-Check-Terry-Dish-Cloth-12x12-14-Dz-Per-Case-Price-Per-Dz_p_9512.html
