SKU,Type,Size,Color,Options,Price Per Each,Category,Sub Category,Material,Title,Description,Images,Url
VPM-12x17-EBY-00072,,,,{},2.33,Table Linen Collections,,,Riegel Basket Weave Vinyl Rectangular Placemats 12x17 Ebony 6 Dz Per Case Price Per Dz,"Dining With A Chic And Sophisticated Flare Is Easier Than You Think With Woven Vinyl Placemats By Riegel
12x17 Fits All Table Sizes With Ease
A Variety Of Colors And Weaves Available
Wipe Clean With Soap And Water
Air Dry And Store Flat",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/riegel/vpm-12x17-eby.jpg'],https://www.ahscompany.com/Riegel-Basket-Weave-Vinyl-Rectangular-Placemats-12x17-Ebony-6-Dz-Per-Case-Price-Per-Dz_p_24375.html
VPM-12x17-RED-00072,,,,{},3.0,Table Linen Collections,,,Riegel Wicker Weave Vinyl Rectangular Placemats 12x17 Red Multi 6 Dz Per Case Price Per Dz,"Dining With A Chic And Sophisticated Flare Is Easier Than You Think With Woven Vinyl Placemats By Riegel
12x17 Fits All Table Sizes With Ease
A Variety Of Colors And Weaves Available
Wipe Clean With Soap And Water
Air Dry And Store Flat",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/riegel/vpm-12x17-red.jpg'],https://www.ahscompany.com/Riegel-Wicker-Weave-Vinyl-Rectangular-Placemats-12x17-Red-Multi-6-Dz-Per-Case-Price-Per-Dz_p_24419.html
VPM-12x17-RAT-00072,,,,{},2.67,Table Linen Collections,,,Riegel Multi Weave Vinyl Rectangular Placemats 12x17 Rattan 6 Dz Per Case Price Per Dz,"Dining With A Chic And Sophisticated Flare Is Easier Than You Think With Woven Vinyl Placemats By Riegel
12x17 Fits All Table Sizes With Ease
A Variety Of Colors And Weaves Available
Wipe Clean With Soap And Water
Air Dry And Store Flat",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/riegel/vpm-12x17-rat.jpg'],https://www.ahscompany.com/Riegel-Multi-Weave-Vinyl-Rectangular-Placemats-12x17-Rattan-6-Dz-Per-Case-Price-Per-Dz_p_24417.html
VPM-12x17-GRI-00072,,,,{},3.0,Table Linen Collections,,,Riegel Wide Basket Weave Vinyl Rectangular Placemats 12x17 Grigio 6 Dz Per Case Price Per Dz,"Dining With A Chic And Sophisticated Flare Is Easier Than You Think With Woven Vinyl Placemats By Riegel
12x17 Fits All Table Sizes With Ease
A Variety Of Colors And Weaves Available
Wipe Clean With Soap And Water
Air Dry And Store Flat",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/riegel/vpm-12x17-rat.jpg'],https://www.ahscompany.com/Riegel-Wide-Basket-Weave-Vinyl-Rectangular-Placemats-12x17-Grigio-6-Dz-Per-Case-Price-Per-Dz_p_27044.html
VPM-12x17-NBL-00072,,,,{},2.75,Table Linen Collections,,,Riegel Basket Weave Vinyl Rectangular Placemats 12x17 Nature's Blend 6 Dz Per Case Price Per Dz,"Dining With A Chic And Sophisticated Flare Is Easier Than You Think With Woven Vinyl Placemats By Riegel
12x17 Fits All Table Sizes With Ease
A Variety Of Colors And Weaves Available
Wipe Clean With Soap And Water
Air Dry And Store Flat",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/riegel/vpm-12x17-rat.jpg'],https://www.ahscompany.com/Riegel-Basket-Weave-Vinyl-Rectangular-Placemats-12x17-Natures-Blend-6-Dz-Per-Case-Price-Per-Dz_p_27035.html
SBA-87RD-WHT-00012,,,White,{'Color Selection': 'White'},47.58,Table Linen Collections,,,"Riegel Satin Band Beauti-Damask Cotton Blend 87"" Round Tablecloth 1 Dz Per Case Price Per Dz","*** MADE TO ORDER AND NON-RETURNABLE***
***MADE TO ORDER COLORS WHICH INCLUDE BLACK, BURGUNDY, CHOCOLATE AND LIGHT OLIVE CAN TAKE UP TO 6 WEEKS FOR DELIVERY
AND ARE NON-RETURNABLE
***
Riegel's Cotton-Blend Satin Band Beauti-Damask Is The Standard Of Perfection In The Hospitality Industry
The Simplicity Of The Satin Band Design Makes It The Most Universally Requested Pattern Available Today And Compliments Any Decor
Satin Band Linens Are Also Available In Your Choice Of Color With Minimum Order Quantities Applicable
Cotton Polyester Blend
Luxurious Vat Dyed Colors
Smooth, Ultra Soft Hand
Fully Mercerized","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/riegel/51rsb.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/riegel/beautisq90.jpg']",https://www.ahscompany.com/Riegel-Satin-Band-Beauti-Damask-Cotton-Blend-87-Round-Tablecloth-1-Dz-Per-Case-Price-Per-Dz_p_8675.html
SBA-87RD-CSD-00012,,,Canaveral Sand,{'Color Selection': 'Canaveral Sand (+$388.00)'},435.58,Table Linen Collections,,,"Riegel Satin Band Beauti-Damask Cotton Blend 87"" Round Tablecloth 1 Dz Per Case Price Per Dz","*** MADE TO ORDER AND NON-RETURNABLE***
***MADE TO ORDER COLORS WHICH INCLUDE BLACK, BURGUNDY, CHOCOLATE AND LIGHT OLIVE CAN TAKE UP TO 6 WEEKS FOR DELIVERY
AND ARE NON-RETURNABLE
***
Riegel's Cotton-Blend Satin Band Beauti-Damask Is The Standard Of Perfection In The Hospitality Industry
The Simplicity Of The Satin Band Design Makes It The Most Universally Requested Pattern Available Today And Compliments Any Decor
Satin Band Linens Are Also Available In Your Choice Of Color With Minimum Order Quantities Applicable
Cotton Polyester Blend
Luxurious Vat Dyed Colors
Smooth, Ultra Soft Hand
Fully Mercerized","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/riegel/51rsb.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/riegel/beautisq90.jpg']",https://www.ahscompany.com/Riegel-Satin-Band-Beauti-Damask-Cotton-Blend-87-Round-Tablecloth-1-Dz-Per-Case-Price-Per-Dz_p_8675.html
SBA-87RD-IVY-00012,,,Ivory,{'Color Selection': 'Ivory (+$388.00)'},435.58,Table Linen Collections,,,"Riegel Satin Band Beauti-Damask Cotton Blend 87"" Round Tablecloth 1 Dz Per Case Price Per Dz","*** MADE TO ORDER AND NON-RETURNABLE***
***MADE TO ORDER COLORS WHICH INCLUDE BLACK, BURGUNDY, CHOCOLATE AND LIGHT OLIVE CAN TAKE UP TO 6 WEEKS FOR DELIVERY
AND ARE NON-RETURNABLE
***
Riegel's Cotton-Blend Satin Band Beauti-Damask Is The Standard Of Perfection In The Hospitality Industry
The Simplicity Of The Satin Band Design Makes It The Most Universally Requested Pattern Available Today And Compliments Any Decor
Satin Band Linens Are Also Available In Your Choice Of Color With Minimum Order Quantities Applicable
Cotton Polyester Blend
Luxurious Vat Dyed Colors
Smooth, Ultra Soft Hand
Fully Mercerized","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/riegel/51rsb.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/riegel/beautisq90.jpg']",https://www.ahscompany.com/Riegel-Satin-Band-Beauti-Damask-Cotton-Blend-87-Round-Tablecloth-1-Dz-Per-Case-Price-Per-Dz_p_8675.html
SBA-87RD-CHO-00012,,,Chocolate,{'Color Selection': 'Chocolate (+$657.00)'},704.58,Table Linen Collections,,,"Riegel Satin Band Beauti-Damask Cotton Blend 87"" Round Tablecloth 1 Dz Per Case Price Per Dz","*** MADE TO ORDER AND NON-RETURNABLE***
***MADE TO ORDER COLORS WHICH INCLUDE BLACK, BURGUNDY, CHOCOLATE AND LIGHT OLIVE CAN TAKE UP TO 6 WEEKS FOR DELIVERY
AND ARE NON-RETURNABLE
***
Riegel's Cotton-Blend Satin Band Beauti-Damask Is The Standard Of Perfection In The Hospitality Industry
The Simplicity Of The Satin Band Design Makes It The Most Universally Requested Pattern Available Today And Compliments Any Decor
Satin Band Linens Are Also Available In Your Choice Of Color With Minimum Order Quantities Applicable
Cotton Polyester Blend
Luxurious Vat Dyed Colors
Smooth, Ultra Soft Hand
Fully Mercerized","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/riegel/51rsb.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/riegel/beautisq90.jpg']",https://www.ahscompany.com/Riegel-Satin-Band-Beauti-Damask-Cotton-Blend-87-Round-Tablecloth-1-Dz-Per-Case-Price-Per-Dz_p_8675.html
PER-90X156-WHT-00006,,,White,{'Color Selection': 'White'},12.33,Table Linen Collections,,,Riegel Permalux Cotton Blend Rectangular Tablecloth 90x156 Black Or White 6 Per Case Price Per Each,"*** MADE TO ORDER AND NON-RETURNABLE***
The Traditional Mainstay For A Complete Range Of Quality Linens, Permalux Can Be Used In Every Property From Clubs, To Hotels, To Restaurants
Both Versatile And Economical
Cotton/Polyester Blend
Durable Momie Weave
Attractive Pricing
Fantastic Wrinkle Resistance
Extreme Durability And Color Fastness To Avoid Fading",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/riegel/4545pmw.jpg'],https://www.ahscompany.com/Riegel-Permalux-Cotton-Blend-Rectangular-Tablecloth-90x156-Black-Or-White-6-Per-Case-Price-Per-Each_p_5262.html
