SKU,Type,Size,Color,Options,Price Per Each,Category,Sub Category,Material,Title,Description,Images,Url
2947GRA,Wastebaskets & Liners,11 Gal,,{},32.99,Wastebaskets,Untouchable® Round Wastebaskets,,Rubbermaid Commercial 2947GRA 11 Gallon Untouchable® Round Wastebasket Gray ,"Durable And Crack Resistant, Even Under Tough Indoor/Outdoor Conditions
Perfect For Hotel Lobbies, Offices, Restrooms, Shopping Malls, Restaurants And Other Public Locations
Height:
18 3/4 in
47.6 cm
Diameter:
15 3/4 in
40.0 cm
Square:
Volume Capacity [Nom]:
44 3/8 qt
42.0 L",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rubbermaid%20commercial%20products/rcp2947gra.jpg'],https://www.ahscompany.com/Rubbermaid-Commercial-2947GRA-11-Gallon-Untouchable®-Round-Wastebasket-Gray-_p_2894.html
611200YW,Safety Signs,,,{},26.99,Safety Signs,,,"Rubbermaid Commercial 611200YW Floor Sign w/ Multi-Lingual ""Caution"" Imprint 2-Sided","Lightweight And Versatile; Makes A Heavy Statement About Safety
Caution Warning Messages Imprinted In English, French, And Spanish For Effective Communication To Broad Audiences
Two-Sided, 25"" (63.5 Cm) Model For Use In Narrow Areas
Folding Design For Convenient Storage Or Transport On Janitor Cart
Length:
26 in
66.0 cm
Width:
11 in
27.9 cm
Height:
Height (Open):
25 in
63.5 cm
Depth:
12 in
30.5 cm",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rubbermaid%20commercial%20products/rcp6112yel.jpg'],https://www.ahscompany.com/Rubbermaid-Commercial-611200YW-Floor-Sign-w-Multi-Lingual-Caution-Imprint-2-Sided_p_3052.html
9S0100YL,Safety Signs,,,{},73.99,Safety Signs,,,"Rubbermaid Commercial 9S0100YL Pop-Up Safety Cone w/ Multi-Lingual ""Caution"" Imprint and Wet Floor Symbol","Collapsible, Automatically Deployed Cone
Wall-Mounted Storage Tube Allows For Easy And Compact Storing
Durable Material Withstands Abuse
Width:
21 in
53.3 cm
Height:
30 in
76.2 cm",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rubbermaid%20commercial%20products/rcp9s01yel.jpg'],https://www.ahscompany.com/Rubbermaid-Commercial-9S0100YL-Pop-Up-Safety-Cone-w-Multi-Lingual-Caution-Imprint-and-Wet-Floor-Symbol_p_3176.html
199300GY,Closet Organizer,34 In,,{},93.99,Cleaning Supplies,Closet Organizer & Tool Holders,,"Rubbermaid Commercial 199300GY 34"" Closet Organizer/Tool Holders Gray ","Helps Increase Productivity And Efficiency Through Better Tool Storage And Access
S-Hooks Hold 5/8"" To 1 1/4"" (1.6 Cm To 3.2 Cm) Handle Diameters
Deep Double Hooks Afford Easy Accessibility
Clip Holder For Work Notes And Instructions",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rubbermaid%20commercial%20products/1993gra.jpg'],https://www.ahscompany.com/Rubbermaid-Commercial-199300GY-34-Closet-OrganizerTool-Holders-Gray-_p_2809.html
6350BLA,Hampers,,,{},124.99,Cleaning Supplies,Hamper Bag,,Rubbermaid Commercial 6350BLA 30 Gallon Premium Step-On Linen Hamper Bag,"Ideal For Areas Where Medical Waste Originates, Including Patient Rooms, Lab Procedure Rooms, And Emergency Rooms
Assists In Complying With OSHA Regulation; 29 CFR 1910.1030 ""Occupational Exposure To Bloodborne Pathogens""
Length:
19 7/8 in
50.5 cm
Width:
13 3/8 in
34.0 cm
Height:
29 1/4 in
74.3 cm
Volume Capacity [Nom]:
30 gal
113.6 L",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rubbermaid%20commercial%20products/6350bla.jpg'],https://www.ahscompany.com/Rubbermaid-Commercial-6350BLA-30-Gallon-Premium-Step-On-Linen-Hamper-Bag_p_3098.html
443600BK,Bulk Trucks,Medium,,{},1028.99,Material Handling,Platform Trucks,,Rubbermaid Commercial 443600BK Heavy-Duty Platform Truck Medium Black,"Ergonomically Designed Push Handle Improves Control & Worker Safety
Duramold™ Precision Engineered Resin And Metal Composite Structure For Unsurpassed Durability And Service Life
Molded-In Tie-Down Slots For Load Security
Textured Deck Surface Reduces Load Slippage
Perimeter Deck Channel Retains Small Items
Retainer Clips Prevent Unintended Handle Removal
Powder Coated Steel Handle / Frame For Optimum Service Life
2 Fixed, 2 Swivel Casters For Optimal Control & Maneuverability
Length:
48 in
121.9 cm
Width:
24 in
61.0 cm
Mass Capacity [Nom]:
1000 lb
453.6 kg",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rubbermaid%20commercial%20products/4436bla.jpg'],https://www.ahscompany.com/Rubbermaid-Commercial-443600BK-Heavy-Duty-Platform-Truck-Medium-Black_p_3008.html
315488BLA,,,,{},24.99,Cleaning Supplies,Deluxe Carry Caddy,,Rubbermaid Commercial 315488BLA Deluxe Carry Caddy Black ,"Heavy-Duty Caddy Conveniently Fits On Cleaning And Housekeeping Carts
Securely Holds Up To Eight 32 Oz Spray Bottles And Other Common Cleaning Tools
Ergonomic Handle Design Provides Comfortable Fit
Length:
15 in
38.1 cm
Width:
10.9 in
27.7 cm
Height:
7.4 in
18.8 cm","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rubbermaid%20commercial%20products/3154-88bla.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rubbermaid commercial products/3154-88bla_1.jpg']",https://www.ahscompany.com/Rubbermaid-Commercial-315488BLA-Deluxe-Carry-Caddy-Black-_p_2910.html
295500BG,Wastebaskets & Liners,14 Qt,,{},11.99,Wastebaskets,Deskside Wastebaskets,Plastic,Rubbermaid Commercial 295500BG 14 Qt. Deskside Plastic Wastebasket Beige ,"All-Plastic Construction Won’t Chip, Rust Or Dent
Rolled Rims Add Strength, And Are Easy To Clean
Length:
11 3/8 in
28.9 cm
Width:
8 1/4 in
21.0 cm
Height:
12 1/8 in
30.8 cm
Volume Capacity [Nom]:
13 5/8 qt
12.9 L",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rubbermaid%20commercial%20products/2955.jpg'],https://www.ahscompany.com/Rubbermaid-Commercial-295500BG-14-Qt-Deskside-Plastic-Wastebasket-Beige-_p_2896.html
295573BE,Recycling Containers,14 Qt,,{},12.99,Recycling Products,Deskside Recycling Containers,,Rubbermaid Commercial 295573BE 14 Qt. Deskside Paper Recycling Container Blue,"Contains Post Consumer Recycled Resin (PCR) Exceeding EPA Guidelines
Designed To Be Used In Systems With Existing Office Containers And Accessories
Placed Beside Traditional Wastebaskets, Rubbermaid’s Deskside Recycling Containers Make It Easy To Separate Waste Paper
Length:
11.4 in
28.9 cm
Width:
8 1/4 in
21.0 cm
Height:
12 1/8 in
30.8 cm",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rubbermaid%20commercial%20products/rcp295573blu.jpg'],https://www.ahscompany.com/Rubbermaid-Commercial-295573BE-14-Qt-Deskside-Paper-Recycling-Container-Blue_p_2899.html
430000BK,Utility Carts,,,{},1152.99,Material Handling,"Service Carts & Bins, Convertible Utility Cart",,Rubbermaid Commercial 430000BK Convertible Utility Cart w/ Platform Truck Black/Red,"Converts From A Utility Cart To A Platform Truck In Just Seconds
Innovative, Patent-Pending Design
Multi-Functional Productivity With Improved Worker Comfort - Saving You Time And Money
Length:
45.2 in
114.8 cm
Width:
23.8 in
60.5 cm
Height:
34.4 in
87.4 cm
Mass Capacity [Nom]:
400 lb
181.4 kg
Mass Capacity [Max]:
Platform Truck Length:
45 1/4 in
114.9 cm
Platform Truck Width:
23 3/4 in
60.3 cm
Platform Truck Height:
43.8 in
111.3 cm
Platform Truck Mass Capacity:
250 lb
113.4 kg
Length (Closed):
48.8 in
124.0 cm
Width (Closed):
23 3/4 in
60.3 cm
Height (Closed):
10 7/8 in
27.6 cm","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/rubbermaid%20commercial%20products/rcp4300bla.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Rubbermaid Commercial Products/rcp4300bla_1.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Rubbermaid Commercial Products/rcp4300bla_2.jpg']",https://www.ahscompany.com/Rubbermaid-Commercial-430000BK-Convertible-Utility-Cart-w-Platform-Truck-BlackRed_p_3003.html
