SKU,Type,Size,Color,Options,Price Per Each,Category,Sub Category,Material,Title,Description,Images,Url
SC689B,,,,{},294.99,Lightweight Commercial Upright Vacuums,,,Sanitaire SC689B Lightweight Commercial Upright Vacuum 5 Amps E-Z Kleen Removable Dust Cup 30' Cord,"It's the lightweight made for heavy-duty cleaning. This 14 lb. upright has an easy access dust cup system that makes cleaning quick and efficient.
Other Great Features:
•
5 Amps of Power
•
Dust Cup System
•
30' Power Cord
SPECIFICATIONS
Power
5 amp
Filtration
Standard
Container
Dirt Cup
Dust Capacity
1.9 dry qts.
Cleaning Path
12''
Cord Length
30'
Tools
N/A
Hose
N/A
Motor CFM
120
dB per ASTM
78
Warranty
1 year
PACKAGING
UPC Code
0 2316911333 6
Package Dimensions LxWxH
21.25x15.25x10
Package Weight
17.4 lbs.",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sanitaire/sc689a.jpg'],https://www.ahscompany.com/Sanitaire-SC689B-Lightweight-Commercial-Upright-Vacuum-5-Amps-E-Z-Kleen-Removable-Dust-Cup-30-Cord_p_22381.html
SC679K,Upright Vacuums,,,{},240.99,Lightweight Commercial Upright Vacuums,,,Sanitaire SC679K Lightweight Commercial Upright Vacuum 5 Amps Shake-Out Bag 30' Cord,"It's the lightweight made for heavy-duty cleaning. This 12 lb. upright features a shake-out bag system for a quick and cost-effective way to keep your carpet clean and beautiful.
Other Great Features:
5 Amps of Power
Shake-Out Bag System
30' Power Cord
SPECIFICATIONS
Power
5 amp
Filtration
Standard
Container
Shake-Out Bag
Dust Capacity
18 dry qts.
Cleaning Path
12''
Cord Length
30'
Tools
N/A
Hose
N/A
Motor CFM
120
dB per ASTM
78
Warranty
1 year
PACKAGING
UPC Code
0 2316910079 4
Package Dimensions LxWxH
20x14.25x7.75
Package Weight
14 lbs.",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sanitaire/sc679j.jpg'],https://www.ahscompany.com/Sanitaire-SC679K-Lightweight-Commercial-Upright-Vacuum-5-Amps-Shake-Out-Bag-30-Cord_p_22380.html
SC684G,Upright Vacuums,12 In,,{},302.99,Standard Commercial Upright Vacuums,,,Sanitaire SC684G Standard Commercial Upright Vacuum 7 Amps Shake-Out Bag 50' Cord,"Count on this upright for continuous, deep cleaning every time. Its 7 amp long-life motor and ball bearing steel brush roll combine to create a powerful workhorse.
Other Great Features:
7 Amps of Power
Shake-Out Bag System
50' Power Cord
SPECIFICATIONS
Power
7 amp
Filtration
Standard
Container
Shake-Out Bag
Dust Capacity
18 dry qts.
Cleaning Path
12''
Cord Length
50'
Tools
N/A
Hose
N/A
Motor CFM
145
dB per ASTM
79
Warranty
2 year
PACKAGING
UPC Code
0 2316910080 0
Package Dimensions LxWxH
20.5x15x8.5
Package Weight
18 lbs.",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sanitaire/sc684f.jpg'],https://www.ahscompany.com/Sanitaire-SC684G-Standard-Commercial-Upright-Vacuum-7-Amps-Shake-Out-Bag-50-Cord_p_22383.html
SC688B,,,,{},315.99,Lightweight Commercial Upright Vacuums,,,Sanitaire SC688B Standard Commercial Upright Vacuum 7 Amps Disposable Dust Bag 50' Cord,"Count on this standard upright for continuous, deep cleaning every time. This dependable workhorse is CRI Seal of Approval certified to provide a premium filtration level.
CRI Seal of Approval
Other Great Features:
7 Amps of Power
Disposable Dust Bag System
50' Power Cord
SPECIFICATIONS
Power
7 amp
Filtration
Allergen
Container
Disposable Dust Bag
Dust Capacity
9.5 dry qts.
Cleaning Path
12''
Cord Length
50'
Tools
N/A
Hose
N/A
Motor CFM
145
dB per ASTM
79
Warranty
2 year
PACKAGING
UPC Code
0 2316912087 7
Package Dimensions LxWxH
22.75x17.5x8.5
Package Weight
19.8 lbs.",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sanitaire/sc688a.jpg'],https://www.ahscompany.com/Sanitaire-SC688B-Standard-Commercial-Upright-Vacuum-7-Amps-Disposable-Dust-Bag-50-Cord_p_22384.html
SC5713D,Upright Vacuums,13 In,,{},443.99,Quiet Clean Commercial Upright Vacuums,,,Sanitaire SC5713D Quiet Clean Commercial Upright Vacuum 10 Amps Disposable Dust Bag System 40' Cord,"With the benefits of a clean-air system combined with the ultimate in filtration this bagged unit is made to clean. CRI Seal of Approval certified and clog resistant tools on board for convenience.
CRI Seal of Approval - Meets LEED Compliant
Other Great Features:
10 Amps of Power
Disposable Dust Bag System
40' Power Cord
SPECIFICATIONS
Power
10 amp
Filtration
Sealed HEPA
Container
Allergen Disposable Dust Bag
Dust Capacity
4.5 dry qts.
Cleaning Path
13''
Cord Length
40'
Tools
Wand, crevice tool, dusting brush
Hose
3:1 Stretch
Motor CFM
135
dB per ASTM
69
Warranty
2 year
PACKAGING
UPC Code
0 2316911670 2
Package Dimensions LxWxH
18.75x13.75x29.5
Package Weight
22 lbs.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sanitaire/sc5713d-11.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sanitaire/sc5713d-2.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sanitaire/sc5713d-3.jpg']",https://www.ahscompany.com/Sanitaire-SC5713D-Quiet-Clean-Commercial-Upright-Vacuum-10-Amps-Disposable-Dust-Bag-System-40-Cord_p_22390.html
SC899H,,,,{},542.99,Lightweight Commercial Upright Vacuums,,,Sanitaire SC899H Quick Kleen Commercial Upright Vacuum 7 Amps Shake-Out Bag 50' Cord,"This unit's 16-inch cleaning path and easy maintenance features deliver a speedy clean. With a Quick Kleen fan chamber and its shake-out bag system, this vacuum is a top performer.
Other Great Features:
7 Amps of Power
Shake-Out Bag System
50' Power Cord
SPECIFICATIONS
Power
7 amp
Filtration
Standard
Container
Shake-Out Bag
Dust Capacity
18 dry qts.
Cleaning Path
16''
Cord Length
50'
Tools
N/A
Hose
N/A
Motor CFM
145
dB per ASTM
79
Warranty
2 year
PACKAGING
UPC Code
0 2316910083 1
Package Dimensions LxWxH
20.25x16.5x10
Package Weight
22 lbs.",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sanitaire/sc899f.jpg'],https://www.ahscompany.com/Sanitaire-SC899H-Quick-Kleen-Commercial-Upright-Vacuum-7-Amps-Shake-Out-Bag-50-Cord_p_22388.html
SC535,Backpack Vacuums,10 Qt,,{},658.99,Quiet Clean Commercial Backpack Vacuum,,,Sanitaire SC535 Quiet Clean Commercial 10 Qt. Sealed HEPA Backpack Vacuum 11.5 Amps Disposable Dust Bag System 50' Power Cord,"The Quiet Clean HEPA Backpack results in less user fatigue, reduced turnover and greater cleaning efficiency. At less than 63dBA, the QuietClean BackPack Vac is ideal for cleaning locations where noise needs to be kept to a minimum. A large assortment of tools and attachments help clean every surface.
Dust Capactiy: (Qt) 10
Harness: Load Dispersion
Sound Level at Operator: (dB) 69
Filtration: Sealed HEPA
Dust Collection: Disposable Dust Bag
Product Weight: (lbs)11.5
Quick Change Cord: Yes
Cleaning Tools: 1 1/2"" diameter curved aluminum wands, dusting brush, crevice tool, carpet and bare floor tools
Power: 11.5 amps
Cord Length: 50
Hose: 5' X 1.5""
Cleaning Path (inches): 14
LEED and CRI Green Label Certified for indoor air quality","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sanitaire/sc530a.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Sanitaire/SC530A_1.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sanitaire/sc530a_2.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sanitaire/sc530a_3.jpg']",https://www.ahscompany.com/Sanitaire-SC535-Quiet-Clean-Commercial-10-Qt-Sealed-HEPA-Backpack-Vacuum-115-Amps-Disposable-Dust-Bag-System-50-Power-Cord_p_22631.html
SC5815E,Upright Vacuums,15 In,,{},510.99,Quiet Clean Commercial Upright Vacuums,,,Sanitaire SC5815E Quiet Clean Commercial Upright Vacuum 10 Amps Allergen Disposable Dust Bag 40' Cord,"This bagged unit was designed to capture dust and allergens with its clean-air system and incredible filtration. CRI Seal of Approval certified and clog resistant tools on board for added cleanability.
Meets LEED Compliant
Other Great Features:
10 Amps of Power
Allergen Disposable Dust Bag
40' Power Cord
SPECIFICATIONS
Power
10 amp
Filtration
Washable Sealed HEPA
Container
Allergen Disposable Dust Bag
Dust Capacity
4.5 dry qts.
Cleaning Path
15''
Cord Length
40'
Tools
Wand, Crevice Tool and Dusting Brush
Hose
3:1 Stretch
Motor CFM
135
dB per ASTM
69
Warranty
2 year
PACKAGING
UPC Code
0 2316911438 8
Package Dimensions LxWxH
18.75x10x38
Package Weight
23 lbs.",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sanitaire/sc5815d.jpg'],https://www.ahscompany.com/Sanitaire-SC5815E-Quiet-Clean-Commercial-Upright-Vacuum-10-Amps-Allergen-Disposable-Dust-Bag-40-Cord_p_22391.html
SC3683D,Canister Vacuums,,,{},220.99,Commercial Canister Vacuums,,,Sanitaire SC3683D Commercial Canister Vacuum 9 Amps Disposable Dust Bag System 20' Cord ,"Our Proven Canister Is Compact, Powerful And Features TeleScopic Metal Wands To Reach Those Difficult Cleaning Locations And Available HEPA Filtration Make This The Perfect Detail Cleaner.
Other Great Features:
9 Amps of Power
Disposable Dust Bag System
20' Power Cord
SPECIFICATIONS
Power
9 amp
Filtration
Allergen
Container
Disposable Dust Bag
Dust Capacity
2.6 dry qts.
Cleaning Path
10''
Cord Length
20'
Tools
On-Board
Hose
7'
Motor CFM
135
dB per ASTM
71
Warranty
2 year
PACKAGING
UPC Code
0 2316911208 7
Package Dimensions LxWxH
18x11x19
Package Weight
14 lbs.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sanitaire/sc3683a_1.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sanitaire/sc3683a.jpg']",https://www.ahscompany.com/Sanitaire-SC3683D-Commercial-Canister-Vacuum-9-Amps-Disposable-Dust-Bag-System-20-Cord-_p_8256.html
SC888N,Upright Vacuums,12 In,,{},390.99,Quick Kleen Commercial Upright Vacuums,,,Sanitaire SC888N Quick Kleen Commercial Upright Vacuum 7 Amps Disposable Dust Bag 50' Cord,"This unit's easy maintenance features makes cleaning a breeze. Part of our flagship upright line, this upright is CRI Seal of Approval certified to provide a premium filtration level.
CRI Seal of Approval
Other Great Features:
7 Amps of Power
Disposable Dust Bag System
50' Power Cord
SPECIFICATIONS
Power
7 amp
Filtration
Allergen
Container
Disposable Dust Bag
Dust Capacity
6.1 dry qts.
Cleaning Path
12''
Cord Length
50'
Tools
N/A
Hose
N/A
Motor CFM
145
dB per ASTM
79
Warranty
2 year
PACKAGING
UPC Code
0 2316910683 3
Package Dimensions LxWxH
22.5x17.5x8.25
Package Weight
21.2 lbs.",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sanitaire/sc888k.jpg'],https://www.ahscompany.com/Sanitaire-SC888N-Quick-Kleen-Commercial-Upright-Vacuum-7-Amps-Disposable-Dust-Bag-50-Cord_p_22387.html
