SKU,Type,Size,Color,Options,Price Per Each,Category,Sub Category,Material,Title,Description,Images,Url
80002,Corded Phones,,Black,{'Color Selection': 'Black'},2.58,,,,Scitec Aegis 08 Series P-08 Analog Single Line Phone w/ Basic Features Black or Ash 12 Per Case Price Per Each,"Aegis-08 telephones, the standard for economy branded hotels, now offer improved styling and more features at the same low price! These rugged, trouble-free products, with added features like SciTouch® One-Touch message retrieval, are all line-powered; no need for an external power plug.
Features
:
Single Line
Hold, Redial, Flash Keys
Dual Neon/LED Message Waiting Light
Data Port
No Programmable Guest Service Keys
5 Year Warranty
Corded Phone
Color: Black, Ash",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/scitec/p08.jpg'],https://www.ahscompany.com/Scitec-Aegis-08-Series-P-08-Analog-Single-Line-Phone-w-Basic-Features-Black-or-Ash-12-Per-Case-Price-Per-Each_p_21261.html
80001,Corded Phones,,Ash,{'Color Selection': 'Ash'},2.58,,,,Scitec Aegis 08 Series P-08 Analog Single Line Phone w/ Basic Features Black or Ash 12 Per Case Price Per Each,"Aegis-08 telephones, the standard for economy branded hotels, now offer improved styling and more features at the same low price! These rugged, trouble-free products, with added features like SciTouch® One-Touch message retrieval, are all line-powered; no need for an external power plug.
Features
:
Single Line
Hold, Redial, Flash Keys
Dual Neon/LED Message Waiting Light
Data Port
No Programmable Guest Service Keys
5 Year Warranty
Corded Phone
Color: Black, Ash",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/scitec/p08.jpg'],https://www.ahscompany.com/Scitec-Aegis-08-Series-P-08-Analog-Single-Line-Phone-w-Basic-Features-Black-or-Ash-12-Per-Case-Price-Per-Each_p_21261.html
80502,Corded Phones,,Black,{'Color Selection': 'Black'},3.25,,,,Scitec Aegis 08 Series 5-08 Analog Single Line Phone w/ 5 Guest Service Keys & Message Retrieval Lightbar Black or Ash 12 Per Case Price Per Each,"Aegis-08 telephones, the standard for economy branded hotels, now offer improved styling and more features at the same low price! These rugged, trouble-free products, with added features like SciTouch® One-Touch message retrieval, are all line-powered; no need for an external power plug.
Features
:
Single Line
Hold, Redial, Flash Keys
Programmable One-Touch Voice Mail SciTouch Message Retrieval Lightbar
Dual Neon/LED Message Waiting Light
Data Port
5 Programmable Guest Service Keys
5 Year Warranty
Corded Phone
Color: Black, Ash",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/scitec/508.jpg'],https://www.ahscompany.com/Scitec-Aegis-08-Series-5-08-Analog-Single-Line-Phone-w-5-Guest-Service-Keys-Message-Retrieval-Lightbar-Black-or-Ash-12-Per-Case-Price-Per-Each_p_21263.html
80501,Corded Phones,,Ash,{'Color Selection': 'Ash'},3.25,,,,Scitec Aegis 08 Series 5-08 Analog Single Line Phone w/ 5 Guest Service Keys & Message Retrieval Lightbar Black or Ash 12 Per Case Price Per Each,"Aegis-08 telephones, the standard for economy branded hotels, now offer improved styling and more features at the same low price! These rugged, trouble-free products, with added features like SciTouch® One-Touch message retrieval, are all line-powered; no need for an external power plug.
Features
:
Single Line
Hold, Redial, Flash Keys
Programmable One-Touch Voice Mail SciTouch Message Retrieval Lightbar
Dual Neon/LED Message Waiting Light
Data Port
5 Programmable Guest Service Keys
5 Year Warranty
Corded Phone
Color: Black, Ash",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/scitec/508.jpg'],https://www.ahscompany.com/Scitec-Aegis-08-Series-5-08-Analog-Single-Line-Phone-w-5-Guest-Service-Keys-Message-Retrieval-Lightbar-Black-or-Ash-12-Per-Case-Price-Per-Each_p_21263.html
80302,Corded Phones,,Black,{'Color Selection': 'Black'},3.08,,,,Scitec Aegis 08 Series 3-08 Analog Single Line Phone w/ 3 Guest Service Keys & Message Retrieval Lightbar Black or Ash 12 Per Case Price Per Each,"Aegis-08 telephones, the standard for economy branded hotels, now offer improved styling and more features at the same low price! These rugged, trouble-free products, with added features like SciTouch® One-Touch message retrieval, are all line-powered; no need for an external power plug.
Features
:
Single Line
Hold, Redial, Flash Keys
Programmable One-Touch Voice Mail SciTouch Message Retrieval Lightbar
Dual Neon/LED Message Waiting Light
Data Port
3 Programmable Guest Service Keys
5 Year Warranty
Corded Phone
Color: Black, Ash",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/scitec/308.jpg'],https://www.ahscompany.com/Scitec-Aegis-08-Series-3-08-Analog-Single-Line-Phone-w-3-Guest-Service-Keys-Message-Retrieval-Lightbar-Black-or-Ash-12-Per-Case-Price-Per-Each_p_21262.html
80301,Corded Phones,,Ash,{'Color Selection': 'Ash'},3.08,,,,Scitec Aegis 08 Series 3-08 Analog Single Line Phone w/ 3 Guest Service Keys & Message Retrieval Lightbar Black or Ash 12 Per Case Price Per Each,"Aegis-08 telephones, the standard for economy branded hotels, now offer improved styling and more features at the same low price! These rugged, trouble-free products, with added features like SciTouch® One-Touch message retrieval, are all line-powered; no need for an external power plug.
Features
:
Single Line
Hold, Redial, Flash Keys
Programmable One-Touch Voice Mail SciTouch Message Retrieval Lightbar
Dual Neon/LED Message Waiting Light
Data Port
3 Programmable Guest Service Keys
5 Year Warranty
Corded Phone
Color: Black, Ash",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/scitec/308.jpg'],https://www.ahscompany.com/Scitec-Aegis-08-Series-3-08-Analog-Single-Line-Phone-w-3-Guest-Service-Keys-Message-Retrieval-Lightbar-Black-or-Ash-12-Per-Case-Price-Per-Each_p_21262.html
88032,Corded Phones,,Black,{'Color Selection': 'Black'},3.92,,,,Scitec Aegis 08 Series 3S-08 Analog Single Line Speakerphone w/ 3 Guest Service Keys & Message Retrieval Lightbar Black or Ash 12 Per Case Price Per Each,"Aegis-08 telephones, the standard for economy branded hotels, now offer improved styling and more features at the same low price! These rugged, trouble-free products, with added features like SciTouch® One-Touch message retrieval, are all line-powered; no need for an external power plug.
Features
:
Single Line
Corded Speakerphone
Hold, Redial, Flash Keys
Programmable One-Touch Voice Mail SciTouch Message Retrieval Lightbar
Dual Neon/LED Message Waiting Light
Data Port
3 Programmable Guest Service Keys
5 Year Warranty
Color: Black, Ash",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/scitec/3s08.jpg'],https://www.ahscompany.com/Scitec-Aegis-08-Series-3S-08-Analog-Single-Line-Speakerphone-w-3-Guest-Service-Keys-Message-Retrieval-Lightbar-Black-or-Ash-12-Per-Case-Price-Per-Each_p_21265.html
88031,Corded Phones,,Ash,{'Color Selection': 'Ash'},3.92,,,,Scitec Aegis 08 Series 3S-08 Analog Single Line Speakerphone w/ 3 Guest Service Keys & Message Retrieval Lightbar Black or Ash 12 Per Case Price Per Each,"Aegis-08 telephones, the standard for economy branded hotels, now offer improved styling and more features at the same low price! These rugged, trouble-free products, with added features like SciTouch® One-Touch message retrieval, are all line-powered; no need for an external power plug.
Features
:
Single Line
Corded Speakerphone
Hold, Redial, Flash Keys
Programmable One-Touch Voice Mail SciTouch Message Retrieval Lightbar
Dual Neon/LED Message Waiting Light
Data Port
3 Programmable Guest Service Keys
5 Year Warranty
Color: Black, Ash",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/scitec/3s08.jpg'],https://www.ahscompany.com/Scitec-Aegis-08-Series-3S-08-Analog-Single-Line-Speakerphone-w-3-Guest-Service-Keys-Message-Retrieval-Lightbar-Black-or-Ash-12-Per-Case-Price-Per-Each_p_21265.html
88052,Corded Phones,,Black,{'Color Selection': 'Black'},3.92,,,,Scitec Aegis 08 Series 5S-08 Analog Single Line Speakerphone w/ 5 Guest Service Keys & Message Retrieval Lightbar Black or Ash 12 Per Case Price Per Each,"Aegis-08 telephones, the standard for economy branded hotels, now offer improved styling and more features at the same low price! These rugged, trouble-free products, with added features like SciTouch® One-Touch message retrieval, are all line-powered; no need for an external power plug.
Features
:
Single Line
Corded Speakerphone
Hold, Redial, Flash Keys
Programmable One-Touch Voice Mail SciTouch Message Retrieval Lightbar
Dual Neon/LED Message Waiting Light
Data Port
5 Programmable Guest Service Keys
5 Year Warranty
Color: Black, Ash",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/scitec/5so8.jpg'],https://www.ahscompany.com/Scitec-Aegis-08-Series-5S-08-Analog-Single-Line-Speakerphone-w-5-Guest-Service-Keys-Message-Retrieval-Lightbar-Black-or-Ash-12-Per-Case-Price-Per-Each_p_21266.html
88051,Corded Phones,,Ash,{'Color Selection': 'Ash'},3.92,,,,Scitec Aegis 08 Series 5S-08 Analog Single Line Speakerphone w/ 5 Guest Service Keys & Message Retrieval Lightbar Black or Ash 12 Per Case Price Per Each,"Aegis-08 telephones, the standard for economy branded hotels, now offer improved styling and more features at the same low price! These rugged, trouble-free products, with added features like SciTouch® One-Touch message retrieval, are all line-powered; no need for an external power plug.
Features
:
Single Line
Corded Speakerphone
Hold, Redial, Flash Keys
Programmable One-Touch Voice Mail SciTouch Message Retrieval Lightbar
Dual Neon/LED Message Waiting Light
Data Port
5 Programmable Guest Service Keys
5 Year Warranty
Color: Black, Ash",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/scitec/5so8.jpg'],https://www.ahscompany.com/Scitec-Aegis-08-Series-5S-08-Analog-Single-Line-Speakerphone-w-5-Guest-Service-Keys-Message-Retrieval-Lightbar-Black-or-Ash-12-Per-Case-Price-Per-Each_p_21266.html
80012,Corded Phones,,Black,{'Color Selection': 'Black'},3.25,,,,Scitec Aegis 08 Series PS-08 Analog Single Line Speakerphone w/ Message Retrieval Lightbar Black or Ash 12 Per Case Price Per Each,"Aegis-08 telephones, the standard for economy branded hotels, now offer improved styling and more features at the same low price! These rugged, trouble-free products, with added features like SciTouch® One-Touch message retrieval, are all line-powered; no need for an external power plug.
Features
:
Single Line
Corded Speakerphone
Hold, Redial, Flash Keys
Programmable One-Touch Voice Mail SciTouch Message Retrieval Lightbar
Dual Neon/LED Message Waiting Light
Data Port
0 Programmable Guest Service Keys
5 Year Warranty
Color: Black, Ash",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/scitec/ps08.jpg'],https://www.ahscompany.com/Scitec-Aegis-08-Series-PS-08-Analog-Single-Line-Speakerphone-w-Message-Retrieval-Lightbar-Black-or-Ash-12-Per-Case-Price-Per-Each_p_21264.html
80011,Corded Phones,,Ash,{'Color Selection': 'Ash'},3.25,,,,Scitec Aegis 08 Series PS-08 Analog Single Line Speakerphone w/ Message Retrieval Lightbar Black or Ash 12 Per Case Price Per Each,"Aegis-08 telephones, the standard for economy branded hotels, now offer improved styling and more features at the same low price! These rugged, trouble-free products, with added features like SciTouch® One-Touch message retrieval, are all line-powered; no need for an external power plug.
Features
:
Single Line
Corded Speakerphone
Hold, Redial, Flash Keys
Programmable One-Touch Voice Mail SciTouch Message Retrieval Lightbar
Dual Neon/LED Message Waiting Light
Data Port
0 Programmable Guest Service Keys
5 Year Warranty
Color: Black, Ash",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/scitec/ps08.jpg'],https://www.ahscompany.com/Scitec-Aegis-08-Series-PS-08-Analog-Single-Line-Speakerphone-w-Message-Retrieval-Lightbar-Black-or-Ash-12-Per-Case-Price-Per-Each_p_21264.html
