SKU,Type,Size,Color,Options,Price Per Each,Category,Sub Category,Material,Title,Description,Images,Url
V72728W,Shower Curtains,72x72,White,{'Color Selection': 'White'},0.67,8 Gauge Vinyl Shower Curtains,,Vinyl,Sourcing Solutions Shower Curtain 8 Gauge Vinyl White Or Champagne 72x72 12 Per Case Price Per Each,"Embossed
8 Gauge Traditional Vinyl Shower Curtain
Reinforced Header
Rust Proof Metal Grommets
White Or Champagne
72x72","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sourcing%20solutions/curtain-vinyl-white-ss.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sourcing solutions/curtain-vinyl-beige-ss.jpg']",https://www.ahscompany.com/Sourcing-Solutions-Shower-Curtain-8-Gauge-Vinyl-White-Or-Champagne-72x72-12-Per-Case-Price-Per-Each_p_30205.html
V72728W,Shower Curtains,72x72,Champagne,{'Color Selection': 'Champagne'},0.67,8 Gauge Vinyl Shower Curtains,,Vinyl,Sourcing Solutions Shower Curtain 8 Gauge Vinyl White Or Champagne 72x72 12 Per Case Price Per Each,"Embossed
8 Gauge Traditional Vinyl Shower Curtain
Reinforced Header
Rust Proof Metal Grommets
White Or Champagne
72x72","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sourcing%20solutions/curtain-vinyl-white-ss.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sourcing solutions/curtain-vinyl-beige-ss.jpg']",https://www.ahscompany.com/Sourcing-Solutions-Shower-Curtain-8-Gauge-Vinyl-White-Or-Champagne-72x72-12-Per-Case-Price-Per-Each_p_30205.html
PH71868W,No Hook Shower Curtains,71x86,,{},1.25,Pre-Hook 8 Gauge Vinyl Shower Curtains,,Vinyl,Sourcing Solutions Pre-Hook Shower Curtain 8 Gauge Vinyl White 71x86 12 Per Case Price Per Each,"Pre-Hook Shower Curtain
8 Gauge Vinyl
White
71x86","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sourcing%20solutions/pre-hook-8-gasso.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sourcing solutions/pre-hook-8-gass1.jpg']",https://www.ahscompany.com/Sourcing-Solutions-Pre-Hook-Shower-Curtain-8-Gauge-Vinyl-White-71x86-12-Per-Case-Price-Per-Each_p_30180.html
PH71848W,No Hook Shower Curtains,71x84,,{},1.25,Pre-Hook 8 Gauge Vinyl Shower Curtains,,Vinyl,Sourcing Solutions Pre-Hook Shower Curtain 8 Gauge Vinyl White 71x84 12 Per Case Price Per Each,"Pre-Hook Shower Curtain
8 Gauge Vinyl
White
71x84","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sourcing%20solutions/pre-hook-8-gasso.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sourcing solutions/pre-hook-8-gass1.jpg']",https://www.ahscompany.com/Sourcing-Solutions-Pre-Hook-Shower-Curtain-8-Gauge-Vinyl-White-71x84-12-Per-Case-Price-Per-Each_p_30706.html
PH71778W,No Hook Shower Curtains,71x77,,{},1.17,Pre-Hook 8 Gauge Vinyl Shower Curtains,,Vinyl,Sourcing Solutions Pre-Hook Shower Curtain 8 Gauge Vinyl White 71x77 12 Per Case Price Per Each,"Pre-Hook Shower Curtain
8 Gauge Vinyl
White
71x77","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sourcing%20solutions/pre-hook-8-gasso.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sourcing solutions/pre-hook-8-gass1.jpg']",https://www.ahscompany.com/Sourcing-Solutions-Pre-Hook-Shower-Curtain-8-Gauge-Vinyl-White-71x77-12-Per-Case-Price-Per-Each_p_30181.html
PH48748W,No Hook Shower Curtains,48x74,,{},0.83,Pre-Hook 8 Gauge Vinyl Shower Curtains,,Vinyl,Sourcing Solutions Pre-Hook Shower Curtain 8 Gauge Vinyl White 48x74 12 Per Case Price Per Each,"Pre-Hook Shower Curtain
8 Gauge Vinyl
White
48x74","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sourcing%20solutions/pre-hook-8-gasso.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sourcing solutions/pre-hook-8-gass1.jpg']",https://www.ahscompany.com/Sourcing-Solutions-Pre-Hook-Shower-Curtain-8-Gauge-Vinyl-White-48x74-12-Per-Case-Price-Per-Each_p_30184.html
PHN7177W,No Hook Shower Curtains,71x77,White,{'Color Selection': 'White'},1.17,Pre-Hook Nylon Shower Curtains,,Nylon,Sourcing Solutions Pre-Hook Shower Curtain Nylon White Or Champagne 71x77 12 Per Case Price Per Each,"Pre-Hook Shower Curtain
200 Denier Nylon
White Or Champagne
71x77","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sourcing%20solutions/prehook-nylonw.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sourcing solutions/prehook-nylonb.jpg']",https://www.ahscompany.com/Sourcing-Solutions-Pre-Hook-Shower-Curtain-Nylon-White-Or-Champagne-71x77-12-Per-Case-Price-Per-Each_p_30197.html
PHN7177W,No Hook Shower Curtains,71x77,Champagne,{'Color Selection': 'Champagne'},1.17,Pre-Hook Nylon Shower Curtains,,Nylon,Sourcing Solutions Pre-Hook Shower Curtain Nylon White Or Champagne 71x77 12 Per Case Price Per Each,"Pre-Hook Shower Curtain
200 Denier Nylon
White Or Champagne
71x77","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sourcing%20solutions/prehook-nylonw.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sourcing solutions/prehook-nylonb.jpg']",https://www.ahscompany.com/Sourcing-Solutions-Pre-Hook-Shower-Curtain-Nylon-White-Or-Champagne-71x77-12-Per-Case-Price-Per-Each_p_30197.html
CV7272W,Shower Curtains,72x72,White,{'Color Selection': 'White'},1.08,"""Clearview"" 10 Gauge Vinyl Window Shower Curtains",,Vinyl,"Sourcing Solutions ""Clearview"" Shower Curtain 10 Gauge Vinyl 24"" Clear Top Panel 48"" Solid White Or Champagne Bottom Panel 72x72 12 Per Case Price Per Each","""Clearview"" Shower Curtain
Heavy 10 Gauge Curtain
24"" Clear Vinyl Window
48"" Solid White Or Champagne Vinyl Bottom Panel
Reinforced Header
Rust Proof Metal Grommets
72x72","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sourcing%20solutions/clearview-white1000.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sourcing solutions/clearview-champ1000.jpg']",https://www.ahscompany.com/Sourcing-Solutions-Clearview-Shower-Curtain-10-Gauge-Vinyl-24-Clear-Top-Panel-48-Solid-White-Or-Champagne-Bottom-Panel-72x72-12-Per-Case-Price-Per-Each_p_30203.html
CV7272W,Shower Curtains,72x72,Champagne,{'Color Selection': 'Champagne'},1.08,"""Clearview"" 10 Gauge Vinyl Window Shower Curtains",,Vinyl,"Sourcing Solutions ""Clearview"" Shower Curtain 10 Gauge Vinyl 24"" Clear Top Panel 48"" Solid White Or Champagne Bottom Panel 72x72 12 Per Case Price Per Each","""Clearview"" Shower Curtain
Heavy 10 Gauge Curtain
24"" Clear Vinyl Window
48"" Solid White Or Champagne Vinyl Bottom Panel
Reinforced Header
Rust Proof Metal Grommets
72x72","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sourcing%20solutions/clearview-white1000.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/sourcing solutions/clearview-champ1000.jpg']",https://www.ahscompany.com/Sourcing-Solutions-Clearview-Shower-Curtain-10-Gauge-Vinyl-24-Clear-Top-Panel-48-Solid-White-Or-Champagne-Bottom-Panel-72x72-12-Per-Case-Price-Per-Each_p_30203.html
