SKU,Type,Size,Color,Options,Price Per Each,Category,Sub Category,Material,Title,Description,Images,Url
BS-PK8,Wastebaskets & Liners,8 Qt,,{},1.5,Parker Collection,,Stainless Steel,Steeltek® Parker 8 Qt. Wastebasket 12 Per Case Price Per Each,"Plastic
Hand Painted Finish
Look Of An Expensive Brushed Metal
Cleans Easily With A Damp Cloth And Warm Water",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-pk8.jpg'],https://www.ahscompany.com/Steeltek®-Parker-8-Qt-Wastebasket-12-Per-Case-Price-Per-Each_p_24977.html
BS-1003SS,Soap Dishes,,,{},0.54,Pewter Veil Collection,,Stainless Steel,Steeltek® Pewter Veil Stainless Steel Pedestal Soap Dish 24 Per Case Price Per Each,"Easily Coordinates With Any Style
Crafted Of A Combination of Stainless Steel & Aluminum
Brushed Finish
Cleans Easily With A Damp Cloth And Warm Water
4"" W x 2"" H x 5-1/2"" L",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-1003.jpg'],https://www.ahscompany.com/Steeltek®-Pewter-Veil-Stainless-Steel-Pedestal-Soap-Dish-24-Per-Case-Price-Per-Each_p_7349.html
BS-MSPA8W,Wastebaskets & Liners,6 Qt,,{},5.83,Spa White Collection,,Melamine,Steeltek® Spa White 6 Qt. Wastebasket 6 Per Case Price Per Each,"Contemporary, Angular Styling
Clean Lines and Smooth Finish
Durable White Melamine
Cleans Easily With A Damp Cloth And Warm Water
7.9"" L x 7.9"" W x 8.9"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-spa8w.jpg'],https://www.ahscompany.com/Steeltek®-Spa-White-6-Qt-Wastebasket-6-Per-Case-Price-Per-Each_p_7373.html
BB-BS-1008,Wastebaskets & Liners,9 Qt,,{},7.83,Pewter Veil Collection,,Aluminum,Steeltek® Pewter Veil 9 Qt. Wastebasket w/ Pedestal 6 Per Case Price Per Each,"Easily Coordinates With Any Style
Crafted Of A Combination Of Stainless Steel & Aluminum
Brushed Finish
Cleans Easily With A Damp Cloth And Warm Water
10"" W x 11-3/4"" H x 10"" L",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-bs-1008.jpg'],https://www.ahscompany.com/Steeltek®-Pewter-Veil-9-Qt-Wastebasket-w-Pedestal-6-Per-Case-Price-Per-Each_p_7353.html
BS-81M,Wastebaskets & Liners,9 Qt,,{},4.17,Basic Collection,,Stainless Steel,Steeltek® Basic 9 Qt. Wastebasket 6 Per Case Price Per Each,"Solid Fundamental Styling
Easily Coordinates With Any Style
Polished Stainless Steel
Bright Finish
Cleans Easily With A Damp Cloth And Warm Water
10-1/4"" W x 16"" H x 10-1/4"" L",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-81m.jpg'],https://www.ahscompany.com/Steeltek®-Basic-9-Qt-Wastebasket-6-Per-Case-Price-Per-Each_p_7399.html
SD-OVCLR,Soap Dishes,,,{},0.08,Bathroom Accessories,Resin Soap Dishes,Resin,Steeltek® Resin Oval Soap Dish Clear 36 Per Case Price Per Each,"Style Meets Durability
Break Resistant
Cleans Easily With A Damp Cloth And Warm Water
4.0"" L x 3.4"" W x 0.7"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/sdovclr.jpg'],https://www.ahscompany.com/Steeltek®-Resin-Oval-Soap-Dish-Clear-36-Per-Case-Price-Per-Each_p_22531.html
BS-92S,Tissue Boxes,,,{},1.92,Basic Collection,,Stainless Steel,Steeltek® Basic Rectangular Tissue Box Cover 12 Per Case Price Per Each,"Solid Fundamental Styling
Easily Coordinates With Any Style
Polished Stainless Steel
Bright Finish
Cleans Easily With A Damp Cloth And Warm Water
5-1/4"" W x 2-1/4"" H x 10"" L",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-92s.jpg'],https://www.ahscompany.com/Steeltek®-Basic-Rectangular-Tissue-Box-Cover-12-Per-Case-Price-Per-Each_p_18896.html
BS-SMOK8,Wastebaskets & Liners,9 Qt,,{},9.5,Smoke Collection,,Resin,Steeltek® The Smoke Collection 9 Qt. Double Wall Resin Curve Wastebasket 4 Per Case Price Per Each,"Made Of Matte Resin
Transparent Resin Gives Double Wall Look
Resin Material Is Heavy And Durable
Neutral Grey Color And Clean Lines
8"" L x 8"" W x 9.5"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-smok8.jpg'],https://www.ahscompany.com/Steeltek®-The-Smoke-Collection-9-Qt-Double-Wall-Resin-Curve-Wastebasket-4-Per-Case-Price-Per-Each_p_26461.html
IB-SMOK2,Ice Buckets,2 Qt,,{},11.0,Basic Collection,,Resin,Steeltek Smoke 2 Qt. Ice Bucket 3 Per Case Price Per Each,"Matching Barware Set For Moss Bathroom Collection
Gray Color Matches Any Decor
Made Of Transparent Matte Resin
Handle Cut Outs For Easy Grip
Cleans Easily With A Damp Cloth And Warm Water
5.9"" L x 5.9"" W x 7.7"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/ib-smok2_9.jpg'],https://www.ahscompany.com/Steeltek-Smoke-2-Qt-Ice-Bucket-3-Per-Case-Price-Per-Each_p_27775.html
BS-WPL1B,Wastebaskets & Liners,9 Qt,,{},0.29,Plastic Wastebasket Liner,,Plastic,Steeltek® Plastic Wastebasket Liner Fits All 9 & 11 Qt. Black 24 Per Case Price Per Each,"Fits 9-qt And 11-qt Wastebaskets
9 1/2"" Top, 6 1/2"" Bottom, 10"" Height
Keeps Wastebaskets Clean
Vinyl
Cleans Easily With A Damp Cloth And Warm Water",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-wpl1b.jpg'],https://www.ahscompany.com/Steeltek®-Plastic-Wastebasket-Liner-Fits-All-9-11-Qt-Black-24-Per-Case-Price-Per-Each_p_30363.html
