City,Population
A Coruña,"247,350"
Adeje,"50,523"
Albacete,"173,202"
Alcalá de Guadaíra,"76,829"
Alcalá de Henares,"198,348"
Alcobendas,"119,471"
Alcorcón,"172,845"
Alcoy,"59,563"
Algeciras,"123,943"
Alicante,"350,598"
Almería,"200,665"
Aranjuez,"60,998"
Arganda del Rey,"58,623"
Arona,"86,497"
Arrecife,"64,735"
Ávila,"58,548"
Avilés,"75,643"
Badajoz,"150,716"
Badalona,"224,301"
Barakaldo,"100,987"
Barcelona,"1,655,956"
Benalmádena,"76,318"
Benidorm,"72,184"
Bilbao,"345,235"
Boadilla del Monte,"64,635"
Burgos,"174,585"
Cáceres,"96,195"
Cádiz,"112,077"
Calvià,"53,496"
Cartagena,"218,196"
Castelldefels,"68,327"
Castelló de la Plana,"175,915"
Cerdanyola del Vallès,"57,752"
Ceuta,"83,052"
Chiclana de la Frontera,"88,770"
Ciudad Real,"75,254"
Collado Villalba,"66,260"
Colmenar Viejo,"55,100"
Córdoba,"324,418"
Cornellà de Llobregat,"90,076"
Coslada,"80,146"
Cuenca,"53,630"
Donostia,"188,136"
Dos Hermanas,"138,991"
Eivissa,"51,872"
Elche,"238,285"
Elda,"53,038"
El Ejido,"89,391"
El Prat de Llobregat,"65,409"
El Puerto de Santa María,"90,197"
Estepona,"77,068"
Ferrol,"64,005"
Fuengirola,"85,136"
Fuenlabrada,"189,287"
Gandia,"77,916"
Getafe,"187,525"
Getxo,"76,297"
Gijón,"268,948"
Girona,"104,038"
Granada,"232,246"
Granadilla de Abona,"55,505"
Granollers,"62,950"
Guadalajara,"88,886"
Huelva,"142,968"
Huesca,"53,938"
Irun,"62,853"
Jaén,"111,767"
Jerez de la Frontera,"214,294"
La Laguna,"159,576"
La Línea de la Concepción,"64,739"
Las Palmas de Gran Canaria,"380,863"
Las Rozas de Madrid,"98,621"
Leganés,"190,974"
León,"121,763"
L'Hospitalet de Llobregat,"276,617"
Linares,"55,130"
Lleida,"142,990"
Logroño,"150,206"
Lorca,"97,904"
Lugo,"98,189"
Madrid,"3,340,176"
Majadahonda,"72,833"
Málaga,"587,068"
Manresa,"78,570"
Marbella,"156,153"
Mataró,"129,613"
Melilla,"85,493"
Mérida,"59,563"
Mijas,"90,763"
Molina de Segura,"75,941"
Mollet del Vallès,"51,692"
Móstoles,"210,592"
Motril,"59,199"
Murcia,"467,501"
Orihuela,"82,425"
Ourense,"104,187"
Oviedo,"217,369"
Palencia,"76,266"
Palma,"430,640"
Pamplona,"206,233"
Parla,"132,842"
Paterna,"73,362"
Pinto,"55,178"
Ponferrada,"62,941"
Pontevedra,"82,592"
Pozuelo de Alarcón,"88,504"
Reus,"108,535"
Rincón de la Victoria,"51,315"
Rivas-Vaciamadrid,"100,053"
Roquetas de Mar,"105,886"
Rubí,"80,034"
Sabadell,"217,968"
Sagunto,"70,486"
Salamanca,"143,666"
San Bartolomé de Tirajana,"54,668"
San Fernando,"94,072"
Sanlúcar de Barrameda,"69,819"
San Sebastián de los Reyes,"92,417"
Santa Coloma de Gramenet,"119,195"
Santa Cruz de Tenerife,"208,906"
Santa Lucía de Tirajana,"76,418"
Santander,"172,655"
Sant Boi de Llobregat,"83,667"
Sant Cugat del Vallès,"97,579"
Santiago de Compostela,"98,716"
San Vicente del Raspeig,"59,964"
Segovia,"50,926"
Sevilla,"684,164"
Siero,"52,166"
Talavera de la Reina,"84,102"
Tarragona,"138,326"
Telde,"103,240"
Terrassa,"225,274"
Toledo,"85,818"
Torrejón de Ardoz,"138,197"
Torrelavega,"51,232"
Torremolinos,"70,345"
Torrent,"87,329"
Torrevieja,"89,729"
Tres Cantos,"51,354"
Utrera,"51,857"
Valdemoro,"81,619"
València,"804,121"
Valladolid,"297,129"
Vélez-Málaga,"86,364"
Vigo,"294,910"
Viladecans,"66,615"
Vilanova i la Geltrú,"68,768"
Vila-real,"51,839"
Vitoria-Gasteiz,"255,423"
Zamora,"59,362"
Zaragoza,"683,949"
