Spider "new_vehicles" Started at "2024-04-04 124830"

Error Logs:

No previous output files found
End of Error Logs:


Informative Logs:
Total States found in the website : 51

Total No of Dealers: "58" exists in the state : "Alabama|AL"

State: "Alabama|AL", Dealer Name: "PENSKE USED TRUCKS - HUEYTOWN, AL" has no vehicles
State: "Alabama|AL", Dealer Name: "PENSKE USED TRUCKS - LOXLEY, AL" has no vehicles
State: "Alabama|AL", Dealer Name: "T R Truck and Equipment" has no vehicles
State: "Alabama|AL", Dealer Name: "Ward Brothers Motorsports" has 97 vehicles
State: "Alabama|AL", Dealer Name: "Wholesale Trucks LLC" has no vehicles
State: "Alabama|AL", Dealer Name: "Gulf Coast Truck & Equipment - Mobile" has 1 vehicles
State: "Alabama|AL", Dealer Name: "Ryder Used Trucks in Birmingham" has no vehicles
State: "Alabama|AL", Dealer Name: "PENSKE USED TRUCKS - BIRMINGHAM, AL" has no vehicles
State: "Alabama|AL", Dealer Name: "Sons CDJR Fiat of Montgomery" has 51 vehicles
State: "Alabama|AL", Dealer Name: "Performance 219 Autoplex" has no vehicles
State: "Alabama|AL", Dealer Name: "Tuscaloosa Chevrolet" has 85 vehicles
State: "Alabama|AL", Dealer Name: "Mercedes Benz of Mobile" has 51 vehicles
State: "Alabama|AL", Dealer Name: "Merchant Ford" has 29 vehicles
State: "Alabama|AL", Dealer Name: "PENSKE USED TRUCKS - BESSEMER, AL" has no vehicles
State: "Alabama|AL", Dealer Name: "H & W Motor Company" has no vehicles
State: "Alabama|AL", Dealer Name: "Long Lewis of Hoover" has 304 vehicles
State: "Alabama|AL", Dealer Name: "Hendrick Chevrolet" has 140 vehicles
State: "Alabama|AL", Dealer Name: "Donohoo Chevrolet" has 754 vehicles
State: "Alabama|AL", Dealer Name: "Equipment Logistics" has 30 vehicles
State: "Alabama|AL", Dealer Name: "PENSKE USED TRUCKS - HOMEWOOD, AL" has no vehicles
State: "Alabama|AL", Dealer Name: "County Road 12 Truck Sales Inc." has no vehicles
State: "Alabama|AL", Dealer Name: "Sons Ford" has 105 vehicles
State: "Alabama|AL", Dealer Name: "Sandy Sansing Ford Lincoln" has 74 vehicles
State: "Alabama|AL", Dealer Name: "PENSKE USED TRUCKS - ALABASTER, AL" has no vehicles
State: "Alabama|AL", Dealer Name: "Government Surplus Auctions" has 1 vehicles
State: "Alabama|AL", Dealer Name: "SKCO Automotive" has no vehicles
State: "Alabama|AL", Dealer Name: "AUTONATION CHRYSLER DODGE JEEP RAM MOBILE" has 35 vehicles
State: "Alabama|AL", Dealer Name: "PENSKE USED TRUCKS - BIRMINGHAM, AL" has no vehicles
State: "Alabama|AL", Dealer Name: "PENSKE USED TRUCKS - MADISON, AL" has no vehicles
State: "Alabama|AL", Dealer Name: "Rush Truck Centers - Mobile" has 5 vehicles
State: "Alabama|AL", Dealer Name: "Austin Hinds Motors, Inc" has 14 vehicles
State: "Alabama|AL", Dealer Name: "Hendrick Chrysler Dodge Jeep Ram" has 141 vehicles
State: "Alabama|AL", Dealer Name: "Southern Commercial Trucks, LLC." has no vehicles
State: "Alabama|AL", Dealer Name: "PENSKE USED TRUCKS - BOAZ, AL" has no vehicles
State: "Alabama|AL", Dealer Name: "Alabama Wholesale Broker" has no vehicles
State: "Alabama|AL", Dealer Name: "Auction Trades Auto Sales" has no vehicles
State: "Alabama|AL", Dealer Name: "PENSKE USED TRUCKS - MONTGOMERY, AL" has no vehicles
State: "Alabama|AL", Dealer Name: "Whole Sale Cars" has no vehicles
State: "Alabama|AL", Dealer Name: "PENSKE USED TRUCKS - TUSCALOOSA, AL" has no vehicles
State: "Alabama|AL", Dealer Name: "PENSKE USED TRUCKS - MOBILE, AL" has no vehicles
State: "Alabama|AL", Dealer Name: "Rush Truck Centers - Birmingham" has no vehicles
State: "Alabama|AL", Dealer Name: "Blyth Trailer Sales, LLC - Elba" has 26 vehicles
State: "Alabama|AL", Dealer Name: "Capital Volvo Trucks" has 1 vehicles
State: "Alabama|AL", Dealer Name: "Capital Volvo Truck & Trailer" has 4 vehicles
State: "Alabama|AL", Dealer Name: "PENSKE USED TRUCKS - DOTHAN, AL" has no vehicles
State: "Alabama|AL", Dealer Name: "PENSKE USED TRUCKS - MADISON, AL" has no vehicles
State: "Alabama|AL", Dealer Name: "JIM BURKE AUTOMOTIVE INC" has 56 vehicles
State: "Alabama|AL", Dealer Name: "Altec NUECO - Birmingham" has 19 vehicles
State: "Alabama|AL", Dealer Name: "Carl Cannon Chevrolet" has 54 vehicles
State: "Alabama|AL", Dealer Name: "Southeastern Trailer and Equipment" has 140 vehicles
State: "Alabama|AL", Dealer Name: "Perdido Trucking Service, LLC" has no vehicles
State: "Alabama|AL", Dealer Name: "Hauling Away, LLC" has 4 vehicles
State: "Alabama|AL", Dealer Name: "PENSKE USED TRUCKS - GADSDEN, AL" has no vehicles
State: "Alabama|AL", Dealer Name: "Bobby Park Truck & Equipment" has no vehicles
State: "Alabama|AL", Dealer Name: "Lamb Motors" has no vehicles
State: "Alabama|AL", Dealer Name: "PENSKE USED TRUCKS - PELL CITY, AL" has no vehicles
State: "Alabama|AL", Dealer Name: "PENSKE USED TRUCKS - DECATUR, AL" has no vehicles
State: "Alabama|AL", Dealer Name: "PENSKE USED TRUCKS - TUSCUMBIA, AL" has no vehicles


 State Alabama|AL, has Total Vehicles : 2221


Total No of Dealers: "3" exists in the state : "Alaska|AK"

State: "Alaska|AK", Dealer Name: "Truck Marketing Dealer" has no vehicles
State: "Alaska|AK", Dealer Name: "RWC Group - Anchorage" has 16 vehicles
State: "Alaska|AK", Dealer Name: "Kendall Ford Of Anchorage" has 89 vehicles


 State Alaska|AK, has Total Vehicles : 105


Total No of Dealers: "54" exists in the state : "Arizona|AZ"

State: "Arizona|AZ", Dealer Name: "PENSKE USED TRUCKS - PHOENIX, AZ" has no vehicles
State: "Arizona|AZ", Dealer Name: "Mercedes Benz of Arrowhead" has 62 vehicles
State: "Arizona|AZ", Dealer Name: "Rush Truck Centers - Phoenix" has 4 vehicles
State: "Arizona|AZ", Dealer Name: "Larry H. Miller Dodge Ram Avondale" has 88 vehicles
State: "Arizona|AZ", Dealer Name: "PENSKE USED TRUCKS - PHOENIX, AZ" has no vehicles
State: "Arizona|AZ", Dealer Name: "PENSKE USED TRUCKS - KINGMAN, AZ" has no vehicles
State: "Arizona|AZ", Dealer Name: "PENSKE USED TRUCKS - FLAGSTAFF, AZ" has no vehicles
State: "Arizona|AZ", Dealer Name: "Luxury RV's of Arizona" has 27 vehicles
State: "Arizona|AZ", Dealer Name: "PENSKE USED TRUCKS - SCOTTSDALE, AZ" has no vehicles
State: "Arizona|AZ", Dealer Name: "DRD Truck & Equipment Sales" has no vehicles
State: "Arizona|AZ", Dealer Name: "American Truck Sales" has no vehicles
State: "Arizona|AZ", Dealer Name: "Iron Mike Enterprises" has no vehicles
State: "Arizona|AZ", Dealer Name: "Midco Sales" has 103 vehicles
State: "Arizona|AZ", Dealer Name: "Vanguard Truck Center - Phoenix" has no vehicles
State: "Arizona|AZ", Dealer Name: "LARRY H. MILLER DODGE RAM PEORIA" has 201 vehicles
State: "Arizona|AZ", Dealer Name: "Inland Kenworth of Phoenix" has 43 vehicles
State: "Arizona|AZ", Dealer Name: "Bradley Chevrolet" has 58 vehicles
State: "Arizona|AZ", Dealer Name: "Chapman Ford" has 169 vehicles
State: "Arizona|AZ", Dealer Name: "York Dodge Chrysler Jeep Ram" has 150 vehicles
State: "Arizona|AZ", Dealer Name: "Courtesy Chevrolet-Commercial" has 406 vehicles
State: "Arizona|AZ", Dealer Name: "Bradley Ford" has 74 vehicles
State: "Arizona|AZ", Dealer Name: "San Tan Ford" has 690 vehicles
State: "Arizona|AZ", Dealer Name: "Sanderson Ford Commercial Vehicle Center" has 263 vehicles
State: "Arizona|AZ", Dealer Name: "Van Chevrolet GMC" has 497 vehicles
State: "Arizona|AZ", Dealer Name: "Lamb Chevrolet" has 118 vehicles
State: "Arizona|AZ", Dealer Name: "AutoNation Chrysler Dodge Ram" has 148 vehicles
State: "Arizona|AZ", Dealer Name: "Worldwide Inc." has no vehicles
