Title,Make,Model,Year,Vin,Location,Condition,Price,Average Market Price,Main Image,Options,Mileage,Trim,Color,Body Type,Fuel Type,Engine,Deal Rating,Days on Market,Drive Train,City Fuel Economy,Highway Fuel Economy,Combined Fuel Economy,Dealer Name,Dealer City,Dealer State,Dealer Zip,Dealer Phone,Dealer Rating,URL,Scraped Date
New 2024 Ford Pickup Truck,Ford,F-250,2024,1FT8W2BTXREE50100,"Auburn, AL",New,"$70,635",,https://cdn-media.tilabs.io/v1/media/665bb7a5398eb668d8591bbb.webp,"New, 2024, Ford, F-250, CLASS 2 (GVW 6001 - 10000) , Pickup Truck, CREW CAB, Auburn, AL, Diesel, 4WD, 6267, 1FT8W2BTXREE50100, 4WD, Automatic, Oxford White, S",0 Miles,,Oxford White,CREW CAB,Diesel,,,6,4WD,,,,Sons Ford,Auburn,AL,36832,1-888-397-9959,,https://www.commercialtrucktrader.com/listing/2024-Ford-F-250-5032078091,2024-06-08 165411
"New 2024 CHEVROLET Utility Truck - Service Truck, Plumber Service Truck, Contractor Truck",CHEVROLET,Silverado 3500HD CC,2024,1GB4YSEY1RF234912,"Fort Payne, AL",New,"$71,828",,https://cdn-media.tilabs.io/v1/media/66641d6c9021cb4ef13da2e1.jpg,"New, 2024, CHEVROLET, Silverado 3500HD CC, CLASS 3 (GVW 10001 - 14000), Utility Truck - Service Truck, Plumber Service Truck, Contractor Truck, CREW CAB, Fort Payne, AL, Diesel, 4x4, 177, 72483, 1GB4YSEY1RF234912, 4x4, Isuzu, Turbocharged Diesel V8 6.6L/, 6.6L, 10, Automatic, Summit White, Jet Black, 4, 9",9 Miles,,Summit White,CREW CAB,Diesel,Turbocharged Diesel V8 6.6L/,,268,4x4,,,,Donohoo Chevrolet,Fort Payne,AL,35967,1-888-353-4032,,https://www.commercialtrucktrader.com/listing/2024-CHEVROLET-Silverado 3500HD CC-5027949704,2024-06-08 165411
"New 2024 CHEVROLET Utility Truck - Service Truck, Plumber Service Truck, Contractor Truck",CHEVROLET,Silverado 3500HD CC,2024,1GB4YSE79RF238021,"Fort Payne, AL",New,"$62,188",,https://cdn-media.tilabs.io/v1/media/66641cdd2da7a168af624a02.webp,"New, 2024, CHEVROLET, Silverado 3500HD CC, CLASS 3 (GVW 10001 - 14000), Utility Truck - Service Truck, Plumber Service Truck, Contractor Truck, CREW CAB, Fort Payne, AL, Gasoline, 4x4, 177, 72583, 1GB4YSE79RF238021, Rear Wheel Drive w/4x4, GENERAL MOTORS, Gas V8 6.6L/, 6.6L, 10, Automatic, Summit White, Jet Black, 4, 15",15 Miles,,Summit White,CREW CAB,Gasoline,Gas V8 6.6L/,,169,Rear Wheel Drive w/4x4,,,,Donohoo Chevrolet,Fort Payne,AL,35967,1-888-353-4032,,https://www.commercialtrucktrader.com/listing/2024-CHEVROLET-Silverado 3500HD CC-5029998831,2024-06-08 165411
"New 2024 Chevrolet Utility Truck - Service Truck, Dry Van, Cutaway-Cube Van, Box Truck - Straight Truck",Chevrolet,Silverado 3500HD CC,2024,1GB4YTE77RF183672,"Fort Payne, AL",New,"$73,863",,https://cdn-media.tilabs.io/v1/media/66641d9c7e63302cd46ece3a.webp,"New, 2024, Chevrolet, Silverado 3500HD CC, CLASS 3 (GVW 10001 - 14000), Utility Truck - Service Truck, Dry Van, Cutaway-Cube Van, Box Truck - Straight Truck, CREW CAB, Fort Payne, AL, Gasoline, 4x4, 177, 71401, 1GB4YTE77RF183672, 4x4, Gas V8 6.6L/, 6.6L, 10, Automatic, Summit White, Jet Black, 4, 324",324 Miles,,Summit White,CREW CAB,Gasoline,Gas V8 6.6L/,,344,4x4,,,,Donohoo Chevrolet,Fort Payne,AL,35967,1-888-353-4032,,https://www.commercialtrucktrader.com/listing/2024-Chevrolet-Silverado 3500HD CC-5027005282,2024-06-08 165411
"New 2024 CHEVROLET Utility Truck - Service Truck, Plumber Service Truck, Contractor Truck",CHEVROLET,Silverado 3500HD CC,2024,1GB4YTE72RF187144,"Fort Payne, AL",New,"$65,863",,https://cdn-media.tilabs.io/v1/media/66641c4d41cf620154000156.webp,"New, 2024, CHEVROLET, Silverado 3500HD CC, CLASS 3 (GVW 10001 - 14000), Utility Truck - Service Truck, Plumber Service Truck, Contractor Truck, CREW CAB, Fort Payne, AL, Gasoline, 4x4, 177, 71647, 1GB4YTE72RF187144, 4x4, Gas V8 6.6L/, 6.6L, 10, Automatic, Summit White, Jet Black, 4, 4",4 Miles,,Summit White,CREW CAB,Gasoline,Gas V8 6.6L/,,333,4x4,,,,Donohoo Chevrolet,Fort Payne,AL,35967,1-888-353-4032,,https://www.commercialtrucktrader.com/listing/2024-CHEVROLET-Silverado 3500HD CC-5027117163,2024-06-08 165411
"New 2024 Chevrolet Utility Truck - Service Truck, Dry Van, Cutaway-Cube Van, Box Truck - Straight Truck",Chevrolet,Silverado 3500HD CC,2024,1GB4YTE71RF183604,"Fort Payne, AL",New,"$73,863",,https://cdn-media.tilabs.io/v1/media/66641d978ab93472bb728821.webp,"New, 2024, Chevrolet, Silverado 3500HD CC, CLASS 3 (GVW 10001 - 14000), Utility Truck - Service Truck, Dry Van, Cutaway-Cube Van, Box Truck - Straight Truck, CREW CAB, Fort Payne, AL, Gasoline, 4x4, 177, 71602, 1GB4YTE71RF183604, 4x4, Gas V8 6.6L/, 6.6L, 10, Automatic, Summit White, Jet Black, 4, 326",326 Miles,,Summit White,CREW CAB,Gasoline,Gas V8 6.6L/,,338,4x4,,,,Donohoo Chevrolet,Fort Payne,AL,35967,1-888-353-4032,,https://www.commercialtrucktrader.com/listing/2024-Chevrolet-Silverado 3500HD CC-5027063332,2024-06-08 165411
"New 2024 Chevrolet Utility Truck - Service Truck, Plumber Service Truck, Contractor Truck",Chevrolet,Silverado 3500HD CC,2024,1GB4YTE79RF177467,"Fort Payne, AL",New,"$65,863",,https://cdn-media.tilabs.io/v1/media/66641cbf6e365a0d2c1ff32d.webp,"New, 2024, Chevrolet, Silverado 3500HD CC, CLASS 3 (GVW 10001 - 14000), Utility Truck - Service Truck, Plumber Service Truck, Contractor Truck, CREW CAB, Fort Payne, AL, Gasoline, 4x4, 177, 71340, 1GB4YTE79RF177467, 4x4, Gas V8 6.6L/, 6.6L, 10, Automatic, Summit White, Jet Black, 4, 164",164 Miles,,Summit White,CREW CAB,Gasoline,Gas V8 6.6L/,,349,4x4,,,,Donohoo Chevrolet,Fort Payne,AL,35967,1-888-353-4032,,https://www.commercialtrucktrader.com/listing/2024-Chevrolet-Silverado 3500HD CC-5026886253,2024-06-08 165411
"New 2024 Chevrolet Utility Truck - Service Truck, Contractor Truck, Cab Chassis",Chevrolet,Silverado 3500HD CC,2024,1GB4YSE77RF236655,"Fort Payne, AL",New,"$64,338",,https://cdn-media.tilabs.io/v1/media/66641ce2e028fc4d2050b1fd.webp,"New, 2024, Chevrolet, Silverado 3500HD CC, CLASS 3 (GVW 10001 - 14000), Utility Truck - Service Truck, Contractor Truck, Cab Chassis, CREW CAB, Fort Payne, AL, Gasoline, 4x4, 177, 72543, 1GB4YSE77RF236655, 4x4, GMC, Gas V8 6.6L/, 6.6L, 10, Automatic, Summit White, Jet Black, 4, 109",109 Miles,,Summit White,CREW CAB,Gasoline,Gas V8 6.6L/,,263,4x4,,,,Donohoo Chevrolet,Fort Payne,AL,35967,1-888-353-4032,,https://www.commercialtrucktrader.com/listing/2024-Chevrolet-Silverado 3500HD CC-5028006306,2024-06-08 165411
"New 2024 CHEVROLET Flatbed Truck, Hauler, Cab Chassis",CHEVROLET,Silverado 3500HD CC,2024,1GB4YSEY1RF312301,"Fort Payne, AL",New,"$68,828",,https://cdn-media.tilabs.io/v1/media/66621903a48b476d294d40cb.jpg,"New, 2024, CHEVROLET, Silverado 3500HD CC, CLASS 3 (GVW 10001 - 14000), Flatbed Truck, Hauler, Cab Chassis, CREW CAB, Fort Payne, AL, Diesel/BioDiesel, 4x4, 177, 73672, 1GB4YSEY1RF312301, Rear Wheel Drive w/4x4, Isuzu, Turbocharged Diesel V8 6.6L/, 10, Automatic, Summit White, Jet Black, 4, 131",131 Miles,,Summit White,CREW CAB,Diesel/BioDiesel,Turbocharged Diesel V8 6.6L/,,165,Rear Wheel Drive w/4x4,,,,Donohoo Chevrolet,Fort Payne,AL,35967,1-888-353-4032,,https://www.commercialtrucktrader.com/listing/2024-CHEVROLET-Silverado 3500HD CC-5030028731,2024-06-08 165411
"New 2024 CHEVROLET Flatbed Truck, Hauler, Cab Chassis",CHEVROLET,Silverado 3500HD CC,2024,1GB4YSE77RF270627,"Fort Payne, AL",New,"$58,188",,https://cdn-media.tilabs.io/v1/media/66641d3929e5e2732c066717.webp,"New, 2024, CHEVROLET, Silverado 3500HD CC, CLASS 3 (GVW 10001 - 14000), Flatbed Truck, Hauler, Cab Chassis, CREW CAB, Fort Payne, AL, Gasoline, 4x4, 177, 73113, 1GB4YSE77RF270627, Rear Wheel Drive w/4x4, GMC, Gas V8 6.6L/, 6.6L, 10, Automatic, Summit White, Jet Black, 4, 96",96 Miles,,Summit White,CREW CAB,Gasoline,Gas V8 6.6L/,,220,Rear Wheel Drive w/4x4,,,,Donohoo Chevrolet,Fort Payne,AL,35967,1-888-353-4032,,https://www.commercialtrucktrader.com/listing/2024-CHEVROLET-Silverado 3500HD CC-5029118875,2024-06-08 165411
