Program ID,Program Name,Specialty,"Program City, State",Type of Program,Number of 1st Yr Positions,ERAS Participation,NRMP match,Program URL,Link to Overview,Link to Program Work Schedule,Link to Features Benefits
0400121010,University of Alabama Medical Center Program,Anesthesiology,"Birmingham, AL", University-based , 21 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0400121010,,,
0400421013,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,Anesthesiology,"Little Rock, AR", University-based , 14 first year positions ,True,,https://freida.ama-assn.org/program/0400421013,,,
0400331197,Mayo Clinic College of Medicine and Science (Phoenix) Program,Anesthesiology,"Phoenix, AZ",, 5 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0400331197,,,
0400321012,University of Arizona College of Medicine-Tucson Program,Anesthesiology,"Tucson, AZ", University-based , 6 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0400321012,,,
0400521016,Loma Linda University Health Education Consortium Program,Anesthesiology,"Loma Linda, CA", University-based ,,False,,https://freida.ama-assn.org/program/0400521016,,,
7420544004,Loma Linda University Health Education Consortium Program,Internal Medicine/Anesthesiology,"Loma Linda, CA", University-based ,,False,,https://freida.ama-assn.org/program/7420544004,,,
0400521018,University of Southern California/Los Angeles General Medical Center (USC/LA General) Program,Anesthesiology,"Los Angeles, CA", University-based , 18 first year positions ,False,,https://freida.ama-assn.org/program/0400521018,,,
0400521019,Cedars-Sinai Medical Center Program,Anesthesiology,"Los Angeles, CA", Community-based university affiliated , 14 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0400521019,,,
0400521020,UCLA David Geffen School of Medicine/UCLA Medical Center Program,Anesthesiology,"Los Angeles, CA", University-based , 27 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0400521020,,,
0400500027,Riverside University Health System Program,Anesthesiology,"Moreno Valley, CA", Community-based university affiliated , 7 first year positions ,False,,https://freida.ama-assn.org/program/0400500027,,,
0400521015,University of California (Irvine) Program,Anesthesiology,"Orange, CA", University-based , 12 first year positions ,False,,https://freida.ama-assn.org/program/0400521015,,,
0400500031,HCA Healthcare Riverside Program,Anesthesiology,"Riverside, CA", Community-based , 8 first year positions ,False,,https://freida.ama-assn.org/program/0400500031,,,
0400500002,Sutter Health/Sutter Roseville Medical Center Program,Anesthesiology,"Roseville, CA", Community-based ,,False,,https://freida.ama-assn.org/program/0400500002,,,
0400521014,University of California Davis Health Program,Anesthesiology,"Sacramento, CA", University-based , 14 first year positions ,False,,https://freida.ama-assn.org/program/0400521014,,,
0400521006,Naval Medical Center (San Diego) Program,Anesthesiology,"San Diego, CA", Military-based , 6 first year positions ,False,,https://freida.ama-assn.org/program/0400521006,,,
0400521022,University of California (San Diego) Medical Center Program,Anesthesiology,"San Diego, CA", University-based , 16 first year positions ,False,,https://freida.ama-assn.org/program/0400521022,,,
0400521023,University of California (San Francisco) Program,Anesthesiology,"San Francisco, CA", University-based , 10 first year positions ,False,,https://freida.ama-assn.org/program/0400521023,,,
0400521025,Stanford Health Care-Sponsored Stanford University Program,Anesthesiology,"Stanford, CA", University-based , 24 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0400521025,,,
7420544002,Stanford Health Care-Sponsored Stanford University Program,Internal Medicine/Anesthesiology,"Stanford, CA", University-based , 4 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/7420544002,,,
7260544004,Stanford Health Care-Sponsored Stanford University Program,Pediatrics/Anesthesiology,"Stanford, CA", University-based , 2 first year positions ,False,,https://freida.ama-assn.org/program/7260544004,,,
0400500030,St Joseph's Medical Center Program,Anesthesiology,"Stockton, CA", Community-based , 6 first year positions ,False,,https://freida.ama-assn.org/program/0400500030,,,
0400500001,HCA Healthcare/Los Robles Regional Medical Center Program,Anesthesiology,"Thousand Oaks, CA", Community-based , 6 first year positions ,False,,https://freida.ama-assn.org/program/0400500001,,,
0400511026,Los Angeles County-Harbor-UCLA Medical Center Program,Anesthesiology,"Torrance, CA", Community-based university affiliated , 9 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0400511026,,,
0400500028,Kaweah Delta Health Care District (KDHCD) Program,Anesthesiology,"Visalia, CA", Community-based , 4 first year positions ,False,,https://freida.ama-assn.org/program/0400500028,,,
0400721028,University of Colorado Program,Anesthesiology,"Aurora, CO", University-based , 12 first year positions ,False,,https://freida.ama-assn.org/program/0400721028,,,
0400700001,HCA HealthONE Program,Anesthesiology,"Englewood, CO", Community-based , 4 first year positions ,True,,https://freida.ama-assn.org/program/0400700001,,,
0400821172,University of Connecticut Program,Anesthesiology,"Farmington, CT", University-based , 9 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0400821172,,,
0400800001,Quinnipiac University Frank H Netter MD School of Medicine Program,Anesthesiology,"Hamden, CT", University-based , 4 first year positions ,True,,https://freida.ama-assn.org/program/0400800001,,,
