Program ID,Program Name,Specialty,"Program City, State",Type of Program,Number of 1st Yr Positions,ERAS Participation,NRMP match,Program URL,Link to Overview,Link to ProgramWorkSchedule,Link to FeaturesBenefits
400121010,University of Alabama Medical Center Program,Anesthesiology,"Birmingham, AL",University-based,21 first year positions,checked,checked,https://freida.ama-assn.org/program/0400121010,,,
400421013,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,Anesthesiology,"Little Rock, AR",University-based,14 first year positions,checked,,https://freida.ama-assn.org/program/0400421013,,,
400331197,Mayo Clinic College of Medicine and Science (Phoenix) Program,Anesthesiology,"Phoenix, AZ",N/A,5 first year positions,checked,checked,https://freida.ama-assn.org/program/0400331197,,,
400321012,University of Arizona College of Medicine-Tucson Program,Anesthesiology,"Tucson, AZ",University-based,6 first year positions,checked,checked,https://freida.ama-assn.org/program/0400321012,,,
400521016,Loma Linda University Health Education Consortium Program,Anesthesiology,"Loma Linda, CA",University-based,N/A,,,https://freida.ama-assn.org/program/0400521016,,,
400521018,University of Southern California/Los Angeles General Medical Center (USC/LA General) Program,Anesthesiology,"Los Angeles, CA",University-based,18 first year positions,,,https://freida.ama-assn.org/program/0400521018,,,
400521019,Cedars-Sinai Medical Center Program,Anesthesiology,"Los Angeles, CA",N/A,14 first year positions,checked,checked,https://freida.ama-assn.org/program/0400521019,,,
400521020,UCLA David Geffen School of Medicine/UCLA Medical Center Program,Anesthesiology,"Los Angeles, CA",University-based,27 first year positions,checked,checked,https://freida.ama-assn.org/program/0400521020,,,
400500027,Riverside University Health System Program,Anesthesiology,"Moreno Valley, CA",N/A,7 first year positions,,,https://freida.ama-assn.org/program/0400500027,,,
400521015,University of California (Irvine) Program,Anesthesiology,"Orange, CA",University-based,12 first year positions,,,https://freida.ama-assn.org/program/0400521015,,,
400500031,HCA Healthcare Riverside Program,Anesthesiology,"Riverside, CA",N/A,8 first year positions,,,https://freida.ama-assn.org/program/0400500031,,,
400500002,Sutter Health/Sutter Roseville Medical Center Program,Anesthesiology,"Roseville, CA",N/A,N/A,,,https://freida.ama-assn.org/program/0400500002,,,
400521014,University of California Davis Health Program,Anesthesiology,"Sacramento, CA",University-based,14 first year positions,,,https://freida.ama-assn.org/program/0400521014,,,
400521006,Naval Medical Center (San Diego) Program,Anesthesiology,"San Diego, CA",N/A,6 first year positions,,,https://freida.ama-assn.org/program/0400521006,,,
400521022,University of California (San Diego) Medical Center Program,Anesthesiology,"San Diego, CA",University-based,16 first year positions,,,https://freida.ama-assn.org/program/0400521022,,,
400521023,University of California (San Francisco) Program,Anesthesiology,"San Francisco, CA",University-based,10 first year positions,,,https://freida.ama-assn.org/program/0400521023,,,
400521025,Stanford Health Care-Sponsored Stanford University Program,Anesthesiology,"Stanford, CA",University-based,24 first year positions,checked,checked,https://freida.ama-assn.org/program/0400521025,400521025,400521025,400521025
400500030,St Joseph's Medical Center Program,Anesthesiology,"Stockton, CA",N/A,6 first year positions,,,https://freida.ama-assn.org/program/0400500030,,,
400500001,HCA Healthcare/Los Robles Regional Medical Center Program,Anesthesiology,"Thousand Oaks, CA",N/A,6 first year positions,,,https://freida.ama-assn.org/program/0400500001,,,
400511026,Los Angeles County-Harbor-UCLA Medical Center Program,Anesthesiology,"Torrance, CA",N/A,9 first year positions,checked,checked,https://freida.ama-assn.org/program/0400511026,,,
400500028,Kaweah Delta Health Care District (KDHCD) Program,Anesthesiology,"Visalia, CA",N/A,4 first year positions,,,https://freida.ama-assn.org/program/0400500028,,,
400721028,University of Colorado Program,Anesthesiology,"Aurora, CO",University-based,12 first year positions,,,https://freida.ama-assn.org/program/0400721028,,,
400700001,HCA HealthONE Program,Anesthesiology,"Englewood, CO",N/A,4 first year positions,checked,,https://freida.ama-assn.org/program/0400700001,,,
400821172,University of Connecticut Program,Anesthesiology,"Farmington, CT",University-based,9 first year positions,checked,checked,https://freida.ama-assn.org/program/0400821172,,,
400800001,Quinnipiac University Frank H Netter MD School of Medicine Program,Anesthesiology,"Hamden, CT",University-based,4 first year positions,checked,,https://freida.ama-assn.org/program/0400800001,,,
400821030,Yale-New Haven Medical Center Program,Anesthesiology,"New Haven, CT",University-based,22 first year positions,checked,checked,https://freida.ama-assn.org/program/0400821030,,,
401021032,MedStar Health/Georgetown University Hospital Program,Anesthesiology,"Washington, DC",University-based,12 first year positions,,,https://freida.ama-assn.org/program/0401021032,,,
401021033,George Washington University Program,Anesthesiology,"Washington, DC",University-based,8 first year positions,checked,,https://freida.ama-assn.org/program/0401021033,,,
401121035,University of Florida Program,Anesthesiology,"Gainesville, FL",University-based,22 first year positions,checked,checked,https://freida.ama-assn.org/program/0401121035,,,
401112204,University of Florida College of Medicine Jacksonville Program,Anesthesiology,"Jacksonville, FL",N/A,4 first year positions,checked,checked,https://freida.ama-assn.org/program/0401112204,,,
401113194,Mayo Clinic College of Medicine and Science (Jacksonville) Program,Anesthesiology,"Jacksonville, FL",N/A,6 first year positions,checked,checked,https://freida.ama-assn.org/program/0401113194,,,
401100206,HCA Florida Healthcare/Kendall Hospital Program,Anesthesiology,"Miami, FL",N/A,6 first year positions,checked,checked,https://freida.ama-assn.org/program/0401100206,,,
401121036,University of Miami/Jackson Health System Program,Anesthesiology,"Miami, FL",University-based,31 first year positions,checked,checked,https://freida.ama-assn.org/program/0401121036,,,
401100205,Mount Sinai Medical Center of Florida Inc Program,Anesthesiology,"Miami Beach, FL",N/A,6 first year positions,checked,checked,https://freida.ama-assn.org/program/0401100205,,,
401100212,University of Central Florida/HCA Florida Healthcare (Ocala) Program,Anesthesiology,"Ocala, FL",N/A,9 first year positions,,,https://freida.ama-assn.org/program/0401100212,,,
401100215,Memorial Healthcare System (Hollywood Florida) Program,Anesthesiology,"Pembroke Pines, FL",N/A,3 first year positions,,,https://freida.ama-assn.org/program/0401100215,,,
401100001,HCA Florida Healthcare/Westside/Northwest Hospital Program,Anesthesiology,"Plantation, FL",N/A,6 first year positions,checked,,https://freida.ama-assn.org/program/0401100001,,,
401100209,Cleveland Clinic Florida Program,Anesthesiology,"Weston, FL",N/A,5 first year positions,checked,checked,https://freida.ama-assn.org/program/0401100209,,,
401221037,Emory University School of Medicine Program,Anesthesiology,"Atlanta, GA",University-based,12 first year positions,,,https://freida.ama-assn.org/program/0401221037,,,
401211038,Medical College of Georgia Program,Anesthesiology,"Augusta, GA",University-based,12 first year positions,checked,,https://freida.ama-assn.org/program/0401211038,,,
401821049,University of Iowa Hospitals and Clinics Program,Anesthesiology,"Iowa City, IA",University-based,15 first year positions,,,https://freida.ama-assn.org/program/0401821049,,,
401611041,University of Illinois College of Medicine at Chicago Program,Anesthesiology,"Chicago, IL",University-based,11 first year positions,checked,checked,https://freida.ama-assn.org/program/0401611041,,,
401611044,University of Chicago Program,Anesthesiology,"Chicago, IL",University-based,13 first year positions,checked,checked,https://freida.ama-assn.org/program/0401611044,,,
401612039,Cook County Health and Hospitals System Program,Anesthesiology,"Chicago, IL",N/A,9 first year positions,checked,checked,https://freida.ama-assn.org/program/0401612039,,,
401621040,Advocate Health Care/Advocate Illinois Masonic Medical Center Program,Anesthesiology,"Chicago, IL",N/A,8 first year positions,checked,checked,https://freida.ama-assn.org/program/0401621040,,,
401621042,McGaw Medical Center of Northwestern University Program,Anesthesiology,"Chicago, IL",University-based,15 first year positions,,,https://freida.ama-assn.org/program/0401621042,,,
401621043,Rush University Medical Center Program,Anesthesiology,"Chicago, IL",University-based,16 first year positions,,,https://freida.ama-assn.org/program/0401621043,,,
401611046,Loyola University Medical Center Program,Anesthesiology,"Maywood, IL",University-based,13 first year positions,checked,checked,https://freida.ama-assn.org/program/0401611046,,,
401600001,University of Illinois College of Medicine at Peoria Program,Anesthesiology,"Peoria, IL",N/A,N/A,,,https://freida.ama-assn.org/program/0401600001,,,
401721048,Indiana University School of Medicine Program,Anesthesiology,"Indianapolis, IN",University-based,28 first year positions,checked,checked,https://freida.ama-assn.org/program/0401721048,,,
401911050,University of Kansas School of Medicine Program,Anesthesiology,"Kansas City, KS",University-based,11 first year positions,checked,,https://freida.ama-assn.org/program/0401911050,,,
401922051,University of Kansas (Wichita) Program,Anesthesiology,"Wichita, KS",N/A,5 first year positions,checked,,https://freida.ama-assn.org/program/0401922051,,,
402021052,University of Kentucky College of Medicine Program,Anesthesiology,"Lexington, KY",University-based,16 first year positions,checked,checked,https://freida.ama-assn.org/program/0402021052,,,
