SKU,EAN,,,,,,,,,,,,,,,,,,,,,
2609390576,3165140370936,,,,,,,,,,,,,,,,,,,,"8, Wednesday, May 2024.","5, Sunday, May 2024."
2609390394,3165140308908,,,,,,,,,,,,,,,,,,,,"13, Monday, May 2024.","6, Monday, May 2024."
2608690091,3165140328012,,,,,,,,,,,,,,,,,,,,"14, Tuesday, May 2024.","9, Thursday, May 2024."
2608690101,3165140425940,,,,,,,,,,,,,,,,,,,,"24, Friday, May 2024.","10, Friday, May 2024."
2608690102,3165140425957,,,,,,,,,,,,,,,,,,,,"25, Saturday, May 2024.","11, Saturday, May 2024."
2608690144,3165140506472,,,,,,,,,,,,,,,,,,,,"26, Sunday, May 2024.","12, Sunday, May 2024."
2608690146,3165140506496,,,,,,,,,,,,,,,,,,,,"27, Monday, May 2024.","15, Wednesday, May 2024."
2608690167,3165140533621,,,,,,,,,,,,,,,,,,,,"29, Wednesday, May 2024.","16, Thursday, May 2024."
2608690124,3165140460385,,,,,,,,,,,,,,,,,,,,"30, Thursday, May 2024.","17, Friday, May 2024."
2608690098,3165140397322,,,,,,,,,,,,,,,,,,,,"31, Friday, May 2024.","18, Saturday, May 2024."
2608690097,3165140397315,,,,,,,,,,,,,,,,,,,,"1, Saturday, June 2024.","19, Sunday, May 2024."
2608690198,3165140670135,,,,,,,,,,,,,,,,,,,,"5, Wednesday, June 2024.","20, Monday, May 2024."
2608690142,3165140506458,,,,,,,,,,,,,,,,,,,,"6, Thursday, June 2024.","21, Tuesday, May 2024."
2608690141,3165140506441,,,,,,,,,,,,,,,,,,,,"7, Friday, June 2024.","22, Wednesday, May 2024."
2608690143,3165140506465,,,,,,,,,,,,,,,,,,,,"8, Saturday, June 2024.","23, Thursday, May 2024."
1618601008,3165140033398,,,,,,,,,,,,,,,,,,,,"9, Sunday, June 2024.","28, Tuesday, May 2024."
1618601007,3165140022156,,,,,,,,,,,,,,,,,,,,"10, Monday, June 2024.","2, Sunday, June 2024."
2608690188,3165140670036,,,,,,,,,,,,,,,,,,,,"11, Tuesday, June 2024.","3, Monday, June 2024."
2608690190,3165140670050,,,,,,,,,,,,,,,,,,,,"12, Wednesday, June 2024.","4, Tuesday, June 2024."
2608690193,3165140670081,,,,,,,,,,,,,,,,,,,,"13, Thursday, June 2024.",
2608690106,3165140425995,,,,,,,,,,,,,,,,,,,,"14, Friday, June 2024.",
1618600019,3165140042543,,,,,,,,,,,,,,,,,,,,"15, Saturday, June 2024.",
