Part no.,Name,Quantity required,Diagram no.,Supplier code
,,1,1
094-1882,PLUG,7,2
9S-4191,"PLUG
(9/16-18-THD)",1,3
3J-1907,SEAL-O-RING,2,4
6V-8200,"BOLT-SOCKET HEAD
(M12X1.75X35-MM)",6,5
173-3405,COVER,1,6
173-3413,COVER,1,7
8T-4196,"BOLT
(M10X1.5X35-MM)",2,8
173-3404,COVER,1,9
8T-4136,"BOLT
(M10X1.5X25-MM)",2,10
173-3398,COVER,1,11
096-5400,"SETSCREW-SOCKET
(M20X2.5X50-MM)",2,12
8T-4131,"NUT
(M20X2.5-THD)",2,13
173-3389,STOPPER,1,14
185-0347,RING-BACKUP,1,15
190-7674,SEAL-O-RING,1,16
191-5599,PLUG,1,17
173-3384,PISTON,1,18
190-7673,SEAL-O-RING,1,19
185-0348,RING-BACKUP,1,20
173-3390,STOPPER,1,21
8F-8733,SEAL-O-RING,1,22
185-0201,PIN AS,1,23
129-7978,DOWEL,1,23A
094-1875,DOWEL,1,24
094-1881,PLATE-SLIDE,1,25
150-5797,PIN,1,26
173-3397,LEVER,1,28
095-1528,SEAL-O-RING,1,29
200-3246,SPRING,1,31
189-9763,SEAL-O-RING,3,32
099-3671,SPRING,1,33
3D-2891,BALL,1,34
200-3244,SPRING,1,35
200-3245,SPRING,1,36
095-1538,SEAL-O-RING,1,37
095-1527,SEAL-O-RING,1,38
200-3255,"NUT
(M20X1.5-THD)",1,39
173-3387,ADJUSTER,1,40
225-0417,"SETSCREW
(M8X1X45-MM)",1,41
200-3254,"NUT
(M8X1-THD)",1,42
185-0172,RETAINER,1,43
095-1519,SEAL-O-RING,1,44
185-0169,GUIDE,1,45
173-3394,SPOOL AS,1,46
099-6128,"SHIM
(1.9-MM THK)",2,47
099-6126,"SHIM
(1.8-MM THK)",2,
099-6127,"SHIM
(1.85-MM THK)",2,
099-3670,"SHIM
(1.95-MM THK)",2,
099-6125,"SHIM
(1.75-MM THK)",2,
099-6123,"SHIM
(1.65-MM THK)",2,
099-6124,"SHIM
(1.7-MM THK)",2,
099-6122,"SHIM
(1.6-MM THK)",2,
099-6121,"SHIM
(1.55-MM THK)",2,
099-6119,"SHIM
(1.45-MM THK)",2,
099-6118,"SHIM
(1.4-MM THK)",2,
099-6117,"SHIM
(1.35-MM THK)",2,
099-6113,"SHIM
(1.25-MM THK)",2,
099-6115,"SHIM
(1.3-MM THK)",2,
099-6111,"SHIM
(1.15-MM THK)",2,
099-6112,"SHIM
(1.2-MM THK)",1,
099-6109,"SHIM
(1.05-MM THK)",2,
099-6110,"SHIM
(1.1-MM THK)",2,
099-6120,"SHIM
(1.5-MM THK)",2,
099-3669,"SHIM
(1-MM THK)",2,
