Part no.,Name,Quantity required,Diagram no.,Supplier code
,,1,1
094-1882,PLUG,11,2
9S-4191,"PLUG
(9/16-18-THD)",2,3
3J-1907,SEAL-O-RING,3,4
6V-8200,"BOLT-SOCKET HEAD
(M12X1.75X35-MM)",6,5
234-4453,COVER,1,6
173-3413,COVER,1,7
8T-4196,"BOLT
(M10X1.5X35-MM)",2,8
234-4452,COVER,1,9
8T-4136,"BOLT
(M10X1.5X25-MM)",2,10
173-3398,COVER,1,11
7I-2272,"BOLT
(M5X0.8X12-MM)",2,12
111-9916,"VALVE GP-SOLENOID
(PRESSURE REDUCING)(PUMP CONTROL)",1,13
225-4607,"SETSCREW
(M20X2.5X45-MM)",2,14
8T-4131,"NUT
(M20X2.5-THD)",2,15
215-9962,STOPPER,1,16
095-1788,RING-BACKUP,1,17
190-7674,SEAL-O-RING,1,18
190-4896,PLUG,1,19
173-3384,PISTON,1,20
215-9961,STOPPER,1,21
153-8623,RING-BACKUP,1,22
190-7673,SEAL-O-RING,1,23
8F-8733,SEAL-O-RING,1,24
185-0201,PIN AS,1,25
129-7978,DOWEL,1,25A
094-1875,DOWEL,1,26
094-1881,PLATE-SLIDE,1,27
150-5797,PIN,1,28
173-3397,LEVER,1,29
095-1528,SEAL-O-RING,1,30
200-3246,SPRING,1,31
189-9763,SEAL-O-RING,3,32
099-3671,SPRING,1,33
3D-2891,BALL,1,34
200-3244,SPRING,1,35
200-3245,SPRING,1,36
095-1538,SEAL-O-RING,1,37
095-1527,SEAL-O-RING,1,38
200-3255,"NUT
(M20X1.5-THD)",1,39
173-3387,ADJUSTER,1,40
225-0417,"SETSCREW
(M8X1X45-MM)",1,41
200-3254,"NUT
(M8X1-THD)",1,42
185-0172,RETAINER,1,43
095-1519,SEAL-O-RING,1,44
185-0169,GUIDE,1,45
191-5707,SPOOL AS,1,46
099-6128,"SHIM
(1.9-MM THK)",2,47
099-6126,"SHIM
(1.8-MM THK)",2,
099-6127,"SHIM
(1.85-MM THK)",2,
099-3670,"SHIM
(1.95-MM THK)",2,
099-6125,"SHIM
(1.75-MM THK)",2,
099-6123,"SHIM
(1.65-MM THK)",2,
099-6124,"SHIM
(1.7-MM THK)",2,
099-6122,"SHIM
(1.6-MM THK)",2,
099-6121,"SHIM
(1.55-MM THK)",2,
099-6119,"SHIM
(1.45-MM THK)",2,
099-6118,"SHIM
(1.4-MM THK)",2,
099-6117,"SHIM
(1.35-MM THK)",2,
099-6113,"SHIM
(1.25-MM THK)",2,
099-6115,"SHIM
(1.3-MM THK)",2,
099-6111,"SHIM
(1.15-MM THK)",2,
099-6112,"SHIM
(1.2-MM THK)",2,
099-6109,"SHIM
(1.05-MM THK)",2,
099-6110,"SHIM
(1.1-MM THK)",2,
099-6120,"SHIM
(1.5-MM THK)",2,
099-3669,"SHIM
(1-MM THK)",2,
8T-4223,"WASHER-HARD
(13.5X25.5X3-MM THK)",6,48
