Part no.,Name,Quantity required,Diagram no.,Supplier code
153-8623,RING-BACKUP,1,1
200-3244,SPRING,1,2
200-3245,SPRING,1,3
200-3246,SPRING,1,4
215-9961,STOPPER,1,5
215-9962,STOPPER,1,6
225-0417,"SETSCREW
(M8X1X45-MM)",1,7
225-4607,"SETSCREW
(M20X2.5X45-MM)",2,8
094-1875,DOWEL,1,9
094-1881,PLATE-SLIDE,1,10
094-1882,PLUG,7,11
095-1519,SEAL-O-RING,1,12
095-1527,SEAL-O-RING,1,13
095-1528,SEAL-O-RING,1,14
095-1538,SEAL-O-RING,1,15
095-1788,RING-BACKUP,1,16
8T-4131,"NUT
(M20X2.5-THD)",2,17
099-3671,SPRING,1,18
099-6128,"SHIM
(1.9-MM THK)",2,19
099-6126,"SHIM
(1.8-MM THK)",2,
099-6127,"SHIM
(1.85-MM THK)",2,
099-3670,"SHIM
(1.95-MM THK)",2,
099-6125,"SHIM
(1.75-MM THK)",2,
099-6123,"SHIM
(1.65-MM THK)",2,
099-6124,"SHIM
(1.7-MM THK)",2,
099-6122,"SHIM
(1.6-MM THK)",2,
099-6121,"SHIM
(1.55-MM THK)",2,
099-6119,"SHIM
(1.45-MM THK)",2,
099-6118,"SHIM
(1.4-MM THK)",2,
099-6117,"SHIM
(1.35-MM THK)",2,
099-6113,"SHIM
(1.25-MM THK)",2,
099-6115,"SHIM
(1.3-MM THK)",2,
099-6111,"SHIM
(1.15-MM THK)",2,
099-6112,"SHIM
(1.2-MM THK)",2,
099-6109,"SHIM
(1.05-MM THK)",2,
099-6110,"SHIM
(1.1-MM THK)",2,
099-6120,"SHIM
(1.5-MM THK)",2,
099-3669,"SHIM
(1-MM THK)",2,
150-5797,PIN,1,20
173-3384,PISTON,1,21
173-3387,ADJUSTER,1,22
173-3397,LEVER,1,23
173-3398,COVER,1,24
234-4452,COVER,1,25
234-4453,COVER,1,26
173-3413,COVER,1,27
,,1,28
185-0169,GUIDE,1,29
185-0172,RETAINER,1,30
185-0201,PIN AS,1,31
129-7978,DOWEL,1,31A
199-0518,SEAL-O-RING,3,32
190-4896,PLUG,1,33
190-7673,SEAL-O-RING,1,34
190-7674,SEAL-O-RING,1,35
191-5707,SPOOL AS,1,36
200-3254,"NUT
(M8X1-THD)",1,37
200-3255,"NUT
(M20X1.5-THD)",1,38
3D-2891,BALL,1,39
3J-1907,SEAL-O-RING,2,40
6V-8200,"BOLT-SOCKET HEAD
(M12X1.75X35-MM)",6,41
8F-8733,SEAL-O-RING,1,42
8T-4136,"BOLT
(M10X1.5X25-MM)",2,43
8T-4196,"BOLT
(M10X1.5X35-MM)",2,44
9S-4191,"PLUG
(9/16-18-THD)",1,45
8T-4223,"WASHER-HARD
(13.5X25.5X3-MM THK)",6,46
