URL,Title,Brand,Rating,Votes Count,Main Accords,Short Description,Long Description,Pros,Cons,Top Notes,Middle Notes,Base Notes,Perfumers,Images
https://www.fragrantica.com/perfume/Lubin/Kismet-40459.html,Kismet Lubin ,Lubin,4.69,13,,Kismet by Lubin is a fragrance for women and men. Kismet was launched in 1921. ,,,,,,,,https://fimgs.net/mdimg/perfume/375x500.40459.jpg
https://www.fragrantica.com/perfume/Chanel/Chanel-No-5-Parfum-28711.html,Chanel No 5 Parfum Chanel ,Chanel,3.69,12953,"powdery, woody, aldehydic, fresh, iris, white floral, musky, earthy, yellow floral, citrus","Chanel No 5 Parfum by Chanel is a Floral Aldehyde fragrance for women. Chanel No 5 Parfum was launched in 1921. The nose behind this fragrance is Ernest Beaux. Top notes are Aldehydes, Ylang-Ylang, Neroli, Bergamot and Lemon; middle notes are Iris, Jasmine, Rose, Orris Root and Lily-of-the-Valley; base notes are Civet, Musk, Amber, Sandalwood, Moss, Vanilla, Vetiver and Patchouli. ","The legendary Chanel No 5, which was created by Ernest Beaux in 1921 for Coco Chanel, was originally launched in three concentrations: Parfum, Eau de Toilette and Eau de Cologne. Chanel No. 5 perfume edition in perfume extract concentration, available in bottles of 7.5 ml.
Chanel N°5 is the first perfume in the floral-aldehyde group and the first by the quantity of aldehydes in its composition (another legend says that the Ernest Beaux's assistant overdosed the aldehydes in the composition by mistake). The top notes are composed of aldehydes, bergamot, lemon, neroli and ylang-ylang, the heart of jasmine, rose, lily of the valley and iris, while the base is created of vetiver, sandalwood, vanilla, amber and patchouli.","Iconic and timeless scent
Sophisticated and formal
Charming and seductive without being vulgar
Comforting and ethereal
Soft, powdery and clean fragrance
High quality and long lasting
Intimate and elegant
Transforms on the skin, revealing new undertones","Some people find it old fashioned or outdated
Not everyone likes the scent
Expensive compared to other fragrances
Not very strong projection or sillage
Not suitable for younger women
Synthetic vibe for some people
Not very versatile for different occasions or seasons
Not as complex or unique as some contemporary fragrances","Aldehydes, Ylang-Ylang, Neroli, Bergamot, Lemon","Iris, Jasmine, Rose, Orris Root, Lily-of-the-Valley","Civet, Musk, Amber, Sandalwood, Moss, Vanilla, Vetiver, Patchouli",Ernest Beaux,https://fimgs.net/mdimg/perfume/375x500.28711.jpg
https://www.fragrantica.com/perfume/The-Crown-Perfumery-Co/Crown-Spiced-Limes-7271.html,Crown Spiced Limes The Crown Perfumery Co. ,The Crown Perfumery Co.,4.40,15,"citrus, aromatic, fresh spicy, green, mossy, earthy, soft spicy, woody, conifer","Crown Spiced Limes by The Crown Perfumery Co. is a Aromatic Spicy fragrance for men. Crown Spiced Limes was launched in 1921. The nose behind this fragrance is William Thomson. Top notes are Lime and Lemon; middle notes are Clary Sage, Basil and Coriander; base notes are Oakmoss and Vetiver. ",,,,"Lime, Lemon","Clary Sage, Basil, Coriander","Oakmoss, Vetiver",William Thomson,https://fimgs.net/mdimg/perfume/375x500.7271.jpg
https://www.fragrantica.com/perfume/L-T-Piver/Safranor-40518.html,Safranor L.T. Piver ,L.T. Piver,4.50,2,"warm spicy, leather",Safranor by L.T. Piver is a fragrance for women and men. Safranor was launched in 1922. ,,,,,,,,https://fimgs.net/mdimg/perfume/375x500.40518.jpg
https://www.fragrantica.com/perfume/Chanel/Les-Exclusifs-de-Chanel-No-22-7142.html,Les Exclusifs de Chanel No 22 Chanel ,Chanel,4.23,1137,"white floral, aldehydic, fresh, yellow floral, woody, soapy, floral, sweet, rose, tuberose","Les Exclusifs de Chanel No 22 by Chanel is a Floral Aldehyde fragrance for women. Les Exclusifs de Chanel No 22 was launched in 1922. The nose behind this fragrance is Ernest Beaux. Top notes are Aldehydes, Neroli and Lily-of-the-Valley; middle notes are Ylang-Ylang, Jasmine, Rose and Tuberose; base notes are Vanille and Vetyver. ","Created for Mademoiselle Chanel, this perfume is named after the year of its birth. 1922. Chanel expressed her affection towards simplicity, clarity and modernity.  Top notes are: lily-of-the-valley, neroli and aldehydes. Tender heart of oriental jasmine, rose and ylang-ylang from Comoro islands is deepened by the notes of the base (Haiti vetiver and Bourbon vanilla). No 22 is intensive, powdery – floral fragrance, refined, sweet and feminine.  It belongs to a luxurious collection Les Exclusifs de Chanel and is available in a 200 ml bottle.","Supremely elegant and unreservedly chic
Effervescent explosion of aldehydes for an hour
Airy and breezy opening with crisp and dusty notes
Bold and cold fragrance
Prettiest and sexiest among Chanel fragrances
Smooth and well-blended
Next level compared to Chanel No.5
Historically important fragrance","Overwhelming aldehyde content
Strong soapiness that some may find unpleasant
May not suit everyone's personal taste
Difficult to discern specific notes due to perfect blending
May not be appropriate for everyday use
Aldehydes overpower other elements like florals
Orange syrupy smell for some individuals
Very sweet and fizzy on the nose","Aldehydes, Neroli, Lily-of-the-Valley","Ylang-Ylang, Jasmine, Rose, Tuberose","Vanille, Vetyver",Ernest Beaux,https://fimgs.net/mdimg/perfume/375x500.7142.jpg
https://www.fragrantica.com/perfume/Caron/Bain-de-Champagne-Royal-Bain-de-Caron-4580.html,Bain de Champagne (Royal Bain de Caron) Caron ,Caron,4.03,676,"amber, balsamic, vanilla, floral, woody, powdery, warm spicy, sweet, rose","Bain de Champagne (Royal Bain de Caron) by Caron is a Amber Floral fragrance for women and men. Bain de Champagne (Royal Bain de Caron) was launched in 1923. The nose behind this fragrance is Ernest Daltroff. Top notes are Lilac and Rose; middle notes are Opoponax, Benzoin and Incense; base notes are Vanilla, Amber, Sandalwood, Musk and Cedar. ",,"Old world charm and nostalgia
Nice nostalgic scent for those who grew up with it
Opoponax, benzoin, incense, sandalwood, and rose create a complex blend
Vintage formulation is richer and smoother
Unisex fragrance
Good for cooler seasons
Not overpowering or cloying
Champagne-like top note adds a unique touch","Powdery notes may not sit well with everyone
Anachronistic and not modern enough for some tastes
Some find it too harsh or synthetic
Blind buys may be disappointing
Not for those who dislike sweet or floral scents
Modern formulation can be too sweet or metallic
Not everyone likes the old-fashioned lilac scent
May be too feminine for some men","Lilac, Rose","Opoponax, Benzoin, Incense","Vanilla, Amber, Sandalwood, Musk, Cedar",Ernest Daltroff,https://fimgs.net/mdimg/perfume/375x500.4580.jpg
https://www.fragrantica.com/perfume/Paglieri/Felce-Azzurra-22615.html,Felce Azzurra Paglieri ,Paglieri,4.42,97,"musky, powdery",Felce Azzurra by Paglieri is a fragrance for women. Felce Azzurra was launched in 1923. ,,,,,,,,https://fimgs.net/mdimg/perfume/375x500.22615.jpg
https://www.fragrantica.com/perfume/Parera/Varon-Dandy-36735.html,Varon Dandy Parera ,Parera,3.73,91,"warm spicy, woody, mossy, amber, earthy, citrus, fresh spicy, aromatic","Varon Dandy by Parera is a Chypre fragrance for men. Varon Dandy was launched in 1923. Top notes are Bergamot, Lemon, Lavender and Petitgrain; middle notes are Carnation, Geranium, Cinnamon, Jasmine, Sandalwood and Cedar; base notes are Oakmoss, Oriental notes, Woody Notes, Patchouli, Benzoin, Amber and Tonka Bean. ",,,,"Bergamot, Lemon, Lavender, Petitgrain","Carnation, Geranium, Cinnamon, Jasmine, Sandalwood, Cedar","Oakmoss, Oriental notes, Woody Notes, Patchouli, Benzoin, Amber, Tonka Bean",,https://fimgs.net/mdimg/perfume/375x500.36735.jpg
https://www.fragrantica.com/perfume/Chanel/Cuir-de-Russie-Parfum-47794.html,Cuir de Russie Parfum Chanel ,Chanel,4.57,157,"leather, aldehydic, sweet, yellow floral, white floral, tobacco, rose, fresh, animalic, floral",Cuir de Russie Parfum by Chanel is a Leather fragrance for women and men. Cuir de Russie Parfum was launched in 1924. The nose behind this fragrance is Ernest Beaux. ,,,,,,,Ernest Beaux,https://fimgs.net/mdimg/perfume/375x500.47794.jpg
https://www.fragrantica.com/perfume/Chanel/Chanel-No-5-Eau-de-Toilette-10856.html,Chanel No 5 Eau de Toilette Chanel ,Chanel,4.02,5239,"woody, powdery, aldehydic, fresh, iris, earthy, white floral, musky, citrus, yellow floral","Chanel No 5 Eau de Toilette by Chanel is a Floral Aldehyde fragrance for women. Chanel No 5 Eau de Toilette was launched in 1924. The nose behind this fragrance is Ernest Beaux. Top notes are Aldehydes, Ylang-Ylang, Neroli, Amalfi Lemon and Bergamot; middle notes are Iris, Jasmine, Rose, Orris Root and Lily-of-the-Valley; base notes are Civetta, Sandalwood, Musk, oak moss, Vetiver, Amber, Vanille and Patchouli. ",,"Well-blended accord of aldehydes, roses, musk, and woods
Classic and timeless fragrance
Suitable for all seasons
High-quality and long-lasting fragrance
Elegant and feminine scent
Perfect for special occasions
Layering options with different No.5 products
Unisex fragrance","May not suit everyone's taste
May be perceived as an old-fashioned scent
Some people may have a negative association with the scent
Expensive price point
Some formulations may have sharp or harsh top notes
May not last long enough for some people
Strong and overpowering for some
Not suitable for everyday wear","Aldehydes, Ylang-Ylang, Neroli, Amalfi Lemon, Bergamot","Iris, Jasmine, Rose, Orris Root, Lily-of-the-Valley","Civetta, Sandalwood, Musk, oak moss, Vetiver, Amber, Vanille, Patchouli",Ernest Beaux,https://fimgs.net/mdimg/perfume/375x500.10856.jpg
