Address,street number,Type,Rooms,Size (m2),Agency url,Agency name
Kruununhaankatu,1,599 000 €,4,74.5,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20612854,aktia
Liisankatu ,21,849 000 €,2,110,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20580922,aktia
Meripuistotie,1,279 000 €,2,48,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21642014,aktia
Huovitie,10,369 000 €,3,72.5,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21390373,aktia
Katajaharjuntie,15,769 000 €,5,109,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20422044,aktia
Laakavuorenkuja,1,129 000 €,3,65,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21395261,aktia
Itäinen Puistotie,5,2 360 000 €,4,172,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20788915,aktia
Pajalahdentie,9,325 000 €,2,58.5,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21231045,aktia
Perämiehenkatu,9,279 000 €,1,32.5,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21551814,aktia
Käärtipolku,6,164 500 €,2,43,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21930898,aktia
Hirsipadontie ,7,135 000 €,2,59,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21381119,aktia
Kaupintie,16,228 000 €,2,58,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20899683,aktia
Kalevankatu,42,570 000 €,3,97,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20470054,aktia
Mannerheimintie,25,279 000 €,1,38,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21786248,aktia
Muut,,,,,,aktia
Lapinlahdenkatu,11,250 000 €,0,140,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20345170,aktia
Munkkisaarenkatu ,2,55 000 €,0,12.5,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20861966,aktia
Koulutanhua,8,375 000 €,3,73,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20380633,aktia
Teljäntie,3,249 000 €,2,53.6,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20131334,aktia
Mannerheimintie,65,358 000 €,2,65,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21238955,aktia
Kauppiaankatu,13,505 000 €,2,57.1,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20636146,aktia
Marunakuja,6,259 000 €,4,79.5,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21516398,aktia
Mannerheimintie ,89,406 000 €,3,62.6,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21223715,aktia
Mannerheimintie,25,575 000 €,4,114,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20356726,aktia
Ruoholahdenkatu,4,460 000 €,2,54,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21193609,aktia
Tilanhoitajankaari,17,255 000 €,2,52,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20606028,aktia
Miina Sillanpään Katu,3,226 000 €,1,28.5,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21171350,aktia
Laivurinkatu,35,296 000 €,1,33,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21658927,aktia
Vaskiniementie ,2,729 000 €,6,125,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20017684,aktia
Rantakartanontie,2,250 000 €,4,79,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21507569,aktia
Satamasaarentie,2,199 000 €,4,78,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21011110,aktia
Tammitie,21,199 000 €,1,27,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20294488,aktia
Linnankoskenkatu,10,824 000 €,4,114,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21626393,aktia
Ilomäentie,5,152 000 €,2,52.5,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20705545,aktia
Stenbäckinkatu,1,314 000 €,2,40,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21062581,aktia
Isonnevantie,5,239 000 €,1,40.5,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20923882,aktia
Pohjoisranta,16,1 095 000 €,4,136,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20449503,aktia
Puustellinpolku,16,139 000 €,2,50,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20086736,aktia
Munkkisaarenkatu ,2,65 000 €,0,12.5,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20093573,aktia
Karhutorpanpolku,3,260 000 €,0,628,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21443387,aktia
Larin Kyöstin Tie,2,525 000 €,0,1 536,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21310102,aktia
Otavantie ,57,339 000 €,2,54,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21696830,aktia
Vuorimiehenkatu,31,449 000 €,2,50.5,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21286230,aktia
Korkeavuorenkatu,6,1 060 000 €,4,110,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20357651,aktia
